sym,cls,t0_exact,listTime,first_fund,first_fund_raw,okx_first,d_listTime,d_first_fund,d_first_fund_raw,d_okx_first
DUCK-USDT-SWAP,okx_only,25-01-16 11:00,,25-01-16 12:00,25-01-16 20:00,25-01-16 20:00,,-0.9945386111111111,-8.99453861111111,-8.99453861111111
NC-USDT-SWAP,okx_only,25-01-17 11:00,,25-01-17 12:00,25-01-17 20:00,25-01-17 20:00,,-0.9841552777777778,-8.984155277777777,-8.984155277777777
J-USDT-SWAP,okx_only,25-01-22 11:00,,25-01-22 12:00,25-01-22 20:00,25-01-22 20:00,,-0.9928641666666667,-8.992864166666667,-8.992864166666667
BUZZ-USDT-SWAP,okx_only,25-01-27 11:15,,25-01-27 12:00,25-01-27 20:00,25-01-27 20:00,,-0.7434402777777778,-8.743440277777777,-8.743440277777777
PI-USDT-SWAP,okx_only,25-02-20 09:00,25-02-20 09:00,25-02-20 12:00,25-02-20 20:00,25-02-20 20:00,0.0084625,-2.991429722222222,-10.991429722222222,-10.991429722222222
HYPE-USDT-SWAP,okx_first,25-02-21 07:00,25-02-21 07:00,25-02-21 08:00,25-02-21 16:00,25-02-21 16:00,0.010803055555555555,-0.9890563888888889,-8.989056388888889,-8.989056388888889
LAUNCHCOIN-USDT-SWAP,okx_only,25-06-03 10:15,,25-06-03 12:00,25-06-03 20:00,25-06-03 20:00,,-1.733643888888889,-9.733643888888889,-9.733643888888889
USELESS-USDT-SWAP,okx_first,25-07-25 10:00,25-07-25 10:00,25-07-25 12:00,25-07-25 20:00,25-07-25 20:00,0.0074088888888888885,-1.9924855555555556,-9.992485555555556,-9.992485555555556
TESTPM002-USDT-SWAP,okx_only,25-08-20 06:43,,25-08-20 08:00,25-08-20 16:00,25-08-20 16:00,,-1.27295,-9.27295,-9.27295
OKB-USDT-SWAP,okx_only,25-09-04 02:00,25-09-04 02:00,25-09-04 04:00,25-09-04 12:00,25-09-04 12:00,0.010397222222222223,-1.9894930555555554,-9.989493055555556,-9.989493055555556
MET-USDT-SWAP,okx_first,25-10-10 08:15,25-10-10 08:15,25-10-10 12:00,,25-10-10 08:15,0.011866666666666666,-3.738062777777778,,0.011866666666666666
PIGGY-USDT-SWAP,okx_only,25-10-29 08:00,,25-10-29 12:00,,25-10-28 16:00,,-3.991128888888889,,16.008871111111112
TRIA-USDT-SWAP,okx_first,26-02-05 07:30,26-02-05 07:30,26-02-05 08:00,,26-02-05 07:30,0.00020722222222222222,-0.49979277777777775,,0.00020722222222222222
UP-USDT-SWAP,okx_only,26-04-08 11:00,26-04-08 11:00,26-04-08 12:00,,26-04-08 11:00,0.0005841666666666666,-0.9994158333333333,,0.0005841666666666666
OFC-USDT-SWAP,okx_only,26-04-09 11:00,26-04-09 11:00,26-04-09 12:00,,26-04-09 11:00,0.006346388888888889,-0.9936536111111111,,0.006346388888888889
PROS-USDT-SWAP,okx_only,26-04-28 14:00,26-04-28 14:00,26-04-28 16:00,,26-04-28 14:00,5.305555555555556e-05,-1.9999469444444444,,5.305555555555556e-05
BLEND-USDT-SWAP,okx_only,26-04-29 10:00,26-04-29 10:00,26-04-29 12:00,,26-04-29 10:00,0.0005602777777777778,-1.9994397222222222,,0.0005602777777777778
GRAM-USDT-SWAP,okx_first,26-06-17 10:30,26-06-17 10:30,26-06-17 12:00,,26-06-17 10:30,0.0008013888888888889,-1.499198611111111,,0.0008013888888888889
RE-USDT-SWAP,okx_first,26-06-17 10:30,26-06-17 10:30,26-06-17 12:00,,26-06-17 10:30,0.0040977777777777774,-1.4959022222222222,,0.0040977777777777774
O-USDT-SWAP,okx_first,26-06-17 16:30,26-06-17 16:30,26-06-17 20:00,,26-06-17 16:30,0.00023666666666666665,-3.499763333333333,,0.00023666666666666665
NES-USDT-SWAP,okx_only,26-06-24 13:30,26-06-24 13:30,26-06-24 16:00,,26-06-24 13:30,0.00034972222222222224,-2.4996502777777776,,0.00034972222222222224
DATA-USDT-SWAP,okx_only,26-07-02 12:30,26-07-02 12:30,26-07-02 16:00,,26-07-02 12:30,0.0006725,-3.4993275,,0.0006725
AEON-USDT-SWAP,okx_only,26-07-27 11:30,26-07-27 11:30,26-07-27 12:00,,26-07-27 11:30,0.010334722222222223,-0.4896652777777778,,0.010334722222222223
DOS-USDT-SWAP,okx_first,26-08-10 12:00,26-08-10 12:00,26-08-10 16:00,,26-08-10 12:00,0.0002175,-3.9997825,,0.0002175
CP-USDT-SWAP,okx_only,26-09-02 15:40,26-09-02 15:40,26-09-08 16:00,,26-09-02 15:40,0.0014552777777777778,-144.33187805555556,,0.0014552777777777778
CASHCAT-USDT-SWAP,okx_only,26-09-03 03:30,26-09-03 03:30,26-09-08 16:00,,26-09-03 03:30,0.00010611111111111112,-132.4998938888889,,0.00010611111111111112
DGAI-USDT-SWAP,okx_only,26-09-03 03:00,26-09-03 03:00,26-09-08 16:00,,26-09-03 03:00,0.000595,-132.999405,,0.000595
PONS-USDT-SWAP,okx_only,26-09-05 03:00,26-09-05 03:00,26-09-08 16:00,,26-09-05 03:00,0.0013163888888888889,-84.9986836111111,,0.0013163888888888889
CNPY-USDT-SWAP,okx_only,26-09-07 13:00,26-09-07 13:00,26-09-14 22:00,,26-09-07 13:00,0.00015527777777777778,-176.99984472222224,,0.00015527777777777778
KII-USDT-SWAP,okx_only,26-09-24 11:00,26-09-24 11:00,26-09-24 12:00,,26-09-24 11:00,0.0001722222222222222,-0.9998277777777778,,0.0001722222222222222
