coin,t,side,sec,okx_basis_bp
ETHUSDT,2023-08-17 21:42:00+00:00,-1,0,-7.911
ETHUSDT,2023-08-17 21:42:00+00:00,-1,1,-7.911
ETHUSDT,2023-08-17 21:42:00+00:00,-1,2,-7.911
ETHUSDT,2023-08-17 21:42:00+00:00,-1,5,-34.48
ETHUSDT,2023-08-17 21:42:00+00:00,-1,10,-23.09
ETHUSDT,2023-08-17 21:42:00+00:00,-1,30,-9.817
ETHUSDT,2023-08-17 21:42:00+00:00,-1,60,-25.29
ETHUSDT,2023-08-17 21:42:00+00:00,-1,90,-7.515
BTCUSDT,2023-10-01 22:17:00+00:00,1,-30,0.9107
BTCUSDT,2023-10-01 22:17:00+00:00,1,-5,11.21
BTCUSDT,2023-10-01 22:17:00+00:00,1,-1,4.281
BTCUSDT,2023-10-01 22:17:00+00:00,1,0,2.182
BTCUSDT,2023-10-01 22:17:00+00:00,1,1,5.078
BTCUSDT,2023-10-01 22:17:00+00:00,1,2,11.01
BTCUSDT,2023-10-01 22:17:00+00:00,1,5,2.06
BTCUSDT,2023-10-01 22:17:00+00:00,1,10,-2.042
BTCUSDT,2023-10-01 22:17:00+00:00,1,30,2.859
BTCUSDT,2023-10-01 22:17:00+00:00,1,60,0.6449
BTCUSDT,2023-10-01 22:17:00+00:00,1,90,0.6456
ETHUSDT,2023-10-01 22:17:00+00:00,1,-30,0.3549
ETHUSDT,2023-10-01 22:17:00+00:00,1,-5,4.179
ETHUSDT,2023-10-01 22:17:00+00:00,1,-1,-0.2244
ETHUSDT,2023-10-01 22:17:00+00:00,1,0,47.93
ETHUSDT,2023-10-01 22:17:00+00:00,1,1,5.768
ETHUSDT,2023-10-01 22:17:00+00:00,1,2,7.698
ETHUSDT,2023-10-01 22:17:00+00:00,1,5,4.784
ETHUSDT,2023-10-01 22:17:00+00:00,1,10,4.966
ETHUSDT,2023-10-01 22:17:00+00:00,1,30,4.065
ETHUSDT,2023-10-01 22:17:00+00:00,1,60,0.2879
ETHUSDT,2023-10-01 22:17:00+00:00,1,90,1.793
BTCUSDT,2023-10-23 22:41:00+00:00,1,-30,1.214
BTCUSDT,2023-10-23 22:41:00+00:00,1,-5,6.622
BTCUSDT,2023-10-23 22:41:00+00:00,1,-1,14.22
BTCUSDT,2023-10-23 22:41:00+00:00,1,0,17.87
BTCUSDT,2023-10-23 22:41:00+00:00,1,1,14.07
BTCUSDT,2023-10-23 22:41:00+00:00,1,2,11.52
BTCUSDT,2023-10-23 22:41:00+00:00,1,5,18.68
BTCUSDT,2023-10-23 22:41:00+00:00,1,10,34.9
BTCUSDT,2023-10-23 22:41:00+00:00,1,30,3.943
BTCUSDT,2023-10-23 22:41:00+00:00,1,60,12.4
BTCUSDT,2023-10-23 22:41:00+00:00,1,90,1.321
BTCUSDT,2023-11-15 18:11:00+00:00,1,-30,2.727
BTCUSDT,2023-11-15 18:11:00+00:00,1,-5,3.242
BTCUSDT,2023-11-15 18:11:00+00:00,1,-1,11.76
BTCUSDT,2023-11-15 18:11:00+00:00,1,0,10.36
BTCUSDT,2023-11-15 18:11:00+00:00,1,1,6.152
