coin,day,msg
ETHUSDT,2024-02-28,max|dev|=47bp
ETHUSDT,2024-04-12,max|dev|=23bp
ETHUSDT,2024-03-05,max|dev|=42bp
ETHUSDT,2024-03-20,max|dev|=9bp
ETHUSDT,2024-04-13,max|dev|=47bp
ETHUSDT,2024-05-01,max|dev|=14bp
ETHUSDT,2024-06-11,max|dev|=14bp
ETHUSDT,2024-05-20,max|dev|=52bp
ETHUSDT,2024-07-04,max|dev|=11bp
ETHUSDT,2024-08-08,max|dev|=23bp
ETHUSDT,2024-11-06,max|dev|=19bp
ETHUSDT,2024-12-09,max|dev|=46bp
ETHUSDT,2024-08-05,max|dev|=79bp
ETHUSDT,2025-01-13,max|dev|=24bp
ETHUSDT,2025-02-24,max|dev|=8bp
ETHUSDT,2025-03-02,max|dev|=16bp
ETHUSDT,2025-02-02,max|dev|=10bp
ETHUSDT,2025-02-03,max|dev|=110bp
ETHUSDT,2025-03-10,max|dev|=11bp
ETHUSDT,2025-03-03,max|dev|=13bp
ETHUSDT,2025-04-06,max|dev|=15bp
ETHUSDT,2025-04-07,max|dev|=9bp
ETHUSDT,2025-04-22,max|dev|=9bp
ETHUSDT,2025-04-09,max|dev|=9bp
ETHUSDT,2025-05-08,max|dev|=11bp
ETHUSDT,2025-05-09,max|dev|=13bp
ETHUSDT,2025-05-13,max|dev|=13bp
ETHUSDT,2025-08-22,max|dev|=12bp
ETHUSDT,2025-10-12,max|dev|=9bp
ETHUSDT,2025-11-04,max|dev|=11bp
ETHUSDT,2026-01-31,max|dev|=51bp
ETHUSDT,2025-10-10,max|dev|=156bp
ETHUSDT,2026-02-25,max|dev|=30bp
ETHUSDT,2026-03-04,max|dev|=18bp
ETHUSDT,2026-02-05,max|dev|=14bp
ETHUSDT,2026-02-06,max|dev|=14bp
ETHUSDT,2026-08-19,max|dev|=71bp
ETHUSDT,2026-06-05,max|dev|=20bp
