coin,day,k_bp,lat,t,t_exit,side,dev_bp,b0_bp,hold_s,gross_bp,net_bp,fee_in_bp,worst_bp
BTCUSDT,2022-08-19,40,10,2022-08-19 06:38:23.999000+00:00,2022-08-19 06:38:52.999000+00:00,-1,-49.8,-20.27,29,18.07,-11.94,14.99,-39.99
BTCUSDT,2022-10-13,40,0.5,2022-10-13 12:30:21.999000+00:00,2022-10-13 12:30:38.999000+00:00,-1,-52.11,-45.37,17,23.78,-6.253,14.98,2.016
BTCUSDT,2022-10-13,40,2,2022-10-13 12:30:21.999000+00:00,2022-10-13 12:30:38.999000+00:00,-1,-52.11,-14.19,17,-1.753,-31.74,14.99,-29.17
BTCUSDT,2022-10-13,40,10,2022-10-13 12:30:21.999000+00:00,2022-10-13 12:30:38.999000+00:00,-1,-52.11,-20.91,17,7.72,-22.28,14.99,-22.44
BTCUSDT,2022-11-08,40,0.5,2022-11-08 19:32:53.999000+00:00,2022-11-08 19:33:57.999000+00:00,-1,-41.66,-25.99,64,19.74,-10.53,14.99,-25.09
BTCUSDT,2022-11-08,40,2,2022-11-08 19:32:53.999000+00:00,2022-11-08 19:33:57.999000+00:00,-1,-41.66,-22.3,64,7.038,-23.28,14.99,-28.78
BTCUSDT,2022-11-08,40,10,2022-11-08 19:32:53.999000+00:00,2022-11-08 19:33:57.999000+00:00,-1,-41.66,-20.98,64,13.99,-16.17,14.99,-30.1
BTCUSDT,2023-01-14,40,0.5,2023-01-14 00:40:20.999000+00:00,2023-01-14 00:58:38.999000+00:00,1,45.53,35.22,1098,33.95,4.204,15.02,-6.529
BTCUSDT,2023-01-14,40,2,2023-01-14 00:40:20.999000+00:00,2023-01-14 00:58:38.999000+00:00,1,45.53,32.2,1098,27.56,-2.205,15.02,-9.547
BTCUSDT,2023-01-14,40,10,2023-01-14 00:40:20.999000+00:00,2023-01-14 00:58:38.999000+00:00,1,45.53,28.29,1098,23.34,-6.317,15.01,-13.46
BTCUSDT,2022-11-10,40,0.5,2022-11-10 13:30:55.999000+00:00,2022-11-10 13:30:56.999000+00:00,1,44.52,-3.277,1,-12.53,-42.57,15,0.2735
BTCUSDT,2022-11-10,40,2,2022-11-10 13:30:55.999000+00:00,2022-11-10 13:30:56.999000+00:00,1,44.52,8.156,1,3.331,-26.68,15,11.71
BTCUSDT,2022-11-10,40,10,2022-11-10 13:30:55.999000+00:00,2022-11-10 13:30:56.999000+00:00,1,44.52,-2.193,1,-9.636,-39.6,15,1.358
BTCUSDT,2022-11-09,40,0.5,2022-11-09 22:08:15.999000+00:00,2022-11-09 23:04:24.999000+00:00,-1,-40.93,-39.15,3369,6.749,-23.35,14.98,-29.29
BTCUSDT,2022-11-09,40,2,2022-11-09 22:08:15.999000+00:00,2022-11-09 23:04:24.999000+00:00,-1,-40.93,-45.15,3369,16.61,-13.42,14.98,-23.29
BTCUSDT,2022-11-09,40,10,2022-11-09 22:08:15.999000+00:00,2022-11-09 23:04:24.999000+00:00,-1,-40.93,-38.02,3369,14.04,-16.03,14.98,-30.42
BTCUSDT,2022-11-09,60,0.5,2022-11-09 22:12:01.999000+00:00,2022-11-09 23:04:24.999000+00:00,-1,-60.53,-40.84,3143,8.829,-21.09,14.98,-27.6
BTCUSDT,2022-11-09,60,2,2022-11-09 22:12:01.999000+00:00,2022-11-09 23:04:24.999000+00:00,-1,-60.53,-34.6,3143,6.296,-23.62,14.98,-33.84
BTCUSDT,2022-11-09,60,10,2022-11-09 22:12:01.999000+00:00,2022-11-09 23:04:24.999000+00:00,-1,-60.53,-29.54,3143,5.729,-24.24,14.99,-38.9
BTCUSDT,2023-03-13,40,0.5,2023-03-13 14:08:24.999000+00:00,2023-03-13 14:10:02.999000+00:00,1,44.26,15.45,98,16.46,-13.64,15.01,-4.313
BTCUSDT,2023-03-13,40,2,2023-03-13 14:08:24.999000+00:00,2023-03-13 14:10:02.999000+00:00,1,44.26,12.59,98,11.8,-18.34,15.01,-7.174
BTCUSDT,2023-03-13,40,10,2023-03-13 14:08:24.999000+00:00,2023-03-13 14:10:02.999000+00:00,1,44.26,5.507,98,4.405,-25.75,15,-14.26
BTCUSDT,2023-03-14,40,0.5,2023-03-14 12:31:35.999000+00:00,2023-03-14 12:35:36.999000+00:00,1,55.99,11.49,241,9.209,-20.52,15.01,-34.4
