coin,t,side,sec,basis_bp
BTCUSDT,2023-10-01 22:17:00+00:00,1,1,96.29
BTCUSDT,2023-10-01 22:17:00+00:00,1,2,70.55
BTCUSDT,2023-10-01 22:17:00+00:00,1,5,40.62
BTCUSDT,2023-10-01 22:17:00+00:00,1,10,25.17
BTCUSDT,2023-10-01 22:17:00+00:00,1,30,17.59
BTCUSDT,2023-10-01 22:17:00+00:00,1,60,8.402
BTCUSDT,2023-10-01 22:17:00+00:00,1,90,2.05
ETHUSDT,2023-10-01 22:17:00+00:00,1,-30,-3.432
ETHUSDT,2023-10-01 22:17:00+00:00,1,-5,80.3
ETHUSDT,2023-10-01 22:17:00+00:00,1,-1,118.8
ETHUSDT,2023-10-01 22:17:00+00:00,1,0,108.1
ETHUSDT,2023-10-01 22:17:00+00:00,1,1,93.43
ETHUSDT,2023-10-01 22:17:00+00:00,1,2,81.15
ETHUSDT,2023-10-01 22:17:00+00:00,1,5,62.88
ETHUSDT,2023-10-01 22:17:00+00:00,1,10,36.67
ETHUSDT,2023-10-01 22:17:00+00:00,1,30,18.43
ETHUSDT,2023-10-01 22:17:00+00:00,1,60,1.326
ETHUSDT,2023-10-01 22:17:00+00:00,1,90,0.9259
BTCUSDT,2023-10-23 22:41:00+00:00,1,-30,12.03
BTCUSDT,2023-10-23 22:41:00+00:00,1,-5,63.78
BTCUSDT,2023-10-23 22:41:00+00:00,1,-1,205.4
BTCUSDT,2023-10-23 22:41:00+00:00,1,0,86.37
BTCUSDT,2023-10-23 22:41:00+00:00,1,1,105.6
BTCUSDT,2023-10-23 22:41:00+00:00,1,2,157
BTCUSDT,2023-10-23 22:41:00+00:00,1,5,190.8
BTCUSDT,2023-10-23 22:41:00+00:00,1,10,200.9
BTCUSDT,2023-10-23 22:41:00+00:00,1,30,37.97
BTCUSDT,2023-10-23 22:41:00+00:00,1,60,167.4
BTCUSDT,2023-10-23 22:41:00+00:00,1,90,120.5
BTCUSDT,2023-11-15 18:11:00+00:00,1,-30,2.427
BTCUSDT,2023-11-15 18:11:00+00:00,1,-5,5.088
BTCUSDT,2023-11-15 18:11:00+00:00,1,-1,46.52
BTCUSDT,2023-11-15 18:11:00+00:00,1,0,104.4
BTCUSDT,2023-11-15 18:11:00+00:00,1,1,92.6
BTCUSDT,2023-11-15 18:11:00+00:00,1,2,131.3
BTCUSDT,2023-11-15 18:11:00+00:00,1,5,29.87
BTCUSDT,2023-11-15 18:11:00+00:00,1,10,24.1
BTCUSDT,2023-11-15 18:11:00+00:00,1,30,14.38
BTCUSDT,2023-11-15 18:11:00+00:00,1,60,20.64
BTCUSDT,2023-11-15 18:11:00+00:00,1,90,12.39
BTCUSDT,2023-12-11 02:12:00+00:00,-1,-30,3.29
BTCUSDT,2023-12-11 02:12:00+00:00,-1,-5,-16.95
BTCUSDT,2023-12-11 02:12:00+00:00,-1,-1,-8.358
BTCUSDT,2023-12-11 02:12:00+00:00,-1,0,-87.41
BTCUSDT,2023-12-11 02:12:00+00:00,-1,1,-25.43
BTCUSDT,2023-12-11 02:12:00+00:00,-1,2,-13.85
BTCUSDT,2023-12-11 02:12:00+00:00,-1,5,-111.8
BTCUSDT,2023-12-11 02:12:00+00:00,-1,10,-109.3
BTCUSDT,2023-12-11 02:12:00+00:00,-1,30,-23.09
BTCUSDT,2023-12-11 02:12:00+00:00,-1,60,5.707
BTCUSDT,2023-12-11 02:12:00+00:00,-1,90,-0.1084
ETHUSDT,2023-12-11 02:12:00+00:00,-1,-30,-3.335
ETHUSDT,2023-12-11 02:12:00+00:00,-1,-5,-110.2
ETHUSDT,2023-12-11 02:12:00+00:00,-1,-1,-163.5
ETHUSDT,2023-12-11 02:12:00+00:00,-1,0,-182.3
ETHUSDT,2023-12-11 02:12:00+00:00,-1,1,-172.5
ETHUSDT,2023-12-11 02:12:00+00:00,-1,2,-173.1
ETHUSDT,2023-12-11 02:12:00+00:00,-1,5,-221.9
ETHUSDT,2023-12-11 02:12:00+00:00,-1,10,-197.1
ETHUSDT,2023-12-11 02:12:00+00:00,-1,30,-183.1
ETHUSDT,2023-12-11 02:12:00+00:00,-1,60,-13.06
ETHUSDT,2023-12-11 02:12:00+00:00,-1,90,-6.382
BTCUSDT,2024-01-03 12:09:00+00:00,-1,-30,-17.24
BTCUSDT,2024-01-03 12:09:00+00:00,-1,-5,-65.27
BTCUSDT,2024-01-03 12:09:00+00:00,-1,-1,-103.9
BTCUSDT,2024-01-03 12:09:00+00:00,-1,0,-110.3
BTCUSDT,2024-01-03 12:09:00+00:00,-1,1,-56.57
BTCUSDT,2024-01-03 12:09:00+00:00,-1,2,-50.1
BTCUSDT,2024-01-03 12:09:00+00:00,-1,5,-87.66
BTCUSDT,2024-01-03 12:09:00+00:00,-1,10,-24.17
BTCUSDT,2024-01-03 12:09:00+00:00,-1,30,-8.056
BTCUSDT,2024-01-03 12:09:00+00:00,-1,60,4.118
BTCUSDT,2024-01-03 12:09:00+00:00,-1,90,15.81
ETHUSDT,2024-01-03 12:09:00+00:00,-1,-30,-153.6
ETHUSDT,2024-01-03 12:09:00+00:00,-1,-5,-220
ETHUSDT,2024-01-03 12:09:00+00:00,-1,-1,-238
ETHUSDT,2024-01-03 12:09:00+00:00,-1,0,-231
ETHUSDT,2024-01-03 12:09:00+00:00,-1,1,-206.5
ETHUSDT,2024-01-03 12:09:00+00:00,-1,2,-193.9
ETHUSDT,2024-01-03 12:09:00+00:00,-1,5,-226
ETHUSDT,2024-01-03 12:09:00+00:00,-1,10,-154.8
ETHUSDT,2024-01-03 12:09:00+00:00,-1,30,-97.71
ETHUSDT,2024-01-03 12:09:00+00:00,-1,60,5.186
ETHUSDT,2024-01-03 12:09:00+00:00,-1,90,-20.59
ETHUSDT,2024-04-13 20:09:00+00:00,-1,-30,-119.2
ETHUSDT,2024-04-13 20:09:00+00:00,-1,-5,-113.2
ETHUSDT,2024-04-13 20:09:00+00:00,-1,-1,-73.98
ETHUSDT,2024-04-13 20:09:00+00:00,-1,0,-90.2
ETHUSDT,2024-04-13 20:09:00+00:00,-1,1,-78.69
ETHUSDT,2024-04-13 20:09:00+00:00,-1,2,-88.03
ETHUSDT,2024-04-13 20:09:00+00:00,-1,5,-72.44
ETHUSDT,2024-04-13 20:09:00+00:00,-1,10,-52.75
ETHUSDT,2024-04-13 20:09:00+00:00,-1,30,-25.78
ETHUSDT,2024-04-13 20:09:00+00:00,-1,60,-45.42
ETHUSDT,2024-04-13 20:09:00+00:00,-1,90,-28.17
ETHUSDT,2024-05-01 07:08:00+00:00,-1,-30,-4.575
ETHUSDT,2024-05-01 07:08:00+00:00,-1,-5,-8.105
ETHUSDT,2024-05-01 07:08:00+00:00,-1,-1,-37.89
ETHUSDT,2024-05-01 07:08:00+00:00,-1,0,-137.9
ETHUSDT,2024-05-01 07:08:00+00:00,-1,1,-93.32
ETHUSDT,2024-05-01 07:08:00+00:00,-1,2,-72.51
ETHUSDT,2024-05-01 07:08:00+00:00,-1,5,-74.28
ETHUSDT,2024-05-01 07:08:00+00:00,-1,10,-27.88
ETHUSDT,2024-05-01 07:08:00+00:00,-1,30,-11.01
ETHUSDT,2024-05-01 07:08:00+00:00,-1,60,-12.02
ETHUSDT,2024-05-01 07:08:00+00:00,-1,90,-10.38
ETHUSDT,2024-08-05 01:10:00+00:00,1,-30,47.92
ETHUSDT,2024-08-05 01:10:00+00:00,1,-5,-231.9
ETHUSDT,2024-08-05 01:10:00+00:00,1,-1,-37.02
ETHUSDT,2024-08-05 01:10:00+00:00,1,0,84.46
ETHUSDT,2024-08-05 01:10:00+00:00,1,1,78.41
ETHUSDT,2024-08-05 01:10:00+00:00,1,2,159.8
ETHUSDT,2024-08-05 01:10:00+00:00,1,5,90.19
ETHUSDT,2024-08-05 01:10:00+00:00,1,10,-9.395
