variant,seg,L,trades,cagr,maxdd,liqs,worst_day,sharpe,mean_net_bp,years
okx_native_k40_lat10.0s,IS,15,58,-0.42753,-0.84211,0,-0.19637,-2.4887,-18.589,2022:-0.7249;2023:-0.1096;2024:-0.2340
okx_native_k40_lat10.0s,IS,20,58,-0.52831,-0.918,0,-0.25834,-2.4991,-18.589,2022:-0.8242;2023:-0.1454;2024:-0.3015
okx_native_k40_lat10.0s,OOS,1,35,-0.063705,-0.10444,0,-0.082769,-0.97478,-31.225,2025:-0.0949;2026:-0.0098
okx_native_k40_lat10.0s,OOS,3,35,-0.18022,-0.28323,0,-0.22964,-0.98843,-31.225,2025:-0.2601;2026:-0.0291
okx_native_k40_lat10.0s,OOS,5,35,-0.28326,-0.42772,0,-0.35427,-1.0025,-31.225,2025:-0.3965;2026:-0.0482
okx_native_k40_lat10.0s,OOS,10,35,-0.491,-0.67786,0,-0.58832,-1.0393,-31.225,2025:-0.6411;2026:-0.0947
okx_native_k40_lat10.0s,OOS,15,35,-0.64206,-0.82182,0,-0.74106,-1.0775,-31.225,2025:-0.7899;2026:-0.1395
okx_native_k40_lat10.0s,OOS,20,35,-0.75091,-0.90328,0,-0.83948,-1.116,-31.225,2025:-0.8790;2026:-0.1826
okx_native_k60_lat10.0s,IS,1,23,-0.0050718,-0.029949,0,-0.007559,-0.4588,-6.566,2022:-0.0183;2023:-0.0011;2024:+0.0043
okx_native_k60_lat10.0s,IS,3,23,-0.015566,-0.088098,0,-0.022684,-0.46081,-6.566,2022:-0.0544;2023:-0.0035;2024:+0.0124
okx_native_k60_lat10.0s,IS,5,23,-0.026342,-0.14365,0,-0.037809,-0.45954,-6.566,2022:-0.0898;2023:-0.0059;2024:+0.0202
okx_native_k60_lat10.0s,IS,10,23,-0.054431,-0.27151,0,-0.075621,-0.45492,-6.566,2022:-0.1750;2023:-0.0127;2024:+0.0380
okx_native_k60_lat10.0s,IS,15,23,-0.084,-0.38441,0,-0.11343,-0.44991,-6.566,2022:-0.2555;2023:-0.0203;2024:+0.0537
okx_native_k60_lat10.0s,IS,20,23,-0.11486,-0.48337,0,-0.15125,-0.44481,-6.566,2022:-0.3311;2023:-0.0287;2024:+0.0674
okx_native_k60_lat10.0s,OOS,1,17,-0.025892,-0.049768,0,-0.029397,-1.0555,-25.607,2025:-0.0407;2026:-0.0021
okx_native_k60_lat10.0s,OOS,3,17,-0.076222,-0.14384,0,-0.086289,-1.0589,-25.607,2025:-0.1181;2026:-0.0062
okx_native_k60_lat10.0s,OOS,5,17,-0.12454,-0.23089,0,-0.14056,-1.0624,-25.607,2025:-0.1902;2026:-0.0104
okx_native_k60_lat10.0s,OOS,10,17,-0.23694,-0.4203,0,-0.26537,-1.0712,-25.607,2025:-0.3489;2026:-0.0208
okx_native_k60_lat10.0s,OOS,15,17,-0.33805,-0.57387,0,-0.37573,-1.08,-25.607,2025:-0.4806;2026:-0.0312
okx_native_k60_lat10.0s,OOS,20,17,-0.42871,-0.69668,0,-0.47291,-1.0889,-25.607,2025:-0.5891;2026:-0.0416
okx_native_k80_lat10.0s,IS,1,8,0.0037939,-0.01239,0,-0.005827,0.54984,14.29,2022:-0.0031;2023:+0.0070;2024:+0.0075
okx_native_k80_lat10.0s,IS,3,8,0.011264,-0.03693,0,-0.017488,0.54926,14.29,2022:-0.0094;2023:+0.0211;2024:+0.0224
okx_native_k80_lat10.0s,IS,5,8,0.018596,-0.061133,0,-0.029149,0.54914,14.29,2022:-0.0159;2023:+0.0353;2024:+0.0373
okx_native_k80_lat10.0s,IS,10,8,0.036317,-0.12016,0,-0.058301,0.54905,14.29,2022:-0.0331;2023:+0.0713;2024:+0.0745
okx_native_k80_lat10.0s,IS,15,8,0.053137,-0.17708,0,-0.087453,0.54902,14.29,2022:-0.0516;2023:+0.1078;2024:+0.1118
okx_native_k80_lat10.0s,IS,20,8,0.069021,-0.23189,0,-0.11661,0.54901,14.29,2022:-0.0714;2023:+0.1450;2024:+0.1490
okx_native_k80_lat10.0s,OOS,1,8,-0.0071142,-0.028916,0,-0.010094,-0.89526,-14.825,2025:-0.0118;2026:+0.0000
okx_native_k80_lat10.0s,OOS,3,8,-0.021327,-0.085558,0,-0.030177,-0.89598,-14.825,2025:-0.0352;2026:+0.0000
okx_native_k80_lat10.0s,OOS,5,8,-0.035453,-0.1406,0,-0.050027,-0.89668,-14.825,2025:-0.0583;2026:+0.0000
okx_native_k80_lat10.0s,OOS,10,8,-0.070383,-0.27134,0,-0.098634,-0.89844,-14.825,2025:-0.1144;2026:+0.0000
okx_native_k80_lat10.0s,OOS,15,8,-0.10476,-0.39261,0,-0.14578,-0.90023,-14.825,2025:-0.1682;2026:+0.0000
okx_native_k80_lat10.0s,OOS,20,8,-0.13856,-0.50478,0,-0.19148,-0.90208,-14.825,2025:-0.2199;2026:+0.0000
okx_native_k120_lat10.0s,IS,1,4,0.00235,-0.013049,0,-0.002075,0.53768,17.676,2022:-0.0021;2023:+0.0101;2024:-0.0010
okx_native_k120_lat10.0s,IS,3,4,0.0069969,-0.039147,0,-0.0062273,0.53684,17.676,2022:-0.0062;2023:+0.0305;2024:-0.0029
okx_native_k120_lat10.0s,IS,5,4,0.01159,-0.065245,0,-0.01038,0.53667,17.676,2022:-0.0104;2023:+0.0511;2024:-0.0048
okx_native_k120_lat10.0s,IS,10,4,0.022839,-0.13049,0,-0.02076,0.53655,17.676,2022:-0.0208;2023:+0.1034;2024:-0.0096
okx_native_k120_lat10.0s,IS,15,4,0.03376,-0.19573,0,-0.031141,0.53651,17.676,2022:-0.0311;2023:+0.1569;2024:-0.0144
okx_native_k120_lat10.0s,IS,20,4,0.044358,-0.26098,0,-0.041522,0.53649,17.676,2022:-0.0415;2023:+0.2117;2024:-0.0192
okx_native_k120_lat10.0s,OOS,1,2,-0.0020226,-0.020678,0,-0.0033646,-0.77481,-16.81,2025:-0.0034;2026:+0.0000
okx_native_k120_lat10.0s,OOS,3,2,-0.006099,-0.062034,0,-0.010132,-0.77481,-16.81,2025:-0.0101;2026:+0.0000
okx_native_k120_lat10.0s,OOS,5,2,-0.010199,-0.10339,0,-0.016919,-0.77481,-16.81,2025:-0.0169;2026:+0.0000
okx_native_k120_lat10.0s,OOS,10,2,-0.020552,-0.20678,0,-0.033977,-0.77481,-16.81,2025:-0.0340;2026:+0.0000
okx_native_k120_lat10.0s,OOS,15,2,-0.031056,-0.31017,0,-0.05116,-0.77481,-16.81,2025:-0.0512;2026:+0.0000
okx_native_k120_lat10.0s,OOS,20,2,-0.041714,-0.41356,0,-0.06847,-0.77481,-16.81,2025:-0.0685;2026:+0.0000
