variant,seg,L,trades,cagr,maxdd,liqs,worst_day,sharpe,mean_net_bp,years
binance_ticks_lat2.0s,IS,5,13,0.12431,-0.037082,0,-0.0086624,1.6426,55.818,2022:+0.0669;2023:+0.2027;2024:+0.1076
binance_ticks_lat2.0s,IS,10,13,0.25776,-0.074163,0,-0.017325,1.6422,55.818,2022:+0.1359;2023:+0.4330;2024:+0.2223
binance_ticks_lat2.0s,IS,15,13,0.40082,-0.11124,0,-0.025987,1.642,55.818,2022:+0.2072;2023:+0.6937;2024:+0.3445
binance_ticks_lat2.0s,IS,20,13,0.55383,-0.14833,0,-0.034649,1.6419,55.818,2022:+0.2806;2023:+0.9870;2024:+0.4744
binance_ticks_lat2.0s,OOS,1,5,0.028539,-0.010895,0,0,1.1523,94.664,2025:+0.0448;2026:+0.0030
binance_ticks_lat2.0s,OOS,3,5,0.086489,-0.032685,0,0,1.1527,94.664,2025:+0.1378;2026:+0.0091
binance_ticks_lat2.0s,OOS,5,5,0.14563,-0.054476,0,0,1.1532,94.664,2025:+0.2353;2026:+0.0151
binance_ticks_lat2.0s,OOS,10,5,0.29878,-0.10895,0,0,1.1543,94.664,2025:+0.4999;2026:+0.0302
binance_ticks_lat2.0s,OOS,15,5,0.45967,-0.16343,0,0,1.1552,94.664,2025:+0.7955;2026:+0.0453
binance_ticks_lat2.0s,OOS,20,5,0.62849,-0.2179,0,0,1.1561,94.664,2025:+1.1236;2026:+0.0604
okx_same_timestamps_lat2.0s,IS,1,13,-0.0076595,-0.03033,0,-0.0032818,-1.6737,-17.455,2022:-0.0007;2023:-0.0121;2024:-0.0102
okx_same_timestamps_lat2.0s,IS,3,13,-0.023165,-0.089398,0,-0.0098455,-1.6835,-17.455,2022:-0.0022;2023:-0.0367;2024:-0.0302
okx_same_timestamps_lat2.0s,IS,5,13,-0.038513,-0.14526,0,-0.016409,-1.6853,-17.455,2022:-0.0038;2023:-0.0608;2024:-0.0500
okx_same_timestamps_lat2.0s,IS,10,13,-0.076195,-0.2719,0,-0.032818,-1.6866,-17.455,2022:-0.0078;2023:-0.1189;2024:-0.0982
okx_same_timestamps_lat2.0s,IS,15,13,-0.1129,-0.38169,0,-0.049227,-1.687,-17.455,2022:-0.0120;2023:-0.1741;2024:-0.1445
okx_same_timestamps_lat2.0s,IS,20,13,-0.14865,-0.47665,0,-0.065637,-1.6872,-17.455,2022:-0.0164;2023:-0.2264;2024:-0.1890
okx_same_timestamps_lat2.0s,OOS,1,5,-0.0028741,-0.011339,0,-0.0066919,-0.47396,-9.398,2025:-0.0031;2026:-0.0017
okx_same_timestamps_lat2.0s,OOS,3,5,-0.0086933,-0.033777,0,-0.020047,-0.4737,-9.398,2025:-0.0095;2026:-0.0050
okx_same_timestamps_lat2.0s,OOS,5,5,-0.014592,-0.055884,0,-0.033347,-0.47313,-9.398,2025:-0.0160;2026:-0.0083
okx_same_timestamps_lat2.0s,OOS,10,5,-0.029679,-0.10972,0,-0.066356,-0.47155,-9.398,2025:-0.0328;2026:-0.0167
okx_same_timestamps_lat2.0s,OOS,15,5,-0.045245,-0.16343,0,-0.099014,-0.4699,-9.398,2025:-0.0504;2026:-0.0251
okx_same_timestamps_lat2.0s,OOS,20,5,-0.061275,-0.2179,0,-0.13131,-0.46819,-9.398,2025:-0.0688;2026:-0.0334
binance_ticks_lat10.0s,IS,1,13,0.017952,-0.0083688,0,-0.001766,1.1687,41.594,2022:+0.0088;2023:+0.0423;2024:+0.0032
binance_ticks_lat10.0s,IS,3,13,0.053795,-0.025064,0,-0.0053186,1.1642,41.594,2022:+0.0264;2023:+0.1293;2024:+0.0095
binance_ticks_lat10.0s,IS,5,13,0.089964,-0.041702,0,-0.0088712,1.1633,41.594,2022:+0.0441;2023:+0.2208;2024:+0.0159
binance_ticks_lat10.0s,IS,10,13,0.18181,-0.083048,0,-0.017753,1.1626,41.594,2022:+0.0886;2023:+0.4697;2024:+0.0317
binance_ticks_lat10.0s,IS,15,13,0.27568,-0.12404,0,-0.026634,1.1624,41.594,2022:+0.1335;2023:+0.7486;2024:+0.0474
binance_ticks_lat10.0s,IS,20,13,0.37157,-0.16467,0,-0.035516,1.1623,41.594,2022:+0.1787;2023:+1.0591;2024:+0.0631
binance_ticks_lat10.0s,OOS,1,5,-0.0012867,-0.017919,0,-0.011113,-0.10896,-3.977,2025:-0.0019;2026:-0.0002
binance_ticks_lat10.0s,OOS,3,5,-0.0041802,-0.053298,0,-0.033338,-0.10712,-3.977,2025:-0.0063;2026:-0.0006
binance_ticks_lat10.0s,OOS,5,5,-0.007492,-0.088064,0,-0.055564,-0.10502,-3.977,2025:-0.0114;2026:-0.0011
binance_ticks_lat10.0s,OOS,10,5,-0.017661,-0.1723,0,-0.11113,-0.099697,-3.977,2025:-0.0272;2026:-0.0021
binance_ticks_lat10.0s,OOS,15,5,-0.030646,-0.25272,0,-0.16669,-0.094398,-3.977,2025:-0.0474;2026:-0.0032
binance_ticks_lat10.0s,OOS,20,5,-0.046612,-0.32931,0,-0.22226,-0.089153,-3.977,2025:-0.0724;2026:-0.0043
okx_same_timestamps_lat10.0s,IS,1,13,-0.0094098,-0.0345,0,-0.0038968,-1.7504,-21.519,2022:-0.0016;2023:-0.0149;2024:-0.0117
okx_same_timestamps_lat10.0s,IS,3,13,-0.028349,-0.10115,0,-0.011691,-1.7565,-21.519,2022:-0.0048;2023:-0.0450;2024:-0.0348
okx_same_timestamps_lat10.0s,IS,5,13,-0.047043,-0.16365,0,-0.019484,-1.7576,-21.519,2022:-0.0081;2023:-0.0744;2024:-0.0575
okx_same_timestamps_lat10.0s,IS,10,13,-0.092708,-0.30323,0,-0.038968,-1.7584,-21.519,2022:-0.0164;2023:-0.1445;2024:-0.1124
okx_same_timestamps_lat10.0s,IS,15,13,-0.13687,-0.42162,0,-0.058453,-1.7587,-21.519,2022:-0.0250;2023:-0.2102;2024:-0.1650
okx_same_timestamps_lat10.0s,IS,20,13,-0.17954,-0.52173,0,-0.077937,-1.7588,-21.519,2022:-0.0338;2023:-0.2716;2024:-0.2153
okx_same_timestamps_lat10.0s,OOS,1,5,-0.0050191,-0.01394,0,-0.0034488,-1.2867,-16.566,2025:-0.0068;2026:-0.0016
okx_same_timestamps_lat10.0s,OOS,3,5,-0.01508,-0.041395,0,-0.010346,-1.2865,-16.566,2025:-0.0203;2026:-0.0048
okx_same_timestamps_lat10.0s,OOS,5,5,-0.025154,-0.068275,0,-0.017244,-1.2862,-16.566,2025:-0.0338;2026:-0.0080
okx_same_timestamps_lat10.0s,OOS,10,5,-0.050389,-0.13301,0,-0.034488,-1.2853,-16.566,2025:-0.0675;2026:-0.0160
okx_same_timestamps_lat10.0s,OOS,15,5,-0.075673,-0.19432,0,-0.052104,-1.2844,-16.566,2025:-0.1011;2026:-0.0241
okx_same_timestamps_lat10.0s,OOS,20,5,-0.10098,-0.25234,0,-0.070511,-1.2835,-16.566,2025:-0.1346;2026:-0.0321
okx_native_k40_lat0.5s,IS,1,58,-0.016126,-0.062985,0,-0.010454,-1.5492,-8.3833,2022:-0.0503;2023:-0.0031;2024:+0.0060
okx_native_k40_lat0.5s,IS,3,58,-0.048239,-0.17893,0,-0.031353,-1.5619,-8.3833,2022:-0.1442;2023:-0.0096;2024:+0.0173
okx_native_k40_lat0.5s,IS,5,58,-0.079676,-0.28159,0,-0.052221,-1.5652,-8.3833,2022:-0.2296;2023:-0.0162;2024:+0.0285
