coin,exec,lat,t,side,dev_bp,b0_bp,hold_min,gross_bp,fees_bp,slip_bp,fund_bp,net_bp,mk_in,mk_out,pm_ret1,pm_worst1,pm_liq1,pm_rej1,pm_ret3,pm_worst3,pm_liq3,pm_rej3,pm_ret5,pm_worst5,pm_liq5,pm_rej5,pm_ret10,pm_worst10,pm_liq10,pm_rej10,pm_ret15,pm_worst15,pm_liq15,pm_rej15,pm_ret20,pm_worst20,pm_liq20,pm_rej20,mc_ret1,mc_worst1,mc_liq1,mc_rej1,mc_ret3,mc_worst3,mc_liq3,mc_rej3,mc_ret5,mc_worst5,mc_liq5,mc_rej5,mc_ret10,mc_worst10,mc_liq10,mc_rej10,mc_ret15,mc_worst15,mc_liq15,mc_rej15,mc_ret20,mc_worst20,mc_liq20,mc_rej20,sep_ret1,sep_worst1,sep_liq1,sep_rej1,sep_ret3,sep_worst3,sep_liq3,sep_rej3,sep_ret5,sep_worst5,sep_liq5,sep_rej5,sep_ret10,sep_worst10,sep_liq10,sep_rej10,sep_ret15,sep_worst15,sep_liq15,sep_rej15,sep_ret20,sep_worst20,sep_liq20,sep_rej20
BTCUSDT,maker,0,2023-10-23 22:41:00+00:00,1,133.5,136.75,136,140.869,24.5841,21.5596,0.988403,95.7138,0.5,1,0.00957114,-0.00314273,0,0,0.0285609,-0.0094282,0,0,0.0475506,-0.0157137,0,0,0.095025,-0.0314273,0,0,0.142499,-0.047141,0,0,0.189974,-0.0628547,0,0,0.00957114,-0.00314273,0,0,0.0285609,-0.0094282,0,0,0.0475506,-0.0157137,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00953313,-0.00314273,0,0,0.0285231,-0.0094282,0,0,0.0475148,-0.0157137,0,0,0,0,0,1,0,0,0,1,0,0,0,1
BTCUSDT,maker,0,2023-11-15 18:11:00+00:00,1,99.8,62.5,13,56.9003,24.9126,12.8646,0,19.1231,1,1,0.0019123,-0.00204791,0,0,0.00572549,-0.00614372,0,0,0.00953868,-0.0102395,0,0,0.0190716,-0.0204791,0,0,0.0286046,-0.0307186,0,0,0.0381376,-0.0409581,0,0,0.0019123,-0.00204791,0,0,0.00572549,-0.00614372,0,0,0.00953868,-0.0102395,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00190945,-0.00204791,0,0,0.00572265,-0.00614372,0,0,0.00953592,-0.0102395,0,0,0,0,0,1,0,0,0,1,0,0,0,1
BTCUSDT,maker,0,2023-12-11 02:12:00+00:00,-1,-94.2,-39.4,481,38.2125,24.8774,18.3309,-1.02522,-6.02099,1,0.5,-0.000807578,-0.00296296,0,0,-0.00242274,-0.00888888,0,0,-0.00403789,-0.0148148,0,0,-0.00807578,-0.0296296,0,0,-0.0121137,-0.0444444,0,0,-0.0161516,-0.0592592,0,0,-0.000807578,-0.00296296,0,0,-0.00242274,-0.00888888,0,0,-0.00403789,-0.0148148,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.000807578,-0.00296296,0,0,-0.00242274,-0.00888888,0,0,-0.00403789,-0.0148148,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2023-12-11 02:12:00+00:00,-1,-189.3,-91.05,481,91.8259,24.3959,10.1897,-1.0283,56.212,0.5,0.5,0.00541572,-0.00209818,0,0,0.0162472,-0.00629454,0,0,0.0270786,-0.0104909,0,0,0.0541572,-0.0209818,0,0,0.0812358,-0.0314727,0,0,0.108314,-0.0419636,0,0,0.00541572,-0.00209818,0,0,0.0162472,-0.00629454,0,0,0.0270786,-0.0104909,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00541572,-0.00209818,0,0,0.0162472,-0.00629454,0,0,0.0270786,-0.0104909,0,0,0,0,0,1,0,0,0,1,0,0,0,1
BTCUSDT,maker,0,2024-01-03 12:09:00+00:00,-1,-117.6,-50.65,4,65.7844,24.7564,16.2513,0,24.7767,1,0.5,0.00245484,-0.00236717,0,0,0.00736452,-0.00710151,0,0,0.0122742,-0.0118358,0,0,0.0245484,-0.0236717,0,0,0.0368226,-0.0355075,0,0,0.0490968,-0.0473434,0,0,0.00245484,-0.00236717,0,0,0.00736452,-0.00710151,0,0,0.0122742,-0.0118358,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00245484,-0.00236717,0,0,0.00736452,-0.00710151,0,0,0.0122742,-0.0118358,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2024-01-03 12:09:00+00:00,-1,-239.1,-114.65,481,116.53,24.9906,14.5929,-1.06104,75.885,1,0.5,0.00738302,-0.0025121,0,0,0.0221491,-0.00753631,0,0,0.0369151,-0.0125605,0,0,0.0738302,-0.025121,0,0,0.110745,-0.0376815,0,0,0.14766,-0.050242,0,0,0.00738302,-0.0025121,0,0,0.0221491,-0.00753631,0,0,0.0369151,-0.0125605,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00738302,-0.0025121,0,0,0.0221491,-0.00753631,0,0,0.0369151,-0.0125605,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2024-04-13 20:09:00+00:00,-1,-95.9,-67,14,70.8703,25.0439,25.1726,0,20.6538,1,1,0.00204255,-0.00255332,0,0,0.00612765,-0.00765995,0,0,0.0102127,-0.0127666,0,0,0.0204255,-0.0255332,0,0,0.0306382,-0.0382998,0,0,0.040851,-0.0510663,0,0,0.00204255,-0.00255332,0,0,0.00612765,-0.00765995,0,0,0.0102127,-0.0127666,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00204255,-0.00255332,0,0,0.00612765,-0.00765995,0,0,0.0102127,-0.0127666,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2024-05-01 07:08:00+00:00,-1,-133.4,-79.75,7,74.5689,25.0457,11.3329,0,38.1903,1,1,0.0037962,-0.00199328,0,0,0.0113886,-0.00597984,0,0,0.018981,-0.00996641,0,0,0.037962,-0.0199328,0,0,0.056943,-0.0298992,0,0,0.075924,-0.0398656,0,0,0.0037962,-0.00199328,0,0,0.0113886,-0.00597984,0,0,0.018981,-0.00996641,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0037962,-0.00199328,0,0,0.0113886,-0.00597984,0,0,0.018981,-0.00996641,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2024-08-05 01:10:00+00:00,1,86,51.8,6,52.1732,25.8471,44.447,0,-18.1209,1,1,-0.00181211,-0.00718342,0,0,-0.00544318,-0.0215503,0,0,-0.00907424,-0.0359171,0,0,-0.0181519,-0.0718342,0,0,-0.0272296,-0.107751,0,0,-0.0363073,-0.143668,0,0,-0.00181211,-0.00718342,0,0,-0.00544318,-0.0215503,0,0,-0.00907424,-0.0359171,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.00181381,-0.00718342,0,0,-0.00544487,-0.0215503,0,0,-0.00907584,-0.0359171,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2025-02-03 02:07:00+00:00,-1,-228.6,-119.35,3,114.841,26.205,58.5142,0,30.1214,1,1,0.00298931,-0.00597557,0,0,0.00896792,-0.0179267,0,0,0.0149465,-0.0298779,0,0,0.0298931,-0.0597557,0,0,0.0448396,-0.0896336,0,0,0.0597861,-0.119511,0,0,0.00298931,-0.00597557,0,0,0.00896792,-0.0179267,0,0,0.0149465,-0.0298779,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00298931,-0.00597557,0,0,0.00896792,-0.0179267,0,0,-0.188194,-0.188194,1,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2025-10-10 21:16:00+00:00,-1,-105.1,-67.85,4,157.795,24.6232,62.1146,0,71.0571,1,1,0.00708288,-0.00394755,0,0,0.0212486,-0.0118426,0,0,0.0354144,-0.0197377,0,0,0.0708288,-0.0394755,0,0,0.106243,-0.0592132,0,0,0.141658,-0.078951,0,0,0.00708288,-0.00394755,0,0,0.0212486,-0.0118426,0,0,0.0354144,-0.0197377,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00708288,-0.00394755,0,0,0.0212486,-0.0118426,0,0,0.0354144,-0.0197377,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2025-10-10 21:22:00+00:00,1,119.7,69.25,10,71.5827,25.2011,29.4442,0,16.9374,1,1,0.00169372,-0.00808226,0,0,0.00506974,-0.0242468,0,0,0.00844576,-0.0404113,0,0,0.0168858,-0.0808226,0,0,0.0253259,-0.121234,0,0,0.0337659,-0.161645,0,0,0.00169372,-0.00808226,0,0,0.00506974,-0.0242468,0,0,0.00844576,-0.0404113,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00169087,-0.00808226,0,0,0.00506691,-0.0242468,0,0,0.00844305,-0.0404113,0,0,0,0,0,1,0,0,0,1,0,0,0,1
BTCUSDT,maker,0,2025-10-10 21:27:00+00:00,1,81.7,52.95,11,49.6731,25.3201,11.2361,0,13.1168,1,1,0.00131167,-0.00196835,0,0,0.0039236,-0.00590505,0,0,0.00653553,-0.00984175,0,0,0.0130654,-0.0196835,0,0,0.0195952,-0.0295252,0,0,0.026125,-0.039367,0,0,0.00131167,-0.00196835,0,0,0.0039236,-0.00590505,0,0,0.00653553,-0.00984175,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00130882,-0.00196835,0,0,0.00392077,-0.00590505,0,0,0.00653277,-0.00984175,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2025-10-10 21:56:00+00:00,-1,-265.8,-147.1,15,147.536,24.5692,16.1959,0,106.771,1,1,0.0106543,-0.00244022,0,0,0.0319629,-0.00732065,0,0,0.0532715,-0.0122011,0,0,0.106543,-0.0244022,0,0,0.159814,-0.0366033,0,0,0.213086,-0.0488044,0,0,0.0106543,-0.00244022,0,0,0.0319629,-0.00732065,0,0,0.0532715,-0.0122011,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0106543,-0.00244022,0,0,0.0319629,-0.00732065,0,0,0.0532715,-0.0122011,0,0,0,0,0,1,0,0,0,1,0,0,0,1
BTCUSDT,maker,0,2026-08-19 15:27:00+00:00,1,186.3,93.6,6,98.1523,24.7685,15.3062,0,58.0776,1,1,0.00580775,-0.00238995,0,0,0.0174164,-0.00716984,0,0,0.0290251,-0.0119497,0,0,0.0580467,-0.0238995,0,0,0.0870683,-0.0358492,0,0,0.11609,-0.0477989,0,0,0.00580775,-0.00238995,0,0,0.0174164,-0.00716984,0,0,0.0290251,-0.0119497,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00580604,-0.00238995,0,0,0.0174147,-0.00716984,0,0,0.0290234,-0.0119497,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker,0,2026-08-19 15:27:00+00:00,1,103.9,50.9,6,53.9902,24.7795,11.2163,0,17.9944,1,1,0.00179943,-0.00207425,0,0,0.00539144,-0.00622275,0,0,0.00898344,-0.0103713,0,0,0.0179635,-0.0207425,0,0,0.0269435,-0.0311138,0,0,0.0359235,-0.041485,0,0,0.00179943,-0.00207425,0,0,0.00539144,-0.00622275,0,0,0.00898344,-0.0103713,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00179772,-0.00207425,0,0,0.00538973,-0.00622275,0,0,0.00898179,-0.0103713,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker_upper,0,2022-05-12 07:16:00+00:00,-1,-108.7,-115.2,7,111.729,20.1852,0,0,91.5437,1,1,0.00913154,-0.000997696,0,0,0.0273946,-0.00299309,0,0,0.0456577,-0.00498848,0,0,0.0913154,-0.00997696,0,0,0.136973,-0.0149654,0,0,0.182631,-0.0199539,0,0,0.00913154,-0.000997696,0,0,0.0273946,-0.00299309,0,0,0.0456577,-0.00498848,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00913154,-0.000997696,0,0,0.0273946,-0.00299309,0,0,0.0456577,-0.00498848,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker_upper,0,2022-09-15 06:47:00+00:00,1,81.8,47,481,54.4233,19.287,0,-21.8004,13.3359,1,1,0.00133357,-0.00100094,0,0,0.00398018,-0.00300282,0,0,0.00662678,-0.0050047,0,0,0.0132433,-0.0100094,0,0,0.0198598,-0.0150141,0,0,0.0264763,-0.0200188,0,0,0.00133357,-0.00100094,0,0,0.00398018,-0.00300282,0,0,0.00662678,-0.0050047,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00132844,-0.00100094,0,0,0.00397506,-0.00300282,0,0,0.00662173,-0.0050047,0,0,0,0,0,1,0,0,0,1,0,0,0,1
BTCUSDT,maker_upper,0,2022-11-08 19:31:00+00:00,-1,-113.4,-118.4,52,113.127,20.3136,0,0,92.8139,1,1,0.00925856,-0.000997632,0,0,0.0277757,-0.0029929,0,0,0.0462928,-0.00498816,0,0,0.0925856,-0.00997632,0,0,0.138878,-0.0149645,0,0,0.185171,-0.0199526,0,0,0.00925856,-0.000997632,0,0,0.0277757,-0.0029929,0,0,0.0462928,-0.00498816,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.00925856,-0.000997632,0,0,0.0277757,-0.0029929,0,0,0.0462928,-0.00498816,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ETHUSDT,maker_upper,0,2022-11-08 19:32:00+00:00,-1,-250.8,-256.2,2,360.686,20.5131,0,0,340.173,1,1,0.0339944,-0.000994876,0,0,0.101983,-0.00298463,0,0,0.169972,-0.00497438,0,0,0.339944,-0.00994876,0,0,0.509916,-0.0149231,0,0,0.679888,-0.0198975,0,0,0.0339944,-0.000994876,0,0,0.101983,-0.00298463,0,0,0.169972,-0.00497438,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0339944,-0.000994876,0,0,0.101983,-0.00298463,0,0,0.169972,-0.00497438,0,0,0,0,0,1,0,0,0,1,0,0,0,1
