tag,L,start,cagr,dd,sh,wd,liq,n
start,20,2025-05-21,6.04,-45.9,0.38,-7.5,0,9
start,1,2025-05-28,0.53,-3.1,0.5,-0.4,0,9
start,10,2025-05-28,4.33,-26.6,0.45,-3.7,0,9
start,15,2025-05-28,5.57,-37.0,0.42,-5.6,0,9
start,20,2025-05-28,6.14,-45.9,0.38,-7.5,0,9
start,1,2025-06-04,0.54,-3.1,0.5,-0.4,0,9
start,10,2025-06-04,4.4,-26.6,0.45,-3.7,0,9
start,15,2025-06-04,5.66,-37.0,0.42,-5.6,0,9
start,20,2025-06-04,6.24,-45.9,0.39,-7.5,0,9
start,1,2025-06-11,0.59,-3.1,0.55,-0.4,0,9
start,10,2025-06-11,4.92,-26.4,0.5,-3.7,0,9
start,15,2025-06-11,6.51,-36.7,0.47,-5.5,0,9
start,20,2025-06-11,7.44,-45.4,0.44,-7.3,0,9
start,1,2025-06-18,0.15,-4.8,0.13,-0.4,0,9
start,10,2025-06-18,-0.48,-37.8,0.02,-4.3,0,9
start,15,2025-06-18,-2.48,-50.8,-0.05,-6.5,0,9
start,20,2025-06-18,-5.8,-61.1,-0.13,-8.8,0,9
start,1,2025-06-25,0.15,-4.8,0.13,-0.4,0,9
start,10,2025-06-25,-0.48,-37.8,0.02,-4.3,0,9
start,15,2025-06-25,-2.52,-50.8,-0.05,-6.5,0,9
start,20,2025-06-25,-5.89,-61.1,-0.13,-8.8,0,9
