con,entry,tmin,E0,head_eq,head_bp,eq_min,per,L,asset
BTCUSDT_220325,2022-01-15 16:00:00,2022-01-15 16:55:00,0.9899248168937722,0.8904823649385704,881.4224498139663,0.9923602669370983,IS,10,BTC
BTCUSDT_220325,2022-01-28 04:00:00,2022-02-07 15:40:00,1.0261309326460126,0.8725548150588077,863.7075897807489,0.9910616819510184,IS,10,BTC
BTCUSDT_220624,2022-04-24 01:00:00,2022-05-01 22:40:00,1.0337567936324836,0.8752777635453036,866.4246969936073,0.9731302081249714,IS,10,BTC
BTCUSDT_221230,2022-11-10 08:00:00,2022-11-22 00:45:00,1.00295740154461,0.8768841715695413,868.0466075172294,0.9729644004083347,IS,10,BTC
BTCUSDT_230630,2023-04-09 08:00:00,2023-04-14 04:05:00,0.9701856067144667,0.8656037221285766,856.8074606436314,0.9775132451418297,IS,10,BTC
BTCUSDT_230929,2023-07-13 00:00:00,2023-07-13 15:50:00,0.9361144995753312,0.876241903832343,867.3145653628135,0.9804876395242382,IS,10,BTC
BTCUSDT_230929,2023-08-23 00:00:00,2023-08-29 14:50:00,0.9340010615195503,0.821840948471041,813.5128343664716,0.9282887360769599,IS,10,BTC
BTCUSDT_240329,2023-10-01 19:00:00,2023-10-27 12:25:00,0.9586385203462724,0.7545621535285463,746.850586222575,0.883072741714808,IS,10,BTC
BTCUSDT_240628,2024-03-25 08:00:00,2024-03-30 17:30:00,0.8276267657756506,0.7317104613990969,724.1086424368523,0.8413023115429512,IS,10,BTC
BTCUSDT_240927,2024-04-08 00:00:00,2024-04-08 12:45:00,0.6947356749041677,0.6845864369203493,677.363758939042,0.7962345923789674,IS,10,BTC
BTCUSDT_240628,2024-04-19 08:00:00,2024-04-19 08:25:00,0.902629537745527,0.8829127826066714,873.8862115218045,0.9852283244608495,IS,10,BTC
BTCUSDT_240927,2024-06-25 01:00:00,2024-07-01 02:35:00,0.9630121073716265,0.8509505192436174,842.2279301824285,0.9588370926760242,IS,10,BTC
BTCUSDT_241227,2024-07-15 03:00:00,2024-07-29 00:55:00,0.9997126235818118,0.8120704616683689,803.6415609433258,0.9268406450774109,IS,10,BTC
BTCUSDT_250328,2024-12-16 00:00:00,2024-12-16 16:20:00,1.047088478259099,0.8863417482266848,877.1905006867484,0.9918738521620205,IS,10,BTC
ETHUSDT_220325,2022-01-12 16:00:00,2022-01-15 20:15:00,0.9899253403889854,0.8809590235021681,871.9964615629755,0.9827403352867904,IS,10,ETH
ETHUSDT_220325,2022-01-26 16:00:00,2022-01-26 19:10:00,1.043142520741545,0.8574455364358434,848.7513684969128,0.9635920599183317,IS,10,ETH
ETHUSDT_220624,2022-04-17 00:00:00,2022-04-20 12:40:00,1.0747170421830972,0.8866158639177381,877.6402783039779,0.9909117116164455,IS,10,ETH
ETHUSDT_220624,2022-05-13 02:00:00,2022-05-13 03:10:00,1.0671348777823808,0.8889043684519762,879.9056828552862,0.9940538253650967,IS,10,ETH
ETHUSDT_220930,2022-06-20 04:00:00,2022-06-20 12:00:00,1.0635681572548772,0.884180448684804,875.2173629393403,0.9914479979423005,IS,10,ETH
ETHUSDT_221230,2022-09-23 04:00:00,2022-09-23 04:05:00,1.1121437524775222,0.9028073276648099,893.656939970734,1.0040527558211962,IS,10,ETH
ETHUSDT_221230,2022-11-10 06:00:00,2022-11-15 02:50:00,1.1752201931115136,0.8842032813229238,875.2824167743182,0.990668392485514,IS,10,ETH
ETHUSDT_231229,2023-08-22 08:00:00,2023-08-29 14:50:00,1.171859469300978,0.8357354535489133,827.2300399498602,0.9409177815537695,IS,10,ETH
ETHUSDT_240628,2024-01-11 20:00:00,2024-02-25 20:20:00,1.1826930761335557,0.8567142839387156,847.7565744635281,0.9804215574529149,IS,10,ETH
ETHUSDT_240628,2024-03-24 16:00:00,2024-03-29 13:40:00,1.1406937107808814,0.8048072645773382,796.4247974870115,0.9139275563221727,IS,10,ETH
ETHUSDT_240628,2024-04-08 00:00:00,2024-04-08 23:00:00,1.0389846585580649,0.6975773783606851,690.3848345715626,0.809754794431919,IS,10,ETH
ETHUSDT_240628,2024-04-18 19:00:00,2024-05-23 11:50:00,1.296757794306964,0.8334049583086472,824.8905757687579,0.9640115463620346,IS,10,ETH
ETHUSDT_240927,2024-06-23 08:00:00,2024-07-01 04:00:00,1.2875399360438633,0.8646696149448575,855.8056137669354,0.9671551053050425,IS,10,ETH
ETHUSDT_241227,2024-08-06 16:00:00,2024-08-06 17:15:00,1.4875894635967863,0.8389784004497616,830.3702162272419,0.9421087932645995,IS,10,ETH
ETHUSDT_250328,2024-12-15 15:00:00,2024-12-16 18:50:00,1.6432805919997198,0.8479447771072529,839.188002130371,0.9566813435921816,IS,10,ETH
BTCUSDT_220325,2022-01-15 16:00:00,2022-01-15 16:55:00,0.9848872253406583,0.8348832911341817,548.1224464809661,0.9884817857941129,IS,15,BTC
BTCUSDT_220325,2022-01-28 04:00:00,2022-02-07 15:40:00,1.0389212532010574,0.8078578412096403,530.407586447749,0.9865241850707923,IS,15,BTC
BTCUSDT_220624,2022-04-24 01:00:00,2022-05-01 22:40:00,1.0505029715155847,0.8119654804193406,533.1246936606074,0.9594903960186079,IS,15,BTC
BTCUSDT_221230,2022-11-10 08:00:00,2022-11-22 00:45:00,1.0035549089200597,0.8143907896497818,534.7466041842293,0.959241176739609,IS,15,BTC
BTCUSDT_230630,2023-04-09 08:00:00,2023-04-14 04:05:00,0.9543693909069116,0.7973757142890945,523.5074573106316,0.9660975533455469,IS,15,BTC
BTCUSDT_230929,2023-07-13 00:00:00,2023-07-13 15:50:00,0.904096365927428,0.8134119975882197,534.0145620298136,0.9705815419253155,IS,15,BTC
BTCUSDT_230929,2023-08-23 00:00:00,2023-08-29 14:50:00,0.9010349344526993,0.7314001301484768,480.2128310334718,0.8918851667018114,IS,15,BTC
