scenario,L,period,cagr,maxdd_intrabar,sharpe,worst_day,liquidations,trades,y2022,y2023,y2024,BTC_cagr,BTC_maxdd,ETH_cagr,ETH_maxdd,y2025,y2026,seg_oos_cagr,seg_oos_maxdd,seg_oos_sharpe,seg_oos_worst_day,seg_oos_liq
researcher_costs_mmr0.5,1,IS,0.015017955116668702,-0.05188545801618383,0.6691225103448318,-0.016650738901043738,0,29,0.007778615935331468,-0.006818206055938858,0.044796518033701105,0.006858600969863682,-0.061712663454345784,0.023048153273307337,-0.06212317693370217,,,,,,,
researcher_costs_mmr0.5,1,OOS,0.010386809078931192,-0.029561097527245672,0.6109716292982234,-0.0065498082601400665,0,12,,,,0.020364174122532885,-0.018259033559807736,0.0003435283810981904,-0.04833064211254923,0.008507235139809222,0.008767804670978707,,,,,
researcher_costs_mmr0.5,1,FULL,0.013279221116190287,-0.05188545801618383,0.6467922888066299,-0.016650738901043738,0,39,0.007778615935331468,-0.006818206055938858,0.04612168010119899,0.011813931683567924,-0.061712663454345784,0.01473678493298114,-0.06212317693370217,0.0068974877053074035,0.008711055259228884,0.009383490125076,-0.029987723644430697,0.564931604577359,-0.006574107564772169,0.0
researcher_costs_mmr0.5,3,IS,0.0448950877375458,-0.1481907392758559,0.6820958607640633,-0.05019691049257535,0,29,0.02360609691722848,-0.01998791266045752,0.13727847831453022,0.019190045718335158,-0.17601259181848994,0.06939366177716444,-0.17395176167631254,,,,,,,
researcher_costs_mmr0.5,3,OOS,0.030445318213356387,-0.08617180795656221,0.6095772711355328,-0.01945689013410734,0,12,,,,0.06119493841056389,-0.05425172090252295,-0.0009267058498720893,-0.13971388245318428,0.02403351709686463,0.026519807466734324,,,,,
researcher_costs_mmr0.5,3,FULL,0.03867494992827125,-0.1481907392758559,0.6439466876331299,-0.05019691049257535,0,39,0.02360609691722848,-0.01998791266045752,0.14150487888549645,0.03425419745139702,-0.17601259181848994,0.043027795163723015,-0.17395176167631254,0.015990843063767635,0.026007765661874238,0.025268360537145762,-0.08984950560556759,0.524734451869733,-0.019669189409421528,0.0
researcher_costs_mmr0.5,5,IS,0.0746017336278968,-0.23557511631935735,0.6948965561486723,-0.08407479857971956,0,29,0.039798924619917964,-0.032539302389281155,0.23361972034706135,0.029686532216484762,-0.2789904295793191,0.11604567507778185,-0.27153248384590134,,,,,,,
researcher_costs_mmr0.5,5,OOS,0.049539859922383744,-0.13957169189108276,0.608472360408962,-0.03211338587353152,0,12,,,,0.10213210319041477,-0.08956053909903994,-0.004866041471836113,-0.22442969872306562,0.037566845690571116,0.04457354728483498,,,,,
researcher_costs_mmr0.5,5,FULL,0.06248292045356796,-0.23557511631935735,0.640859572021614,-0.08407479857971956,0,39,0.039798924619917964,-0.032539302389281155,0.24108272824179378,0.05510802463429698,-0.2789904295793191,0.06967482431179772,-0.27153248384590134,0.0187569866052526,0.04314754821989486,0.037216139650406044,-0.14934194866976858,0.483770434699594,-0.032685118852153194,0.0
researcher_costs_mmr0.5,10,IS,0.1483845783742328,-0.42029643723770094,0.7265031894206812,-0.17025309133838662,0,29,0.08191887733935044,-0.0612502947494441,0.49127820488069873,0.047926556333302006,-0.492885645498927,0.23379594641444768,-0.46691984098340433,,,,,,,
researcher_costs_mmr0.5,10,OOS,0.09299507271348006,-0.2600450888836292,0.6069785958384728,-0.0627044224496397,0,12,,,,0.2047020691158541,-0.17496559615131346,-0.02688913145211491,-0.40972040286343225,0.06268030457607576,0.09114318327272408,,,,,
researcher_costs_mmr0.5,10,FULL,0.11466930455643443,-0.42029643723770094,0.6321840887011794,-0.17025309133838662,0,39,0.08191887733935044,-0.0612502947494441,0.5082977058381051,0.10021959658289203,-0.492885645498927,0.1284633686363461,-0.46691984098340433,-0.0020061755122908753,0.08540267086177722,0.04919647115356485,-0.2947752270357592,0.3770113927839795,-0.06480909797590129,0.0
researcher_costs_mmr0.5,15,IS,0.22183518246732992,-0.5667748115561816,0.7579713603112196,-0.25857952980470567,0,29,0.12645386806118375,-0.08623824771334798,0.7723563669912585,0.05462564671861392,-0.6544336230400949,0.3526811920122803,-0.6112083340236341,,,,,,,
researcher_costs_mmr0.5,15,OOS,0.1302693732124216,-0.36369660256702685,0.60738000883613,-0.09187761311015741,0,12,,,,0.30713898973655485,-0.25649782646775476,-0.06736730718323103,-0.5616746641236795,0.07551640273448745,0.14001445514223154,,,,,
researcher_costs_mmr0.5,15,FULL,0.15537967052484447,-0.5667748115561816,0.6221982802463737,-0.25857952980470567,0,39,0.12645386806118375,-0.08623824771334798,0.8009961896242626,0.13500257256545556,-0.6544336230400949,0.1745187489390101,-0.6112083340236341,-0.061063469082771715,0.12702639038675323,0.034570984695907914,-0.4326764606299812,0.26210978027666737,-0.09620177691318443,0.0
researcher_costs_mmr0.5,20,IS,0.2952219128809308,-0.686909407676451,0.789394911253628,-0.3490326845315086,0,29,0.17349783330247748,-0.10763417801652553,1.0753159553028127,0.04943667174096267,-0.7740386727114871,0.4720532629035554,-0.7196588247689966,,,,,,,
researcher_costs_mmr0.5,20,OOS,0.16138027195798843,-0.45254486334605526,0.6099103396846393,-0.11972841823276659,0,12,,,,0.40886494200008694,-0.3344148188006534,-0.12791584453393745,-0.6852038237663277,0.0765742077453544,0.19155296648903208,,,,,
researcher_costs_mmr0.5,20,FULL,0.18287737976933904,-0.686909407676451,0.6107548947421497,-0.3490326845315086,0,39,0.17349783330247748,-0.10763417801652553,1.1175629803378717,0.15888866739679242,-0.7740386727114871,0.205205029895406,-0.7196588247689966,-0.15504568937323537,0.1683978810589084,-0.00768333699780821,-0.5596407301685716,0.13630410429464926,-0.12669539219517623,0.0
okx_tiers,1,IS,0.015017955116668702,-0.05188545801618383,0.6691225103448318,-0.016650738901043738,0,29,0.007778615935331468,-0.006818206055938858,0.044796518033701105,0.006858600969863682,-0.061712663454345784,0.023048153273307337,-0.06212317693370217,,,,,,,
okx_tiers,1,OOS,0.010386809078931192,-0.029561097527245672,0.6109716292982234,-0.0065498082601400665,0,12,,,,0.020364174122532885,-0.018259033559807736,0.0003435283810981904,-0.04833064211254923,0.008507235139809222,0.008767804670978707,,,,,
okx_tiers,1,FULL,0.013279221116190287,-0.05188545801618383,0.6467922888066299,-0.016650738901043738,0,39,0.007778615935331468,-0.006818206055938858,0.04612168010119899,0.011813931683567924,-0.061712663454345784,0.01473678493298114,-0.06212317693370217,0.0068974877053074035,0.008711055259228884,0.009383490125076,-0.029987723644430697,0.564931604577359,-0.006574107564772169,0.0
okx_tiers,3,IS,0.0448950877375458,-0.1481907392758559,0.6820958607640633,-0.05019691049257535,0,29,0.02360609691722848,-0.01998791266045752,0.13727847831453022,0.019190045718335158,-0.17601259181848994,0.06939366177716444,-0.17395176167631254,,,,,,,
okx_tiers,3,OOS,0.030445318213356387,-0.08617180795656221,0.6095772711355328,-0.01945689013410734,0,12,,,,0.06119493841056389,-0.05425172090252295,-0.0009267058498720893,-0.13971388245318428,0.02403351709686463,0.026519807466734324,,,,,
okx_tiers,3,FULL,0.03867494992827125,-0.1481907392758559,0.6439466876331299,-0.05019691049257535,0,39,0.02360609691722848,-0.01998791266045752,0.14150487888549645,0.03425419745139702,-0.17601259181848994,0.043027795163723015,-0.17395176167631254,0.015990843063767635,0.026007765661874238,0.025268360537145762,-0.08984950560556759,0.524734451869733,-0.019669189409421528,0.0
okx_tiers,5,IS,0.0746017336278968,-0.23557511631935735,0.6948965561486723,-0.08407479857971956,0,29,0.039798924619917964,-0.032539302389281155,0.23361972034706135,0.029686532216484762,-0.2789904295793191,0.11604567507778185,-0.27153248384590134,,,,,,,
okx_tiers,5,OOS,0.049539859922383744,-0.13957169189108276,0.608472360408962,-0.03211338587353152,0,12,,,,0.10213210319041477,-0.08956053909903994,-0.004866041471836113,-0.22442969872306562,0.037566845690571116,0.04457354728483498,,,,,
okx_tiers,5,FULL,0.06248292045356796,-0.23557511631935735,0.640859572021614,-0.08407479857971956,0,39,0.039798924619917964,-0.032539302389281155,0.24108272824179378,0.05510802463429698,-0.2789904295793191,0.06967482431179772,-0.27153248384590134,0.0187569866052526,0.04314754821989486,0.037216139650406044,-0.14934194866976858,0.483770434699594,-0.032685118852153194,0.0
