L,oos_seg_cagr,oos_seg_dd,oos_seg_sharpe,oos_seg_worstday,liq,2024,2025,2026
1,0.94,-3.2,0.56,-0.7,0,0.0,0.7,0.9
3,2.53,-9.6,0.52,-2.0,0,0.0,1.6,2.6
5,3.72,-15.8,0.48,-3.3,0,0.0,1.9,4.3
10,4.92,-30.5,0.38,-6.5,0,0.0,-0.2,8.5
15,3.46,-43.9,0.26,-9.6,0,0.0,-6.1,12.7
20,-0.77,-56.0,0.14,-12.7,0,0.0,-15.5,16.8
