,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,n_positions,ic_est
2023-07-31 00:00:00+00:00,-0.00900104,0.990999,0.500603,-0.00893158,-0.0149223,2.4003,0.000768174,0.000131485,0.000293459,0.000490872,-0.00830117,19.7292,0.0344711
2023-08-01 00:00:00+00:00,-0.000154805,0.990846,0.691605,-0.116757,-0.0485328,2.02516,0.000648177,8.90117e-05,0.000239505,0.000231782,0.000602596,25.7292,0.0360292
2023-08-02 00:00:00+00:00,0.00201147,0.992839,0.696142,-0.0684012,-0.0360124,2.51536,0.0008052,0.000115394,0.000305901,-0.000135529,0.00338601,29.5417,0.0353315
2023-08-03 00:00:00+00:00,-0.00326394,0.989598,1.24532,0.0409242,-0.0193524,8.73959,0.00279719,0.000522033,0.0010278,-0.000326047,0.00142266,30,0.0445714
2023-08-04 00:00:00+00:00,-2.69625e-05,0.989571,1.4055,0.0564773,-0.0293531,9.99274,0.0031983,0.000571159,0.00108382,-0.000443196,0.00530713,30,0.0468569
2023-08-05 00:00:00+00:00,0.00658321,0.996086,1.38652,0.0641119,-0.0454674,14.1123,0.00451836,0.000993631,0.00145848,6.58901e-05,0.0135026,30,0.0548165
2023-08-06 00:00:00+00:00,-0.00460297,0.991501,1.80287,0.069008,-0.0322184,13.2749,0.00424823,0.000944397,0.00177225,-0.000160132,0.00257977,30,0.0557718
2023-08-07 00:00:00+00:00,-0.00156603,0.989948,1.59714,0.116423,-0.0369338,25.1823,0.00806165,0.00220564,0.00320462,-0.000114467,0.0120994,29.8958,0.0636452
2023-08-08 00:00:00+00:00,-0.00310287,0.986877,1.63805,0.0843845,-0.0200122,22.037,0.00705554,0.00247394,0.00309961,0.000234376,0.00935759,30,0.0632865
2023-08-09 00:00:00+00:00,-0.000794422,0.986093,1.65104,0.116918,-0.0433123,20.3323,0.00650938,0.00276349,0.00261166,0.000132737,0.0109914,30,0.0660214
2023-08-10 00:00:00+00:00,0.0033942,0.98944,1.76269,0.144817,-0.0495167,13.8434,0.0044329,0.0019142,0.0015869,0.000105782,0.0112607,29.9792,0.061547
2023-08-11 00:00:00+00:00,-0.00771474,0.981806,1.88843,0.18363,-0.0346195,8.4691,0.00271056,0.00121577,0.000907106,-0.000318651,-0.0025517,30,0.054595
2023-08-12 00:00:00+00:00,-0.00643712,0.975486,1.53239,0.167068,-0.0439557,7.943,0.00254316,0.00113196,0.000953679,0.00021885,-0.00198831,30,0.0515714
2023-08-13 00:00:00+00:00,-0.00554373,0.970078,1.32503,0.186827,-0.04366,5.44784,0.00174355,0.000792964,0.00058806,0.000168038,-0.00255946,30,0.0493694
2023-08-14 00:00:00+00:00,-0.00680881,0.963473,1.50944,0.16017,-0.0174904,7.2611,0.00232383,0.000894747,0.000926953,-0.000675042,-0.00197839,29.9792,0.048178
2023-08-15 00:00:00+00:00,0.000399263,0.963858,1.77997,0.0270548,-0.0239943,13.7946,0.00441604,0.00147683,0.0017784,-0.000183302,0.00830943,30,0.0522973
2023-08-16 00:00:00+00:00,-0.0117359,0.952546,1.51001,0.0944886,-0.0155555,16.0674,0.00514277,0.00158624,0.00273429,5.14083e-05,-0.00231453,30,0.0525743
2023-08-17 00:00:00+00:00,0.00766634,0.959849,1.65337,0.236619,-0.00081811,12.0084,0.00384554,0.000997929,0.00223992,-0.000278934,0.0150846,30,0.0497067
2023-08-18 00:00:00+00:00,-0.00412562,0.955889,1.65925,0.12541,0.00218329,12.7873,0.00409361,0.00102597,0.00351047,-0.000173078,0.00472384,30,0.0483603
2023-08-19 00:00:00+00:00,-0.0146661,0.94187,1.63373,0.145196,0.00513124,6.39633,0.00204641,0.000480991,0.00130929,0.00018396,-0.0110049,30,0.0449069
2023-08-20 00:00:00+00:00,0.00186555,0.943627,1.57848,0.20169,0.00345266,9.56391,0.00306142,0.000977667,0.00187832,0.000124057,0.00767907,30,0.0454973
2023-08-21 00:00:00+00:00,-0.0163295,0.928218,1.41122,0.126901,-0.00808307,11.7658,0.00376563,0.00095882,0.00180526,-0.00144898,-0.00843043,30,0.0454754
2023-08-22 00:00:00+00:00,-0.010379,0.918584,1.44159,0.077591,-0.00400131,11.3528,0.00363429,0.000821633,0.00177503,0.000117948,-0.00425969,30,0.043462
2023-08-23 00:00:00+00:00,-0.00356115,0.915313,1.49027,0.035553,-0.00696162,11.359,0.00363636,0.000643188,0.00185217,-0.000915704,0.00352735,29.9792,0.0417069
2023-08-24 00:00:00+00:00,-0.0085139,0.90752,1.41418,0.0661986,-0.00337607,8.74424,0.00279854,0.000537762,0.00120895,-0.000292752,-0.00366134,30,0.0400368
2023-08-25 00:00:00+00:00,0.00720443,0.914058,1.2092,0.0169096,-0.000804557,8.56569,0.00274294,0.000752515,0.00124438,-0.00144012,0.013447,29.9792,0.0381501
2023-08-26 00:00:00+00:00,0.000933531,0.914911,1.32268,0.0723812,-0.0212145,4.4687,0.00143044,0.000479806,0.00047265,-0.000564799,0.00390591,29.9583,0.0400078
2023-08-27 00:00:00+00:00,-0.000952588,0.91404,1.2999,0.0589334,-0.0434924,5.08525,0.00162786,0.000461753,0.000532677,-0.000484115,0.00217603,30,0.0404264
2023-08-28 00:00:00+00:00,-0.00489433,0.909566,1.1685,0.0427404,-0.0378498,6.0595,0.00193928,0.000482989,0.000755018,0.000269179,-0.00197304,29.4792,0.0382738
2023-08-29 00:00:00+00:00,0.00145271,0.910887,1.21616,0.0199602,-0.0280361,8.59,0.00275006,0.000563385,0.00115915,-0.000106626,0.00606545,29.875,0.0391567
2023-08-30 00:00:00+00:00,-0.00217539,0.908906,1.23028,0.0586102,-0.0236677,6.09875,0.00195231,0.000448111,0.000947057,-0.000418558,0.00161774,29.9792,0.0398888
2023-08-31 00:00:00+00:00,-0.00680531,0.90272,1.38858,0.0755855,-0.013372,5.38495,0.00172356,0.000328726,0.000698677,6.95077e-05,-0.00409441,30,0.0387694
2023-09-01 00:00:00+00:00,-0.00372652,0.899356,0.975311,0.00887372,-0.0162086,6.78186,0.00217046,0.000414381,0.000697369,-6.19527e-05,-0.000367998,30,0.0367358
2023-09-02 00:00:00+00:00,0.0087968,0.907268,1.07726,0.0155784,-0.0165655,8.34888,0.00267298,0.000574424,0.00127243,0.000236287,0.0130604,30,0.038745
2023-09-03 00:00:00+00:00,-0.0125145,0.895914,1.11617,0.0241212,-0.0139778,5.47366,0.00175161,0.000342452,0.000728631,9.01858e-05,-0.00982062,30,0.0383212
2023-09-04 00:00:00+00:00,0.00434314,0.899805,0.748326,0.0358502,-0.0336421,8.41494,0.00269397,0.000924162,0.00113732,-5.56686e-05,0.00920895,29.3542,0.0368199
