src,inst,tranche,notional_frac,qv_entry_hour,qv_3h
okx_extra,PONS-USDT-SWAP,1,0.1088265013521426,5700211.219,14533377.919999998
binance,BIO-USDT-SWAP,0,0.2199163438367563,7617737.4501,38072970.0902
binance,BIO-USDT-SWAP,1,0.2236041716056868,9606486.3083,30973686.016599998
binance,TRUMP-USDT-SWAP,1,0.0704205249571641,145283967.7777,553569080.2246
binance,ANIME-USDT-SWAP,0,0.1832095524389761,10995466.9046,23961462.367
binance,ANIME-USDT-SWAP,1,0.2390860741736859,3727054.0719,8105452.2952000005
binance,BERA-USDT-SWAP,0,0.114204602565634,28643097.3294,108365905.7193
binance,BERA-USDT-SWAP,1,0.1859333319311018,10146694.6022,45763918.8247
binance,LAYER-USDT-SWAP,0,0.0959912646557582,34266139.19686,88359246.16760999
binance,LAYER-USDT-SWAP,1,0.1574594015816309,3722606.06375,11137966.56605
binance,KAITO-USDT-SWAP,0,0.0681568371182689,55073530.7977,384775014.5122
binance,KAITO-USDT-SWAP,1,0.1053499677721794,9705904.669,41190105.756500006
binance,PARTI-USDT-SWAP,0,0.1355227776706433,35462304.599,72480026.92899999
binance,PARTI-USDT-SWAP,1,0.1979302243468551,6348605.628,19327496.737999998
binance,JELLYJELLY-USDT-SWAP,0,0.2001769429925086,6769031.077,15654160.851999998
binance,JELLYJELLY-USDT-SWAP,1,0.2588685660434132,5696961.361,13952779.603
binance,ATH-USDT-SWAP,0,0.2830926277487767,199418.838,805025.4069999999
binance,ATH-USDT-SWAP,1,0.3040996667659399,341774.343,471507.295
binance,WCT-USDT-SWAP,0,0.0832564913682104,30864804.736,107040869.315
binance,WCT-USDT-SWAP,1,0.1336661498661361,6155078.357,18663639.209
binance,SIGN-USDT-SWAP,0,0.0726029076630195,11511312.555,39578639.778
binance,SIGN-USDT-SWAP,1,0.1073845980816159,1581837.032,5914627.798
binance,SOON-USDT-SWAP,0,0.2560610754566336,4449101.6675,13693504.2993
binance,SOON-USDT-SWAP,1,0.2977494274381144,5033785.9918,14403076.6243
binance,HUMA-USDT-SWAP,0,0.2598160102574336,8282682.836,25430798.65
binance,HUMA-USDT-SWAP,1,0.2991266988338729,5188118.268,14061455.235000001
binance,A-USDT-SWAP,1,0.3162010011153544,1351179.764,3742145.4450000003
binance,SOPH-USDT-SWAP,0,0.2990638822271177,7465925.379,23643397.524
binance,SOPH-USDT-SWAP,1,0.2912840891331126,4300901.661,15032937.159000002
binance,MERL-USDT-SWAP,0,0.30758779079587,837709.41512,1789244.41962
binance,MERL-USDT-SWAP,1,0.3131673661952349,240299.08259,1344847.69193
binance,HYPE-USDT-SWAP,0,0.3174067923595924,4017064.2292,13368513.7601
binance,HYPE-USDT-SWAP,1,0.3047916562481413,2625252.6463,7972005.7782000005
binance,RESOLV-USDT-SWAP,0,0.1084603970969032,30784351.788,139590503.025
binance,RESOLV-USDT-SWAP,1,0.1672652600441794,12786986.591,54896271.39
binance,SPK-USDT-SWAP,0,0.2009429615569794,9905431.418,30536004.036
binance,SPK-USDT-SWAP,1,0.2843187304064781,1911140.186,21932130.945
binance,OL-USDT-SWAP,0,0.1801135886437856,,0.0
binance,OL-USDT-SWAP,1,0.2975778367127282,,0.0
binance,SAHARA-USDT-SWAP,0,0.1817517304843596,15918713.6909,37256331.8956
binance,SAHARA-USDT-SWAP,1,0.2444500862775824,22525533.312,64406143.741799995
binance,USELESS-USDT-SWAP,0,0.1847393550699108,7727582.852,23745112.169
binance,USELESS-USDT-SWAP,1,0.2596557925441342,3443854.623,12298656.326000001
binance,WLFI-USDT-SWAP,0,0.1481294816167279,14689952.497,34508583.418
binance,WLFI-USDT-SWAP,1,0.2018854213513623,12411450.377,51168080.639
binance,LINEA-USDT-SWAP,0,0.264961472572278,3616129.563,8302172.382
binance,LINEA-USDT-SWAP,1,0.3032672766389681,4428562.373,7325199.066
binance,BARD-USDT-SWAP,0,0.3391725693853981,6900550.9873,14138078.118700001
binance,BARD-USDT-SWAP,1,0.3422095034889811,13714360.1914,25753943.2268
binance,EDEN-USDT-SWAP,0,0.1256429071904153,3224572.5638,13580401.7794
binance,EDEN-USDT-SWAP,1,0.1887771442223179,1371665.4865,4165820.0034000003
binance,2Z-USDT-SWAP,0,0.1241203279351454,7535483.521,19150400.586
binance,2Z-USDT-SWAP,1,0.2108978182528195,1557192.449,6991415.697000001
binance,MON-USDT-SWAP,0,0.1376730283009502,610899.5262,1850546.9958
binance,MON-USDT-SWAP,1,0.1764189483541541,310577.7278,893283.9623
binance,YB-USDT-SWAP,1,0.107468447521986,1909788.2495,4283745.862
