,0
2025-01-01 00:00:00+00:00,0.003885963408496451
2025-01-02 00:00:00+00:00,0.0034169688708438617
2025-01-03 00:00:00+00:00,0.006887636278667397
2025-01-04 00:00:00+00:00,-0.00020326832736805578
2025-01-05 00:00:00+00:00,0.003806263917458752
2025-01-06 00:00:00+00:00,0.0009554681506627194
2025-01-07 00:00:00+00:00,-0.006710173272404307
2025-01-08 00:00:00+00:00,-0.011427067497526755
2025-01-09 00:00:00+00:00,0.003741078722049318
2025-01-10 00:00:00+00:00,0.006487032165815698
2025-01-11 00:00:00+00:00,0.0016092502739561976
2025-01-12 00:00:00+00:00,9.171004119679083e-06
2025-01-13 00:00:00+00:00,-0.01023785971423774
2025-01-14 00:00:00+00:00,0.00754952619501692
2025-01-15 00:00:00+00:00,0.005853507795611224
2025-01-16 00:00:00+00:00,-0.004861797443909133
2025-01-17 00:00:00+00:00,0.010628267984572393
2025-01-18 00:00:00+00:00,-0.010235567428853898
2025-01-19 00:00:00+00:00,-0.003324410744690809
2025-01-20 00:00:00+00:00,-0.018467393243958963
2025-01-21 00:00:00+00:00,0.003356376838211217
2025-01-22 00:00:00+00:00,0.009636448224682681
2025-01-23 00:00:00+00:00,-0.0015643595376123587
2025-01-24 00:00:00+00:00,-0.010339738220585648
2025-01-25 00:00:00+00:00,-0.0033716958566025745
2025-01-26 00:00:00+00:00,-0.001009421669244892
2025-01-27 00:00:00+00:00,-0.00691327087988447
2025-01-28 00:00:00+00:00,-0.016664411385839628
2025-01-29 00:00:00+00:00,0.00903166203133976
2025-01-30 00:00:00+00:00,-0.001863586264137962
2025-01-31 00:00:00+00:00,0.006272948105777942
2025-02-01 00:00:00+00:00,-0.02551541249775624
2025-02-02 00:00:00+00:00,-0.004149159379106093
2025-02-03 00:00:00+00:00,0.0028524072811804135
2025-02-04 00:00:00+00:00,-0.007481820650338755
2025-02-05 00:00:00+00:00,-0.004455567062228716
2025-02-06 00:00:00+00:00,-0.021624052728375975
2025-02-07 00:00:00+00:00,-0.0005352462453948048
2025-02-08 00:00:00+00:00,0.035786406698830264
2025-02-09 00:00:00+00:00,-0.00858868019299086
2025-02-10 00:00:00+00:00,-0.0005504539342516823
2025-02-11 00:00:00+00:00,-0.0019376257499744698
2025-02-12 00:00:00+00:00,0.01132718111461628
2025-02-13 00:00:00+00:00,-0.007488963076949573
2025-02-14 00:00:00+00:00,0.0028889218288141727
2025-02-15 00:00:00+00:00,-0.01284872632448475
2025-02-16 00:00:00+00:00,0.0010119552763099282
2025-02-17 00:00:00+00:00,-0.007819781595994613
2025-02-18 00:00:00+00:00,-0.012605406178680223
2025-02-19 00:00:00+00:00,-0.0037218190423146114
2025-02-20 00:00:00+00:00,0.014544162265122562
2025-02-21 00:00:00+00:00,0.0007822942070923045
2025-02-22 00:00:00+00:00,0.03415409336635289
2025-02-23 00:00:00+00:00,-0.017578052566207036
2025-02-24 00:00:00+00:00,-0.022651098610963705
2025-02-25 00:00:00+00:00,0.02439531454832533
2025-02-26 00:00:00+00:00,0.027254220430771525
2025-02-27 00:00:00+00:00,-0.004094812809871451
2025-02-28 00:00:00+00:00,0.007426358145126377
2025-03-01 00:00:00+00:00,-0.011031199628414923
2025-03-02 00:00:00+00:00,0.025941383596320255
2025-03-03 00:00:00+00:00,-0.020842196147711323
2025-03-04 00:00:00+00:00,-0.00655398939782148
2025-03-05 00:00:00+00:00,-0.0013946560149507015
2025-03-06 00:00:00+00:00,-0.005328603517633312
2025-03-07 00:00:00+00:00,-0.011027675984946361
2025-03-08 00:00:00+00:00,-0.0032188427660327923
2025-03-09 00:00:00+00:00,-0.014778224455189504
2025-03-10 00:00:00+00:00,-0.0072521264137944685
2025-03-11 00:00:00+00:00,0.0015833829482341244
2025-03-12 00:00:00+00:00,0.005814085210933628
2025-03-13 00:00:00+00:00,-0.004331518579323235
2025-03-14 00:00:00+00:00,0.008191432016992906
2025-03-15 00:00:00+00:00,0.013212107346287416
2025-03-16 00:00:00+00:00,-0.010995019678572304
2025-03-17 00:00:00+00:00,0.011771906831200996
2025-03-18 00:00:00+00:00,-0.0064860205800060244
2025-03-19 00:00:00+00:00,0.008674008486088791
2025-03-20 00:00:00+00:00,-0.010347050030994565
2025-03-21 00:00:00+00:00,0.001566874213946079
2025-03-22 00:00:00+00:00,0.004319387007481135
2025-03-23 00:00:00+00:00,0.004222958694501955
2025-03-24 00:00:00+00:00,0.007783183913266933
2025-03-25 00:00:00+00:00,0.0020163352658328915
2025-03-26 00:00:00+00:00,-0.00450344271567682
2025-03-27 00:00:00+00:00,-0.0030377829938383893
2025-03-28 00:00:00+00:00,-0.009384601259303293
