,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,stops,ic_est
2024-09-18 00:00:00+00:00,-0.000198856,1.07746,0.0171851,-0.000476786,-0.00174512,0.166256,5.32021e-05,3.90836e-05,5.57063e-06,4.62294e-05,-0.000147166,0.000502219,-0.000649393,3.35417,0,0.0188967
2024-09-19 00:00:00+00:00,-0.000171647,1.07728,0.085287,0.0139929,-0.000701286,0.291373,9.32457e-05,2.65928e-05,7.59542e-06,0.000120075,-0.000161222,0.00232221,-0.00248357,8.27083,0,0.0179067
2024-09-20 00:00:00+00:00,-0.000564482,1.07667,0.0703153,0.0131284,-0.000950739,0.144479,4.62318e-05,8.81963e-06,1.48791e-06,6.02994e-05,-0.000567479,0.000306057,-0.000873215,5.95833,0,0.0147903
2024-09-21 00:00:00+00:00,0.000414241,1.07711,0.0461643,0.00812756,2.53572e-05,0.213182,6.822e-05,1.20099e-05,3.01636e-06,2.70308e-05,0.000470597,0.00041185,5.87476e-05,6.45833,0,0.0147623
2024-09-22 00:00:00+00:00,-0.000519225,1.07655,0.0235615,0.00152586,-0.00221331,0.171468,5.48687e-05,1.76114e-05,3.5969e-06,7.00777e-06,-0.000450221,-0.0010071,0.000556374,5.1875,0,0.0140683
2024-09-23 00:00:00+00:00,0.000504829,1.0771,0.0508562,0.00492983,-0.00198522,0.326785,0.00010457,1.77156e-05,1.00871e-05,5.17436e-06,0.000632244,0.00106149,-0.000429461,8.89583,0,0.0151167
2024-09-24 00:00:00+00:00,-0.00239892,1.07451,0.0619653,0.00207064,-0.00689315,0.30662,9.81136e-05,1.56018e-05,9.23164e-06,2.16629e-05,-0.00229974,0.000700653,-0.00300045,9.60417,0,0.0173082
2024-09-25 00:00:00+00:00,-0.00193334,1.07244,0.049617,-0.00439498,-0.00569614,0.222396,7.11556e-05,1.62984e-05,7.17701e-06,1.94763e-05,-0.00185862,-0.000850288,-0.00100715,8.0625,0,0.014687
2024-09-26 00:00:00+00:00,-0.000411436,1.072,0.0192607,-0.00346063,-0.00239882,0.163375,5.22757e-05,1.06827e-05,5.3568e-06,1.33322e-05,-0.000356085,4.897e-05,-0.000405178,4.60417,0,0.0118782
2024-09-27 00:00:00+00:00,-0.000445758,1.07152,0.0106709,-0.0021917,-0.00255311,0.111795,3.5774e-05,8.25057e-06,4.04913e-06,2.39696e-06,-0.0004001,0.000193574,-0.000593674,3.6875,0,0.00929973
2024-09-28 00:00:00+00:00,0.000201532,1.07173,0.00362144,-0.00201044,-0.0019335,0.0529209,1.69347e-05,3.14792e-06,1.82645e-06,1.50274e-06,0.00022196,0.000111567,0.000109797,1.85417,0,0.00683259
2024-09-29 00:00:00+00:00,5.3312e-05,1.07179,0.000782825,-0.000336937,-0.00032221,0.0141174,4.51757e-06,5.64696e-07,4.30105e-07,1.43514e-07,5.86822e-05,3.39691e-05,2.46262e-05,1.25,0,0.00634476
2024-09-30 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347579
2024-10-01 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279786
2024-10-02 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201582
2024-10-03 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00330894
2024-10-04 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268807
2024-10-05 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236492
2024-10-06 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000161001
2024-10-07 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-08 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023174
2024-10-09 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000221302
