univ,metric,n,mean,p10,p25,med,p75,p90,max,frac_pos,frac_ge1_5
TAIL,maker_is_sharpe,576.0,-0.6164,-2.5554,-1.2087,-0.3469,0.338,0.7206,1.6266,0.3854,0.0052
TAIL,maker_oos_sharpe,576.0,-1.0554,-2.1465,-1.5052,-0.9508,-0.3972,-0.0256,1.608,0.0955,0.0017
TOP30,maker_is_sharpe,576.0,-0.1447,-1.2267,-0.8029,-0.2278,0.6676,0.9713,1.9296,0.4306,0.0122
TOP30,maker_oos_sharpe,576.0,-0.7895,-2.0038,-1.4874,-0.9241,0.0219,0.9311,1.3522,0.2569,0.0
