instId,instFamily,listTime,ctVal,lotSz,minSz,tickSz,lever,last,ct_usd,min_usd,lot_usd,vol24h_usd,spr_bp,cost50_bp,cost250_bp,cost1000_bp,cost2500_bp,cost10000_bp,mmr1,tier1_max_usd,sym,adv,rank,bucket
ADA-USDT-SWAP,ADA-USDT,1582888608000,100.0,0.1,0.1,0.0001,50.0,0.2489,24.89,2.4890000000000003,2.4890000000000003,71577957.613,4.027386389648127,2.007628990163268,2.007628990162158,2.007628990162158,2.007628990162158,2.4508053615818204,0.01,54758.0,ADAUSDT,185384137.83560333,18.0,"(0, 30]"
AERO-USDT-SWAP,AERO-USDT,1751523300260,10.0,1.0,1.0,0.0001,20.0,0.6958,6.958,6.958,6.958,3875000.654,2.8801843915280667,2.155636990731069,2.414305611121992,3.6197202767307424,6.502626795549249,12.553755981445924,0.02,34790.0,AEROUSDT,20622455.066943336,73.0,"(60, 100]"
AEVO-USDT-SWAP,AEVO-USDT,1710325520298,1.0,1.0,1.0,1e-05,10.0,0.02548,0.02548,0.02548,0.02548,330796.82636,7.86472791690826,3.923107100823331,5.846661712425316,8.178480699145286,13.468220396202767,33.423108052843546,0.05,3057.6,AEVOUSDT,1847470.824176667,229.0,"(200, 300]"
AGLD-USDT-SWAP,AGLD-USDT,1631008650016,1.0,1.0,1.0,0.0001,20.0,0.2168,0.2168,0.2168,0.2168,761053.6359999999,4.61041979317636,6.053087213949149,6.967691503054763,8.864531548204436,13.220287570041569,31.672211595829005,0.02,7588.0,AGLDUSDT,1841288.5327899999,231.0,"(200, 300]"
AIXBT-USDT-SWAP,AIXBT-USDT,1735887600188,10.0,1.0,1.0,1e-05,20.0,0.02272,0.2272,0.2272,0.2272,670523.5456000001,6.615246565492461,4.338465642393374,6.04004952136139,9.1076925453909,12.072607513048396,26.105358623350615,0.02,5680.0,AIXBTUSDT,2758142.4574266667,198.0,"(150, 200]"
AKE-USDT-SWAP,AKE-USDT,1789542000000,100.0,1.0,1.0,1e-05,20.0,0.03567,3.567,3.567,3.567,126332378.361,2.811780026143152,2.907160413813114,3.947064710729809,5.186768919430151,7.215549122658871,13.691494780934676,0.02,11414.4,AKEUSDT,236436055.88515168,16.0,"(0, 30]"
ALGO-USDT-SWAP,ALGO-USDT,1587463971000,10.0,1.0,1.0,1e-05,50.0,0.11303,1.1303,1.1303,1.1303,6496959.8788,2.211704365330066,2.1473902394397726,2.6942103525906536,3.768151512378304,5.818770578348009,13.183922603045572,0.01,6216.650000000001,ALGOUSDT,12889995.50548943,97.0,"(60, 100]"
ALLO-USDT-SWAP,ALLO-USDT,1762879500659,10.0,1.0,1.0,1e-05,20.0,0.28824,2.8824,2.8824,2.8824,12700174.3464,1.3927596121015515,2.5629685004446845,3.770618561331207,4.775590960494069,6.6283096562413935,11.980204790939531,0.02,18735.6,ALLOUSDT,7775910.587063666,124.0,"(100, 150]"
ANIME-USDT-SWAP,ANIME-USDT,1737644401356,10.0,1.0,1.0,1e-06,20.0,0.003411,0.03411,0.03411,0.03411,261613.36467,2.932551887087854,4.252086871092686,7.6807302779385855,11.659694141270547,15.27495887121033,32.97200162793001,0.02,10915.2,ANIMEUSDT,3943480.0755914,165.0,"(150, 200]"
APE-USDT-SWAP,APE-USDT,1647522059555,0.1,1.0,1.0,1e-05,20.0,0.15228,0.015228,0.015228,0.015228,1741828.8467159998,1.3184350878207654,2.125964167599137,4.635170796051247,8.060208145897473,11.913887635288669,22.63035675501235,0.02,18273.6,APEUSDT,4178431.24081,159.0,"(150, 200]"
API3-USDT-SWAP,API3-USDT,1646297716213,1.0,1.0,1.0,0.0001,10.0,0.2703,0.2703,0.2703,0.2703,535176.4305,3.701647740225175,3.873913990746214,6.520868902187837,8.075826236048634,11.28034262503852,23.351938196020107,0.05,6757.5,API3USDT,2863928.908244,193.0,"(150, 200]"
APR-USDT-SWAP,APR-USDT,1761285601180,10.0,1.0,1.0,0.0001,20.0,0.1472,1.472,1.472,1.472,1825368.32,6.791171477079049,6.779661016949601,6.779661016949601,8.990813357376837,12.431538679957832,28.196873247719463,0.02,3680.0,APRUSDT,9963459.066788005,110.0,"(100, 150]"
APT-USDT-SWAP,APT-USDT,1666142328522,1.0,1.0,1.0,0.0001,50.0,0.8107,0.8107,0.8107,0.8107,18224688.4116,1.234949359698447,0.6158773172382226,1.6416046558898056,2.8858533327985603,4.885343106280637,10.072789262108303,0.01,14592.6,APTUSDT,47235076.22062733,42.0,"(30, 60]"
AR-USDT-SWAP,AR-USDT,1676357700186,0.1,1.0,1.0,0.001,20.0,4.514,0.4514,0.4514,0.4514,6278965.423400001,4.431641923334075,1.1060723371308925,2.19453399770142,4.835954856156066,7.460158410430573,12.849823916973868,0.02,15799.0,ARUSDT,22231963.16990667,69.0,"(60, 100]"
ARB-USDT-SWAP,ARB-USDT,1679580094937,10.0,0.1,0.1,1e-05,50.0,0.2167,2.167,0.2167,0.2167,99931747.6168,0.4628772471865142,0.2323557319711122,0.599034555573974,1.0817509676502857,1.6275466820864226,4.110418511427127,0.01,32505.0,ARBUSDT,206283537.34281477,17.0,"(0, 30]"
ARKM-USDT-SWAP,ARKM-USDT,1732177800122,1.0,1.0,1.0,1e-05,20.0,0.12815,0.12815,0.12815,0.12815,660890.8228999999,14.480800140044972,9.562975894582548,11.362683464425928,13.515927753707247,17.878823855217995,37.96454893072065,0.02,10892.749999999998,ARKMUSDT,2839780.5180866667,194.0,"(150, 200]"
ARX-USDT-SWAP,ARX-USDT,1782131400000,10.0,1.0,1.0,0.0001,20.0,0.2585,2.585,2.585,2.585,12725843.845,13.55427956742493,5.790962845563796,10.806330616978666,16.175849349368555,23.17104661452185,41.06873945152967,0.02,10340.0,ARXUSDT,6051708.576130001,135.0,"(100, 150]"
ASTER-USDT-SWAP,ASTER-USDT,1758517200313,1.0,1.0,1.0,0.0001,50.0,0.709,0.709,0.709,0.709,15844873.8,1.412030563203996,0.7050694493426768,0.7050694493415666,1.1115935828687196,1.8935785420909343,4.407256344905464,0.01,29778.0,ASTERUSDT,78582003.48175332,33.0,"(30, 60]"
AT-USDT-SWAP,AT-USDT,1761818401453,10.0,1.0,1.0,0.0001,20.0,0.1554,1.554,1.554,1.554,139988.98200000002,12.87830006439187,9.64320154291154,14.3516493085577,16.955791697322866,25.19608311104038,58.38648374500599,0.02,1274.28,ATUSDT,1747737.068069,238.0,"(200, 300]"
ATH-USDT-SWAP,ATH-USDT,1718250900308,100.0,1.0,1.0,1e-06,20.0,0.005938,0.5938,0.5938,0.5938,1286909.4872,4.21822410456943,5.339801948631706,7.675969075569,10.61385173441176,14.921885689653802,27.15781787254734,0.02,8907.0,ATHUSDT,2652630.0761503335,201.0,"(200, 300]"
ATOM-USDT-SWAP,ATOM-USDT,1573557408000,1.0,1.0,1.0,0.001,50.0,1.786,1.786,1.786,1.786,5777458.174,5.600672080650305,2.795638803466116,3.5321569540047726,5.076656527157608,6.654266840592782,8.345057250516152,0.01,10716.0,ATOMUSDT,23301745.590024002,67.0,"(60, 100]"
