univ,R,signal,neutral,hyst,kind,is_sharpe,is_cagr,is_vol,is_mdd,is_cost,is_turn,is_fund,is_gross_sharpe,is_gross_cagr,is_kelly,is_y2022,is_y2023,is_y2024,oos_sharpe,oos_cagr,oos_vol,oos_mdd,oos_cost,oos_turn,oos_fund,oos_gross_sharpe,oos_gross_cagr,oos_kelly,oos_y2025,oos_y2026
TAIL,24,LGBM,dollar,0,lgbm,-0.9487288435340574,-0.12324196758798123,0.12973164475146076,0.40087745806746766,0.2984912430414177,363.6610460018293,0.023725699068360508,1.3306498908053275,0.17997857487246893,-7.309012944091677,-0.14254522479418474,-0.057175472746644695,-0.11025805900015573,-1.7909590254963317,-0.28388300817164625,0.1775393229832112,0.4928734957020118,0.267801893954382,333.6746403120509,0.1708815799560391,-0.2892552519647502,-0.06534553770553897,-10.079376000647274,-0.2519410478344213,-0.2332238770382965
TAIL,24,LGBM,dollar,1,lgbm,-0.29048895963708005,-0.03638745268627075,0.10766575606259167,0.2696453486151177,0.16162358572390262,198.00248579927037,0.01599152609347421,1.1856140432654396,0.13060598800483003,-2.6965879377409845,-0.0788954589530817,0.03841246320089309,-0.04721554197289035,-1.227558604682941,-0.17176054893189718,0.14493740316773654,0.36360123272188005,0.12777319530774986,159.24922062492385,0.11670072264584579,-0.35883464043818186,-0.06091803689356279,-8.462609768146358,-0.18768693119953506,-0.10042411262946915
TAIL,24,LGBM,beta,0,lgbm,-0.7425423169556502,-0.09642516288058489,0.12587893439250777,0.36686576162071605,0.29771895469396,362.5276859759827,0.02682467412131829,1.6171771858482207,0.21804185658004704,-5.895636539854972,-0.16103011910830234,-0.022047658244549906,-0.05458997626200224,-2.2853587617715743,-0.33084895027442407,0.16940207966585108,0.5331699689816332,0.267707644198609,333.8086190314148,0.17353064611433536,-0.7040263325371682,-0.12590672900273137,-13.479637239287293,-0.31374257677517303,-0.25341690707640263
TAIL,24,LGBM,beta,1,lgbm,0.0038378030079755676,-0.0050899059401617874,0.10512618291043352,0.22888579414310462,0.1611085650623698,197.33249089658696,0.019199437348278576,1.5120832074245774,0.16690010779200826,0.036486678849759153,-0.09718727900759394,0.08522697137906543,0.0076970043319135595,-1.6277556917402376,-0.2097426043700913,0.13867085290065626,0.3900729937025722,0.1278954198218598,159.48477057211767,0.11956538390802572,-0.7118124537174988,-0.10321558149350774,-11.728611254427868,-0.2416225740717961,-0.10887463608902792
TAIL,8,LGBM,dollar,0,lgbm,-4.242756745494103,-0.4292035649074635,0.13004750507717647,0.7594042893744158,0.8914459393571644,1088.525524039001,0.020840196719668254,2.3594194989057766,0.36131491421911854,-32.606835962496525,-0.2250368213850974,-0.3743193464125497,-0.4938033818779598,-3.4609672817348303,-0.47325139114972625,0.1803483582559224,0.6906711752114725,0.7539615681938922,941.683354357346,0.1692616442362571,0.6650717048216215,0.11069700393923276,-19.174668146171435,-0.46592107387135406,-0.3558724471803937
TAIL,8,LGBM,dollar,1,lgbm,-2.8252754903682398,-0.26158949829830846,0.10531585790904778,0.5561403107776417,0.4693190999511779,574.8352830050811,0.0169267146652573,1.4792166349508633,0.16644798523760307,-26.81202297536801,-0.11668653840682985,-0.21896618259279776,-0.3219153941203353,-2.1213178831754416,-0.26595455995212447,0.1410069021571834,0.4633661734985566,0.3403441736703225,424.6251858752179,0.1261715297070484,0.2452908291094874,0.025140620132365177,-15.031694392315805,-0.23275155095049938,-0.2209871666077916
TAIL,8,LGBM,beta,0,lgbm,-4.46776051224673,-0.4248060694334109,0.12201117100955892,0.7544629286317889,0.8912269463165884,1087.5651631969297,0.023629940946633968,2.5827471503413326,0.372795261057282,-36.5976197810294,-0.2181058330034873,-0.4037224474084842,-0.4633312377376614,-3.707995309047061,-0.4698342042497152,0.16721811544785106,0.6792729946242294,0.7550704480685329,943.0222572221811,0.17481216608199243,0.7527129073266978,0.12014728684197196,-22.156359710219323,-0.4390515914621447,-0.3800892822797771
TAIL,8,LGBM,beta,1,lgbm,-2.795486070037942,-0.24654981919006969,0.09944768081779375,0.5321645502691135,0.4687478612986989,574.0779577573418,0.020021418337832636,1.7747356350171513,0.19169870288080326,-28.094753356174927,-0.12143535493622493,-0.21898683736319968,-0.2829108672221142,-2.4686874156127727,-0.2812929500153659,0.1303051938684817,0.4626661818991382,0.34201427713086413,426.78745596151714,0.129578477302592,0.10517726281386625,0.005154349935806879,-18.929839527878382,-0.2464560384734913,-0.2342168567235131
TAIL,4,LGBM,dollar,0,lgbm,-10.949019879902014,-0.7283379397149727,0.11815509290921464,0.9622627015132941,1.805610059953874,2226.2500742394195,0.02308783612226135,2.66870782358388,0.4140480256203143,-92.61585686979072,-0.49535644768925635,-0.7404221105288875,-0.7083146251848348,-8.052089809569791,-0.7537730087944079,0.17189247246664735,0.9031416115558372,1.577855181918759,1972.1074384099018,0.15184933576776546,0.7859903112961268,0.13309111511140892,-46.80522180360974,-0.7385575323522897,-0.6289494151370592
TAIL,4,LGBM,dollar,1,lgbm,-6.743775291123612,-0.4852131973881383,0.09764997335219677,0.8124909101259867,0.9364980459880147,1154.1908863001677,0.018797483983811744,2.2869813949915314,0.261794261412992,-69.02294930782251,-0.2812885284442429,-0.4519994797971576,-0.5188808852623297,-4.590174993503008,-0.4614214635673639,0.13278825222110696,0.6511640022489482,0.700918029619898,875.8018883233038,0.11967707065599267,0.5119518604785692,0.06245203968671209,-34.539189637667135,-0.44964909908434825,-0.35137467006154255
