univ,signal,period,days,long_mean_bp,short_mean_bp,spread_mean_bp,spread_median_names_bp,spread_winsor_bp,short_leg_excess_over30pct_bp,frac_days_spread_pos
TAIL,LGBM,IS,915,21.39622027082336,11.567227959079418,9.828992311743937,54.95157080323651,15.97008974545983,6.568959860408634,0.5322404371584699
TAIL,LGBM,OOS,608,-17.632343956693806,-24.587282575498946,6.954938618805138,85.70609790152014,23.63239009378208,22.78903617598199,0.555921052631579
TAIL,r1d,IS,915,13.672218763324999,11.614511068481752,2.0577076948432484,26.65167426160595,5.408512953208807,6.081178981745955,0.5169398907103825
TAIL,r1d,OOS,608,-18.963341798386434,-17.436097383631985,-1.5272444147544502,30.337562303074193,8.620397764623887,18.85552861985122,0.5296052631578947
TAIL,age,IS,915,10.563775268347449,20.749112430426198,-10.18533716207875,19.132578143986784,-4.715061626764117,4.577978185769108,0.47978142076502733
TAIL,age,OOS,608,-15.051413121466943,-13.175435161021403,-1.8759779604455393,47.776195070957456,12.547492930612254,19.47444240185747,0.5164473684210527
TAIL,vshock,IS,915,17.131188361559367,11.201088257367676,5.930100104191689,27.661118089379958,9.816152476653924,7.338263778978357,0.5234972677595628
TAIL,vshock,OOS,608,-13.599053558247077,-18.330323014534947,4.7312694562878645,14.663261961384475,10.973621354061153,17.34857978294111,0.5164473684210527
TAIL,m3d,IS,915,23.022003703639005,12.059093961406198,10.962909742232803,37.87296952053843,13.923229117645308,6.2452289742634255,0.5136612021857924
TAIL,m3d,OOS,608,-17.822659898203412,-18.623874354026217,0.8012144558227934,34.840120192680956,7.587746465592952,17.799535832596337,0.5164473684210527
TOP30,r1d,IS,915,7.747672239612336,-0.12656467996838813,7.8742369195807225,21.550232191086227,8.47603907951877,6.258628577542136,0.5333333333333333
TOP30,r1d,OOS,608,-49.24367235950675,-25.847677570368553,-23.395994789138197,-23.10515630642428,-22.05062689680446,23.93698419197802,0.46875
TOP30,age,IS,915,16.43630953661248,4.061725952561962,12.374583584050523,50.755964597832026,15.61923845602223,7.047039587607587,0.5311475409836065
TOP30,age,OOS,608,-3.3789646837573954,-53.38615269208898,50.00718800833159,93.03460690653581,55.568224986206545,39.11504514015061,0.5756578947368421
TOP30,vshock,IS,915,6.568467768695395,8.83565368419272,-2.2671859154973184,12.87638866910869,-1.3268441963620086,6.3973623278403275,0.5060109289617486
TOP30,vshock,OOS,608,-45.597587091805856,-32.03529957268723,-13.562287519118627,-30.765654074279347,-16.59176624267648,26.8255486353237,0.4868421052631579
TOP30,m3d,IS,915,13.3644832377758,12.512016802768283,0.8524664350075186,19.652535720636543,2.3202875541252426,5.75299106147526,0.5136612021857924
TOP30,m3d,OOS,608,-42.573169485775544,-31.857538154352216,-10.715631331423335,-9.290823469545812,-12.183455329690213,21.326952182191484,0.4786184210526316
