univ,R,signal,ic_is,t_is,sign,ic_oos,t_oos
TAIL,4,r1h,0.03794894027667182,18.91551474611426,1.0,0.028188024933507992,10.660331430454535
TAIL,4,r4h,0.0437763804271158,20.81973081879663,1.0,0.03766868379750863,13.913223448129955
TAIL,4,r1d,0.0408876956676302,18.58871374565272,1.0,0.038045783846332656,13.622459572590351
TAIL,4,m3d,-0.0395386816416984,-17.441861009742162,-1.0,-0.03068394792172937,-11.12732879044938
TAIL,4,m7d,-0.02179371926335167,-9.670658074832444,-1.0,-0.008361505308096985,-2.9348204386358465
TAIL,4,m30d,-0.016035842849608236,-7.264320811830769,-1.0,-0.002947049179849489,-0.9675112155025042
TAIL,4,fund,-0.0015060265343153163,-0.8924601762625721,-1.0,-0.009215065719703324,-4.462627325008057
TAIL,4,dfund,-0.0008729414359668485,-0.5315755200370992,-1.0,-0.0034404875834106083,-1.9370891245907198
TAIL,4,vshock,-0.033523976038408336,-17.591807309554817,-1.0,-0.013218922350149117,-5.707316296661002
TAIL,4,age,0.02150177132928481,9.229749127670964,1.0,0.038472711978113215,12.181059853465628
TAIL,4,rr1d,0.038186915324089375,18.62503766039734,1.0,0.03648364737990577,15.255097737987906
TAIL,4,rm7d,-0.02168840814635032,-10.877389399899723,-1.0,-0.007645160180989187,-3.099532761975388
TAIL,8,r1h,0.03682582462665435,12.842571160456838,1.0,0.03182563452725646,8.385263856793912
TAIL,8,r4h,0.04068026118705467,13.502878569302284,1.0,0.03768293261443246,9.772031646755769
TAIL,8,r1d,0.041432922876089566,12.988232146633706,1.0,0.04558616550411772,11.170284129063152
TAIL,8,m3d,-0.04621005017887899,-14.105174565740585,-1.0,-0.03250449836430627,-8.131101560296889
TAIL,8,m7d,-0.029630998479085503,-9.060266879683573,-1.0,-0.010217911343257087,-2.500492772234152
TAIL,8,m30d,-0.022502895038478143,-6.993539699364766,-1.0,-0.00205271895303204,-0.4647467150256385
TAIL,8,fund,6.663746292819101e-05,0.02760972310318642,1.0,-0.009714506070459712,-3.2593781795402204
TAIL,8,dfund,0.00017614373195544103,0.07545696841240189,1.0,-0.0024010496258611838,-0.934457770456362
TAIL,8,vshock,-0.04219385997203508,-15.30154709263817,-1.0,-0.0162586496310889,-4.878121729447253
TAIL,8,age,0.027347507797486632,8.188279099673913,1.0,0.04839770784719267,10.882891495180466
TAIL,8,rr1d,0.03849946920720405,12.998930171967777,1.0,0.04234140554882744,12.255315349831287
TAIL,8,rm7d,-0.029310211655404716,-10.125013492640383,-1.0,-0.008777530628631805,-2.4976472518835378
TAIL,24,r1h,0.012945813184019401,2.7595450275676665,1.0,0.02055866659969838,3.3789442958413973
TAIL,24,r4h,0.018822906436303896,3.6793535870778773,1.0,0.026039773960988832,3.749940455326728
TAIL,24,r1d,0.04063983489020003,7.337824855374364,1.0,0.03746866155297866,5.127919978248194
TAIL,24,m3d,-0.0607805352483556,-10.418574959068073,-1.0,-0.03502228826845635,-5.008036973475088
TAIL,24,m7d,-0.04244101348777098,-7.422124473756794,-1.0,-0.01686120681140586,-2.4124452604667703
TAIL,24,m30d,-0.034148365837351015,-5.747993723939288,-1.0,-0.0019125385714897432,-0.23816799066558475
TAIL,24,fund,-0.00026782901727167164,-0.06431104455954305,-1.0,-0.016690629963731198,-3.1480574424819565
TAIL,24,dfund,0.0018166901239637068,0.4534144524217497,1.0,-0.004609067529134879,-1.0233361811266264
TAIL,24,vshock,-0.05099054201274123,-10.587748918765989,-1.0,-0.024114147948261475,-4.212101786259795
TAIL,24,age,0.034941731432039325,5.670251913792045,1.0,0.06554311382984324,8.325419602750085
TAIL,24,rr1d,0.036848885165023056,7.152233981364291,1.0,0.036877800419063925,6.114293593238457
TAIL,24,rm7d,-0.04170886787641173,-8.21192946908692,-1.0,-0.013651957774125067,-2.3246409804508037
TOP30,4,r1h,0.03893805819536665,12.887013794301438,1.0,0.01690389314755276,4.065498466141852
TOP30,4,r4h,0.042871495138421124,13.915306410375068,1.0,0.019390940303422286,4.63333430975948
TOP30,4,r1d,0.031228542625530435,9.928105826251457,1.0,0.014337567154492104,3.3643845313540566
TOP30,4,m3d,-0.020731982346320142,-6.431653869579761,-1.0,-0.0011534509068025544,-0.2668021931974548
TOP30,4,m7d,-0.008900847414935825,-2.7077439929201286,-1.0,0.009032086624614811,2.0927680763547505
TOP30,4,m30d,-0.01115082625752375,-3.5150515985786877,-1.0,-0.006129879398817422,-1.3485460420636464
TOP30,4,fund,0.009430923196699206,3.5782845073231964,1.0,-0.008252225477444433,-2.186539339093557
TOP30,4,dfund,0.009719605267579316,3.8037051501144967,1.0,0.0068199552915573,1.8646562136306932
TOP30,4,vshock,-0.01485032385914395,-5.264645082738832,-1.0,0.011261781356002299,2.8289320040851202
TOP30,4,age,0.045421974858678056,11.907938687964252,1.0,0.06260794144922163,13.263498610714924
TOP30,4,rr1d,0.023094269645371576,7.816327525785082,1.0,0.01119067380378758,2.794824801581812
TOP30,4,rm7d,-0.009036191040617595,-3.015755563823584,-1.0,0.00839212114067867,2.0708317285860924
TOP30,8,r1h,0.029741369499318333,6.897549984572961,1.0,0.02655484526153722,4.446026166993182
TOP30,8,r4h,0.03204896407299747,7.1149064398818975,1.0,0.014526129317961762,2.4573846373270922
TOP30,8,r1d,0.024101979848592164,5.383476672124179,1.0,0.007765449834012521,1.2695674301616706
TOP30,8,m3d,-0.021701027356642463,-4.686063821516236,-1.0,0.0031936060065576814,0.5193171057845538
TOP30,8,m7d,-0.01308777299707461,-2.790099350314712,-1.0,0.008175261883177102,1.3245530028734769
TOP30,8,m30d,-0.014567380714956866,-3.1924239107368635,-1.0,-0.009415854240687851,-1.4415181131584065
TOP30,8,fund,0.01372785938517604,3.7039930107839583,1.0,-0.010247254292666881,-1.8681620468193716
TOP30,8,dfund,0.013956030677903807,3.8414328156472233,1.0,0.008819252595515732,1.67606512133182
TOP30,8,vshock,-0.019536159971315227,-4.903499386709824,-1.0,0.016245388839793342,2.928842217137272
TOP30,8,age,0.06091514146732058,11.244114619097608,1.0,0.081332328124003,11.981458652002612
TOP30,8,rr1d,0.014274393917584121,3.3888389957587917,1.0,0.0017260880857417975,0.3033213232734493
TOP30,8,rm7d,-0.013237289200398114,-3.0567791237414292,-1.0,0.00825673654318644,1.4275528841647258
TOP30,24,r1h,0.024826969294430387,3.468241950702564,1.0,0.00971547241117153,0.9763881081806224
TOP30,24,r4h,0.030848530770270832,4.1849766270901565,1.0,0.004589894522279056,0.44514804044024747
TOP30,24,r1d,0.03218938888093996,4.187695552655413,1.0,-0.01391897559107454,-1.3994496870123811
TOP30,24,m3d,-0.0317780519818968,-3.9509331059453183,-1.0,0.012500730584002423,1.1380649353575183
TOP30,24,m7d,-0.021167082734186868,-2.6459681396469934,-1.0,0.014137783270387099,1.3638915373244378
TOP30,24,m30d,-0.02347373209746562,-2.908124817729659,-1.0,-0.015092762476961324,-1.344979731904468
TOP30,24,fund,0.010755771606610549,1.641720144742385,1.0,-0.015280869152868744,-1.6449028185076133
TOP30,24,dfund,0.01281355085114839,2.057771946813045,1.0,0.011570603407230593,1.2972200299560082
TOP30,24,vshock,-0.03221438458691217,-4.561990844320966,-1.0,0.034266874356388456,3.498019120259103
TOP30,24,age,0.09037155989592559,9.522775626234212,1.0,0.12531906774753432,10.578524171307242
TOP30,24,rr1d,0.016758583556304954,2.3037714901974957,1.0,-0.0163580887954781,-1.7290604991374503
TOP30,24,rm7d,-0.019423568232315655,-2.6207500917752995,-1.0,0.015495285746382575,1.6259130003582278
