instId,instFamily,listTime,ctVal,lotSz,minSz,tickSz,lever,last,ct_usd,min_usd,lot_usd,vol24h_usd,spr_bp,cost50_bp,cost250_bp,cost1000_bp,cost2500_bp,cost10000_bp,mmr1,tier1_max_usd
PUMP-USDT-SWAP,PUMP-USDT,1752514200381,1000.0,1.0,1.0,1e-06,50.0,0.003866,3.866,3.866,3.866,93058335.226,2.59100937202541,1.2924906294431437,1.2924906294431437,1.5097955955756248,2.1548515187524986,4.127226490512337,0.01,57990.0
PYTH-USDT-SWAP,PYTH-USDT,1700492100712,10.0,1.0,1.0,1e-05,50.0,0.06858,0.6858,0.6858,0.6858,3856116.24,3.653876761425726,2.6242404998977342,4.210743919750293,6.998616265755375,9.384995236549344,17.89719868404316,0.01,4457.7
QTUM-USDT-SWAP,QTUM-USDT,1587463971000,1.0,1.0,1.0,0.0001,20.0,1.0051,1.0051,1.0051,1.0051,422813.40680000006,12.467162123462629,7.520958485149332,10.89100694753209,14.472855598244848,19.468098412065427,38.409332574888545,0.02,6231.620000000001
RAVE-USDT-SWAP,RAVE-USDT,1765785600000,10.0,0.01,0.01,0.0001,20.0,0.2047,2.0469999999999997,0.02047,0.02047,3562090.18191,4.915213770426318,3.3741291699740383,4.574483572295507,8.040365145006723,10.527745575896752,19.498274238468618,0.02,7778.5999999999985
RAY-USDT-SWAP,RAY-USDT,1710239100609,1.0,1.0,1.0,0.0001,20.0,2.1095,2.1095,2.1095,2.1095,29413903.9585,2.1390603938111172,0.6557406614449146,0.7037356266975658,2.0010993713487357,3.550152810298246,11.187733412468814,0.02,37971.0
RE-USDT-SWAP,RE-USDT,1781692200000,10.0,1.0,1.0,1e-05,20.0,0.472,4.72,4.72,4.72,3332834.48,4.9934672415316665,3.9182048268049385,4.6979710557065735,6.752825338294244,8.368717362611244,14.904599989241651,0.02,11800.0
RECALL-USDT-SWAP,RECALL-USDT,1761819300976,10.0,1.0,1.0,1e-05,10.0,0.04682,0.4682,0.4682,0.4682,124984.5854,17.079420078210052,12.250565634347454,13.408831141022425,15.582594970234842,22.55020518468043,53.33621804630317,0.05,2902.84
RENDER-USDT-SWAP,RENDER-USDT,1723105800136,1.0,1.0,1.0,0.001,20.0,1.867,1.867,1.867,1.867,7095710.865,5.357621216179425,5.356186395286122,5.356186395286677,5.356186395286677,6.687200341286004,12.090212426370538,0.02,28005.0
RESOLV-USDT-SWAP,RESOLV-USDT,1749565800438,10.0,1.0,1.0,1e-05,10.0,0.01833,0.1833,0.1833,0.1833,418351.089,5.471970970258081,5.443658138268859,8.626682573109058,10.997366632751193,14.258093919466974,26.6052255438709,0.02,12464.4
RIVER-USDT-SWAP,RIVER-USDT,1767942000000,0.1,1.0,1.0,0.001,20.0,1.269,0.12689999999999999,0.12689999999999999,0.12689999999999999,7482837.0483,7.870916961825186,3.9478878799842354,3.9478878799842354,5.09902486776348,8.669550723841567,14.714268221879824,0.02,7867.799999999999
RLS-USDT-SWAP,RLS-USDT,1764688500000,100.0,1.0,1.0,1e-06,10.0,0.002577,0.2577,0.2577,0.2577,1936127.6738999998,3.882741800647378,7.264012067459413,11.513994182233978,26.171282211715496,43.017952891056254,56.043586908188225,0.05,4638.599999999999
ROBO-USDT-SWAP,ROBO-USDT,1772206200000,100.0,1.0,1.0,1e-06,10.0,0.009977,0.9977,0.9977,0.9977,1101625.4205,8.038181868660423,3.492773584480302,6.1100244693551575,9.65800757511792,12.87943089885446,21.52236450721434,0.05,9977.0
RSR-USDT-SWAP,RSR-USDT,1599646371000,100.0,1.0,1.0,1e-06,20.0,0.001732,0.1732,0.1732,0.1732,438124.2952,5.788712011576938,5.6619129559526415,5.749986821270148,10.303194880292299,14.981701386130863,32.91300372201988,0.02,4330.0
RVN-USDT-SWAP,RVN-USDT,1619161200000,10.0,1.0,1.0,1e-06,20.0,0.002405,0.024050000000000002,0.024050000000000002,0.024050000000000002,777258.02505,4.171890413297449,7.8974008857463085,8.226764269831932,11.020110116236603,14.48108737390652,28.873496146826216,0.02,7215.000000000001
S-USDT-SWAP,S-USDT,1737450000523,10.0,1.0,1.0,1e-05,20.0,0.04082,0.4082,0.4082,0.4082,1814927.4104000002,2.4533857091455165,5.843719151517046,6.828687695298319,8.446861907677183,10.611568979996822,19.923639533049318,0.02,6123.0
SAHARA-USDT-SWAP,SAHARA-USDT,1750941000359,10.0,1.0,1.0,1e-06,20.0,0.009687,0.09687,0.09687,0.09687,1426170.2217899999,5.161559049470157,4.639414402804465,4.729425351585048,6.717241426509868,10.778440639883646,26.31831966456111,0.02,9687.0
SAND-USDT-SWAP,SAND-USDT,1617354000000,10.0,1.0,1.0,1e-05,50.0,0.04325,0.4325,0.4325,0.4325,2894791.2674999996,4.626955028994949,2.3084025854108736,3.1948921037261435,7.093221593634791,9.622676310531153,13.999822761503466,0.01,5622.5
SAPIEN-USDT-SWAP,SAPIEN-USDT,1762429500524,10.0,1.0,1.0,1e-05,10.0,0.07921,0.7921,0.7921,0.7921,164677.59,10.10573276241703,7.442961765891654,9.844534167949837,14.820461200810708,23.760444309182674,100.97054441003615,0.05,5940.75
SATS-USDT-SWAP,SATS-USDT,1702889700612,10000000.0,1.0,1.0,1e-12,10.0,1.1874e-08,0.11874,0.11874,0.11874,649917.8092199999,10.956600650522333,5.686365262931314,8.175591494563594,10.618590615425472,14.497030042723846,33.699110530084894,0.05,17811.0
SEI-USDT-SWAP,SEI-USDT,1763105401238,10.0,1.0,1.0,1e-05,50.0,0.06258,0.6257999999999999,0.6257999999999999,0.6257999999999999,5243223.9972,1.6011529942325389,3.1918289179694304,3.916010511109125,6.261761775443464,8.183153192679038,12.731516280630185,0.01,12515.999999999998
SENT-USDT-SWAP,SENT-USDT,1763132401716,100.0,1.0,1.0,1e-05,50.0,0.02156,2.156,2.156,2.156,2817417.6799999997,11.61117266262607,4.640371229698292,5.2415617979545415,8.677381204682533,11.727044695395982,21.290869019960358,0.01,4312.0
SHELL-USDT-SWAP,SHELL-USDT,1740657600557,10.0,1.0,1.0,1e-05,10.0,0.02874,0.2874,0.2874,0.2874,264312.0084,20.94240837696371,9.787700126760445,11.21019112859889,19.427084688513617,29.049365046122656,62.22789889546498,0.05,6322.8
SHIB-USDT-SWAP,SHIB-USDT,1620550800000,1000000.0,0.1,0.1,1e-09,50.0,5.792e-06,5.792,0.5792,0.5792,13709675.0048,1.729355866677679,0.8614006374374483,0.8614006374363381,1.4932171323334131,2.3394433677143,4.757141919825014,0.0065,28960.0
SIGN-USDT-SWAP,SIGN-USDT,1745839800340,100.0,1.0,1.0,1e-06,20.0,0.012953,1.2953,1.2953,1.2953,305477.0755,13.14725537725191,8.222321994010295,8.422298201905543,10.85512609663275,15.338745884625471,37.52768817791963,0.02,2849.66
SKY-USDT-SWAP,SKY-USDT,1757590200404,100.0,1.0,1.0,1e-05,20.0,0.0735,7.35,7.35,7.35,2400083.6999999997,4.758067301446502,1.6379667887445049,3.1944249833631977,6.366489259415631,8.83960095153402,18.275246180819437,0.02,8820.0
SLX-USDT-SWAP,SLX-USDT,1780291800000,10.0,1.0,1.0,1e-05,20.0,0.07165,0.7165,0.7165,0.7165,3430452.2515000002,2.798202009866472,3.3253188990611804,3.9122348995235257,5.076912820796697,7.255457875623428,16.266724164351597,0.02,12897.0
SNX-USDT-SWAP,SNX-USDT,1598004771000,1.0,1.0,1.0,0.0001,20.0,0.2562,0.2562,0.2562,0.2562,1679770.6883999999,7.821667211155261,3.9016777214212484,5.452796738760757,8.702126125083032,11.95304124684271,20.79239101334396,0.02,6405.0
SOON-USDT-SWAP,SOON-USDT,1747999800456,10.0,0.1,0.1,0.0001,20.0,0.1986,1.986,0.1986,0.1986,739724.0298,5.04159314343277,4.988842981991648,5.617899351210154,8.782731133945564,13.576216691374432,26.877886771254353,0.02,6355.2
SOPH-USDT-SWAP,SOPH-USDT,1748439000413,100.0,1.0,1.0,1e-06,10.0,0.003842,0.3842,0.3842,0.3842,1132615.0685999999,7.804373748494522,2.8389754668084466,4.015756658007352,7.366941948795391,11.828678893459621,27.52736095150199,0.02,1344.7
SPACE-USDT-SWAP,SPACE-USDT,1769173200000,100.0,1.0,1.0,1e-06,20.0,0.005073,0.5073,0.5073,0.5073,657213.2376,5.920078934384866,4.924652811976737,7.106285820535629,12.434543649950115,16.415877358042508,30.37002667405808,0.02,6087.599999999999
SPK-USDT-SWAP,SPK-USDT,1750156200346,100.0,1.0,1.0,1e-05,20.0,0.02123,2.1229999999999998,2.1229999999999998,2.1229999999999998,1550775.072,4.71253560565474,6.848692217725216,7.008834906763739,7.79174931839377,9.743267771692432,20.040664418158883,0.02,17408.6
