config,cost,scope,mode,L,cagr_IS,cagr_OOS,maxdd_IS,maxdd_OOS,sharpe_IS,sharpe_OOS,worstday_IS,worstday_OOS,liq_IS,liq_OOS,entries_IS,rolls_IS,entries_OOS,rolls_OOS,margin_rebalances_OOS,y2022_fullrun,y2023_fullrun,y2024_fullrun,y2025_fullrun,y2026_fullrun
two_A,base,ETH,isolated_rb,1,4.71,0.2,-10.6,-7.1,1.1,0.18,-2.9,-0.4,0,0,29,2,10,0,3,-2.8,5.5,12.0,-0.6,1.0
two_A,base,ETH,isolated_rb,3,8.34,-2.2,-34.7,-24.1,0.71,-0.62,-8.1,-1.3,0,0,29,2,10,0,37,-14.7,12.0,33.0,-4.2,0.6
two_A,base,ETH,isolated_rb,5,-15.72,-12.18,-63.9,-46.6,-0.51,-2.1,-25.1,-2.3,2,0,31,1,10,0,98,-45.4,7.1,2.3,-14.4,-5.9
two_A,base,ETH,isolated_rb,10,-90.95,-79.88,-99.9,-95.5,-2.18,-4.76,-69.4,-26.6,35,8,55,0,14,0,384,-99.4,-11.8,-84.8,-72.9,-74.4
two_A,base,ETH,isolated_rb,15,-99.04,-99.77,-100.0,-100.0,-4.33,-6.07,-44.8,-39.8,90,37,95,0,40,0,683,-100.0,-87.5,0.0,0.0,0.0
two_A,base,ETH,isolated_rb,20,-99.04,-99.98,-100.0,-100.0,-3.11,-5.18,-85.0,-51.8,68,53,68,0,54,0,464,-100.0,0.0,0.0,0.0,0.0
two_A,base,ETH,pm_approx,1,4.98,0.28,-6.8,-2.5,1.16,0.25,-2.9,-0.4,0,0,29,2,10,0,0,-2.5,5.7,12.2,-0.6,1.1
two_A,base,ETH,pm_approx,3,15.02,0.8,-18.9,-7.3,1.19,0.25,-8.1,-1.1,0,0,29,2,10,0,0,-7.5,17.8,39.7,-2.0,3.4
two_A,base,ETH,pm_approx,5,25.11,1.28,-29.2,-12.0,1.21,0.25,-12.6,-1.9,0,0,29,2,10,0,0,-12.5,30.5,71.5,-3.3,5.7
two_A,base,ETH,pm_approx,10,50.12,2.27,-49.5,-22.7,1.26,0.25,-21.8,-3.8,0,0,29,2,10,0,0,-24.5,65.7,170.4,-6.9,11.5
two_A,base,ETH,pm_approx,15,73.7,2.97,-64.0,-32.4,1.28,0.26,-28.8,-5.6,0,0,29,2,10,0,0,-35.9,105.7,297.8,-10.6,17.4
two_A,base,ETH,pm_approx,20,94.19,3.36,-74.6,-41.1,1.29,0.26,-34.2,-7.5,0,0,29,2,10,0,0,-46.6,150.1,448.9,-14.5,23.5
two_A,deliv_0.02,BTC,cross,1,5.2,-0.71,-7.0,-2.5,1.25,-0.65,-3.1,-0.5,0,0,29,0,10,0,0,-1.5,9.1,8.3,-1.4,0.2
two_A,deliv_0.02,BTC,cross,3,15.49,-2.14,-19.5,-7.3,1.27,-0.65,-8.8,-1.4,0,0,29,0,10,0,0,-4.4,28.1,25.7,-4.2,0.7
two_A,deliv_0.02,BTC,cross,5,25.57,-3.57,-30.3,-11.9,1.29,-0.64,-13.9,-2.4,0,0,29,0,10,0,0,-7.3,48.2,44.2,-6.9,1.1
two_A,deliv_0.02,BTC,cross,10,49.52,-7.15,-51.9,-22.5,1.3,-0.63,-24.2,-4.7,0,0,29,0,10,0,0,-14.6,102.7,93.1,-13.5,2.1
two_A,deliv_0.02,BTC,cross,15,70.92,-10.75,-67.5,-32.1,1.31,-0.62,-32.1,-6.9,0,0,29,0,10,0,0,-21.9,163.1,143.0,-19.7,3.1
two_A,deliv_0.02,BTC,cross,20,88.84,-14.35,-79.0,-40.6,1.3,-0.61,-38.4,-9.1,0,0,29,0,10,0,0,-29.0,228.7,188.5,-25.7,4.0
