asset,contract,day,spread_max_1m_sync,spread_max_5m_sync,spread_min_1m_sync,spread_min_5m_sync,stress_max_1m,stress_max_5m
BTC,221230,2022-11-10,0.018081340067105347,0.018081340067105347,-1.3085744922386058,-1.3182372310569672,3.52825545685168,5.124956119154791
ETH,221230,2022-11-10,-0.07518709051357576,-0.08143131764268023,-0.9352056669922141,-0.9213211303023814,5.034259849661647,8.249455424651632
BTC,240329,2023-10-23,2.687437535683034,2.5950548795621917,1.7168587622988771,1.7694368936010056,5.758584624276409,9.462157567838087
BTC,240329,2023-10-24,2.2237732941786366,2.185306524267322,1.9726514241540205,1.9765938774873177,3.197226232297132,3.890664107361873
BTC,240628,2024-04-08,5.732634016748628,5.714626843680295,4.160909256990032,4.158155786457916,5.8887297094134645,6.090957866646387
ETH,240628,2024-04-08,5.668474926197412,5.655523874578148,4.2252392421576115,4.227451234032867,6.0486142335695785,6.234170763034964
BTC,240628,2024-04-13,3.1753442251386086,3.1672489854276487,0.6343074219979009,0.634937360159105,4.825335984109067,8.60704575014159
ETH,240628,2024-04-13,3.2967163007431544,3.296500834188191,0.6092281644203693,0.626552866102402,5.556962282528446,10.24479967773438
BTC,250627,2025-04-09,1.4816981385672234,1.4794462949582663,1.0319906493089277,1.0637739471230074,2.8860606925842354,4.303136455215915
ETH,250627,2025-05-08,0.7492888412051485,0.7404289055102458,0.5565785656239188,0.5568567706281401,1.9054041170068554,2.8523180716973475
