variant,L,band,cagr_is,sharpe_is,maxdd_is,liq_is,lookback_d,theta,K
always_BTCETH,1,0.02,0.051956940751056946,7.261308469948172,0.022054655211920404,0,,,
always_BTCETH,1,0.05,0.06513498952590413,9.27098352235182,0.011180177292540172,0,,,
always_BTCETH,1,0.1,0.07112423848083083,10.126874770583234,0.01024904937176807,0,,,
always_BTCETH,1,0.2,0.07462438197946453,10.63771897176558,0.00930245624663828,0,,,
always_BTCETH,3,0.02,0.05364436898092695,2.8893489644753756,0.08739899753636027,0,,,
always_BTCETH,3,0.05,0.09381697538869371,5.105315923374584,0.050002792677685926,0,,,
always_BTCETH,3,0.1,0.11080743354130052,6.036538427925885,0.03893750758895642,0,,,
always_BTCETH,3,0.2,0.1245359458906794,6.780424613649638,0.03429391398912507,0,,,
always_BTCETH,5,0.02,0.052871907118793526,1.735747762493935,0.15230392041681773,0,,,
always_BTCETH,5,0.05,0.12209716684417815,4.005662613262298,0.08857230770333924,0,,,
always_BTCETH,5,0.1,0.15066402191156758,4.93798172595576,0.06967236807633592,0,,,
always_BTCETH,5,0.2,0.1733654391335444,5.7101815523831645,0.06017382743850286,0,,,
always_BTCETH,8,0.02,0.049358059316630065,1.0315761629879054,0.2425005863167764,0,,,
always_BTCETH,8,0.05,0.16531359939227652,3.325824138526851,0.1455285299444452,0,,,
always_BTCETH,8,0.1,0.21460609037787126,4.319883383103406,0.11951737064992929,0,,,
always_BTCETH,8,0.2,0.2563613413720569,5.1295105535403875,0.09831671962076538,0,,,
always_BTCETH,10,0.02,0.044578525753382836,0.7591628499714398,0.2994582254690614,0,,,
always_BTCETH,10,0.05,0.18893901320047912,3.037586400018411,0.18576941878225872,0,,,
always_BTCETH,10,0.1,0.25740043606798135,4.092197676595484,0.1471416193829419,0,,,
always_BTCETH,10,0.2,0.3150126084930285,4.9008975794387934,0.12838002628567802,0,,,
always_BTCETH,15,0.02,0.020045457534495714,0.26455637978377555,0.4358577745902775,0,,,
always_BTCETH,15,0.05,0.2341833495844432,2.444980548070212,0.2939328259962053,0,,,
always_BTCETH,15,0.1,0.36339534057804546,3.6526452961270888,0.22427077187105127,0,,,
always_BTCETH,15,0.2,0.44816433841665226,4.435710681643177,0.18393051426106244,0,,,
always_BTCETH,20,0.02,-0.34112609825471385,-0.6322633409191379,0.8410648268489627,1,,,
always_BTCETH,20,0.05,-0.1510447559943453,0.024408624427224343,0.7901814691092351,1,,,
always_BTCETH,20,0.1,-0.4680405391018905,-0.39678220209745757,0.9423587482221962,3,,,
always_BTCETH,20,0.2,-1.0,-2.0362293168478716,1.0,11,,,
rotate_10coins,1,0.05,0.029981298565970427,1.7600803947459664,0.05194033524468855,0,3.0,0.0,1.0
rotate_10coins,1,0.1,0.04250960135933979,2.4905989831305795,0.041827282912660246,0,3.0,0.0,1.0
rotate_10coins,1,0.05,0.02519655812339683,1.8280993201404088,0.07227329141018035,0,3.0,0.0,2.0
rotate_10coins,1,0.1,0.03689133383802767,2.696330763507372,0.05879964107304547,0,3.0,0.0,2.0
rotate_10coins,1,0.05,0.01730944259713474,1.528068784353691,0.07444242995154882,0,3.0,0.0,4.0
rotate_10coins,1,0.1,0.029950531265702685,2.6408582097546014,0.06012626396259091,0,3.0,0.0,4.0
rotate_10coins,1,0.05,0.020592594722663726,1.1925419578048886,0.06760362987952295,0,3.0,0.05,1.0
rotate_10coins,1,0.1,0.03485542077115933,2.0198111398285032,0.04462115496848418,0,3.0,0.05,1.0
rotate_10coins,1,0.05,0.025532078829618055,1.9972323969909995,0.057650971753515634,0,3.0,0.05,2.0
rotate_10coins,1,0.1,0.03717323754867197,2.919913519764102,0.04562715888658375,0,3.0,0.05,2.0
rotate_10coins,1,0.05,0.024178036673971448,2.3817908226389415,0.06091853420836768,0,3.0,0.05,4.0
rotate_10coins,1,0.1,0.0365402318689898,3.591737016860318,0.047830383342884475,0,3.0,0.05,4.0
rotate_10coins,1,0.05,0.044480949251269,3.3733116732005732,0.030173752939498644,0,3.0,0.1,1.0
rotate_10coins,1,0.1,0.05608165187213676,4.209118492626037,0.022810117817669173,0,3.0,0.1,1.0
rotate_10coins,1,0.05,0.039502009964282214,3.809849108120884,0.032932393135196913,0,3.0,0.1,2.0
rotate_10coins,1,0.1,0.050350055267665894,4.847476851450877,0.022391011516567305,0,3.0,0.1,2.0
rotate_10coins,1,0.05,0.03659040240793332,4.096684809694756,0.03241773702534656,0,3.0,0.1,4.0
