variant,family,leverage,cagr_is,cagr_oos,maxdd,maxdd_is,worst_day,liquidations,sharpe_oos,per_year
"wick S1 (best IS CAGR at this L) {""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""lim"", ""tp"": 0.6, ""stop"": 1.0, ""hold"": 30, ""side"": ""long""}; trades IS/OOS 539/193; liq IS/OOS 0/0",wick,3,-0.0657,-0.0125,0.3423,0.5011,-0.0806,0,-0.006,"{""2022"": 0.0618, ""2023"": -0.3577, ""2024"": 0.1957, ""2025"": -0.1106, ""2026"": 0.1011}"
"wick S1 (best IS CAGR at this L) {""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""lim"", ""tp"": 0.6, ""stop"": 1.0, ""hold"": 30, ""side"": ""long""}; trades IS/OOS 539/193; liq IS/OOS 0/0",wick,5,-0.1295,-0.0284,0.5113,0.7056,-0.1337,0,0.017,"{""2022"": 0.0853, ""2023"": -0.5452, ""2024"": 0.336, ""2025"": -0.1801, ""2026"": 0.1626}"
"wick S1 (best IS CAGR at this L) {""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""mkt"", ""tp"": 0.3, ""stop"": 0.5, ""hold"": 240, ""side"": ""long""}; trades IS/OOS 906/323; liq IS/OOS 1/0",wick,10,-0.3403,-0.2941,0.6287,0.7936,-0.1888,0,-0.685,"{""2022"": -0.095, ""2023"": -0.5733, ""2024"": -0.2567, ""2025"": -0.4735, ""2026"": 0.0636}"
"wick S1 (best IS CAGR at this L) {""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""mkt"", ""tp"": 0.3, ""stop"": 0.5, ""hold"": 240, ""side"": ""long""}; trades IS/OOS 889/323; liq IS/OOS 7/1",wick,15,-0.6671,-0.4748,0.7849,0.9777,-0.3025,1,-0.707,"{""2022"": -0.1347, ""2023"": -0.8628, ""2024"": -0.6895, ""2025"": -0.6275, ""2026"": -0.0811}"
"wick S1 (best IS CAGR at this L) {""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""lim"", ""tp"": 0.6, ""stop"": 0.5, ""hold"": 30, ""side"": ""long""}; trades IS/OOS 533/185; liq IS/OOS 11/9",wick,20,-0.8485,-0.7723,0.9384,0.9985,-0.4868,9,-1.244,"{""2022"": -0.6801, ""2023"": -0.9771, ""2024"": -0.5265, ""2025"": -0.9055, ""2026"": -0.0994}"
"POST-HOC stage-2 dip-buy (best IS CAGR at this L) {""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 1000000.0, ""hold"": 240, ""side"": ""long""}; trades IS/OOS 842/302; liq IS/OOS 0/0",wick_stage2_posthoc,1,0.2235,0.0093,0.4693,0.1667,-0.1053,0,0.139,"{""2022"": 0.064, ""2023"": 0.2422, ""2024"": 0.3859, ""2025"": -0.122, ""2026"": 0.1566}"
"POST-HOC stage-2 dip-buy (best IS CAGR at this L) {""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 1000000.0, ""hold"": 240, ""side"": ""long""}; trades IS/OOS 842/302; liq IS/OOS 0/0",wick_stage2_posthoc,3,0.7525,-0.3029,0.7384,0.4609,-0.5762,0,-0.272,"{""2022"": 0.1578, ""2023"": 0.8009, ""2024"": 1.5824, ""2025"": -0.6422, ""2026"": 0.5329}"
"POST-HOC stage-2 dip-buy (best IS CAGR at this L) {""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 1000000.0, ""hold"": 240, ""side"": ""long""}; trades IS/OOS 842/302; liq IS/OOS 0/0",wick_stage2_posthoc,5,0.3259,-0.3203,0.847,0.7317,-0.5957,0,-0.079,"{""2022"": -0.0074, ""2023"": 0.3012, ""2024"": 0.8051, ""2025"": -0.7382, ""2026"": 1.0086}"
"POST-HOC stage-2 dip-buy (best IS CAGR at this L) {""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 2.0, ""hold"": 60, ""side"": ""long""}; trades IS/OOS 878/311; liq IS/OOS 3/3",wick_stage2_posthoc,10,-0.7283,-0.6072,0.968,0.9988,-0.6256,3,-0.146,"{""2022"": -0.0392, ""2023"": -0.9527, ""2024"": -0.5593, ""2025"": -0.9275, ""2026"": 1.9136}"
"POST-HOC stage-2 dip-buy (best IS CAGR at this L) {""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 2.0, ""hold"": 60, ""side"": ""long""}; trades IS/OOS 865/311; liq IS/OOS 12/6",wick_stage2_posthoc,15,-0.9409,-0.854,0.9957,1.0,-0.7218,6,-0.229,"{""2022"": -0.475, ""2023"": -0.9907, ""2024"": -0.9577, ""2025"": -0.9817, ""2026"": 1.2262}"
"POST-HOC stage-2 dip-buy (best IS CAGR at this L) {""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 2.0, ""hold"": 15, ""side"": ""long""}; trades IS/OOS 841/307; liq IS/OOS 32/17",wick_stage2_posthoc,20,-0.9934,-0.9614,0.9989,1.0,-0.8819,17,-0.601,"{""2022"": -0.7734, ""2023"": -0.9994, ""2024"": -0.998, ""2025"": -0.9951, ""2026"": -0.0999}"
