family,cfg_id,cfg,L,period,cagr,maxdd,worst_day,worst_intraday,sharpe,final,per_year,coin_cagr,trades,liq,stops,tps,time_exits,lim_placed,lim_filled,mean_trade,t_trade,win_rate
wick,1000,"{""w"": 5, ""z"": 10, ""V"": 3, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 1000000.0, ""hold"": 15, ""side"": ""long""}",20,IS,-0.9973225021755007,0.9999999907920237,-0.8125510893597037,-0.8640417567308514,-1.7819869225841314,1.911730884919419e-08,"{""2022"": -0.9393, ""2023"": -0.9993, ""2024"": -0.9996}","{""BTC"": -1.0, ""ETH"": -1.0, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}",908,36,132,0,740,0,0,-0.05783982447510195,-4.162574480656014,0.5561674008810573
wick,1000,"{""w"": 5, ""z"": 10, ""V"": 3, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 1000000.0, ""hold"": 15, ""side"": ""long""}",20,OOS,-0.9509676415778194,0.9986149373659878,-0.8687560451160444,-0.8973979442381128,-0.46233740075681756,0.0066093728493389564,"{""2025"": -0.9931, ""2026"": -0.0459}","{""BTC"": 0.1952, ""ETH"": -0.4883, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}",322,18,24,0,280,0,0,-0.03077638596716561,-1.3689478808872948,0.5434782608695652
wick,1001,"{""w"": 5, ""z"": 10, ""V"": 3, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 2.0, ""hold"": 15, ""side"": ""long""}",1,IS,-0.07498504949515306,0.3417577066062929,-0.08512656777928762,-0.08656657711548987,-0.6501216696865552,0.7914492761947695,"{""2022"": -0.0179, ""2023"": -0.1166, ""2024"": -0.0878}","{""BTC"": -0.1285, ""ETH"": -0.0977, ""SOL"": -0.0013, ""XRP"": -0.1035, ""DOGE"": -0.1285, ""AVAX"": -0.0377, ""LINK"": -0.0731}",976,0,89,0,887,0,0,-0.0015012026686287308,-1.8017498841326027,0.5901639344262295
wick,1001,"{""w"": 5, ""z"": 10, ""V"": 3, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 2.0, ""hold"": 15, ""side"": ""long""}",1,OOS,-0.046543199064852936,0.15883184459832345,-0.06764566345732137,-0.07389247383024566,-0.43140237049162533,0.9237282049854691,"{""2025"": -0.0956, ""2026"": 0.0214}","{""BTC"": 0.0107, ""ETH"": 0.0149, ""SOL"": -0.0463, ""XRP"": -0.0246, ""DOGE"": -0.058, ""AVAX"": -0.149, ""LINK"": -0.0896}",336,0,28,0,308,0,0,-0.001501563849904771,-1.1623760314756568,0.5505952380952381
wick,1001,"{""w"": 5, ""z"": 10, ""V"": 3, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 2.0, ""hold"": 15, ""side"": ""long""}",3,IS,-0.25222014319346364,0.76280371834225,-0.25537970333786286,-0.26130998544615747,-0.6824417704023603,0.4180564126736999,"{""2022"": -0.0743, ""2023"": -0.3509, ""2024"": -0.3042}","{""BTC"": -0.3576, ""ETH"": -0.3099, ""SOL"": -0.1098, ""XRP"": -0.3848, ""DOGE"": -0.4338, ""AVAX"": -0.2243, ""LINK"": -0.2968}",976,0,89,0,887,0,0,-0.004503608005886209,-1.8017498841326094,0.5901639344262295
wick,1001,"{""w"": 5, ""z"": 10, ""V"": 3, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 2.0, ""hold"": 15, ""side"": ""long""}",3,OOS,-0.15670225855587294,0.4174931206884447,-0.20095583279367735,-0.22249330766328823,-0.4186652018242295,0.7529859715188544,"{""2025"": -0.2756, ""2026"": 0.0394}","{""BTC"": 0.0248, ""ETH"": 0.0154, ""SOL"": -0.1827, ""XRP"": -0.128, ""DOGE"": -0.2115, ""AVAX"": -0.4469, ""LINK"": -0.2994}",336,0,28,0,308,0,0,-0.004504691549714325,-1.1623760314756604,0.5505952380952381
wick,1001,"{""w"": 5, ""z"": 10, ""V"": 3, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 2.0, ""hold"": 15, ""side"": ""long""}",5,IS,-0.4723661287446639,0.9445103657646291,-0.4256328388964381,-0.4415106457909924,-0.7510809484200448,0.14682768400732787,"{""2022"": -0.1572, ""2023"": -0.609, ""2024"": -0.5544}","{""BTC"": -0.5472, ""ETH"": -0.5224, ""SOL"": -0.5562, ""XRP"": -0.6873, ""DOGE"": -0.7271, ""AVAX"": -0.5242, ""LINK"": -0.5741}",976,0,90,0,886,0,0,-0.008020036472491289,-1.896881871534663,0.5901639344262295
wick,1001,"{""w"": 5, ""z"": 10, ""V"": 3, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 2.0, ""hold"": 15, ""side"": ""long""}",5,OOS,-0.28386515671270796,0.6093803749444193,-0.33163270382006826,-0.37206013350619116,-0.40543065911156945,0.573617544959156,"{""2025"": -0.437, ""2026"": 0.0188}","{""BTC"": 0.0289, ""ETH"": -0.0261, ""SOL"": -0.3656, ""XRP"": -0.3114, ""DOGE"": -0.3995, ""AVAX"": -0.7076, ""LINK"": -0.5277}",336,0,28,0,308,0,0,-0.007507819249523883,-1.1623760314756617,0.5505952380952381
wick,1001,"{""w"": 5, ""z"": 10, ""V"": 3, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 2.0, ""hold"": 15, ""side"": ""long""}",10,IS,-0.8794363771728113,0.9997869990723028,-0.7094025604311145,-0.7094025604311145,-1.1012788485725304,0.0017499272569511974,"{""2022"": -0.5223, ""2023"": -0.959, ""2024"": -0.9107}","{""BTC"": -0.8533, ""ETH"": -0.8977, ""SOL"": -0.9685, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -0.9691}",969,4,102,0,863,0,0,-0.02243060486744534,-2.7715827992834736,0.5779153766769866
wick,1001,"{""w"": 5, ""z"": 10, ""V"": 3, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 2.0, ""hold"": 15, ""side"": ""long""}",10,OOS,-0.6534858600688613,0.9125541881021475,-0.5562455905044659,-0.6580246316319869,-0.44407908845591537,0.17132210435220432,"{""2025"": -0.8149, ""2026"": -0.0745}","{""BTC"": -0.0053, ""ETH"": -0.3225, ""SOL"": -0.8998, ""XRP"": -0.7936, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}",332,3,28,0,301,0,0,-0.017308700208930206,-1.3361363073709274,0.5572289156626506
wick,1001,"{""w"": 5, ""z"": 10, ""V"": 3, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 2.0, ""hold"": 15, ""side"": ""long""}",15,IS,-0.9727885768275346,0.9999957278451964,-0.7401752223688871,-0.8167692967128474,-1.3343320862827655,2.00993685781196e-05,"{""2022"": -0.6769, ""2023"": -0.9881, ""2024"": -0.9948}","{""BTC"": -0.9675, ""ETH"": -1.0, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}",950,17,116,0,817,0,0,-0.03272283652763479,-2.9704327367324175,0.5705263157894737
wick,1001,"{""w"": 5, ""z"": 10, ""V"": 3, ""entry"": ""mkt"", ""tp"": 1000000.0, ""stop"": 2.0, ""hold"": 15, ""side"": ""long""}",15,OOS,-0.8283082169316612,0.983703956307972,-0.6170950091430225,-0.6442086512982115,-0.46061825516500005,0.05322968234194012,"{""2025"": -0.9334, ""2026"": -0.201}","{""BTC"": -0.1, ""ETH"": -0.4519, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -0.9898, ""AVAX"": -1.0, ""LINK"": -1.0}",332,5,37,0,290,0,0,-0.026330785233745806,-1.4678000214490246,0.5542168674698795
