rule,family,L,period,cfg_id,cfg,cagr,maxdd,worst_day,worst_intraday,sharpe,liq,trades,per_year,coin_cagr
S1_bestIS_CAGR_at_L,grid,20,OOS,16,"{""g"": 0.01, ""N"": 5, ""centre"": ""ema168"", ""brk"": ""stop""}",-0.9999999999999972,1.0,-0.9917030113391964,-0.9976991079354692,-2.683044469541861,35,48750,"{""2025"": -1.0, ""2026"": -1.0}","{""BTC"": -1.0, ""ETH"": -1.0, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S1_bestIS_CAGR_at_L,orb,1,IS,97,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 0, ""filt"": ""narrow""}",0.0452055499807171,0.2081457051653995,-0.0193061088415334,-0.0211677771106841,0.3478076659499212,0,2664,"{""2022"": 0.1664, ""2023"": 0.1152, ""2024"": -0.1222}","{""BTC"": 0.0345, ""ETH"": 0.0945, ""SOL"": 0.1315, ""XRP"": 0.1702, ""DOGE"": -0.0819, ""AVAX"": 0.159, ""LINK"": -0.2535}"
S1_bestIS_CAGR_at_L,orb,1,OOS,97,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 0, ""filt"": ""narrow""}",-0.1235700726967963,0.282700395931131,-0.0194098543210791,-0.0194098543210791,-0.5750103509853951,0,1492,"{""2025"": -0.0036, ""2026"": -0.1942}","{""BTC"": -0.2342, ""ETH"": 0.0346, ""SOL"": -0.1279, ""XRP"": -0.0538, ""DOGE"": -0.1284, ""AVAX"": -0.2116, ""LINK"": -0.1917}"
S1_bestIS_CAGR_at_L,orb,3,IS,97,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 0, ""filt"": ""narrow""}",0.0648983134262413,0.5737105333665387,-0.0576364029613809,-0.0635763748610781,0.3573021215391046,0,2664,"{""2022"": 0.4734, ""2023"": 0.2758, ""2024"": -0.3576}","{""BTC"": 0.0357, ""ETH"": 0.1713, ""SOL"": 0.1756, ""XRP"": 0.2486, ""DOGE"": -0.3128, ""AVAX"": 0.2577, ""LINK"": -0.6395}"
S1_bestIS_CAGR_at_L,orb,3,OOS,97,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 0, ""filt"": ""narrow""}",-0.3960476827240121,0.666052801329118,-0.0579138852370841,-0.0579138852370841,-0.598579505105943,0,1492,"{""2025"": -0.1412, ""2026"": -0.497}","{""BTC"": -0.5662, ""ETH"": -0.036, ""SOL"": -0.4363, ""XRP"": -0.2904, ""DOGE"": -0.4226, ""AVAX"": -0.6143, ""LINK"": -0.5856}"
S1_bestIS_CAGR_at_L,orb,5,IS,97,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 0, ""filt"": ""narrow""}",-0.0014367485351642,0.8114137104245149,-0.0958315853906021,-0.1060880580954787,0.3685235943974095,0,2664,"{""2022"": 0.7013, ""2023"": 0.3324, ""2024"": -0.5608}","{""BTC"": -0.0461, ""ETH"": 0.0952, ""SOL"": -0.0469, ""XRP"": 0.0863, ""DOGE"": -0.5571, ""AVAX"": 0.0588, ""LINK"": -0.8543}"
S1_bestIS_CAGR_at_L,orb,5,OOS,97,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 0, ""filt"": ""narrow""}",-0.6309324211218874,0.8739357666001666,-0.0959786229177259,-0.0959786229177259,-0.6189870682532597,0,1492,"{""2025"": -0.3633, ""2026"": -0.7012}","{""BTC"": -0.7654, ""ETH"": -0.2329, ""SOL"": -0.6968, ""XRP"": -0.5535, ""DOGE"": -0.678, ""AVAX"": -0.8514, ""LINK"": -0.8298}"
S1_bestIS_CAGR_at_L,orb,10,IS,99,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 1, ""filt"": ""narrow""}",-0.2467647998641988,0.9488222448472676,-0.1985752356540301,-0.2136583898705919,0.1153630354106396,0,2664,"{""2022"": 0.3829, ""2023"": -0.381, ""2024"": -0.5008}","{""BTC"": 0.1995, ""ETH"": -0.3182, ""SOL"": -0.4917, ""XRP"": -0.6871, ""DOGE"": -0.7594, ""AVAX"": -0.5479, ""LINK"": -0.9568}"
S1_bestIS_CAGR_at_L,orb,10,OOS,99,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 1, ""filt"": ""narrow""}",-0.860566882314094,0.97236688731774,-0.1903779657874494,-0.1903779657874494,-1.6383359749780078,0,1492,"{""2025"": -0.67, ""2026"": -0.8859}","{""BTC"": -0.8854, ""ETH"": -0.5683, ""SOL"": -0.9606, ""XRP"": -0.7444, ""DOGE"": -0.9461, ""AVAX"": -0.9875, ""LINK"": -0.9499}"
S1_bestIS_CAGR_at_L,orb,15,IS,99,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 1, ""filt"": ""narrow""}",-0.4945805015336176,0.9928460612523378,-0.3043730099214654,-0.3265144263048392,0.1572331947551504,0,2664,"{""2022"": 0.0402, ""2023"": -0.5609, ""2024"": -0.7175}","{""BTC"": -0.1243, ""ETH"": -0.6947, ""SOL"": -0.8999, ""XRP"": -0.9027, ""DOGE"": -0.953, ""AVAX"": -0.9193, ""LINK"": -0.9971}"
