V,period,h,n,n_days,gross_bp,median_bp,t_naive,t_dayclustered,net_bp,mean_cost_bp,t_net_day,loco_min_bp,loco_min_coin,lomo_min_bp,lomo_min_month,gross_bp_ex_top5days,top5_days,share_sum_top5
3,IS,15,842,247,35.84964569593482,46.33780496704598,4.924228693366251,7.618607992186994,9.424500457246438,26.42514523868838,4.479246387595146,32.597129342352545,LINK,29.849229561218888,2024-12,25.280118630287063,"2024-12-09, 2022-11-08, 2024-03-05, 2024-08-05, 2023-12-26",0.3291666203343821
3,IS,60,842,247,48.388774793037975,44.72924509186571,6.033199221014369,6.602871134976959,22.854335196196082,25.534439596841892,4.201200900976359,42.56118791483037,AVAX,40.71481010500308,2022-05,33.06707181356583,"2022-05-11, 2024-08-05, 2024-12-09, 2022-09-21, 2024-01-09",0.3466665389295377
3,OOS,15,302,93,34.09918435397762,37.60498615529295,3.875699347699182,3.8945561647589666,8.380835886026185,25.718348467951433,1.5330839207306541,32.55342936542895,AVAX,26.223162077909485,2025-01,10.014771195302433,"2025-01-13, 2026-01-31, 2025-10-29, 2026-05-17, 2026-03-29",0.7393697073154885
3,OOS,60,302,93,38.58027378233309,48.58526039939748,2.659762016905976,2.8623825253186004,13.48682150071628,25.093452281616816,1.5862700239193308,33.18576878445458,SOL,28.747692880319267,2025-01,5.443125720159028,"2025-01-13, 2026-06-04, 2026-02-06, 2026-01-31, 2026-03-08",0.8719950748606591
10,IS,15,776,237,44.01572617241775,46.513830768859506,5.0896658163227695,6.144430495800661,17.89290261651314,26.122823555904606,4.010760434782966,37.25445461641298,DOGE,36.34147121584586,2024-12,27.6519079531538,"2024-12-09, 2022-05-11, 2024-03-05, 2024-08-05, 2022-08-19",0.4009166774209818
10,IS,60,776,237,52.70115885019314,45.662359197770066,5.59186708568936,5.2131241284814225,27.50839656399998,25.192762286193165,3.6663218036491423,47.14640842079016,DOGE,44.96991978434278,2022-05,35.13762774823498,"2022-05-11, 2024-12-09, 2024-08-05, 2022-08-19, 2024-03-05",0.36419744182793984
10,OOS,15,287,90,44.72411843192431,39.39851598923072,4.687089997073249,4.39645761169818,19.33348263194078,25.390635799983524,2.0696246106775344,42.21601178597695,AVAX,37.89199128908865,2025-01,19.389348483332736,"2025-01-13, 2025-10-29, 2026-01-31, 2026-08-22, 2026-05-17",0.6178269556776863
10,OOS,60,287,90,49.07714564273566,49.3935073052576,3.1932143099422516,3.082263251928537,24.341087133043033,24.736058509692633,1.858845176726244,41.98094636511662,SOL,39.72663124563771,2026-06,14.054449992390913,"2025-01-13, 2026-06-04, 2026-02-06, 2026-01-31, 2026-08-22",0.7405665268067183
