side,h0,h1,per,n,mean,median,t,hit,mae_p90,mae_max,port_sharpe
-1,1,4,IS,47,-0.0008375980565593019,-0.00190612720128091,-0.059168403443880906,0.46808510638297873,0.21220294668409712,0.3955491744436468,-0.03449814460924047
-1,1,4,OOS,99,-0.025493507959381354,-0.004759698148803165,-1.4545201327215203,0.47474747474747475,0.25606712092603234,1.0444650301065308,-1.0577548733776616
-1,1,12,IS,47,-0.0010494641603191893,0.005614678899082743,-0.05052421279891395,0.5319148936170213,0.3613045618940522,0.7066820276497696,-0.028581387818511144
-1,1,12,OOS,99,-0.05907519343407122,0.006014827018121955,-1.0476806945447963,0.5252525252525253,0.44644295689847235,8.792728114867995,-0.8072397128938917
-1,1,24,IS,47,-0.03806326783961716,0.0237443365695792,-0.9851629800803523,0.5319148936170213,0.459609817774866,1.4985969387755103,-0.5570913605434256
-1,1,24,OOS,99,-0.03560707164965101,0.017745269286753913,-1.1107218918562836,0.5757575757575758,0.6177508752785489,8.792728114867995,-0.7782550781167196
-1,1,48,IS,47,-0.13640959177949502,0.0032664576802509176,-1.4627790652396468,0.5106382978723404,0.7552889920907426,4.495728368017525,-0.8308167302838685
-1,1,48,OOS,99,0.025738424487963058,0.03708872377622386,0.9439250483106275,0.5959595959595959,0.733470705466259,8.792728114867995,0.6812142727316611
-1,1,72,IS,47,-0.11409012370415286,0.02318433179723512,-1.4064498383105069,0.5106382978723404,0.8868597830118005,4.495728368017525,-0.7932681250195178
-1,1,72,OOS,99,0.05039777865447764,0.08053894080996893,1.7211115296691661,0.6161616161616161,0.8136559677390611,8.792728114867995,1.287217917010264
-1,2,4,IS,47,0.0006213892951067451,0.007911014911014987,0.05876327629220224,0.574468085106383,0.09842884187146474,0.29282669810465234,0.034512542537436734
-1,2,4,OOS,99,-0.00936384164100956,-0.0010839010397992671,-0.9231957491666805,0.494949494949495,0.22342370833306982,0.6679582712369596,-0.7036673348594777
-1,2,12,IS,47,-0.000753612315055306,-0.004793576857072817,-0.03804240239960763,0.48936170212765956,0.31518083239604777,0.642350332594235,-0.021890421264399825
-1,2,12,OOS,99,-0.025137704508496898,0.024016042780748655,-0.7677673041880994,0.5656565656565656,0.34210072325340485,4.968242766407904,-0.5867489713837066
-1,2,24,IS,47,-0.03830409718336879,-0.003322628095121399,-0.9521978369777289,0.46808510638297873,0.44298003312709194,1.8727086083003375,-0.5439377449861514
-1,2,24,OOS,99,-0.014496549652173549,0.013572811617587839,-0.5839965890566962,0.5757575757575758,0.6196233292831107,4.968242766407904,-0.4028706663348638
-1,2,48,IS,47,-0.12700193147403377,-0.009752293577981568,-1.5379427001497616,0.48936170212765956,0.6817936758963842,3.8135072908672294,-0.8719697826455882
-1,2,48,OOS,99,0.03993884244791919,0.0683714347684633,1.6127935080027498,0.6363636363636364,0.6329841208330542,4.968242766407904,1.2048705424352788
-1,2,72,IS,47,-0.10653039146706113,0.01872393822393815,-1.4447362973753264,0.5106382978723404,0.8283870446717153,3.8135072908672294,-0.8130678768285243
-1,2,72,OOS,99,0.0615221351833724,0.12949190553987822,2.166973367587998,0.6363636363636364,0.8452576824583866,4.968242766407904,1.6402484354217848
-1,4,12,IS,47,-0.007665435272481718,0.005021857923497303,-0.4766227935529786,0.5106382978723404,0.25377872848808725,0.5332229352101012,-0.26940420216121364
-1,4,12,OOS,99,-0.02313395430561569,0.012638242894056802,-0.7780304034321697,0.5454545454545454,0.2944049178628548,4.6297430435361475,-0.5923275680070298
-1,4,24,IS,47,-0.04510804649984668,-0.007492368291481915,-1.1932336720080334,0.46808510638297873,0.3403369932828736,1.7474053295932683,-0.6775933204305706
-1,4,24,OOS,99,-0.014312464259129118,0.0255640214985774,-0.6230181233644652,0.5555555555555556,0.5821501281889632,4.6297430435361475,-0.435176805639579
-1,4,48,IS,47,-0.13799891571238987,-0.015072862761332899,-1.6490336445478786,0.46808510638297873,0.5941054178126873,3.9076682316118934,-0.9330134844879976
-1,4,48,OOS,99,0.038655037617930744,0.05945331325301207,1.6071609523073496,0.6363636363636364,0.6423856191691883,4.6297430435361475,1.221931462171208
-1,4,72,IS,47,-0.11660001994776353,0.02492795742939003,-1.5612193503026834,0.5531914893617021,0.8559121528568412,3.9076682316118934,-0.8777036873097417
-1,4,72,OOS,99,0.06054600644155519,0.11941457355782503,2.090591150240169,0.6262626262626263,0.6795936510302063,4.6297430435361475,1.6009696571138552
-1,6,12,IS,47,0.01396170985665854,0.020739332816136494,1.0413297285322867,0.6170212765957447,0.11220113881270853,0.4413309982486864,0.6022990745664882
-1,6,12,OOS,99,-0.019293210864027337,0.005821417581290403,-0.9476684363091822,0.5353535353535354,0.2300902479635036,3.175471511800139,-0.7201284360884496
-1,6,24,IS,47,-0.021343944558528578,0.004711721817162065,-0.6462279306418061,0.5106382978723404,0.32862001320580825,1.382782684549122,-0.3749277258412655
-1,6,24,OOS,99,-0.01654519309220006,0.02774295473953881,-0.7913316321868102,0.5555555555555556,0.6130184545219456,3.175471511800139,-0.553065070661733
-1,6,48,IS,47,-0.11972023656261503,0.00997814207650272,-1.3567867909595317,0.5319148936170213,0.5115386659669234,4.287249736564805,-0.776566401620068
-1,6,48,OOS,99,0.03475789222882004,0.05454968851972719,1.4641860814009384,0.6363636363636364,0.6248138528138527,3.175471511800139,1.1115591588767297
-1,6,72,IS,47,-0.09741367822850137,0.013156649251437783,-1.2684247476961255,0.5319148936170213,0.7457881210716509,4.287249736564805,-0.7224631776060774
-1,6,72,OOS,99,0.057670687270497206,0.12012227993822822,2.0433362333934313,0.6666666666666666,0.6627455620736535,3.175471511800139,1.5668062646608438
-1,12,24,IS,47,-0.03567655764044048,-0.004273344651952391,-1.3896772263586348,0.46808510638297873,0.27275369718894,1.126465479808945,-0.8104664961128404
-1,12,24,OOS,99,-0.008665547482696798,0.012538847117794408,-0.49690067780671704,0.5858585858585859,0.349283756190086,1.0937170937170935,-0.39333527404894914
-1,12,48,IS,47,-0.14134864353167378,-0.008841852701856886,-1.564064925388313,0.48936170212765956,0.5673969981637184,4.431478675037887,-0.8916797549154041
-1,12,48,OOS,99,0.036536689059721884,0.05895025063841852,1.6235953588520802,0.6464646464646465,0.47882984947507323,1.4687609687609684,1.205196624238578
-1,12,72,IS,47,-0.12184945989585864,-0.0002500000000000809,-1.5005823269160152,0.48936170212765956,0.7447991731769863,4.431478675037887,-0.8611579851500746
-1,12,72,OOS,99,0.06125571116834745,0.0960367248645394,2.4100021437702344,0.6868686868686869,0.5629706470578172,1.4687609687609684,1.8667543831441598
-1,24,48,IS,47,-0.08499468125280389,0.014903160179031597,-1.4172347360824953,0.6170212765957447,0.3087455483920486,2.948378973874725,-0.810620284120481
-1,24,48,OOS,99,0.04405842124373772,0.03849194438313841,2.895668742935462,0.6666666666666666,0.2402903877700048,0.9074137341988384,2.1846358401972337
-1,24,72,IS,47,-0.07063908455574477,0.027050083472454193,-1.2279546417410938,0.5531914893617021,0.3969651162790697,3.106956282650536,-0.7033501243175628
-1,24,72,OOS,99,0.06654674536215238,0.07461385503527906,3.322154627914058,0.6666666666666666,0.3703982494653919,0.9074137341988384,2.5080451766464202
1,1,4,IS,47,-0.01316240194344071,-0.01209387279871909,-0.9297995648165442,0.425531914893617,0.1872603164623535,0.26904334444729416,-0.5376275508566225
1,1,4,OOS,99,0.011493507959381345,-0.009240301851196835,0.6557567028104235,0.43434343434343436,0.20206296258033873,0.47840578682362944,0.48363677158261187
1,1,12,IS,47,-0.012950535839680822,-0.019614678899082742,-0.6234759159617121,0.44680851063829785,0.25317192359457424,0.37194462470257406,-0.3504984130385219
1,1,12,OOS,99,0.045075193434071216,-0.020014827018121954,0.7993949273556235,0.3939393939393939,0.29432526407904375,0.5674065669101482,0.6174998907662215
1,1,24,IS,47,0.02406326783961716,-0.0377443365695792,0.6228114925717154,0.425531914893617,0.2847834942123612,0.4276443867618429,0.3542766397059815
1,1,24,OOS,99,0.021607071649650998,-0.03174526928675391,0.6740078975410451,0.40404040404040403,0.3424383993157882,0.5674065669101482,0.4751574723522074
1,1,48,IS,47,0.12240959177949501,-0.017266457680250917,1.3126510086550407,0.46808510638297873,0.29328416189828344,0.4347285312567597,0.7487420139649877
1,1,48,OOS,99,-0.03973842448796305,-0.05108872377622386,-1.457357822042716,0.3838383838383838,0.4298430754905695,0.6021558754698249,-1.0505288714214598
1,1,72,IS,47,0.1000901237041529,-0.03718433179723512,1.233864367306847,0.48936170212765956,0.32941264200808634,0.4347285312567597,0.6991388729970585
1,1,72,OOS,99,-0.06439777865447761,-0.09453894080996894,-2.1992191379541493,0.35353535353535354,0.473870629393815,0.6949861711935323,-1.6355257172475055
1,2,4,IS,47,-0.014621389295106752,-0.021911014911014985,-1.3827092704849522,0.2978723404255319,0.13154323924967626,0.18877551020408156,-0.8005913858540878
1,2,4,OOS,99,-0.004636158358990452,-0.012916098960200732,-0.4570860821416137,0.37373737373737376,0.14326887669747754,0.31830790568654643,-0.3494598560196977
1,2,12,IS,47,-0.013246387684944707,-0.009206423142927182,-0.6686785772800057,0.46808510638297873,0.21920578564432627,0.32792541477022474,-0.38240653505650085
1,2,12,OOS,99,0.011137704508496887,-0.03801604278074865,0.3401728810378004,0.3838383838383838,0.26711339718728644,0.5028366111951589,0.2603360307624718
1,2,24,IS,47,0.02430409718336879,-0.0106773719048786,0.6041731947607004,0.46808510638297873,0.26700916667105146,0.3681194029850746,0.3471755373938771
1,2,24,OOS,99,0.0004965496521735316,-0.027572811617587838,0.020003608453350318,0.40404040404040403,0.30541342686598033,0.5039517825666686,0.013836711380156356
1,2,48,IS,47,0.11300193147403376,-0.004247706422018432,1.3684082879388826,0.48936170212765956,0.30680832696125027,0.3866172368227867,0.7798286375535549
1,2,48,OOS,99,-0.0539388424479192,-0.08237143476846331,-2.1781356092787694,0.32323232323232326,0.3900178896226977,0.5716476401431249,-1.6137946493305941
1,2,72,IS,47,0.09253039146706109,-0.03272393822393815,1.2548720916335445,0.48936170212765956,0.318876664359763,0.39280589304505875,0.7099214613160945
