sym,i,entry_t,entry_px,notional,exit_px,exit_t,ret,reason,entry_time,exit_time
GRASSUSDT,217,25839,3.1143,0.34894836635986365,2.6471,25935,0.15001766046944742,end,2024-11-11 15:00:00,2024-11-15 15:00:00
PNUTUSDT,220,25908,1.8793,0.13944346292073545,1.59477,26004,0.15140211780982282,end,2024-11-14 12:00:00,2024-11-18 12:00:00
SLERFUSDT,226,26147,0.316,0.468394091540144,0.2673,26243,0.15411392405063296,end,2024-11-24 11:00:00,2024-11-28 11:00:00
MORPHOUSDT,231,26294,1.4935,0.3755451171318271,1.5966,26390,-0.06903247405423496,end,2024-11-30 14:00:00,2024-12-04 14:00:00
MOVEUSDT,237,26582,0.6834,0.21514064667794225,0.6024,26678,0.1185250219490781,end,2024-12-12 14:00:00,2024-12-16 14:00:00
VIRTUALUSDT,238,26604,2.3178,0.47728697915904894,2.7082,26700,-0.1684355854689792,end,2024-12-13 12:00:00,2024-12-17 12:00:00
MEUSDT,242,26609,4.237,0.31184699491848245,3.108,26705,0.2664621194241208,end,2024-12-13 17:00:00,2024-12-17 17:00:00
VANAUSDT,247,26749,16.292,0.2918065103214539,16.462,26845,-0.010434569113675352,end,2024-12-19 13:00:00,2024-12-23 13:00:00
PENGUUSDT,248,26776,0.026731,0.29248195179255043,0.037033,26872,-0.38539523399798004,end,2024-12-20 16:00:00,2024-12-24 16:00:00
FARTCOINUSDT,251,26850,0.7364,0.2403273109142809,1.1046,26875,-0.5,stop,2024-12-23 18:00:00,2024-12-24 19:00:00
GRIFFAINUSDT,259,27157,0.39645,0.1757091516413989,0.3595,27253,0.09320216925211255,end,2025-01-05 13:00:00,2025-01-09 13:00:00
AI16ZUSDT,260,27157,1.8488,0.1563469805056963,1.4194,27253,0.23225876244050192,end,2025-01-05 13:00:00,2025-01-09 13:00:00
ZEREBROUSDT,261,27158,0.5026,0.2003437437241844,0.303,27254,0.39713489852765627,end,2025-01-05 14:00:00,2025-01-09 14:00:00
BIOUSDT,262,27180,0.7362,0.1938862078787052,0.5121,27276,0.30440097799511,end,2025-01-06 12:00:00,2025-01-10 12:00:00
ALCHUSDT,263,27275,0.14664,0.17652708819756113,0.1105,27371,0.2464539007092198,end,2025-01-10 11:00:00,2025-01-14 11:00:00
SONICUSDT,266,27295,0.7706,0.19099366794338873,0.7294,27391,0.05346483259797552,end,2025-01-11 07:00:00,2025-01-15 07:00:00
SOLVUSDT,270,27516,0.0807,0.1531386439665856,0.0685,27612,0.15117719950433695,end,2025-01-20 12:00:00,2025-01-24 12:00:00
TRUMPUSDT,273,27541,38.308,0.06218844990438238,27.142,27637,0.29147958650934536,end,2025-01-21 13:00:00,2025-01-25 13:00:00
ANIMEUSDT,276,27665,0.0571,0.20425524293593078,0.0459,27761,0.19614711033274945,end,2025-01-26 17:00:00,2025-01-30 17:00:00
VINEUSDT,278,27682,0.29523,0.0641866690074431,0.19073,27778,0.3539613182942113,end,2025-01-27 10:00:00,2025-01-31 10:00:00
BERAUSDT,280,27999,5.444,0.1677815251331429,5.742,28095,-0.05473916238060261,end,2025-02-09 15:00:00,2025-02-13 15:00:00
LAYERUSDT,282,28119,0.8107,0.1470752937217797,0.6252,28215,0.22881460466263726,end,2025-02-14 15:00:00,2025-02-18 15:00:00
IPUSDT,285,28169,1.68442,0.16924862136151392,2.52663,28230,-0.5,stop,2025-02-16 17:00:00,2025-02-19 06:00:00
KAITOUSDT,288,28333,1.5002,0.09648443489449067,2.2503,28407,-0.5000000000000002,stop,2025-02-23 13:00:00,2025-02-26 15:00:00
BRUSDT,299,29028,0.2082,0.2356321146841934,0.0997,29124,0.5211335254562921,end,2025-03-24 12:00:00,2025-03-28 12:00:00
PARTIUSDT,304,29125,0.3164,0.1811786062381338,0.2171,29221,0.3138432364096082,end,2025-03-28 13:00:00,2025-04-01 13:00:00
JELLYJELLYUSDT,305,29152,0.01546,0.23710698788414147,0.01228,29248,0.20569210866752918,end,2025-03-29 16:00:00,2025-04-02 16:00:00
GUNUSDT,310,29269,0.0452,0.1880792872900614,0.0678,29333,-0.5,stop,2025-04-03 13:00:00,2025-04-06 05:00:00
ATHUSDT,311,29319,0.03046,0.28012435464488766,0.02743,29415,0.09947472094550236,end,2025-04-05 15:00:00,2025-04-09 15:00:00
PROMPTUSDT,314,29526,0.4438,0.09652115417944579,0.2243,29622,0.4945921586300135,end,2025-04-14 06:00:00,2025-04-18 06:00:00
WCTUSDT,320,29627,0.3538,0.11956462323340952,0.5307,29668,-0.4999999999999998,stop,2025-04-18 11:00:00,2025-04-20 04:00:00
MEMEFIUSDT,327,29863,0.003356,0.14381848667536318,0.005034,29874,-0.5,stop,2025-04-28 07:00:00,2025-04-28 18:00:00
SIGNUSDT,329,29939,0.09315,0.08944477443374096,0.079,30035,0.15190552871712293,end,2025-05-01 11:00:00,2025-05-05 11:00:00
SOONUSDT,349,30536,0.38351,0.24760477726710564,0.377,30632,0.016974785533623638,end,2025-05-26 08:00:00,2025-05-30 08:00:00
HUMAUSDT,350,30613,0.053264,0.24587664001573994,0.039111,30709,0.26571417843196155,end,2025-05-29 13:00:00,2025-06-02 13:00:00
AUSDT,351,30656,0.621,0.25781056839833083,0.64599,30752,-0.040241545893719755,end,2025-05-31 08:00:00,2025-06-04 08:00:00
SOPHUSDT,352,30661,0.051282,0.2286233688101468,0.05676,30757,-0.10682110682110668,end,2025-05-31 13:00:00,2025-06-04 13:00:00
MERLUSDT,353,30680,0.1205,0.2566741629446042,0.1056,30776,0.12365145228215768,end,2025-06-01 08:00:00,2025-06-05 08:00:00
HYPEUSDT,354,30706,32.795,0.24904387078666673,34.629,30802,-0.05592315901814282,end,2025-06-02 10:00:00,2025-06-06 10:00:00
RESOLVUSDT,362,30973,0.24486,0.1343116185571744,0.24241,31069,0.010005717552887372,end,2025-06-13 13:00:00,2025-06-17 13:00:00
SPKUSDT,366,31137,0.04227,0.22133504595394388,0.04385,31233,-0.03737875561864201,end,2025-06-20 09:00:00,2025-06-24 09:00:00
OLUSDT,372,31331,0.0291,0.23501731288126343,0.02817,31427,0.031958762886597936,end,2025-06-28 11:00:00,2025-07-02 11:00:00
SAHARAUSDT,373,31356,0.10355,0.1856436550320683,0.07975,31452,0.22984065668759057,end,2025-06-29 12:00:00,2025-07-03 12:00:00
TREEUSDT,390,32150,0.5489,0.2113404641617262,0.4356,32246,0.2064128256513027,end,2025-08-01 14:00:00,2025-08-05 14:00:00
USELESSUSDT,402,32556,0.2954,0.20618328530751548,0.2199,32652,0.2555856465809072,end,2025-08-18 12:00:00,2025-08-22 12:00:00
WLFIUSDT,407,32744,0.2475,0.16342876531897238,0.2735,32840,-0.10505050505050506,end,2025-08-26 08:00:00,2025-08-30 08:00:00
LINEAUSDT,413,32960,0.02503,0.23099977149815815,0.02693,33056,-0.07590890930882943,end,2025-09-04 08:00:00,2025-09-08 08:00:00
BARDUSDT,430,33371,1.0523,0.2703697988985966,1.0579,33467,-0.005321676328043479,end,2025-09-21 11:00:00,2025-09-25 11:00:00
XANUSDT,441,33634,0.10939,0.1188047144827451,0.11103,33730,-0.014992229637078358,end,2025-10-02 10:00:00,2025-10-06 10:00:00
EDENUSDT,443,33659,0.3368,0.1594627680836121,0.3477,33755,-0.03236342042755358,end,2025-10-03 11:00:00,2025-10-07 11:00:00
2ZUSDT,447,33708,0.49292,0.17346449148250004,0.39285,33804,0.20301468798182265,end,2025-10-05 12:00:00,2025-10-09 12:00:00
MONUSDT,453,33895,0.08286,0.14584043255564547,0.06656,33991,0.19671735457398032,end,2025-10-13 07:00:00,2025-10-17 07:00:00
YBUSDT,454,33902,1.3822,0.09025891358842708,0.492,33998,0.6440457242077847,end,2025-10-13 14:00:00,2025-10-17 14:00:00
METUSDT,455,33924,1.3944,0.2546353899758086,0.978,34020,0.2986230636833047,end,2025-10-14 12:00:00,2025-10-18 12:00:00
