sym,i,entry_t,entry_px,notional,exit_px,exit_t,ret,reason,entry_time,exit_time
1000CATUSDT,205,25404,0.04208,0.3256300973406328,0.03453,25500,0.17942015209125484,end,2024-10-24 12:00:00,2024-10-28 12:00:00
SCRUSDT,206,25426,0.87,0.3902649335725012,0.772,25522,0.11264367816091947,end,2024-10-25 10:00:00,2024-10-29 10:00:00
GOATUSDT,207,25477,0.6798,0.23652289811400223,0.5336,25573,0.21506325389820535,end,2024-10-27 13:00:00,2024-10-31 13:00:00
MOODENGUSDT,208,25498,0.22649,0.21884017506211798,0.20222,25594,0.10715704887633004,end,2024-10-28 10:00:00,2024-11-01 10:00:00
CETUSUSDT,214,25790,0.37451,0.30892428059026383,0.37287,25886,0.004379055298924017,end,2024-11-09 14:00:00,2024-11-13 14:00:00
GRASSUSDT,217,25839,3.1112,0.35195806662064755,2.6445,25935,0.15000642838776046,end,2024-11-11 15:00:00,2024-11-15 15:00:00
PNUTUSDT,220,25908,1.877,0.13853460398548437,1.5946,26004,0.1504528502930208,end,2024-11-14 12:00:00,2024-11-18 12:00:00
SLERFUSDT,226,26147,0.316,0.4676815158485656,0.2673,26243,0.15411392405063296,end,2024-11-24 11:00:00,2024-11-28 11:00:00
MORPHOUSDT,231,26294,1.4936,0.37265995854507944,1.5947,26390,-0.06768880557043389,end,2024-11-30 14:00:00,2024-12-04 14:00:00
MOVEUSDT,237,26582,0.68364,0.22270994796193944,0.60254,26678,0.11862968813995678,end,2024-12-12 14:00:00,2024-12-16 14:00:00
VIRTUALUSDT,238,26604,2.3157,0.4768271115920584,2.7075,26700,-0.1691929006347972,end,2024-12-13 12:00:00,2024-12-17 12:00:00
MEUSDT,242,26609,4.235,0.3174603818982652,3.107,26705,0.2663518299881936,end,2024-12-13 17:00:00,2024-12-17 17:00:00
VANAUSDT,247,26749,16.277,0.29179492698646853,16.465,26845,-0.01155003993364856,end,2024-12-19 13:00:00,2024-12-23 13:00:00
PENGUUSDT,248,26776,0.026734,0.29339578478790374,0.03707,26872,-0.3866237749682051,end,2024-12-20 16:00:00,2024-12-24 16:00:00
FARTCOINUSDT,251,26850,0.7365,0.24390297148814827,1.1047500000000001,26875,-0.5,stop,2024-12-23 18:00:00,2024-12-24 19:00:00
GRIFFAINUSDT,259,27157,0.39645,0.1757091516413989,0.3595,27253,0.09320216925211255,end,2025-01-05 13:00:00,2025-01-09 13:00:00
AI16ZUSDT,260,27157,1.8488,0.1563469805056963,1.4194,27253,0.23225876244050192,end,2025-01-05 13:00:00,2025-01-09 13:00:00
ZEREBROUSDT,261,27158,0.5026,0.2003437437241844,0.303,27254,0.39713489852765627,end,2025-01-05 14:00:00,2025-01-09 14:00:00
BIOUSDT,262,27180,0.7364,0.1938862078787052,0.5125,27276,0.30404671374253134,end,2025-01-06 12:00:00,2025-01-10 12:00:00
ALCHUSDT,263,27275,0.14664,0.1765288125554451,0.1105,27371,0.2464539007092198,end,2025-01-10 11:00:00,2025-01-14 11:00:00
SONICUSDT,266,27295,0.7706,0.19098256854002987,0.7294,27391,0.05346483259797552,end,2025-01-11 07:00:00,2025-01-15 07:00:00
SOLVUSDT,270,27516,0.0807,0.15312995205880495,0.0685,27612,0.15117719950433695,end,2025-01-20 12:00:00,2025-01-24 12:00:00
TRUMPUSDT,273,27541,38.29,0.06224083430848194,27.12,27637,0.29172107599895525,end,2025-01-21 13:00:00,2025-01-25 13:00:00
ANIMEUSDT,276,27665,0.05711,0.21224365739713336,0.04591,27761,0.1961127648397829,end,2025-01-26 17:00:00,2025-01-30 17:00:00
VINEUSDT,278,27682,0.29523,0.06423378779862163,0.19073,27778,0.3539613182942113,end,2025-01-27 10:00:00,2025-01-31 10:00:00
BERAUSDT,280,27999,5.449,0.16583351527574955,5.747,28095,-0.05468893374931172,end,2025-02-09 15:00:00,2025-02-13 15:00:00
LAYERUSDT,282,28119,0.81156,0.13949063838806167,0.62547,28215,0.22929912760609195,end,2025-02-14 15:00:00,2025-02-18 15:00:00
IPUSDT,285,28169,1.68442,0.16939351526059512,2.52663,28230,-0.5,stop,2025-02-16 17:00:00,2025-02-19 06:00:00
KAITOUSDT,288,28333,1.5003,0.09620154488214838,2.25045,28407,-0.5,stop,2025-02-23 13:00:00,2025-02-26 15:00:00
BRUSDT,299,29028,0.2082,0.23570048131403287,0.0997,29124,0.5211335254562921,end,2025-03-24 12:00:00,2025-03-28 12:00:00
PARTIUSDT,304,29125,0.3165,0.1806515412241178,0.2173,29221,0.3134281200631912,end,2025-03-28 13:00:00,2025-04-01 13:00:00
JELLYJELLYUSDT,305,29152,0.01544,0.23803054043714816,0.01228,29248,0.20466321243523322,end,2025-03-29 16:00:00,2025-04-02 16:00:00
GUNUSDT,310,29269,0.0452,0.18809820136941896,0.0678,29333,-0.5,stop,2025-04-03 13:00:00,2025-04-06 05:00:00
ATHUSDT,311,29319,0.03049,0.28015252518057,0.02747,29415,0.09904886848146932,end,2025-04-05 15:00:00,2025-04-09 15:00:00
PROMPTUSDT,314,29526,0.4438,0.09652209647299448,0.2243,29622,0.4945921586300135,end,2025-04-14 06:00:00,2025-04-18 06:00:00
WCTUSDT,320,29627,0.3535,0.12052814135027143,0.53025,29668,-0.5,stop,2025-04-18 11:00:00,2025-04-20 04:00:00
MEMEFIUSDT,327,29863,0.003356,0.14376470002537178,0.005034,29874,-0.5,stop,2025-04-28 07:00:00,2025-04-28 18:00:00
SIGNUSDT,329,29939,0.09301,0.09069352424154739,0.07894,30035,0.1512740565530588,end,2025-05-01 11:00:00,2025-05-05 11:00:00
SOONUSDT,349,30536,0.38366,0.2475227921691538,0.37677,30632,0.01795860918521608,end,2025-05-26 08:00:00,2025-05-30 08:00:00
HUMAUSDT,350,30613,0.05326,0.24583430321010877,0.03909,30709,0.26605332331956444,end,2025-05-29 13:00:00,2025-06-02 13:00:00
AUSDT,351,30656,0.621,0.2577716209833324,0.6462,30752,-0.04057971014492745,end,2025-05-31 08:00:00,2025-06-04 08:00:00
SOPHUSDT,352,30661,0.05104,0.2371612358286491,0.05669,30757,-0.11069749216300928,end,2025-05-31 13:00:00,2025-06-04 13:00:00
MERLUSDT,353,30680,0.12058,0.2562691426222537,0.10563,30776,0.1239840769613535,end,2025-06-01 08:00:00,2025-06-05 08:00:00
HYPEUSDT,354,30706,32.785,0.24866070858957928,34.607,30802,-0.05557419551624232,end,2025-06-02 10:00:00,2025-06-06 10:00:00
RESOLVUSDT,362,30973,0.2447,0.1340223232219496,0.2424,31069,0.009399264405394292,end,2025-06-13 13:00:00,2025-06-17 13:00:00
SPKUSDT,366,31137,0.04217,0.22502319585341338,0.04391,31233,-0.04126156035096029,end,2025-06-20 09:00:00,2025-06-24 09:00:00
OLUSDT,372,31331,0.0291,0.2344265710475512,0.02817,31427,0.031958762886597936,end,2025-06-28 11:00:00,2025-07-02 11:00:00
SAHARAUSDT,373,31356,0.10317,0.19504914795487582,0.07974,31452,0.22710090142483275,end,2025-06-29 12:00:00,2025-07-03 12:00:00
TREEUSDT,390,32150,0.5489,0.2110654282689762,0.4356,32246,0.2064128256513027,end,2025-08-01 14:00:00,2025-08-05 14:00:00
USELESSUSDT,402,32556,0.2952,0.20824285315269728,0.2197,32652,0.2557588075880759,end,2025-08-18 12:00:00,2025-08-22 12:00:00
WLFIUSDT,407,32744,0.2513,0.16303278925348721,0.2798,32840,-0.1134102666136092,end,2025-08-26 08:00:00,2025-08-30 08:00:00
LINEAUSDT,413,32960,0.02515,0.23701588065389206,0.02695,33056,-0.07157057654075549,end,2025-09-04 08:00:00,2025-09-08 08:00:00
BARDUSDT,430,33371,1.0531,0.26997945987691463,1.0586,33467,-0.005222675909220431,end,2025-09-21 11:00:00,2025-09-25 11:00:00
XANUSDT,441,33634,0.10939,0.11863570363663303,0.11103,33730,-0.014992229637078358,end,2025-10-02 10:00:00,2025-10-06 10:00:00
EDENUSDT,443,33659,0.3368,0.15968703025160907,0.3477,33755,-0.03236342042755358,end,2025-10-03 11:00:00,2025-10-07 11:00:00
2ZUSDT,447,33708,0.4931,0.17584204795071906,0.393,33804,0.20300141959034668,end,2025-10-05 12:00:00,2025-10-09 12:00:00
MONUSDT,453,33895,0.08278,0.14925891372032363,0.0668,33991,0.19304179753563666,end,2025-10-13 07:00:00,2025-10-17 07:00:00
YBUSDT,454,33902,1.3748,0.09058699368451957,0.4931,33998,0.6413296479487925,end,2025-10-13 14:00:00,2025-10-17 14:00:00
METUSDT,455,33924,1.3982,0.2615989349772503,0.9801,34020,0.2990273208410814,end,2025-10-14 12:00:00,2025-10-18 12:00:00
ZBTUSDT,460,34067,0.3254,0.21795866655772939,0.258,34163,0.2071296865396436,end,2025-10-20 11:00:00,2025-10-24 11:00:00
BLUAIUSDT,465,34163,0.02298,0.11585294105876043,0.03447,34201,-0.5,stop,2025-10-24 11:00:00,2025-10-26 01:00:00
TURTLEUSDT,466,34191,0.1719,0.21107108332878396,0.1418,34287,0.17510180337405457,end,2025-10-25 15:00:00,2025-10-29 15:00:00
APRUSDT,467,34210,0.38114,0.09019499874324217,0.28407,34306,0.2546833184656556,end,2025-10-26 10:00:00,2025-10-30 10:00:00
KITEUSDT,471,34354,0.14703,0.17114280903285195,0.09431,34450,0.35856627899068216,end,2025-11-01 10:00:00,2025-11-05 10:00:00
ATUSDT,472,34355,0.3483,0.1784668671709308,0.52245,34390,-0.5,stop,2025-11-01 11:00:00,2025-11-02 22:00:00
CCUSDT,473,34404,0.16344,0.26412879028016323,0.14584,34500,0.1076847772883015,end,2025-11-03 12:00:00,2025-11-07 12:00:00
MMTUSDT,474,34500,0.513,0.07541955618981179,0.501,34596,0.023391812865497075,end,2025-11-07 12:00:00,2025-11-11 12:00:00
TRUSTUSDT,475,34521,0.2134,0.10829682163082485,0.171,34617,0.19868791002811614,end,2025-11-08 09:00:00,2025-11-12 09:00:00
ALLOUSDT,480,34670,0.2569,0.18849272670250322,0.1763,34766,0.3137407551576489,end,2025-11-14 14:00:00,2025-11-18 14:00:00
BEATUSDT,482,34692,0.48153,0.13141867831550078,0.47339,34788,0.01690445039769073,end,2025-11-15 12:00:00,2025-11-19 12:00:00
PIEVERSEUSDT,483,34739,0.2643,0.127524558631075,0.39644999999999997,34818,-0.5,stop,2025-11-17 11:00:00,2025-11-20 18:00:00
SENTUSDT,484,34740,0.06617,0.19177124550990352,0.06206,34836,0.062112739912347115,end,2025-11-17 12:00:00,2025-11-21 12:00:00
RLSUSDT,487,35170,0.018902,0.1887277832342618,0.015268,35266,0.1922547878531372,end,2025-12-05 10:00:00,2025-12-09 10:00:00
WETUSDT,489,35359,0.2047,0.15840946674536188,0.2006,35455,0.02002931118710305,end,2025-12-13 07:00:00,2025-12-17 07:00:00
NIGHTUSDT,490,35363,0.049535,0.15464016668035913,0.07430250000000001,35381,-0.5,stop,2025-12-13 11:00:00,2025-12-14 05:00:00
RAVEUSDT,494,35463,0.3663,0.10042995011739633,0.47651,35559,-0.3008736008736008,end,2025-12-17 15:00:00,2025-12-21 15:00:00
BREVUSDT,498,35842,0.415,0.26660659315427904,0.4505,35938,-0.08554216867469888,end,2026-01-02 10:00:00,2026-01-06 10:00:00
ZAMAUSDT,502,36081,0.1074,0.26945101418418005,0.0757,36177,0.2951582867783985,end,2026-01-12 09:00:00,2026-01-16 09:00:00
FOGOUSDT,503,36110,0.05364,0.22784131627493626,0.03688,36206,0.3124533929903057,end,2026-01-13 14:00:00,2026-01-17 14:00:00
ACUUSDT,506,36372,0.21254,0.1378457619011741,0.18375,36468,0.13545685518020145,end,2026-01-24 12:00:00,2026-01-28 12:00:00
SPACEUSDT,510,36419,0.016846,0.14782072269223961,0.008582,36515,0.4905615576397958,end,2026-01-26 11:00:00,2026-01-30 11:00:00
TRIAUSDT,521,36756,0.01722,0.25160488136551523,0.01861,36852,-0.08072009291521498,end,2026-02-09 12:00:00,2026-02-13 12:00:00
ESPUSDT,527,36848,0.0624,0.2624428806103154,0.05804,36944,0.06987179487179485,end,2026-02-13 08:00:00,2026-02-17 08:00:00
AZTECUSDT,528,36868,0.02465,0.1916888549216947,0.01925,36964,0.2190669371196754,end,2026-02-14 04:00:00,2026-02-18 04:00:00
OPNUSDT,529,37119,0.4873,0.19838275187497595,0.4688,37215,0.037964293043299846,end,2026-02-24 15:00:00,2026-02-28 15:00:00
ROBOUSDT,530,37256,0.03924,0.22351483739945266,0.058859999999999996,37264,-0.5,stop,2026-03-02 08:00:00,2026-03-02 16:00:00
KATUSDT,531,37325,0.01631,0.18769397545536096,0.0127,37421,0.22133660331085236,end,2026-03-05 05:00:00,2026-03-09 05:00:00
BASEDUSDT,545,38002,0.0826,0.2758266411914227,0.06339,38098,0.23256658595641655,end,2026-04-02 10:00:00,2026-04-06 10:00:00
OPGUSDT,561,38559,0.2587,0.17816288186669868,0.2658,38655,-0.027444916892153115,end,2026-04-25 15:00:00,2026-04-29 15:00:00
BILLUSDT,566,38912,0.10353,0.17468112939697208,0.155295,38957,-0.5,stop,2026-05-10 08:00:00,2026-05-12 05:00:00
SLXUSDT,595,39511,0.2406,0.2018708249746101,0.1718,39607,0.28595178719867,end,2026-06-04 07:00:00,2026-06-08 07:00:00
REUSDT,639,39926,0.96187,0.14372844156655876,0.5443,40022,0.43412311435017203,end,2026-06-21 14:00:00,2026-06-25 14:00:00
ARXUSDT,647,40036,0.2794,0.2558688543134592,0.269,40132,0.03722261989978515,end,2026-06-26 04:00:00,2026-06-30 04:00:00
OUSDT,648,40067,0.4296,0.21057115507894025,0.5166,40163,-0.20251396648044695,end,2026-06-27 11:00:00,2026-07-01 11:00:00
CAPUSDT,649,40139,0.02785,0.17273307998429946,0.01841,40235,0.33895870736086176,end,2026-06-30 11:00:00,2026-07-04 11:00:00
GRAMUSDT,653,40256,1.775,0.3344888612859389,1.59,40352,0.10422535211267592,end,2026-07-05 08:00:00,2026-07-09 08:00:00
GRVTUSDT,694,40956,0.26795,0.2546794124342757,0.30278,41052,-0.12998693786154125,end,2026-08-03 12:00:00,2026-08-07 12:00:00
DOSUSDT,702,41223,0.274,0.3212708685883889,0.2262,41319,0.1744525547445256,end,2026-08-14 15:00:00,2026-08-18 15:00:00
