age,q,N,reb,leg,is_sharpe,is_ann,is_maxdd,oos_sharpe,oos_ann,oos_maxdd,y2025,y2026
perp,0.1,50,weekly,old,0.45634132125318116,0.1960994816950205,0.48318300438548467,0.6735224679719212,0.4301517315024398,0.7466991192002514,0.47704904474823917,-0.02248140491163364
perp,0.1,50,weekly,btc,0.48770906826454435,0.22295810696098137,0.5141707962243449,0.6288729814949352,0.4090375277491514,0.7286521442559601,0.2641870513087734,0.0884082583998218
perp,0.1,50,daily,old,0.92110685661548,0.400345162531121,0.4637001526069394,0.41905042623706534,0.29047803950884804,0.833634828455354,0.29941158557798886,-0.17273595895752536
perp,0.1,50,daily,btc,0.9434235970527255,0.43434750711924774,0.506727042848379,0.39820825816126554,0.2793708046119176,0.8298637264460293,0.13225548994729186,-0.07690763951192103
perp,0.1,100,weekly,old,0.33565838202801707,0.1126529685216901,0.42760596804045536,1.556935869224559,0.6821701300406847,0.4992230633546575,1.080022175901533,0.27286780634802343
perp,0.1,100,weekly,btc,0.3199514304470299,0.1182455793808903,0.4868580085078644,1.5262760953333283,0.712636151257981,0.48379930320518905,1.0313410281267181,0.3420910516125184
perp,0.1,100,daily,old,0.49328366309541166,0.16775643370647123,0.41353928885001,1.4252702588105952,0.6517901168036861,0.5396690647290492,1.2279287004981057,0.11384893312816513
perp,0.1,100,daily,btc,0.4368887024179992,0.16318944606187344,0.4992338565047665,1.4150308709354729,0.6840212120411688,0.5152893244812098,1.1843604764755478,0.17490127231504626
perp,0.1,200,weekly,old,0.24178243955953818,0.07410682741465015,0.4546513933958207,0.5871016983775901,0.20543892873290628,0.47460309203845596,0.4336512156603074,-0.11396285899389569
perp,0.1,200,weekly,btc,0.2842325504062875,0.09870457672645365,0.4868580085078644,0.7265914705031893,0.28911512181942817,0.4615693793359621,0.5598062046911121,-0.09136854813469464
perp,0.1,200,daily,old,0.4440831603496043,0.1370072261954289,0.41353928885001,0.77349549010592,0.27231141244855994,0.48968933126220215,0.5458014426908464,-0.08255052639756444
perp,0.1,200,daily,btc,0.431733240383338,0.15079036919423777,0.4992338565047665,0.8885310030259842,0.35522398618609924,0.47687826962348334,0.6676797378553618,-0.05232829814952644
perp,0.2,50,weekly,old,0.5706912462504882,0.18055406166077,0.397454589202618,0.6709712372489546,0.31405270516293615,0.6053369141904295,0.6526060473457305,-0.15171618230397577
perp,0.2,50,weekly,btc,0.5657270096980446,0.2037000562660974,0.47157957068025946,0.7079921687362015,0.3534769859968561,0.576254482782924,0.551902961155839,-0.059242291309627104
perp,0.2,50,daily,old,0.7117072012342696,0.23110648659635283,0.418408923380696,0.6686061288718773,0.32887856191890097,0.6187274988980838,0.3364095129000484,0.055500649508431366
perp,0.2,50,daily,btc,0.7106337315608436,0.2622558417595416,0.46905845998492735,0.7168468696499735,0.3699981023869618,0.5789487785945581,0.28994610125017206,0.14757737368787893
perp,0.2,100,weekly,old,0.22616823855643614,0.05363110000941652,0.4015733605954531,1.0192705924695338,0.3624100839920525,0.41840923479708203,0.471076284847759,0.11802944970689389
perp,0.2,100,weekly,btc,0.4837406745764795,0.14889376722994568,0.4113496988788752,1.1097089318881734,0.45020868627495936,0.3839663263470088,0.6411781488002162,0.12380838684084816
perp,0.2,100,daily,old,0.23120968673645728,0.055263906644706304,0.4033634855116013,0.9741741870229402,0.3572462014120851,0.45545016858210297,0.5834644952358465,0.022925670011674892
perp,0.2,100,daily,btc,0.49548815877792807,0.15336080690868964,0.4242303674520975,1.0336439323157884,0.4311402273533891,0.43435649441588775,0.7190592235229885,0.0312928537011008
perp,0.2,200,weekly,old,0.1555974733723575,0.032949678563185085,0.3920456310282534,0.05323947098839831,0.013834129019534961,0.45201404028839787,0.12188412284615291,-0.13789602145393087
perp,0.2,200,weekly,btc,0.44409042184416575,0.12998171236045641,0.4113496988788752,0.5179881798142545,0.17713455668921393,0.41556989693784896,0.3760619239568219,-0.11447193751333018
perp,0.2,200,daily,old,0.24731022445030298,0.05274507909637687,0.3809796815362786,0.092288558187989,0.024319006220758728,0.4439764302957767,0.16668474661008892,-0.15776088719689385
perp,0.2,200,daily,btc,0.48839955969540666,0.1434235952954145,0.4242303674520975,0.5359947816829422,0.18469093501049014,0.4237417929988395,0.41258040853016653,-0.12772658739376475
perp,0.3,50,weekly,old,0.57304171160037,0.14908309636945652,0.35613011126733773,0.8133350578972268,0.30239270770728455,0.501217027232061,0.4452759395907173,0.01937874038828369
perp,0.3,50,weekly,btc,0.7289920625392158,0.2397067507633388,0.4225107414233368,0.9387188226178345,0.3986589189267304,0.4705662289076019,0.4952071169895267,0.11680595469902011
perp,0.3,50,daily,old,0.6199682563299573,0.16387031449890138,0.35288422944011644,0.5795673717308444,0.2287733566492265,0.5329280438161004,0.1826486949173587,0.08597337788612447
perp,0.3,50,daily,btc,0.9287243632299342,0.3075113774870921,0.3855029622433528,0.7354876581690323,0.3267616323723147,0.49918088607184086,0.26354783147042227,0.15596753857571244
perp,0.3,100,weekly,old,0.1093789984748496,0.021018549197407647,0.4292165481207475,0.8116661561298653,0.237206621377629,0.36295352797922653,0.36376255652111267,0.013601947908203238
perp,0.3,100,weekly,btc,0.535807234491593,0.15401035437665558,0.36700614803571296,1.0547876404180272,0.38994625003111516,0.33943415426809675,0.6517798286504684,0.034200499388249206
perp,0.3,100,daily,old,0.1468233767771121,0.028469760499681147,0.4293970127993646,1.057201109283635,0.3151875361023431,0.385633839460219,0.4885557123411488,0.05434427719116419
perp,0.3,100,daily,btc,0.5221321286948308,0.15019066186998434,0.3752230765011917,1.1867896489730614,0.44704726604374095,0.3620794591827464,0.7454557326992828,0.07168152709492603
perp,0.3,200,weekly,old,-0.012356202296101688,-0.00212853566169927,0.4458588418996102,-0.33169893288354463,-0.07098406057415527,0.438698014997128,-0.018158725707928203,-0.12902742243937482
perp,0.3,200,weekly,btc,0.4555167467616465,0.12532385421354655,0.36700614803571296,0.4403622596658897,0.14139937102161562,0.3918833903246225,0.2951851290185079,-0.1031061187174035
perp,0.3,200,daily,old,0.07999252427359704,0.013848834383455475,0.4313406225912455,-0.23361255819446072,-0.050568119303273845,0.42341980486870867,0.035316457906173104,-0.14618975088162778
perp,0.3,200,daily,btc,0.4827761675200435,0.13306869797347015,0.3752230765011917,0.5009136552583351,0.16095266462935234,0.3742041450144019,0.3626224234122697,-0.11936199457665131
token,0.1,50,weekly,old,0.34851327016938854,0.14751661912001965,0.5610560467663843,0.644714011453621,0.4104176811214739,0.744781812463993,0.3365871259386184,0.047539483108185676
token,0.1,50,weekly,btc,0.48651628892322063,0.22305916721448132,0.49832640966587627,0.6288729814949352,0.4090375277491514,0.7286521442559601,0.2641870513087734,0.0884082583998218
token,0.1,50,daily,old,0.49329284129805767,0.20786791870389087,0.5427738233875635,0.4194764375468137,0.28883764044026944,0.8363048662022065,0.21460491083766686,-0.11292039775876994
token,0.1,50,daily,btc,0.7591504194409249,0.34769014558914196,0.49317356455666295,0.39820825816126554,0.2793708046119176,0.8298637264460293,0.13225548994729186,-0.07690763951192103
token,0.1,100,weekly,old,-0.024651795013036208,-0.007611575549347321,0.522247256769067,1.6545256875526613,0.7360693769540583,0.4897717229714159,0.9880701737505044,0.4486470802263893
token,0.1,100,weekly,btc,0.288774003011381,0.10705662989828159,0.46007723582811766,1.5465140658561085,0.7218090903971929,0.48379930320518993,1.062857990423233,0.3420910516125184
token,0.1,100,daily,old,0.1817461383860635,0.05720610388559189,0.46662607536175216,1.6126315533195068,0.7441832443768945,0.5092313872497355,1.3331884549166646,0.23650359473751936
token,0.1,100,daily,btc,0.3984263223423908,0.14960283498849583,0.46448464304812287,1.4347357622702936,0.6928208727333403,0.5152893244812102,1.2174928013547461,0.17490127231504626
token,0.1,200,weekly,old,0.11812708600350254,0.03226220126374342,0.4394653504721985,0.4071705992639758,0.14088079199211173,0.4768175959947899,0.2938550563737212,-0.11628910375805657
token,0.1,200,weekly,btc,0.4459097323460731,0.15515759869553328,0.46007723582811766,0.7440529847218598,0.2969627585077919,0.461569379335962,0.579079437264191,-0.09136854813469464
token,0.1,200,daily,old,0.2715796457770082,0.07518948640707954,0.398886186716217,0.6417904876558191,0.22421211026600343,0.48635168810962137,0.40574318290005196,-0.0673317776514688
token,0.1,200,daily,btc,0.512705220628857,0.18020759374039186,0.46448464304812287,0.8953219017271509,0.3593077993451155,0.4768782696234829,0.677362728472205,-0.05232829814952644
token,0.2,50,weekly,old,0.490941661921172,0.1498383136102959,0.433882616638974,0.7186972537217953,0.33909980313719396,0.5876091982565097,0.5605638874919292,-0.06631048472604961
token,0.2,50,weekly,btc,0.6585507628102057,0.23627711361273115,0.4403115008102384,0.7079921687362015,0.3534769859968561,0.576254482782924,0.551902961155839,-0.059242291309627104
token,0.2,50,daily,old,0.516837788134886,0.15978076789535853,0.46801569679025623,0.7866423625047212,0.38786581985171836,0.5776930382407559,0.3041049489710983,0.19214244794041013
token,0.2,50,daily,btc,0.7794903546398494,0.28288576090571593,0.4320872107941226,0.7168468696499735,0.3699981023869618,0.5789487785945581,0.28994610125017206,0.14757737368787893
token,0.2,100,weekly,old,0.18727693497511713,0.04303325202045285,0.4403328504175047,0.953398469106606,0.34056486886382326,0.4003763401399135,0.42079472374517235,0.11517005979895645
token,0.2,100,weekly,btc,0.47413427033866395,0.14668908532081648,0.3996857034369943,1.1270417501669685,0.4573674738922941,0.3824236009319357,0.6565739591840458,0.1266227261119004
token,0.2,100,daily,old,0.2533029833320784,0.059160224919976245,0.43094621705325287,0.9516832698769352,0.3509238855221828,0.4359419448881843,0.5443631126277393,0.03656762131224278
token,0.2,100,daily,btc,0.4674446411022313,0.14559080370461489,0.4109440773234837,1.0295444860888183,0.42943746144620254,0.4360113684949005,0.7192214649051569,0.028275653300826376
token,0.2,200,weekly,old,0.1373140438173959,0.028523965731531223,0.40911938271125514,0.012755692014926316,0.0033471967098300543,0.4615976148777813,0.10612520903722555,-0.14171626683961147
token,0.2,200,weekly,btc,0.5185503257038209,0.15378126570547862,0.3996857034369943,0.4994022502066524,0.1716783190473728,0.4211003928717647,0.3505461999082162,-0.10680485945739926
token,0.2,200,daily,old,0.26456564304903785,0.05556691265896368,0.3953099340569599,0.08673689056002612,0.022988103336620304,0.4428060198196916,0.1602887701917448,-0.1555637497052671
token,0.2,200,daily,btc,0.5538986232364262,0.1647449818898349,0.4109440773234837,0.5616455198961123,0.19432281120538583,0.4128886970253127,0.4172018628285208,-0.11721622381057739
token,0.3,50,weekly,old,0.3037340816200784,0.07441492604147978,0.46296086713182827,0.7974969591463843,0.2997009852996824,0.5051919886836731,0.4465677507971342,0.011342160796028233
token,0.3,50,weekly,btc,0.6162515717476839,0.1994121549551867,0.4261703651464107,0.9324884741565752,0.3959286347519033,0.47056622890760236,0.4885204198874864,0.11680595469902011
token,0.3,50,daily,old,0.22282589379954387,0.055533982704258925,0.4966479562197622,0.5887618413266354,0.23436129380466444,0.5307671225531823,0.1635393587698315,0.11169343903524798
token,0.3,50,daily,btc,0.7085516913635156,0.22974650620814918,0.41628669340717783,0.7274727522979857,0.32351637831435354,0.49918088607184063,0.25632632427113444,0.15596753857571244
token,0.3,100,weekly,old,0.35022176682025574,0.06450540398012654,0.3881294113767061,0.8248945607046332,0.2420621611478314,0.36700937671931455,0.38645071891582394,0.004517988041079057
token,0.3,100,weekly,btc,0.6447660495371478,0.18419290821025333,0.3633922481351607,1.0578735502436911,0.3911596090179896,0.3389623622388629,0.6538677810926563,0.034939150281865006
token,0.3,100,daily,old,0.4262614226394964,0.07971164061736728,0.38748858155900234,1.020539529492771,0.3058021242966464,0.3945831363803839,0.4941382995218817,0.033307513055276905
token,0.3,100,daily,btc,0.6307193699325184,0.18067256039689916,0.3742106060643162,1.1784398601791726,0.443861612736432,0.363981749316008,0.7461922438699709,0.06558950818765874
token,0.3,200,weekly,old,0.13233268826496694,0.02229904567738612,0.4198329526003379,-0.1350673729036346,-0.029195817140793102,0.40987021053741357,0.04410146692752748,-0.12259565140311679
token,0.3,200,weekly,btc,0.5737051732903434,0.15813258929848015,0.3633922481351607,0.46485993474451304,0.15042665592990742,0.39048032717160586,0.3069628803489801,-0.09892955625966571
token,0.3,200,daily,old,0.25795999739631703,0.043832945208740884,0.41033307562306875,-0.1624052939671751,-0.03546746063917169,0.41790391590496545,0.08611185027226931,-0.1659740749794879
token,0.3,200,daily,btc,0.583400728485869,0.16116986864110053,0.3742106060643162,0.470170144173149,0.15220770405272163,0.3887802078590643,0.3563981177218236,-0.12923156015447534
