d0,d1,stop,uni,btc_is,btc_oos,alt_is,alt_oos,alt_y2025,alt_y2026,alt_oos_maxdd
72,7,0.5,newtok,2.340210211977538,1.4007415884348575,2.4842822394546213,1.0939203410504093,0.18909635087306254,0.2696879500253515,0.23888147238527835
72,7,1.0,newtok,2.324350392778129,1.551616502893186,2.450788655473885,1.2348717827069455,0.28276839477791293,0.28503077798053145,0.22022655193554563
72,7,0.0,newtok,2.324350392778129,1.7878305858152397,2.450788655473885,1.4576852097170243,0.34463280814684194,0.3404013510008479,0.21858437427478272
24,7,0.5,newtok,2.134067668301056,2.3347132198019374,2.3257664808682175,1.9834720042518497,0.52405988390994,0.3182857578327638,0.1797931166351423
72,7,0.25,newtok,2.07645801207228,0.9001035685634411,2.296428108363237,0.61236843975309,0.06346716433111554,0.1281525520031066,0.19520308265099395
24,7,1.0,newtok,2.023074846082163,2.446171185843612,2.2233294920994386,2.1032327765354393,0.658993901176965,0.38924016936469363,0.21039765993213688
24,7,0.0,newtok,2.023074846082163,2.370154230021746,2.2233294920994386,2.0262545061899933,0.658993901176965,0.37366137877579186,0.21039765993213688
72,7,0.5,okx,1.82584247053296,1.4440398856104817,1.8778956645739449,1.0983998398917487,0.19179350472140766,0.26968795002536217,0.23381233500244036
