,0
2025-01-01,1.0
2025-01-02,1.0
2025-01-03,1.0
2025-01-04,1.0
2025-01-05,1.018065020506047
2025-01-06,0.9843027916930708
2025-01-07,1.0372966529164258
2025-01-08,1.0775993808468918
2025-01-09,1.1517533756112752
2025-01-10,1.1720490190228796
2025-01-11,1.1842046496907221
2025-01-12,1.2121362322520783
2025-01-13,1.2185280234112164
2025-01-14,1.2166055813028895
2025-01-15,1.2200769315679445
2025-01-16,1.2200769315679445
2025-01-17,1.2200769315679445
2025-01-18,1.2200769315679445
2025-01-19,1.2200769315679445
2025-01-20,1.2175336099076213
2025-01-21,1.212091475176834
2025-01-22,1.2247443038506225
2025-01-23,1.2424992744397996
2025-01-24,1.2516955246076462
2025-01-25,1.25653749691513
2025-01-26,1.261275198063644
2025-01-27,1.2881425195022198
2025-01-28,1.3033279261011017
2025-01-29,1.2996891918640296
2025-01-30,1.315345579258058
2025-01-31,1.3231115025562932
2025-02-01,1.3231115025562932
2025-02-02,1.3231115025562932
2025-02-03,1.3231115025562932
2025-02-04,1.3231115025562932
2025-02-05,1.3231115025562932
2025-02-06,1.3231115025562932
2025-02-07,1.3231115025562932
2025-02-08,1.3231115025562932
2025-02-09,1.3310673064181564
2025-02-10,1.3289982459577563
2025-02-11,1.3094771163184642
2025-02-12,1.310441187290526
2025-02-13,1.3104803459708119
2025-02-14,1.3119360539174558
2025-02-15,1.3219803422426686
2025-02-16,1.3123992709615155
2025-02-17,1.296403263841964
2025-02-18,1.2993796938398783
2025-02-19,1.24043196587401
2025-02-20,1.24043196587401
2025-02-21,1.24043196587401
2025-02-22,1.24043196587401
2025-02-23,1.234675461281305
2025-02-24,1.2178485631040012
2025-02-25,1.213029318668272
2025-02-26,1.178160573420967
2025-02-27,1.178160573420967
2025-02-28,1.178160573420967
2025-03-01,1.178160573420967
2025-03-02,1.178160573420967
2025-03-03,1.178160573420967
2025-03-04,1.178160573420967
2025-03-05,1.178160573420967
2025-03-06,1.178160573420967
2025-03-07,1.178160573420967
2025-03-08,1.178160573420967
2025-03-09,1.178160573420967
2025-03-10,1.178160573420967
2025-03-11,1.178160573420967
2025-03-12,1.178160573420967
2025-03-13,1.178160573420967
2025-03-14,1.178160573420967
2025-03-15,1.178160573420967
2025-03-16,1.178160573420967
2025-03-17,1.178160573420967
2025-03-18,1.178160573420967
2025-03-19,1.178160573420967
2025-03-20,1.178160573420967
2025-03-21,1.178160573420967
2025-03-22,1.178160573420967
2025-03-23,1.178160573420967
2025-03-24,1.216808486319337
2025-03-25,1.2602361884681947
2025-03-26,1.241760792877286
2025-03-27,1.2871738942313735
2025-03-28,1.2930889104266827
2025-03-29,1.3329358293489173
2025-03-30,1.3324602136512393
2025-03-31,1.3316222159394357
2025-04-01,1.3966295406556222
2025-04-02,1.4066052197065266
2025-04-03,1.4131923575336596
