sym,inst,entry_time,oos,bn_ret,reason,notional,entry_px,okx_live_now,ctVal,lotSz,minSz,lever,tier1_maxSz,tier1_mmr,okx_entry,okx_exit,okx_ret,okx_reason,entry_gap_bp
PIEVERSEUSDT,PIEVERSE-USDT-SWAP,2025-11-17 11:00:00,True,-0.5,stop,0.1349590424120094,0.2638,True,10.0,1.0,1.0,20.0,1800.0,0.02,0.2643,0.39644999999999997,-0.5,stop,18.953752843062777
SENTUSDT,SENT-USDT-SWAP,2025-11-17 12:00:00,True,0.0619909502262442,end,0.2026044741383009,0.0663,True,100.0,1.0,1.0,50.0,2000.0,0.01,0.06617,0.06206,0.062112739912347115,end,-19.607843137253724
RLSUSDT,RLS-USDT-SWAP,2025-12-05 10:00:00,True,0.1893052096030526,end,0.1991902804745677,0.018869,True,100.0,1.0,1.0,10.0,18000.0,0.05,0.018902,0.015268,0.1922547878531372,end,17.489003126820446
WETUSDT,WET-USDT-SWAP,2025-12-13 07:00:00,True,0.028314782269088,end,0.1684111190682717,0.20484,True,10.0,1.0,1.0,20.0,6000.0,0.02,0.2047,0.2006,0.02002931118710305,end,-6.834602616676566
NIGHTUSDT,NIGHT-USDT-SWAP,2025-12-13 11:00:00,True,-0.5,stop,0.1679746012660702,0.04941,True,100.0,1.0,1.0,20.0,6000.0,0.02,0.049535,0.07430250000000001,-0.5,stop,25.298522566281623
RAVEUSDT,RAVE-USDT-SWAP,2025-12-17 15:00:00,True,-0.2991466972001853,end,0.1066691073953327,0.36681,True,10.0,0.01,0.01,20.0,3800.0,0.02,0.3663,0.54945,-0.5,stop,-13.903655843624518
BREVUSDT,BREV-USDT-SWAP,2026-01-02 10:00:00,True,-0.0773480662983425,end,0.2911546592463628,0.4163,True,1.0,1.0,1.0,20.0,82000.0,0.02,0.415,0.4505,-0.08554216867469888,end,-31.22748018256072
ZAMAUSDT,ZAMA-USDT-SWAP,2026-01-12 09:00:00,True,0.2928436911487759,end,0.2879923425786385,0.1062,True,10.0,1.0,1.0,20.0,48000.0,0.02,0.1074,0.0757,0.2951582867783985,end,112.99435028248483
FOGOUSDT,FOGO-USDT-SWAP,2026-01-13 14:00:00,True,0.3095818488655542,end,0.2417780332346721,0.05333,True,10.0,1.0,1.0,10.0,62000.0,0.02,0.05364,0.03688,0.3124533929903057,end,58.128633039564725
ACUUSDT,ACU-USDT-SWAP,2026-01-24 12:00:00,True,0.1354759776010541,end,0.1463997551753869,0.21251,True,10.0,1.0,1.0,10.0,15000.0,0.05,0.21254,0.18375,0.13545685518020145,end,1.4116982730216776
SPACEUSDT,SPACE-USDT-SWAP,2026-01-26 11:00:00,True,0.488841278343153,end,0.1587485988597751,0.016803,True,100.0,1.0,1.0,20.0,12000.0,0.02,0.016846,0.008582,0.4905615576397958,end,25.59066833303758
TRIAUSDT,TRIA-USDT-SWAP,2026-02-09 12:00:00,True,-0.0824143934997099,end,0.2705986593495436,0.01723,True,100.0,1.0,1.0,10.0,7500.0,0.02,0.01722,0.01861,-0.08072009291521498,end,-5.803830528148257
ESPUSDT,ESP-USDT-SWAP,2026-02-13 08:00:00,True,0.0752191235059761,end,0.2807498190717176,0.06275,True,100.0,1.0,1.0,20.0,1000.0,0.02,0.0624,0.05804,0.06987179487179485,end,-55.776892430279275
AZTECUSDT,AZTEC-USDT-SWAP,2026-02-14 04:00:00,True,0.2185215272136473,end,0.2018089747785828,0.02462,True,100.0,1.0,1.0,20.0,2200.0,0.02,0.02465,0.01925,0.2190669371196754,end,12.185215272135785
OPNUSDT,OPN-USDT-SWAP,2026-02-24 15:00:00,True,0.0386036960985626,end,0.2139396372514427,0.487,True,10.0,1.0,1.0,20.0,2500.0,0.01,0.4873,0.4688,0.037964293043299846,end,6.160164271047375
ROBOUSDT,ROBO-USDT-SWAP,2026-03-02 08:00:00,True,-0.5,stop,0.2395658780617737,0.03925,True,100.0,1.0,1.0,10.0,10000.0,0.05,0.03924,0.058859999999999996,-0.5,stop,-2.5477707006382744
KATUSDT,KAT-USDT-SWAP,2026-03-05 05:00:00,True,0.2149068322981366,end,0.197110475748598,0.0161,True,100.0,1.0,1.0,20.0,15000.0,0.02,0.01631,0.0127,0.22133660331085236,end,130.4347826086971
