per,sym,dt,d,net_1m,net_1s,net_2s,net_5s,net_10s,net_30s,net_60s
OOS,BNBUSDT,2025-02-03 02:08:00+00:00,1,449.53042726529003,802.9186027064544,775.0194568231977,856.9780743540106,805.070664058884,594.0176296717719,471.28968019580054
OOS,ETHUSDT,2025-02-03 02:08:00+00:00,1,616.023994865759,1456.4853446259133,1496.080215704674,1619.3631715790605,1345.001713745542,820.4902373487303,657.5269823831678
OOS,AAVEUSDT,2025-02-03 14:53:00+00:00,1,81.758331024969,58.0527100891055,60.899416100742116,76.3810501655977,83.32244042721216,78.01346075742744,83.73105456732266
OOS,ONDOUSDT,2025-10-10 21:19:00+00:00,1,-575.623325511248,-2414.730509708274,-2384.309283766236,-2302.732407437409,-2191.9910140704023,-1452.1721103887853,-531.9482922687424
OOS,NMRUSDT,2025-10-10 21:19:00+00:00,1,358.858901659212,-1928.5758104331767,-1967.5999866340915,-1442.0520182850887,-1192.742402083587,-202.90477186523592,513.8225230137546
OOS,IPUSDT,2025-10-10 21:19:00+00:00,1,34561.90214048624,14490.879892856954,14770.318929402662,16560.754847773347,20203.29069390627,27205.58287308645,34631.26987014464
OOS,FILUSDT,2025-10-10 21:19:00+00:00,1,-2454.594107527218,-3567.03505168901,-3623.9766669581013,-3559.846722087784,-3397.5935332583276,-2677.598469253593,-2348.2984012204192
OOS,TRXUSDT,2025-10-10 21:19:00+00:00,1,306.480236960855,148.84847632953634,151.48698186778242,205.54617962665577,197.88341133366492,233.96507468020377,302.47926178033646
OOS,DOGEUSDT,2025-10-10 21:21:00+00:00,1,2579.2431788414237,5308.441168623656,4983.8225424354805,4809.342075007006,4613.232789642987,4129.173259922798,2679.3243330764763
OOS,AVAXUSDT,2025-10-10 21:22:00+00:00,1,1046.639364174896,8429.55519390884,8429.55519390884,8429.55519390884,8348.545326319116,6366.536197888204,1289.462118663158
OOS,TONUSDT,2025-10-10 21:23:00+00:00,1,1958.656790302625,8297.919047648058,8297.919047648058,8297.919047648058,8244.709757467255,6090.174091623957,2193.891444264092
OOS,LTCUSDT,2025-10-10 21:24:00+00:00,1,338.70322272963205,426.60361887762093,426.60361887762093,314.3802880149302,299.86240569305187,163.3054278903876,360.8461115244907
OOS,AVAXUSDT,2025-10-10 21:25:00+00:00,1,477.894840745075,24.54296967223201,-22.00530291485159,-32.49648071625544,-87.67412685485432,120.8548577987466,519.7646176967806
OOS,EIGENUSDT,2025-10-10 21:28:00+00:00,1,-747.746676261285,-49.35985250757881,-49.35985250757881,-49.35985250757881,-451.62561770587183,-695.920543364622,-741.8605741020223
OOS,DOGEUSDT,2025-10-10 21:28:00+00:00,1,207.24107121525702,530.2819883453681,510.48058559135865,533.2218539795165,366.79464976189126,327.77032449341607,224.8914616414466
OOS,FILUSDT,2025-10-10 21:30:00+00:00,1,1321.2893276438208,2287.0475628618447,2386.7283743593916,2625.6718132132605,2837.876343433482,2013.065757180893,1385.4135231468624
OOS,BNBUSDT,2025-10-10 21:30:00+00:00,1,338.11460920708305,876.4706701819418,876.4706701819418,852.7102642419097,825.6819333561465,494.58623548851716,361.141529790106
OOS,XRPUSDT,2025-10-10 21:31:00+00:00,1,275.273604933896,183.5419898972391,176.58982735698663,179.79734118433683,172.316276340504,219.52310387089895,264.44986495584584
