,okx_perp_file,okx_spot_file,binance_file
2022,0.7958333333333333,0.9986111111111111,1.0
2023,0.8902777777777777,1.0,1.0
2024,1.0,0.9861111111111112,1.0
2025,1.0,0.8638888888888889,1.0
2026,1.0,0.8104166666666667,1.0
IS,0.8953703703703704,0.9949074074074075,1.0
OOS,1.0,0.8425,1.0
