coin,t,te,tx,d,typ,prio,gross,perp_leg,hedge_leg,cost,fund,net,rank,pe,px,he,hx,ei,cost_e,nlegs,acc,dt,year
39,27522671,27522672,27522714,1,1,0.011844608932733536,0.07971811236671633,0.07971811236671633,0.0,0.00294,-0.0,0.07677811236671633,19,3.2938,3.3705000000000003,3.30145,3.3715300000000004,4522175,0.001755,1,True,2022-04-30 23:12:00+00:00,2022
39,27537878,27537879,27537930,1,1,0.01972319558262825,0.04440777261786377,0.04440777261786377,0.0,0.0033400000000000005,-0.0,0.04106777261786377,20,2.9715900000000004,3.0150400000000004,3.0113600000000003,3.0186600000000006,4532499,0.0018700000000000004,1,True,2022-05-11 12:39:00+00:00,2022
102,27537881,27537882,27537921,1,1,0.011983083561062813,0.1686041472072588,0.1686041472072588,0.0,0.0077599999999999995,-0.0,0.16084414720725881,3,0.23,0.38581000000000004,0.24035,0.38798000000000005,12485628,0.0034049999999999996,1,True,2022-05-11 12:42:00+00:00,2022
160,27537882,27537883,27538083,1,1,0.011693067848682404,0.13235552670628392,0.13235552670628392,0.0,0.003735,0.0003709376434428,0.12899146434972672,6,1.90687,2.0311700000000004,1.91412,2.0314300000000003,17505095,0.002415,1,True,2022-05-11 12:43:00+00:00,2022
98,27537891,27537892,27537901,1,1,0.017161596566438675,-0.0629137950859141,-0.0629137950859141,0.0,0.0075450000000000005,-0.0,-0.0704587950859141,18,-2.7705100000000003,-2.83549,-2.7686,-2.83277,11994503,0.00336,1,True,2022-05-11 12:52:00+00:00,2022
228,27537891,27537892,27537906,1,1,0.011026010848581791,0.040207278973888094,0.040207278973888094,0.0,0.0050750000000000005,-0.0,0.03513227897388809,42,0.29304,0.33246000000000003,0.29721000000000003,0.33332000000000006,22772121,0.0032400000000000007,1,True,2022-05-11 12:52:00+00:00,2022
27,27537902,27537903,27537907,1,1,0.012401013635098934,-0.008146634837657318,-0.008146634837657318,0.0,0.005275000000000001,-0.0,-0.01342163483765732,58,0.5187900000000001,0.51061,0.5226500000000001,0.51259,3088894,0.0027400000000000002,1,True,2022-05-11 13:03:00+00:00,2022
98,27537906,27537907,27537918,1,1,0.01302366890013218,-0.03348648791297748,-0.03348648791297748,0.0,0.00427,-0.0,-0.037756487912977484,18,-2.6737900000000003,-2.70785,-2.6717600000000004,-2.70695,11994518,0.0020800000000000003,1,True,2022-05-11 13:07:00+00:00,2022
27,27537917,27537918,27537927,1,1,0.01038952823728323,-0.041580782333807464,-0.041580782333807464,0.0,0.005700000000000001,-0.0,-0.04728078233380747,58,0.63148,0.58901,0.6355700000000001,0.58523,3088909,0.0028650000000000004,1,True,2022-05-11 13:18:00+00:00,2022
118,27537929,27537930,27537937,1,1,0.01165732927620411,-0.00626032201413218,-0.00626032201413218,0.0,0.004845,-0.0,-0.01110532201413218,56,-0.07602,-0.08230000000000001,-0.07247,-0.07862000000000001,14030375,0.002435,1,True,2022-05-11 13:30:00+00:00,2022
27,27537941,27537942,27537951,1,1,0.010530169121921062,0.022806173194619195,0.022806173194619195,0.0,0.005525,-0.0,0.017281173194619193,58,0.6247100000000001,0.6472600000000001,0.6323900000000001,0.64773,3088933,0.00292,1,True,2022-05-11 13:42:00+00:00,2022
102,27538431,27538432,27538506,1,1,0.011310440488159657,-0.0018083629378431443,-0.0018083629378431443,0.0,0.0035700000000000003,-0.0,-0.0053783629378431445,3,0.24035,0.23854000000000003,0.26097000000000004,0.24302000000000004,12486178,0.0023450000000000003,1,True,2022-05-11 21:52:00+00:00,2022
102,27538873,27538874,27539033,1,1,0.029939254745841026,0.11777488571553474,0.11777488571553474,0.0,0.004575,-0.0,0.11319988571553474,3,-0.06017000000000001,0.05117000000000001,-0.027780000000000006,0.050600000000000006,12486620,0.00122,1,True,2022-05-12 05:14:00+00:00,2022
160,27538997,27538998,27539080,1,1,0.028684666380286217,0.07639769664573581,0.07639769664573581,0.0,0.00471,0.0042110983926446,0.0758987950383804,6,1.7091,1.78272,1.73041,1.78356,17506210,0.00355,1,True,2022-05-12 07:18:00+00:00,2022
213,27538997,27538998,27539021,1,1,0.012663375586271286,0.0862702070477035,0.0862702070477035,0.0,0.00571,-0.0,0.0805602070477035,7,3.6867,3.7694500000000004,3.69329,3.7735900000000004,21654714,0.00432,1,True,2022-05-12 07:18:00+00:00,2022
66,27538999,27539000,27539008,1,1,0.012234191410243511,0.03992646092070795,0.03992646092070795,0.0,0.0037799999999999995,-0.0,0.03614646092070795,44,-2.42002,-2.3808700000000003,-2.4115100000000003,-2.3810900000000004,7291761,0.0020350000000000004,1,True,2022-05-12 07:20:00+00:00,2022
118,27539001,27539002,27539008,1,1,0.014070078730583191,0.06734045683965961,0.06734045683965961,0.0,0.00391,-0.0,0.06343045683965962,56,-0.322,-0.25683,-0.31239,-0.25502,14031447,0.0016649999999999998,1,True,2022-05-12 07:22:00+00:00,2022
228,27539026,27539027,27539103,1,1,0.010381937958300114,0.0015512018708863096,0.0015512018708863096,0.0,0.003175,0.0007375564266184,-0.0008862417024952903,42,0.20384000000000002,0.20539000000000002,0.21229000000000003,0.20563,22773091,0.001745,1,True,2022-05-12 07:47:00+00:00,2022
39,27539467,27539468,27539571,1,1,0.020190740004181862,-0.007481870411783498,-0.007481870411783498,0.0,0.002925,0.0024442890474614,-0.007962581364322098,20,3.08108,3.07357,3.10108,3.0830100000000003,4534088,0.0018,1,True,2022-05-12 15:08:00+00:00,2022
213,27798926,27798927,27799167,1,0,0.051317714154720306,0.09952690398071473,0.09952690398071473,0.0,0.002205,-0.0,0.09732190398071473,5,3.0540000000000003,3.14888,3.1081700000000003,3.17136,21694499,0.001085,1,True,2022-11-08 19:27:00+00:00,2022
98,27798926,27798927,27799167,1,0,0.01444129180163145,0.02433129032278014,0.02433129032278014,0.0,0.00337,-0.0,0.02096129032278014,35,-3.46606,-3.4420200000000003,-3.4505000000000003,-3.4370300000000005,12061599,0.0019399999999999999,1,True,2022-11-08 19:27:00+00:00,2022
212,27798931,27798932,27798938,1,1,0.013478690758347511,0.09968084852313863,0.09968084852313863,0.0,0.00447,-0.0,0.09521084852313863,46,0.62914,0.72416,0.63869,0.72851,21474077,0.0024649999999999997,1,True,2022-11-08 19:32:00+00:00,2022
92,27798932,27798933,27798934,1,1,0.010674531571567059,0.039468993928021945,0.039468993928021945,0.0,0.006630000000000001,-0.0,0.03283899392802194,29,1.4365100000000002,1.4752200000000002,1.4365100000000002,1.4761300000000002,11432106,0.0032450000000000005,1,True,2022-11-08 19:33:00+00:00,2022
39,27798933,27798934,27798936,1,1,0.01452810037881136,0.057491929256049845,0.057491929256049845,0.0,0.008865000000000001,-0.0,0.04862692925604985,24,1.8885800000000001,1.9444800000000002,1.8961200000000002,1.9501900000000003,4630193,0.005645000000000001,1,True,2022-11-08 19:34:00+00:00,2022
68,27798933,27798934,27798935,1,1,0.012612538412213326,0.0005201352234380785,0.0005201352234380785,0.0,0.00498,-0.0,-0.0044598647765619216,53,3.64936,3.6498800000000005,3.6491000000000002,3.6550700000000003,7559497,0.003065,1,True,2022-11-08 19:34:00+00:00,2022
203,27798953,27798954,27798955,1,1,0.01055976003408432,0.0,0.0,0.0,0.00352,-0.0,-0.00352,13,-5.355950000000001,-5.355950000000001,-5.3580700000000006,-5.349610000000001,20721766,0.0018700000000000004,1,True,2022-11-08 19:54:00+00:00,2022
213,27800488,27800489,27800729,1,0,0.16557160019874573,0.21008426780772127,0.21008426780772127,0.0,0.0030399999999999997,0.014998627976437,0.22204289578415828,5,2.2731600000000003,2.4638500000000003,2.52253,2.6181200000000002,21696061,0.0019399999999999999,1,True,2022-11-09 21:29:00+00:00,2022
267,27800498,27800499,27800505,1,1,0.010510683059692383,-0.01611868102331382,-0.01611868102331382,0.0,0.00339,-0.0,-0.01950868102331382,60,8.627120000000001,8.61087,8.636390000000002,8.61305,26984314,0.001725,1,True,2022-11-09 21:39:00+00:00,2022
213,27802943,27802944,27803156,1,1,0.010173612274229527,0.09078759550460758,0.09078759550460758,0.0,0.0038550000000000004,0.0051116883273474,0.09204428383195498,5,2.7067200000000002,2.79362,2.7337200000000004,2.79911,21698516,0.00266,1,True,2022-11-11 14:24:00+00:00,2022
213,27806424,27806425,27806665,1,0,0.022148674353957176,-0.01884026114820414,-0.01884026114820414,0.0,0.0028650000000000004,-0.0,-0.02170526114820414,5,2.54475,2.5257300000000003,2.56264,2.53528,21701964,0.0017450000000000002,1,True,2022-11-14 00:25:00+00:00,2022
92,27853021,27853022,27853033,1,1,0.012887810356914997,0.008647172658940327,0.008647172658940327,0.0,0.0043,-0.0,0.0043471726589403275,29,1.33946,1.34807,1.3410300000000002,1.34807,11441440,0.00302,1,True,2022-12-16 09:02:00+00:00,2022
26,27900954,27900955,27901011,1,1,0.010166955180466175,-0.03440423974831597,-0.03440423974831597,0.0,0.0032600000000000003,0.0001133104563093,-0.037550929292006666,11,1.5401500000000001,1.5051400000000001,1.5440600000000002,1.5059600000000002,2932668,0.00222,1,True,2023-01-18 15:55:00+00:00,2023
