stream,L,maxdd_intrabar,liquidated,final,cagr,max_imr_use,openable,sharpe_oos_at_L,gross_avg,gross_max,maxdd_intrabar_harsh_book_proxy,liquidated_harsh
tsmom,1,0.3565189175655543,,1.162248749599421,0.0945302843706004,0.02418733515891259,True,,,,,
tsmom,2,0.6401515435270779,,1.275984439974876,0.15767209911127344,0.04837467031782518,True,,,,,
tsmom,3,0.8590632145213247,,1.3232012904259436,0.1832201816841208,0.07256200547673777,True,,,,,
tsmom,5,1.0,2025-10-10,0.0,-1.0,0.12093667579456294,True,,,,,
tsmom,8,1.0,2025-10-10,0.0,-1.0,0.1934986812713007,True,,,,,
tsmom,10,1.0,2025-10-10,0.0,-1.0,0.24187335158912587,True,,,,,
tsmom,15,1.0,2025-09-22,0.0,-1.0,0.36281002738368884,True,,,,,
tsmom,20,1.0,2025-01-20,0.0,-1.0,0.48374670317825175,True,,,,,
combo_inv_vol_3,1,0.010605186041497294,,1.0834698059269943,0.0493391027363157,0.03418446708749469,True,4.721979376014704,1.8610261550634621,1.956867855311647,0.010803868717829124,
combo_inv_vol_3,2,0.026855245925000548,,1.1157587487027498,0.06801508975303738,0.14941547392190216,True,3.2416810096476394,3.7220523101269243,3.913735710623294,0.02708656773311524,
combo_inv_vol_3,3,0.04525255788896887,,1.1420306773891733,0.08305210611392577,0.2741232108828533,True,2.6279951447121896,5.583078465190386,5.870603565934941,0.045593389264372064,
combo_inv_vol_3,5,0.08108993168434908,,1.1958233036157413,0.11341659834661422,0.5235386848047554,True,2.1360063104875273,9.30513077531731,9.784339276558235,0.0816379764622982,
combo_inv_vol_3,8,0.1325279354328448,,1.2796372791062547,0.1596618991910368,0.8976618956876087,True,1.8590663541623662,14.888209240507697,15.654942842493176,0.13335871930915932,
combo_inv_vol_3,10,0.16533133118436583,,1.3375939993204815,0.19093506826333817,1.147077369609511,False,1.7667425830672803,18.61026155063462,19.56867855311647,0.16633295861390518,
combo_inv_vol_3,15,0.2424017207286473,,1.4897152327613874,0.27054506695681746,1.7706160544142664,False,1.643645395039083,27.91539232595193,29.353017829674705,0.24377373078551534,
combo_inv_vol_3,20,0.31285972467768686,,1.6519814434925035,0.3519618952629324,2.3941547392190214,False,1.5820995443959587,37.22052310126924,39.13735710623294,1.0,2025-10-10
combo_inv_var_3,1,0.006447035182789218,,1.061815229637476,0.03668938037280989,0.030351811666268602,True,10.810611512272732,1.9911626567228862,1.9986750122085126,0.006460177472552786,
combo_inv_var_3,2,0.01991787313418225,,1.059969494097446,0.035606434821001676,0.15947810785181032,True,5.480592956830197,3.9823253134457723,3.9973500244170252,0.01994381484396668,
combo_inv_var_3,3,0.03325371980146574,,1.0577039742390406,0.03427616008955492,0.2892171617777155,True,3.5371910106564823,5.97348797016866,5.9960250366255385,0.03329212290410466,
combo_inv_var_3,5,0.059438401336023294,,1.0531334681196791,0.03158896900656538,0.548695269629526,True,1.9626818589778656,9.955813283614432,9.993375061042563,0.05950073791792898,
combo_inv_var_3,8,0.09744657647900334,,1.0461805732699498,0.027492125618527652,0.9379124314072413,True,1.076132054982209,15.92930125378309,15.989400097668101,0.09754243468859136,
combo_inv_var_3,10,0.12199410985286552,,1.0414817537375458,0.024717289741729154,1.1973905392590518,False,0.7811573223686415,19.911626567228865,19.986750122085127,0.12211079570755712,
combo_inv_var_3,15,0.18055039307918253,,1.0295183376346604,0.017629768603277807,1.8460858088885774,False,0.3885788074591654,29.867439850843287,29.98012518312769,0.18071417739533968,
combo_inv_var_3,20,0.2359056789750026,,1.017256400375923,0.010331184845984831,2.4947810785181037,False,0.19266981282434467,39.82325313445773,39.97350024417025,0.23597887680946616,
combo_inv_vol_book_tsmom,1,0.09143612038183535,,1.3226818509919536,0.18294112318492806,0.07415517833281235,True,1.6723957054287775,0.5335253501913847,1.5448625832707494,0.09883868508836213,
combo_inv_vol_book_tsmom,2,0.1828722407636706,,1.7183826051385,0.384350112371703,0.1483103566656247,True,1.6723957054287775,1.0670507003827694,3.089725166541499,0.19767737017672415,
combo_inv_vol_book_tsmom,3,0.27430836114550594,,2.1928449899611957,0.6027181328787443,0.22246553499843705,True,1.6723957054287777,1.6005760505741542,4.6345877498122485,0.2965160552650864,
combo_inv_vol_book_tsmom,5,0.4571806019091764,,3.3843104810150293,1.0800510650143917,0.3707758916640618,True,1.6723957054287775,2.6676267509569236,7.724312916353747,0.49419342544181066,
combo_inv_vol_book_tsmom,8,0.7314889630546824,,5.671666088962326,1.836509469340629,0.5932414266624988,True,1.6723957054287775,4.268202801531078,12.358900666165995,0.7907094807068971,
combo_inv_vol_book_tsmom,10,1.0,2025-10-10,0.0,-1.0,0.7415517833281235,True,1.6723957054287775,5.335253501913847,15.448625832707494,1.0,2025-10-10
combo_inv_vol_book_tsmom,15,1.0,2025-10-10,0.0,-1.0,1.1123276749921853,False,1.6723957054287777,8.00288025287077,23.17293874906124,1.0,2025-09-08
combo_inv_vol_book_tsmom,20,1.0,2025-10-10,0.0,-1.0,1.483103566656247,False,1.6723957054287775,10.670507003827694,30.897251665414988,1.0,2025-08-09
combo_equal_capital_3,1,0.0905535770656336,,1.2066979556191262,0.11948825055270018,0.04806933251978565,True,1.510995449597926,1.001560257677873,1.4953705106486348,0.09419918228934432,
combo_equal_capital_3,2,0.1811071541312672,,1.4419160684132957,0.24589552353720734,0.0961386650395713,True,1.510995449597926,2.003120515355746,2.9907410212972696,0.18839836457868875,
combo_equal_capital_3,3,0.2716607311969008,,1.7061968240425331,0.3784442610665024,0.14420799755935698,True,1.5109954495979254,3.0046807730336194,4.486111531945905,0.2825975468680332,
combo_equal_capital_3,5,0.45285312124902055,,2.22532101301021,0.6169355799417133,0.30701332926559494,True,1.4457347691919609,5.007801288389366,7.476852553243174,0.4710811473675742,
combo_equal_capital_3,8,0.7246417063271999,,3.0799908279951667,0.9655823547393465,0.5512213268249518,True,1.4090209739458388,8.012482061422984,11.962964085189078,0.753806548116886,
combo_equal_capital_3,10,1.0,2025-10-10,0.0,-1.0,0.7140266585311899,True,1.396782345080553,10.015602576778733,14.953705106486348,1.0,2025-10-10
combo_equal_capital_3,15,1.0,2025-10-10,0.0,-1.0,1.121039987796785,False,1.380463652791385,15.023403865168097,22.430557659729523,1.0,2025-10-10
combo_equal_capital_3,20,1.0,2025-10-10,0.0,-1.0,1.5280533170623798,False,1.3723040888286786,20.031205153557465,29.907410212972696,1.0,2025-09-08
combo_book_alone,1,0.10436870598956993,,1.3912957067134577,0.21943264236489068,0.10531250000000002,True,1.8010480932270159,0.5905090879650986,2.10625,0.10907300543271548,
combo_book_alone,2,0.19974119276933466,,1.8944539277002737,0.4678977454241504,0.21062500000000003,True,1.8010480932270159,1.1810181759301972,4.2125,0.20826267942871546,
combo_book_alone,3,0.2867078261441246,,2.524878605213628,0.7443836696082109,0.31593750000000004,True,1.8010480932270168,1.7715272638952961,6.3187500000000005,0.29825632803937274,
combo_book_alone,5,0.43767330276792393,,4.206633684624699,1.3704053072637135,0.5265625,True,1.8010480932270159,2.9525454398254936,10.53125,0.45326305308527226,
combo_book_alone,8,0.6145307640536014,,7.707241527957394,2.4103252719331483,0.8425000000000001,True,1.8010480932270159,4.724072703720789,16.85,0.6323351850111614,
combo_book_alone,10,0.7049131444789596,,10.36111024833539,3.0737587959465857,1.053125,False,1.8010480932270159,5.905090879650987,21.0625,0.7272382694155506,
combo_book_alone,15,0.8581200854692304,,14.703318205404145,4.027050577360281,1.5796875000000004,False,1.8010480932270163,8.85763631947648,31.593750000000004,1.0,2025-08-09
combo_book_alone,20,1.0,2025-09-08,0.0,-1.0,2.10625,False,1.8010480932270159,11.810181759301974,42.125,1.0,2025-01-09
combo_tsmom_alone,1,0.3565189175655543,,1.162248749599421,0.0945302843706004,0.02418733515891259,True,0.5797311776485402,0.41417168506852087,1.036905673032149,0.3565189175655543,
combo_tsmom_alone,2,0.6401515435270779,,1.275984439974876,0.15767209911127344,0.04837467031782518,True,0.5797311776485402,0.8283433701370417,2.073811346064298,0.6401515435270779,
combo_tsmom_alone,3,0.8590632145213247,,1.3232012904259436,0.1832201816841208,0.07256200547673777,True,0.5797311776485402,1.2425150552055626,3.1107170190964473,0.8590632145213247,
combo_tsmom_alone,5,1.0,2025-10-10,0.0,-1.0,0.12093667579456294,True,0.5797311776485402,2.0708584253426046,5.1845283651607454,1.0,2025-10-10
combo_tsmom_alone,8,1.0,2025-10-10,0.0,-1.0,0.1934986812713007,True,0.5797311776485402,3.313373480548167,8.295245384257193,1.0,2025-10-10
combo_tsmom_alone,10,1.0,2025-10-10,0.0,-1.0,0.24187335158912587,True,0.5797311776485402,4.141716850685209,10.369056730321491,1.0,2025-10-10
combo_tsmom_alone,15,1.0,2025-09-22,0.0,-1.0,0.36281002738368884,True,0.5797311776485403,6.212575276027813,15.553585095482237,1.0,2025-09-22
combo_tsmom_alone,20,1.0,2025-01-20,0.0,-1.0,0.48374670317825175,True,0.5797311776485402,8.283433701370418,20.738113460642982,1.0,2025-01-20
