variant,sharpe_is,sharpe_oos,cagr_oos,maxdd_oos_intrabar_1x,y2025,y2026,trades_oos,half_kelly_is,supportable_L,lomo_min,loco_min,stress,cagr_oos_at_supportable,maxdd_at_supportable,gross_avg_at_supportable
TSMOM N30_short_z_hl60_b0.5 (IS-selected),0.6764928243382561,0.5797311776485402,0.0945302843706004,0.3565189175655543,-0.0229255546847823,0.18951913559100553,4745.0,1.6419785280256585,0,0.3354397465447927,0.2942449735274707,0.3106844232065509,,,
"combo inv_vol_3 w={'book': 0.0641, 'tsmom': 0.0306, 'carry': 0.9052}",9.592696478512208,4.721979376014704,0.0493391027363157,0.010605186041497294,0.07090171626589137,0.01173598797182196,,152.5,8,4.209082835207738,4.124659411255521,4.064582103730701,0.1596618991910368,0.1325279354328448,14.888209240507697
"combo inv_var_3 w={'book': 0.005, 'tsmom': 0.0011, 'carry': 0.9939}",15.54716843098314,10.810611512272732,0.03668938037280989,0.006447035182789218,0.04936597217991756,0.011863599342463393,,197.5,8,9.999982688656704,7.133046516764047,9.78869605539198,0.027492125618527652,0.09744657647900334,15.92930125378309
"combo inv_vol_book_tsmom w={'book': 0.6768, 'tsmom': 0.3232, 'carry': 0.0}",1.6255250067687057,1.6723957054287775,0.18294112318492806,0.09143612038183535,0.31397562463491013,0.0066258659550568755,,8.0,3,1.349588637198006,1.506622910928718,1.107777865037424,0.6027181328787443,0.27430836114550594,1.6005760505741542
"combo equal_capital_3 w={'book': 0.3333, 'tsmom': 0.3333, 'carry': 0.3333}",2.08419885929391,1.510995449597926,0.11948825055270018,0.0905535770656336,0.1607252026496968,0.03960692234861529,,10.75,3,1.2586365047196126,1.2832668312338011,1.0139738380167482,0.3784442610665024,0.2716607311969008,3.0046807730336194
"combo book_alone w={'book': 1.0, 'tsmom': 0.0, 'carry': 0.0}",1.0316395937113525,1.8010480932270159,0.21943264236489068,0.10436870598956993,0.5021013052066614,-0.07376706092267138,,5.178158720100439,3,1.3427403156854412,1.8010480932270159,1.2435902998140667,0.7443836696082109,0.2867078261441246,1.7715272638952961
"combo tsmom_alone w={'book': 0.0, 'tsmom': 1.0, 'carry': 0.0}",1.3831433036818621,0.5797311776485402,0.0945302843706004,0.3565189175655543,-0.0229255546847823,0.18951913559100553,,3.25,0,0.3354397465447927,0.2942449735274707,0.3106844232065509,,,
