tsmom,scheme,sharpe_cis,sharpe_oos,y2025,y2026,tsmom_sharpe_oos
N20_all_sign_hl20_b0.0,inv_vol_3,9.358877857062664,4.679242182257525,0.07524785682200141,0.010441384413159671,0.8015361917116036
N20_all_sign_hl20_b0.0,inv_vol_book_tsmom,1.1105464401684317,1.7729672776047807,0.3640064297680865,-0.0069366403190173065,0.8015361917116036
N20_all_sign_hl20_b0.0,equal_capital_3,1.458771583177474,1.6674122802730995,0.21166618185206998,0.02207807325164013,0.8015361917116036
N20_all_sign_hl20_b0.5,inv_vol_3,9.445093091364132,4.696796973707271,0.07457560029150145,0.010304199762819488,0.7412497776715937
N20_all_sign_hl20_b0.5,inv_vol_book_tsmom,1.1505628886434953,1.7483700739076233,0.35471087750127017,-0.008159246276713383,0.7412497776715937
N20_all_sign_hl20_b0.5,equal_capital_3,1.5118622077838053,1.6367151946500207,0.2039331905522226,0.02057228350923146,0.7412497776715937
N20_all_sign_hl60_b0.0,inv_vol_3,9.375079042082069,4.649861246168926,0.07471281270265662,0.01042769883986261,0.7504536430598355
N20_all_sign_hl60_b0.0,inv_vol_book_tsmom,1.137918396361529,1.7395513090860706,0.3568828620347648,-0.007052706751482174,0.7504536430598355
N20_all_sign_hl60_b0.0,equal_capital_3,1.4938239223002387,1.623512095291659,0.20546588623523898,0.021940265064343656,0.7504536430598355
N20_all_sign_hl60_b0.5,inv_vol_3,9.397523989280653,4.753616236459887,0.07481894070466111,0.01026129083864502,0.7772249096775353
N20_all_sign_hl60_b0.5,inv_vol_book_tsmom,1.1572476434532413,1.775123839425125,0.3602080816048203,-0.008646401099719148,0.7772249096775353
N20_all_sign_hl60_b0.5,equal_capital_3,1.5087810543091627,1.6681555008684852,0.2070282139759978,0.021034050538187854,0.7772249096775353
N20_all_z_hl20_b0.0,inv_vol_3,9.3384460808289,4.606422403926417,0.07400017036670259,0.010632947886428434,0.7057733902463698
N20_all_z_hl20_b0.0,inv_vol_book_tsmom,1.0863441125604982,1.7099202679179186,0.34911631414335775,-0.005094943586746448,0.7057733902463698
N20_all_z_hl20_b0.0,equal_capital_3,1.4210164547146662,1.577964993826453,0.19742691142709945,0.024611335302765713,0.7057733902463698
N20_all_z_hl20_b0.5,inv_vol_3,9.43876826926971,4.591390572214877,0.07324078952586044,0.009956476386988378,0.5891395765783398
N20_all_z_hl20_b0.5,inv_vol_book_tsmom,1.1437779710390448,1.6492062954065005,0.33768399886197087,-0.011647685320954504,0.5891395765783398
N20_all_z_hl20_b0.5,equal_capital_3,1.5033079785580656,1.5067252452339102,0.18872988626497422,0.017209689804961847,0.5891395765783398
N20_all_z_hl60_b0.0,inv_vol_3,9.41265089285903,4.55397987627937,0.07345249506637308,0.01043227773761779,0.6355850665228217
N20_all_z_hl60_b0.0,inv_vol_book_tsmom,1.1953921438817823,1.658401507647289,0.34155111004259076,-0.0070684969896732674,0.6355850665228217
N20_all_z_hl60_b0.0,equal_capital_3,1.5610380352097633,1.5137375038633087,0.19098315718349101,0.022485229704189758,0.6355850665228217
N20_all_z_hl60_b0.5,inv_vol_3,9.545130451983281,4.550482434726914,0.07271809321315192,0.009673978369551195,0.5163073245922389
N20_all_z_hl60_b0.5,inv_vol_book_tsmom,1.3158796336499368,1.6019667305173257,0.3326274148160411,-0.014593971576112086,0.5163073245922389
N20_all_z_hl60_b0.5,equal_capital_3,1.7119560601834716,1.4378356860900674,0.18257930029543923,0.01497089441330135,0.5163073245922389
N20_short_sign_hl20_b0.0,inv_vol_3,9.28592160986767,4.707266959863648,0.07433786766393902,0.009417001511375922,0.6424994247901418
N20_short_sign_hl20_b0.0,inv_vol_book_tsmom,1.1017477406444203,1.7066995728567989,0.3562963255507301,-0.01743828145323123,0.6424994247901418
