check,L,cagr_IS,cagr_OOS,maxdd_IS,maxdd_OOS,worst_day_IS,worst_day_OOS,sharpe_OOS,liq_IS,liq_OOS,y2022,y2023,y2024,y2025,y2026,note
funding|hourly|base,1.0,0.0179914255482189,0.016856184133319,-0.0197212435803739,-0.0202540358385374,-0.0010098494156025,-0.0025375158812286,1.5670815755906051,0.0,0.0,0.0351707949465669,0.0056465464118808,0.0133944394398197,-0.000560515484522,0.0287925593652083,
funding|hourly|base,3.0,0.0394200291631796,0.0081047019055757,-0.0786088089751309,-0.0154007639089779,-0.0138989741094044,-0.0042846914422665,1.387526547818047,0.0,0.0,0.0829771098837637,0.0280010763575226,0.0087140272053471,0.0084945280114596,0.0049905767203499,
funding|hourly|base,5.0,0.0638864843892854,0.0263607712029243,-0.0433958976710793,-0.0420991396652523,-0.0216848069439191,-0.0351551472778596,0.6408283682534754,0.0,1.0,0.1471626591361421,-0.0009140187587269,0.0506795573061948,-0.0028371885006878,0.0472349588527571,
funding|hourly|base,10.0,-0.1181231282959838,-0.0669694890095818,-0.3445442537322118,-0.2522304466711265,-0.1717173477379721,-0.129959105828589,-0.4541707355458471,4.0,2.0,-0.1915189979047444,0.0096101405371946,-0.159814039322891,0.002648593943535,-0.1113321395872456,
funding|hourly|base,15.0,-0.2612136340035613,-0.0337700172573096,-0.5985244748329066,-0.2708638625231986,-0.1822273692972512,-0.183562976787982,-0.1258774647533166,5.0,1.0,-0.2397674041391293,-0.0210757720372318,-0.4582473475592531,0.0039728909153029,-0.0593180059587716,
funding|hourly|base,20.0,-0.6696348426632213,-0.3248201392011319,-0.9649707446498754,-0.6008934676471669,-0.3304209630531627,-0.2498288878539403,-1.1578253032910335,15.0,5.0,-0.3649436061680051,-0.28996297697216,-0.920077345496604,0.0051671878870702,-0.4826182752529024,
funding|hourly|exAXS,1.0,0.0185939327958215,0.0055328606802069,-0.0197212435803739,-0.0192505254005611,-0.0010098494156025,-0.0005978318081024,2.2964142279804145,0.0,0.0,0.0351707949465669,0.0074686622639015,0.0133590481804319,0.0014634036442926,0.0077522487227759,
funding|hourly|exAXS,3.0,0.0394200291631796,0.0081047019055757,-0.0786088089751309,-0.0154007639089779,-0.0138989741094044,-0.0042846914422665,1.387526547818047,0.0,0.0,0.0829771098837637,0.0280010763575226,0.0087140272053471,0.0084945280114596,0.0049905767203499,
funding|hourly|exAXS,5.0,0.0529958565831851,-0.0047145890829021,-0.0434014804958917,-0.0262980210630883,-0.0122001932527038,-0.0204678735501319,-0.2682927556452133,0.0,1.0,0.1080816463046345,0.0030440080931994,0.0505058438583612,0.0023103358345681,-0.0101226153331961,
funding|hourly|exAXS,10.0,-0.034616809145981,-0.0542538240981684,-0.2084215681320576,-0.1518285862280468,-0.1745419142814928,-0.0930281620526343,-0.7125965398120945,2.0,1.0,-0.0168378645110268,-0.0023976332761325,-0.0827037879043842,0.002648593943535,-0.0910807188392539,
