mod,L,start,strategy,k_dl,risk_mode,H,th_in,th_out,K,universe,balance,R,delta,cagr,maxdd,worst_day,sharpe,liq,cuts,entries,funding,costs,y2022,y2023,y2024,y2025,y2026,period
base,3.0,2025-01-01,,3.0,hourly,336.0,0.05,0.0125,4,majors,False,4,0.5,0.008104701905575773,-0.015400763908977932,-0.004284691442266508,1.387526547818047,0,0,16,0.03749407823498576,0.01863205771559488,,,,0.008494528011459668,0.004990576720349971,OOS
exAXS,3.0,2022-01-01,,3.0,hourly,336.0,0.05,0.0125,4,majors,False,4,0.5,0.03942002916317966,-0.0786088089751309,-0.013898974109404438,2.093048775045035,0,0,58,0.20780877501245704,0.0872587068497778,0.08297710988376372,0.028001076357522692,0.008714027205347197,,,IS
exAXS,3.0,2025-01-01,,3.0,hourly,336.0,0.05,0.0125,4,majors,False,4,0.5,0.008104701905575773,-0.015400763908977932,-0.004284691442266508,1.387526547818047,0,0,16,0.03749407823498576,0.01863205771559488,,,,0.008494528011459668,0.004990576720349971,OOS
base,5.0,2022-01-01,,12.0,,720.0,0.1,0.05,4,all,False,4,0.5,0.06388648438928546,-0.04339589767107932,-0.021684806943919166,1.9884458788249668,0,0,33,0.34413458945360903,0.11504393207728875,0.14716265913614213,-0.0009140187587269866,0.05067955730619489,,,IS
base,5.0,2025-01-01,,12.0,,720.0,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,,,,-0.002837188500687815,0.07568013460574985,OOS
exAXS,5.0,2022-01-01,,12.0,,720.0,0.1,0.05,4,all,False,4,0.5,0.052995856583185175,-0.043401480495891764,-0.012200193252703828,2.652796962430077,0,0,31,0.29246467150577227,0.10585163636620884,0.10808164630463457,0.0030440080931994906,0.05050584385836121,,,IS
exAXS,5.0,2025-01-01,,12.0,,720.0,0.1,0.05,4,all,False,4,0.5,0.00379691191840692,-0.013023979686517917,-0.006496649413430422,0.47622802634294104,0,2,4,0.03193988936246601,0.017876056942389383,,,,0.002310335834568189,0.004008764170873036,OOS
lag8,5.0,2022-01-01,,12.0,,720.0,0.1,0.05,4,all,False,4,0.5,0.01835205450840305,-0.071618486595032,-0.03410157882824416,0.563528051808909,0,4,33,0.26682630639951344,0.15420618218716758,0.009612500619977649,-0.0004861300291084669,0.04653532447424924,,,IS
lag8,5.0,2025-01-01,,12.0,,720.0,0.1,0.05,4,all,False,4,0.5,0.0394950760897701,-0.017037648720626297,-0.00898365148350977,1.320901517510408,0,1,6,0.10807202394535201,0.025853811138039605,,,,-0.0024017085689059803,0.06917096380488919,OOS
lag24,5.0,2022-01-01,,12.0,,720.0,0.1,0.05,4,all,False,4,0.5,0.057565869195840724,-0.04791145877619374,-0.021628514396473286,1.854559987605889,0,0,32,0.3232874873001495,0.11604066661549789,0.13303397281505314,-0.0004540814126708925,0.044450087648642,,,IS
lag24,5.0,2025-01-01,,12.0,,720.0,0.1,0.05,4,all,False,4,0.5,0.03662952602079539,-0.01683931629272306,-0.009143875877446028,1.2395514466119464,0,1,6,0.10356503932950505,0.02593231655525166,,,,-0.00198945276987772,0.06382962422308225,OOS
exAXS+lag8,5.0,2022-01-01,,12.0,,720.0,0.1,0.05,4,all,False,4,0.5,0.020426772016499006,-0.071618486595032,-0.03410157882824416,0.628176402628028,0,4,31,0.26418347121242075,0.14727969470283286,0.010648970155446635,0.004548615530096889,0.04659400690709958,,,IS
exAXS+lag8,5.0,2025-01-01,,12.0,,720.0,0.1,0.05,4,all,False,4,0.5,0.004346531937109432,-0.012157310846696578,-0.006288415402534331,0.5596306426294249,0,2,4,0.03194690411916531,0.0178834693542983,,,,0.0024540161714217135,0.004779994219621386,OOS
base,5.0,2022-01-01,,12.0,hourly,720.0,0.1,0.05,4,all,False,4,0.5,0.06388648438928546,-0.04339589767107932,-0.021684806943919166,1.9884458788249668,0,0,33,0.34413458945360903,0.11504393207728875,0.14716265913614213,-0.0009140187587269866,0.05067955730619489,,,IS
base,5.0,2025-01-01,,12.0,hourly,720.0,0.1,0.05,4,all,False,4,0.5,0.02636077120292435,-0.04209913966525236,-0.03515514727785962,0.6408283682534754,1,0,8,0.11605379847509284,0.02346853559939691,,,,-0.002837188500687815,0.04723495885275719,OOS
exAXS,5.0,2022-01-01,,12.0,hourly,720.0,0.1,0.05,4,all,False,4,0.5,0.052995856583185175,-0.043401480495891764,-0.012200193252703828,2.652796962430077,0,0,31,0.29246467150577227,0.10585163636620884,0.10808164630463457,0.0030440080931994906,0.05050584385836121,,,IS
exAXS,5.0,2025-01-01,,12.0,hourly,720.0,0.1,0.05,4,all,False,4,0.5,-0.004714589082902121,-0.026298021063088317,-0.02046787355013191,-0.2682927556452133,1,0,5,0.03193723055588131,0.01631629631335543,,,,0.002310335834568189,-0.010122615333196139,OOS
base,10.0,2022-01-01,,12.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.016517296125316494,-0.2746740266862989,-0.09943606684253359,-0.19942084413535086,0,3,62,0.3016156971668628,0.24754211022023098,-0.1269646385831208,0.009966683793463993,0.0788423739793731,,,IS
base,10.0,2025-01-01,,12.0,,720.0,0.05,0.0125,6,all,True,4,0.5,0.026649241541843116,-0.12324331974404323,-0.038300642890048864,0.45980249828464237,0,3,12,0.16756185578126206,0.1235110136439107,,,,0.0026485939435350048,0.04199255397457624,OOS
exAXS,10.0,2022-01-01,,12.0,,720.0,0.05,0.0125,6,all,True,4,0.5,0.026767873892769467,-0.19401928100243826,-0.023577339894947813,0.7123145566533279,0,1,56,0.3181275505002341,0.21607727696563897,-0.016837864511026868,-0.002397633276132516,0.10367050402591649,,,IS
