thr_in,thr_out_f,K,hedge,side,universe,L,cagr_is,maxdd_is,worst_day_is,sharpe_is,final_is,trades_is,liq_is,funding_is,costs_is,years_is,cagr_oos,maxdd_oos,worst_day_oos,sharpe_oos,final_oos,trades_oos,liq_oos,funding_oos,costs_oos,years_oos
2.0,0.0,10,btc,both,all,1,1.0854659651841008,-0.3834911660081187,-0.13326122549018993,1.7337726997540304,9.088324992179393,1210,6,10.986430886992355,2.8153651244404947,"{""2022"": 2.129657012155283, ""2023"": 0.5233895791577652, ""2024"": 0.9062336146417731}",0.6441282488236462,-0.5954310200623644,-0.3645258662493528,0.9429102863732565,2.289262621506349,1080,12,10.644818891954026,0.9854691799949861,"{""2025"": 0.967345871473789, ""2026"": 0.16362997208589114}"
2.0,0.0,10,btc,both,all,3,1.0671730904937626,-0.680699624656963,-0.44304301285877923,1.193790755810429,8.851045531803285,953,45,33.66393637534838,7.045107505903393,"{""2022"": 2.3001051997956514, ""2023"": 2.017753845568487, ""2024"": -0.11124311439298107}",0.007083704427443216,-0.9662367077329561,-0.4360910776193847,1.0549024660240223,1.0118275067085765,1199,118,54.270482595261605,4.656784060199626,"{""2025"": 8.248811933757823, ""2026"": -0.8905991911225435}"
2.0,0.0,10,btc,both,all,5,-0.6700507625148004,-0.992695930372599,-0.6298345250874536,0.31294623199630367,0.035811463053936066,1037,146,7.980854780601484,2.351951504311095,"{""2022"": -0.29876426579665316, ""2023"": -0.15446772794962982, ""2024"": -0.9396012658398527}",-0.9820740555069863,-0.9998915696923646,-0.9621291931819957,0.5875863265682826,0.001232343387482584,1230,299,17.008376351288597,2.3645156405711574,"{""2025"": -0.8452812202505798, ""2026"": -0.9920349463104707}"
2.0,0.0,10,btc,both,all,10,-1.0,-1.0,-1.0,-0.7275059295315478,0.0,85,52,0.16589762846988348,0.1082042059053615,"{""2022"": -1.0, ""2023"": 0.0, ""2024"": 0.0}",-1.0,-1.0,-1.0,-0.22177661325230033,0.0,323,165,0.6822615662774358,0.22926270401399584,"{""2025"": -1.0, ""2026"": 0.0}"
2.0,0.0,10,btc,both,all,15,-0.9980184014912025,-0.9999999932482478,-0.9767365856823631,-1.2259001989564442,7.649649977717809e-09,340,256,0.032480994445400126,0.0666443652975813,"{""2022"": -0.9999998883783414, ""2023"": -0.9314680494951901, ""2024"": 0.0}",-1.0,-1.0,-1.0,-1.782237797001184,0.0,57,45,0.04052820828732362,0.06188355052339422,"{""2025"": -1.0, ""2026"": 0.0}"
2.0,0.0,10,btc,both,all,20,-1.0,-1.0,-1.0,-0.956803090070767,0.0,155,130,0.1216699690325054,0.12940911711122474,"{""2022"": -0.9985927439873781, ""2023"": -0.557230781862083, ""2024"": -1.0}",-0.9999845134330791,-0.999999990328895,-0.7485095064145133,-1.547435656277382,9.719665617114588e-09,326,277,0.06683872882924809,0.0991982479841199,"{""2025"": -0.9999996320948755, ""2026"": -0.9735810539975299}"
