L,spearman_is_oos,top10pct_IS_n,top10pct_IS_median_oos,top10pct_IS_oos_pos,okx_n,okx_oos_pos,okx_both_pos,okx_median_oos
1,0.5076045054698791,34,-0.17610547016930383,15,168,10,4,-0.7106775861047755
3,0.6512898970122674,34,-0.9823259461206991,4,168,3,1,-0.9999069521998206
5,0.6116975897532038,34,-0.9461953286837212,0,168,1,0,-1.0
10,0.6266256844504849,34,-0.7555207700304059,0,168,0,0,-1.0
15,0.5355533104846676,34,-0.5552670419491155,2,168,4,0,-1.0
20,0.49938293349393714,34,-0.3694230638900464,6,168,9,1,-1.0
