thr_in,thr_out_f,K,hedge,side,universe,L,cagr_is,maxdd_is,worst_day_is,sharpe_is,final_is,trades_is,liq_is,funding_is,costs_is,years_is,cagr_oos,maxdd_oos,worst_day_oos,sharpe_oos,final_oos,trades_oos,liq_oos,funding_oos,costs_oos,years_oos,variant
2.0,0.0,10,btc,both,all,1,1.0854659651841008,-0.3834911660081187,-0.13326122549018993,1.7337726997540304,9.088324992179393,1210,6,10.986430886992355,2.8153651244404947,"{""2022"": 2.129657012155283, ""2023"": 0.5233895791577652, ""2024"": 0.9062336146417731}",0.6441282488236462,-0.5954310200623644,-0.3645258662493528,0.9429102863732565,2.289262621506349,1080,12,10.644818891954026,0.9854691799949861,"{""2025"": 0.967345871473789, ""2026"": 0.16362997208589114}",base
2.0,0.0,10,btc,both,all,3,1.0671730904937626,-0.680699624656963,-0.44304301285877923,1.193790755810429,8.851045531803285,953,45,33.66393637534838,7.045107505903393,"{""2022"": 2.3001051997956514, ""2023"": 2.017753845568487, ""2024"": -0.11124311439298107}",0.007083704427443216,-0.9662367077329561,-0.4360910776193847,1.0549024660240223,1.0118275067085765,1199,118,54.270482595261605,4.656784060199626,"{""2025"": 8.248811933757823, ""2026"": -0.8905991911225435}",base
2.0,0.0,10,btc,both,all,5,-0.6700507625148004,-0.992695930372599,-0.6298345250874536,0.31294623199630367,0.035811463053936066,1037,146,7.980854780601484,2.351951504311095,"{""2022"": -0.29876426579665316, ""2023"": -0.15446772794962982, ""2024"": -0.9396012658398527}",-0.9820740555069863,-0.9998915696923646,-0.9621291931819957,0.5875863265682826,0.001232343387482584,1230,299,17.008376351288597,2.3645156405711574,"{""2025"": -0.8452812202505798, ""2026"": -0.9920349463104707}",base
2.0,0.0,10,btc,both,all,10,-1.0,-1.0,-1.0,-0.7275059295315478,0.0,85,52,0.16589762846988348,0.1082042059053615,"{""2022"": -1.0, ""2023"": 0.0, ""2024"": 0.0}",-1.0,-1.0,-1.0,-0.22177661325230033,0.0,323,165,0.6822615662774358,0.22926270401399584,"{""2025"": -1.0, ""2026"": 0.0}",base
2.0,0.0,10,btc,both,all,15,-0.9980184014912025,-0.9999999932482478,-0.9767365856823631,-1.2259001989564442,7.649649977717809e-09,340,256,0.032480994445400126,0.0666443652975813,"{""2022"": -0.9999998883783414, ""2023"": -0.9314680494951901, ""2024"": 0.0}",-1.0,-1.0,-1.0,-1.782237797001184,0.0,57,45,0.04052820828732362,0.06188355052339422,"{""2025"": -1.0, ""2026"": 0.0}",base
2.0,0.0,10,btc,both,all,20,-1.0,-1.0,-1.0,-0.956803090070767,0.0,155,130,0.1216699690325054,0.12940911711122474,"{""2022"": -0.9985927439873781, ""2023"": -0.557230781862083, ""2024"": -1.0}",-0.9999845134330791,-0.999999990328895,-0.7485095064145133,-1.547435656277382,9.719665617114588e-09,326,277,0.06683872882924809,0.0991982479841199,"{""2025"": -0.9999996320948755, ""2026"": -0.9735810539975299}",base
2.0,0.0,10,btc,both,okx,1,0.4142929814406284,-0.4637886810638673,-0.13635187928696235,1.162718520467246,2.831591468440394,509,5,2.4195436252922633,0.5459758530923999,"{""2022"": 0.7558614272851008, ""2023"": 0.17105446339772312, ""2024"": 0.37709297575285716}",-0.5755191739348184,-0.8731382131257637,-0.203151202427446,-0.8381550646594713,0.2399403669165981,1203,14,2.4222584494346395,0.4640064718976053,"{""2025"": -0.519692506647013, ""2026"": -0.5004442565707339}",okx_universe
2.0,0.0,10,btc,both,okx,3,-0.09647729697046314,-0.8627722766125924,-0.4216159822409674,0.3351024386819861,0.7373887272416797,527,37,3.461947125822304,0.9149931453702006,"{""2022"": 0.09371750640448084, ""2023"": -0.08764490312754392, ""2024"": -0.26102894470992544}",-0.8591814185593072,-0.9930686833057197,-0.3801014724057262,-0.083860438816531,0.0381836483055318,961,58,6.6075237022721005,1.759817067775464,"{""2025"": -0.844417907473441, ""2026"": -0.7545755576014409}",okx_universe
2.0,0.0,10,btc,both,okx,5,-0.5544435941818169,-0.9736892134052051,-0.578872757507779,0.09218493718926486,0.08825639124758014,549,99,1.385075906845597,0.3859144916553893,"{""2022"": -0.6423956274262903, ""2023"": -0.4655949193105503, ""2024"": -0.5381799684970316}",-1.0,-1.0,-1.0,-0.7263263335881854,0.0,765,90,5.426836183637561,1.2985288586357069,"{""2025"": -1.0, ""2026"": 0.0}",okx_universe
2.0,0.0,10,btc,both,okx,10,-0.9978567454882618,-0.9999999903349194,-0.7932692514330537,-1.8468103905492248,9.68075241424531e-09,509,284,0.03589740662975145,0.04740076439925255,"{""2022"": -0.9999965520453284, ""2023"": -0.9266046500810113, ""2024"": -0.9617458091651017}",-1.0,-1.0,-1.0,-1.1753659629318984,0.0,617,266,1.0459748502741517,0.31774898099647153,"{""2025"": -1.0, ""2026"": 0.0}",okx_universe
