thr_ann_binance,coin_days,coins,binance_ann_mean,okx_ann_same_direction_mean,okx_over_binance_ratio,same_sign_frac,okx_also_above_thr_frac
0.5,9096,257,1.4348249415952068,1.2090915052933902,0.8426752771311242,0.9433817062445031,0.6783201407211962
1.0,2621,220,3.299262665356734,2.634845905527709,0.7986165918810879,0.9366653948874475,0.5444486837085082
2.0,972,140,6.662562584310699,5.211295382369967,0.782175824455557,0.9228395061728395,0.6090534979423868
4.0,477,95,10.68959601457023,8.201224926279476,0.7672156099352085,0.939203354297694,0.6184486373165619
