thr,side_of_funding,period,n,n_times,funding_recv_bp,raw_-60_-30,t_raw_-60_-30,hedged_-60_-30,t_hedged_-60_-30,raw_-30_-15,t_raw_-30_-15,hedged_-30_-15,t_hedged_-30_-15,raw_-15_-5,t_raw_-15_-5,hedged_-15_-5,t_hedged_-15_-5,raw_-5_-1,t_raw_-5_-1,hedged_-5_-1,t_hedged_-5_-1,raw_-1_1,t_raw_-1_1,hedged_-1_1,t_hedged_-1_1,raw_1_5,t_raw_1_5,hedged_1_5,t_hedged_1_5,raw_5_15,t_raw_5_15,hedged_5_15,t_hedged_5_15,raw_15_30,t_raw_15_30,hedged_15_30,t_hedged_15_30,raw_30_60,t_raw_30_60,hedged_30_60,t_hedged_30_60,raw_-30_30,t_raw_-30_30,hedged_-30_30,t_hedged_-30_30,raw_-5_5,t_raw_-5_5,hedged_-5_5,t_hedged_-5_5
0.5,pos,IS,43656,2365,4.2957397173355325,2.1952144333942942,-0.10002553505509483,3.6534266518766096,0.33614362157047817,-2.127848845155601,-0.8128999126344406,-4.017872602882765,-0.8713316506846053,0.21535444154437305,0.7280514044868043,-0.32316669707476936,0.08451610164297427,1.9760621492282624,-0.9074860894215369,0.11101018638344878,-2.2005448355322024,-7.298307247227089,-5.299771053110339,-4.652478146772573,-3.8787866279529886,4.85726232537123,0.3105356341081274,3.7225191172616343,0.3857987602148156,3.2175997431989067,-0.4680816045860985,3.0240313282424993,-1.0202229536770795,-5.487429035802008,-2.2739230125643046,-3.182748237910588,-1.8858359457876062,0.42131650024044837,-0.2868881465636466,1.1726515606574766,-0.6113815913148007,-4.646748990329663,-2.7906950555629315,-5.318855622617273,-3.0513593571791855,-0.4652149980922803,-2.876091816440321,-0.819266546038337,-2.7992595669593805
0.5,pos,OOS,57549,6826,3.830975075153348,3.166031460512282,0.14396524645245226,2.8838830556743638,0.13256345285606358,0.9561817541051179,0.8476703316708706,0.24111148005522268,0.6576090063590807,2.2109907223397594,0.6650480251389197,2.17228329031429,0.7797395794601134,0.4370659479844281,1.3240935965544303,0.19100366081021297,1.013319031064717,-2.498136458533049,-5.061358605258364,-2.537731280686497,-5.086124012055851,-2.4667174757240984,-1.538590550652976,-2.6819025813913004,-1.852440787875793,-1.420186830917295,-0.8808345424216664,-1.4453832590924955,-0.7443308374331721,1.2112212258832373,0.8073233807088349,1.2153075894476089,0.7676944847334328,0.17065020396722627,0.032251674461624025,0.08731967733961378,-0.09205574180285789,-1.5695649770189821,-0.34775878413089806,-2.846327432099045,-0.5064363594015708,-4.5279574714890245,-2.5275955228654867,-5.028683055676331,-2.9331826390869975
0.5,neg,IS,21110,4359,12.41732122690668,6.900386041165222,2.507464668892708,4.728012859822156,2.3840467330315693,2.51265128538058,0.5249205212098187,0.9371381844422974,0.9618142732402355,-0.893594978798929,-0.6459326112160447,-0.7820888902605154,-0.23008727132247928,0.4550889528727721,0.9740092193546643,1.1783782496614699,1.448512798562678,-10.174906269596828,-18.641470219397807,-10.354323827812795,-19.580921656376873,0.307901375663628,-0.7777054212492998,-0.38434203293749286,-1.0646217716439939,3.1887020209395267,-1.0483176035504025,0.8538922988682618,-1.40872890599706,-0.2907480124683526,-2.3737068516423894,-1.735002570527192,-2.877907110997868,-3.462977906643712,-1.1661053438478235,-1.690532300414028,-1.3728688508195417,-4.894905626007606,-6.451305517676325,-10.28634858856594,-7.498786135401584,-9.411915941060423,-10.648699844850622,-9.56028761108879,-11.490825450717642
0.5,neg,OOS,134189,11760,10.502167697799372,-1.5750415500003225,-5.448774704798243,-1.2378610007166093,-5.468772314869579,-0.0645535752656516,-1.0028236540344477,0.37607849590060705,-0.8746637029443686,-0.4525074289247569,-0.824314805228152,-0.8274127010542153,-1.1812155313577932,-0.9130803042119505,-2.3720413035625905,-0.7107576176978689,-2.1659217200013545,-8.776064099178592,-29.544715935827135,-8.75748159495133,-29.88170365239086,-2.2536965640906845,-1.1557643383170786,-1.9584135447708864,-0.623933555495783,-0.6364011249722045,-0.6986681067721261,-0.6303155414350644,-1.2020196625498631,-1.4505985311905951,-1.3709077989610385,-1.7518675782430209,-1.1330133325426612,-3.406453588318912,-2.8376452948051862,-3.4313301297755094,-2.7219874265120345,-14.546901627834428,-7.97906251580207,-14.260170082251815,-8.09349834386451,-11.94284096748122,-15.959678685315417,-11.426652757420124,-15.670354793333363
0.5,all,IS,64766,4800,6.942909307352623,3.7288777747574633,2.9884886033536744,4.00369091674182,3.0500545371477146,-0.6152653457482333,0.8666835013639362,-2.4027735089350153,1.314234302291359,-0.14611060483088348,-0.7625145098099134,-0.4727536203369381,-0.7225600983365444,1.4802968448143226,0.29893865154906757,0.4589216775791598,-0.2572754608086731,-8.235956913892085,-18.396865060680017,-6.511038780572106,-18.585736946344664,3.37436299012846,0.45135728236035294,2.383856008994513,0.4304698073099571,3.208180307457889,-0.937011599501535,2.316657752125115,-1.1625462084424205,-3.7935307234543174,-3.1988611312337003,-2.7108443570146528,-3.219058691173953,-0.8447992592105441,0.06556260578145402,0.23937466941989552,-0.0907685000105579,-4.727637562186455,-6.471829441479263,-6.9380483176928,-7.546957942446698,-3.38146126380044,-10.023535349837005,-3.6684698671200517,-10.858145305198896
0.5,all,OOS,191738,11999,8.499849616664408,-0.1521929406355662,-5.0804973548400545,-0.0008798815080567029,-5.031490720611165,0.2417804214275669,-0.25532316597531934,0.3355733970801707,-0.28898676144364094,0.34683791593053487,-0.6074207237164634,0.07282934549765625,-0.9904536409954302,-0.5078864349935243,-1.8453347410156895,-0.44012905360294824,-1.8917892334067887,-6.892011282088214,-27.4532763299994,-6.890888226572771,-27.637399329496247,-2.317626502990833,-1.5610717481901637,-2.1755406312686967,-1.21896354906454,-0.8716239108839887,-0.9972849001047825,-0.8749264061139006,-1.3762439695266926,-0.6517568910525442,-0.9976934037794362,-0.8613853916728155,-0.8221030374197047,-2.3329250547734164,-3.0639125586383344,-2.375344285686174,-2.985660078024729,-10.65230629720317,-6.979147231659363,-10.834790939679314,-7.152611788353417,-9.717579234839693,-14.946262306586421,-9.506574424215605,-14.83611548655953
1.0,pos,IS,10375,1347,5.678571257831325,12.270113882959238,1.039844638219708,8.456712441577833,1.2049903394220027,-4.064503738720326,-0.5751596428474356,-5.463442968894322,-0.35276122633266227,-0.46205561434346754,0.593874114036205,-1.2427383205535787,0.6765996496949231,6.353990041202262,-0.46538219888834,3.528939620110662,-1.3929145877871087,-13.50646606108983,-6.184410916733323,-10.101371246430881,-5.32306647009566,9.484084449301658,1.9239204625459363,7.681031703185711,2.0902082550851144,5.428762311925307,-0.7641582057784556,4.625602958585973,-0.7006149989270626,-10.871519749793647,-1.5256204032787,-7.208543764703245,-0.5206861989700741,-2.553204743377638,-0.9021563861763414,-1.1637140379471398,-1.1229173332342943,-7.637708361518049,-2.1056346262025727,-8.180522018699703,-1.4029416373406984,2.3316084294140813,-1.6624466632620205,1.1086000768655382,-1.69649561554171
1.0,pos,OOS,25271,5887,5.423286245103083,2.1813454292003938,0.03281067298885749,1.859419588371283,0.06700855592785258,0.1277194053204931,-0.01923645877857717,-0.3748802365995418,-0.15207451417164208,4.255750524537636,0.4743903382534579,4.245508787184892,0.6583422436340357,0.6854112011076343,1.5033871968491619,0.5259798496269733,1.3540581478756535,-4.378560106795293,-5.708855285659376,-4.523867709730283,-5.778666228948122,-3.4640212616046426,-2.571246884489149,-3.7309953340021313,-2.8614447194333104,-1.6260979851086188,-0.7628046084297383,-1.3910946136786906,-0.6982076037636289,2.243948828785515,0.14451988177557315,2.1502986646010576,0.10902681014751614,1.0913356223630593,0.07825523333092815,1.2362423645606913,-0.00943333395916384,-2.1558493937572782,-1.4648350001983226,-3.099050592597702,-1.568816125733607,-7.157170167292296,-3.4466132269769925,-7.72888319410541,-3.7540657630618175
1.0,neg,IS,10057,3749,21.631636631202145,8.627413347756475,2.978146894371331,7.8226376107995925,3.0509139058639616,3.6931087508077867,1.5304514298307097,2.4257571718264925,1.8240959702652846,-2.0881869227327146,-1.225038326893492,-1.6601143835364625,-0.854857080645897,1.139149273255095,1.6142286177281255,1.8407516212164092,1.9443764487918507,-18.600314834280443,-21.617491135438726,-19.056807189767007,-22.45483225754473,-0.7000444066901983,-0.36571752737109864,-1.0690660889187218,-0.6701636290578217,0.2517432141168755,-1.168340958343195,-0.7897043595030989,-1.2830317501572095,-1.7405549217446485,-2.4156949263084897,-3.359924545757944,-2.750669442758077,-0.7111265387003712,-0.9574240533452252,-1.2963292843566296,-1.366302587121223,-18.04509984726824,-6.969927652137888,-21.669107774440306,-7.8048375922418884,-18.161209967715543,-12.164635497574647,-18.28512165746931,-12.976251374115682
1.0,neg,OOS,86064,11516,14.706263756042015,-3.570909026657027,-5.5932686362030015,-3.1412431806500827,-5.5619916245851595,0.010019565041451375,-1.0525591718957241,0.4365376051477447,-0.8595353258264467,-0.6486146549417121,-0.8021293809759691,-0.948211550775232,-1.0976013634885111,-1.316334208738128,-2.3304900465563683,-1.1206755623359004,-2.0855048520658115,-12.804759167491587,-33.109017799734,-12.732063808149979,-33.41597689660106,-3.142422440830375,-1.637579203253354,-2.8816880047777613,-1.1390944184105862,-0.589701561374008,-0.6714203188403728,-0.7308801850886208,-1.169334559142866,-2.114385106661356,-1.3954758475336724,-2.384124101696105,-1.1528258423751558,-4.749280413330542,-3.1468915310829093,-4.715103493896578,-3.0466679456352312,-20.606197574995708,-9.146109528946239,-20.36110560767588,-9.124678815663392,-17.263515817060085,-18.13695116784336,-16.73442737526367,-17.825330311781805
1.0,all,IS,20432,4245,13.53095861393892,10.476935259242442,3.4847908722775927,8.14457878650506,3.4548541566399225,-0.24569273494234095,1.5537790129207503,-1.5798558022164348,1.9552825053967011,-1.26254521632441,-1.3960037306815127,-1.44819848038808,-1.02901859981852,3.7868998012000747,1.66153943601855,2.6979016022506768,1.483603592556844,-16.013996022518022,-22.169873791933504,-14.509830340025177,-22.708562271999494,4.47078127237018,1.1861050332778988,3.373653656431219,1.070600590023384,2.8802904045998354,-1.3088200279095088,1.9598297966661593,-1.2862620073126672,-6.376653705951808,-2.7057126098170463,-5.3139983175699665,-2.400426542343257,-1.6464117671446832,-0.5381029097726966,-1.2289960513167062,-0.9940246489041985,-12.760916201566493,-6.946259209777312,-14.8204978848516,-7.416261897348983,-7.756314948947771,-11.267813654058921,-8.438275081343251,-12.115696794187235
1.0,all,OOS,111335,11825,12.599198370683073,-2.2653328017725713,-4.92455791740816,-2.0062540263975173,-4.858259294925609,0.036733632424986326,-0.7799306303076166,0.252371927018958,-0.6464332460031312,0.4645180525238522,-1.0236737970326342,0.23059544463416473,-1.3264920394560664,-0.8620025661757919,-1.427370933968678,-0.7469378960115416,-1.336347701038287,-10.892283764289171,-30.4439028342046,-10.869068045788708,-30.57316503422063,-3.215415000108801,-2.07226171053582,-3.074453374454053,-1.7369786475551614,-0.8249301210225386,-0.7930229609677047,-0.8807275654344521,-1.2164104489264547,-1.1251838795785778,-1.2236725286158192,-1.3549563896829282,-1.0646692718809312,-3.4236489598895896,-3.523245300094423,-3.36433994223304,-3.4504935243052306,-16.418563646226037,-8.09744049358997,-16.443175899718582,-8.216939025327475,-14.969701330573757,-16.83484163858855,-14.690459316254321,-16.672404121037737
2.0,pos,IS,1024,475,8.807564550781251,32.145592652764435,2.083655799958384,21.331869527822995,2.042120779918452,3.316785129776309,-0.34969953801480014,-1.5893106989861485,0.29800278484277354,-3.5957742836078017,0.17748458655086377,-1.3098076513799788,0.25193082400536265,10.700436351379233,-0.512347107884321,5.670325538170559,-0.973113443473859,-22.288107274894145,-4.646485060563203,-18.15688647788029,-4.1542386457147416,15.861504137145953,0.8628192121015135,13.927627436395314,0.91168221298397,3.5097332292010637,-0.8006610023126953,0.1526336380149466,-0.9742750364667654,-18.020946173999505,0.7317011680159821,-13.688714964370192,1.2789754225027021,-9.037871401944962,-1.5283818708432446,-3.9262147657156143,-1.3008824164729675,-10.51636888499885,-1.2004704934029302,-14.99413318003564,-0.635031672721399,4.273833213631031,-2.6929254468740655,1.4410664966856759,-2.58208863702777
2.0,pos,OOS,7285,3959,8.574246479066575,0.9688688984203823,-0.18740963495573962,-0.033906766744619815,-0.07327575084881495,0.8711078292438478,-0.2085562004539477,0.5432206449594514,-0.3802882923684834,9.280529539576087,1.5191199446590957,9.22343214117929,1.5518638097470803,1.9477664259591843,1.8376342849723641,1.9142976093513393,1.7515169597768705,-8.517946273680503,-5.839220539126401,-8.764852363878838,-5.909907994327352,-4.265904491304353,-2.1023236838841206,-4.651328628855869,-2.229808882510004,-0.9715737860222116,-0.44875300057955175,-0.40785516686757356,-0.3007321934488123,3.941304993833298,1.1448586401096,4.099828817344792,1.2378557175012515,9.708254350859775,1.0957659141291287,10.395960540568403,1.1455129123849017,2.285284237605343,-0.37537167013895273,1.9567430532326178,-0.400859742826374,-10.836084339025666,-3.02059678297677,-11.501883383383335,-3.1792614500239713
