config,L,variant,period,cagr,maxdd,worst_day,sharpe,trades,liq,win_rate,pnl_total,pnl_top5_coins,pnl_worst5_coins,top5,worst5,mean_hold_h,years
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",3,mark_liq,OOS,-0.7493568578399428,-0.9858959767455902,-0.5563839899351555,0.5064504570436019,1097,110,0.3865086599817685,-0.9002356942275584,4.023773616905455,-2.856693836591632,"YALAUSDT:0.58,OMNIUSDT:0.63,DAMUSDT:0.67,FUNUSDT:0.71,MUSDT:1.43","BROCCOLIF3BUSDT:-1.16,AIOTUSDT:-0.58,AIAUSDT:-0.44,STBLUSDT:-0.35,AERGOUSDT:-0.33",111.30537830446673,"{""2025"": 1.3498368059334522, ""2026"": -0.9575441556109209}"
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",3,slip_x2,IS,2.003266266007058,-0.773648438141434,-0.5280573161730322,1.4209416603929277,750,43,0.4106666666666667,26.17002200038322,43.01848983024483,-21.58793977522791,"RAREUSDT:5.66,XVGUSDT:5.91,UMAUSDT:6.03,CKBUSDT:7.47,TRBUSDT:17.95","WIFUSDT:-9.10,DIAUSDT:-3.34,ARKUSDT:-3.31,TOKENUSDT:-3.07,TUSDT:-2.76",100.93333333333334,"{""2022"": 4.350156219001897, ""2023"": 1.4221017905014377, ""2024"": 1.0966750934476144}"
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",3,slip_x2,OOS,-0.7608605672099036,-0.9840190079154061,-0.5518053308094129,0.508728030093501,1089,116,0.3691460055096419,-0.907745810043521,2.4361066865295973,-1.9970475369164686,"VOXELUSDT:0.36,OMNIUSDT:0.37,DAMUSDT:0.39,FUNUSDT:0.46,MUSDT:0.86","BROCCOLIF3BUSDT:-0.77,AIOTUSDT:-0.41,AERGOUSDT:-0.29,VIDTUSDT:-0.29,SIGNUSDT:-0.24",112.58034894398531,"{""2025"": 0.3188854184451577, ""2026"": -0.9300513989568263}"
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",5,base,IS,-0.28796609547248087,-0.960818603886032,-0.8399842948091759,0.8313082107897991,636,118,0.38836477987421386,-0.6393400539976921,4.458660227158144,-3.2212896935286213,"TRBUSDT:0.65,GMTUSDT:0.71,LINAUSDT:0.72,LPTUSDT:0.80,SXPUSDT:1.58","MTLUSDT:-0.95,LUNAUSDT:-0.71,WAVESUSDT:-0.58,1000XECUSDT:-0.50,FLMUSDT:-0.48",89.4245283018868,"{""2022"": 0.054810312984065135, ""2023"": -0.2898521594793617, ""2024"": -0.5185238542594903}"
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",5,base,OOS,-0.9835539933796875,-0.9999650620200253,-0.6385918329679778,0.3831641831983958,1053,253,0.3570750237416904,-0.9989324294050776,11.933113209232898,-8.410044811507186,"DEEPUSDT:1.52,MUSDT:2.06,FUNUSDT:2.37,AERGOUSDT:2.65,ALPACAUSDT:3.34","BROCCOLIF3BUSDT:-3.29,SIGNUSDT:-1.92,SAFEUSDT:-1.15,VIDTUSDT:-1.05,TOWNSUSDT:-1.00",83.3076923076923,"{""2025"": -0.5953796640687703, ""2026"": -0.9973615498280239}"
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",5,funding_x0.8,IS,-0.4540428289885525,-0.9716997328771756,-0.8392858355614248,0.6855694505618336,633,117,0.382306477093207,-0.8375365727550852,3.2262034945203886,-2.566998915180762,"LPTUSDT:0.39,LINAUSDT:0.46,BELUSDT:0.63,GMTUSDT:0.71,SXPUSDT:1.04","LUNAUSDT:-0.68,MTLUSDT:-0.59,WAVESUSDT:-0.54,1000XECUSDT:-0.38,FTTUSDT:-0.37",85.75987361769353,"{""2022"": -0.2518265847479366, ""2023"": -0.7445829713157199, ""2024"": -0.14983447512183445}"
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",5,funding_x0.8,OOS,-0.9971926178164165,-0.9999936758398674,-0.6711972299398603,0.04551489212660343,930,246,0.3279569892473118,-0.9999438306302857,3.0371844219912845,-2.0158631681531545,"ALPACAUSDT:0.45,OMUSDT:0.56,IPUSDT:0.56,MUSDT:0.56,FUNUSDT:0.91","BROCCOLIF3BUSDT:-0.53,VIDTUSDT:-0.49,SIGNUSDT:-0.40,AERGOUSDT:-0.32,TOWNSUSDT:-0.28",84.50645161290322,"{""2025"": -0.9496087190454561, ""2026"": -0.9988853355451445}"
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",5,mark_liq,IS,-0.17799857036831468,-0.9606662238301189,-0.8168672619915971,0.8993626652229113,633,114,0.3902053712480253,-0.4448830443096856,7.561414108503723,-4.465284687772895,"LQTYUSDT:0.86,LINAUSDT:1.08,LPTUSDT:1.25,TRBUSDT:1.97,SXPUSDT:2.41","MTLUSDT:-1.56,LUNAUSDT:-0.76,ARKUSDT:-0.75,1000XECUSDT:-0.72,ZRXUSDT:-0.68",89.88783570300158,"{""2022"": 0.62353235025091, ""2023"": -0.14358488609883446, ""2024"": -0.6007552416931492}"
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",5,mark_liq,OOS,-0.9659109203247901,-0.9998507890585872,-0.7408386740409412,0.705847859814689,1083,267,0.3619575253924284,-0.9964050001924256,9.404758304096955,-7.560304615990289,"AERGOUSDT:1.38,TNSRUSDT:1.44,MUSDT:1.91,ALPACAUSDT:2.04,FUNUSDT:2.65","BROCCOLIF3BUSDT:-2.73,SIGNUSDT:-1.62,WCTUSDT:-1.08,PARTIUSDT:-1.07,SAFEUSDT:-1.06",91.6426592797784,"{""2025"": 3.1297337766276296, ""2026"": -0.999129483883944}"
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",5,slip_x2,IS,-0.3841911112523452,-0.9669718625454492,-0.8405405925299141,0.7697327051127486,635,118,0.3826771653543307,-0.7667825730192157,3.7063663442765833,-2.787452577911541,"LINAUSDT:0.57,BELUSDT:0.57,LPTUSDT:0.60,GMTUSDT:0.72,SXPUSDT:1.25","MTLUSDT:-0.71,LUNAUSDT:-0.69,WAVESUSDT:-0.55,1000XECUSDT:-0.43,XEMUSDT:-0.40",88.95590551181103,"{""2022"": -0.1429014841860341, ""2023"": -0.31504196251198724, ""2024"": -0.6027478188991346}"
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",5,slip_x2,OOS,-0.9870600247485616,-0.9999577793950057,-0.6589910960759608,0.3503806377868064,1029,269,0.34499514091350825,-0.9992839445225381,6.056503488535805,-4.194821170069297,"DEEPUSDT:0.70,MUSDT:0.93,OMUSDT:1.14,ALPACAUSDT:1.49,FUNUSDT:1.80","BROCCOLIF3BUSDT:-1.42,SIGNUSDT:-0.88,VIDTUSDT:-0.85,AIOTUSDT:-0.54,SAFEUSDT:-0.51",86.16520894071914,"{""2025"": -0.6714076045470032, ""2026"": -0.9978208397778848}"
