config,L,variant,period,cagr,maxdd,worst_day,sharpe,trades,liq,win_rate,pnl_total,pnl_top5_coins,pnl_worst5_coins,top5,worst5,mean_hold_h,years
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",5,mark_liq,IS,-0.6191754791871449,-0.9915692633846946,-0.6313848930196799,0.39160448047503876,1033,139,0.37463697967086157,-0.9449159309560223,5.756527628268999,-4.344745521340509,"BANDUSDT:0.78,BLZUSDT:0.87,HNTUSDT:0.96,RAREUSDT:0.98,TRBUSDT:2.16","FTTUSDT:-1.53,1000LUNCUSDT:-0.87,BONDUSDT:-0.71,NKNUSDT:-0.66,LOOMUSDT:-0.58",84.5759922555663,"{""2022"": -0.009404277918790394, ""2023"": 0.0020769634464481435, ""2024"": -0.9445082415069466}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",5,mark_liq,OOS,-0.9823294780374705,-0.9999075451532136,-0.7641614786566563,-0.08384272417938356,986,223,0.34787018255578095,-0.998796767236437,6.193501403138534,-3.7446206985731507,"AUCTIONUSDT:0.67,ALPACAUSDT:0.74,GASUSDT:0.85,VOXELUSDT:1.42,FUNUSDT:2.51","BROCCOLIF3BUSDT:-0.92,TROYUSDT:-0.87,AERGOUSDT:-0.79,VIDTUSDT:-0.61,NULSUSDT:-0.57",83.22413793103448,"{""2025"": -0.35366543249964977, ""2026"": -0.9981383747302602}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",5,slip_x2,IS,-0.7515943078250313,-0.9961441623962591,-0.6213666732214334,0.14644146766560157,1034,145,0.36363636363636365,-0.9847304042875732,2.5719712387555083,-2.570766209877659,"ZILUSDT:0.40,BLZUSDT:0.41,HNTUSDT:0.43,BANDUSDT:0.55,TRBUSDT:0.77","FTTUSDT:-0.88,1000LUNCUSDT:-0.52,LUNAUSDT:-0.51,NKNUSDT:-0.36,ETCUSDT:-0.30",84.10444874274661,"{""2022"": -0.49862053444924603, ""2023"": -0.25623555845245327, ""2024"": -0.9590526704233459}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",5,slip_x2,OOS,-0.9999029493511428,-0.999999976103844,-0.9705684026749632,-0.7057257461674117,1272,331,0.3474842767295597,-0.9999997933055024,5.171790816022311,-3.5531406834490222,"ALPACAUSDT:0.73,GASUSDT:0.74,VOXELUSDT:0.74,OMUSDT:0.90,FUNUSDT:2.06","AERGOUSDT:-1.06,VIDTUSDT:-1.03,ACXUSDT:-0.55,TROYUSDT:-0.47,SPELLUSDT:-0.44",77.79323899371069,"{""2025"": -0.9743911747474633, ""2026"": -0.9999919287786622}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",1,base,IS,0.4142929814406284,-0.4637886810638673,-0.13635187928696235,1.162718520467246,509,5,0.3791748526522593,1.8315914684403918,2.491485649108828,-1.2063657042692746,"LPTUSDT:0.24,ORDIUSDT:0.27,UMAUSDT:0.34,WAVESUSDT:0.39,TRBUSDT:1.25","TONUSDT:-0.35,1000BONKUSDT:-0.34,LUNAUSDT:-0.22,MOODENGUSDT:-0.18,FLMUSDT:-0.12",112.08840864440079,"{""2022"": 0.7558614272851008, ""2023"": 0.17105446339772312, ""2024"": 0.37709297575285716}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",1,base,OOS,-0.5755191739348184,-0.8731382131257637,-0.203151202427446,-0.8381550646594713,1203,14,0.34746467165419787,-0.7600596330834022,0.688230968634674,-0.845519010746706,"AI16ZUSDT:0.10,LPTUSDT:0.11,MAGICUSDT:0.15,IPUSDT:0.16,SPKUSDT:0.17","JELLYJELLYUSDT:-0.46,NEIROETHUSDT:-0.15,RESOLVUSDT:-0.09,SOPHUSDT:-0.08,SWELLUSDT:-0.07",101.89359933499584,"{""2025"": -0.519692506647013, ""2026"": -0.5004442565707339}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",1,funding_x0.8,IS,0.31992883263609473,-0.47958457613653027,-0.13748785500565242,0.9654642450400522,509,5,0.37328094302554027,1.3013454924416785,2.109351568052021,-1.0654931913501584,"LPTUSDT:0.19,ORDIUSDT:0.23,UMAUSDT:0.27,WAVESUSDT:0.38,TRBUSDT:1.03","1000BONKUSDT:-0.29,TONUSDT:-0.29,LUNAUSDT:-0.22,MOODENGUSDT:-0.15,ANCUSDT:-0.12",112.07072691552062,"{""2022"": 0.6721158111451002, ""2023"": 0.06903166892950918, ""2024"": 0.2874337744095974}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",1,funding_x0.8,OOS,-0.7238167971789354,-0.9337494281809553,-0.20555158221960312,-1.4421040868524755,1193,14,0.33780385582564965,-0.8827339153338063,0.6085969668179845,-0.7355373466369223,"ZEREBROUSDT:0.09,AI16ZUSDT:0.10,MAGICUSDT:0.12,SPKUSDT:0.14,IPUSDT:0.16","JELLYJELLYUSDT:-0.38,NEIROETHUSDT:-0.14,RESOLVUSDT:-0.07,AGLDUSDT:-0.07,SWELLUSDT:-0.07",102.33445096395641,"{""2025"": -0.6675361395679613, ""2026"": -0.647281709014009}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",1,mark_liq,IS,0.4142929814406284,-0.46319318325680514,-0.13635187928696235,1.162718520467246,509,5,0.3791748526522593,1.8315914684403918,2.491485649108828,-1.2063657042692746,"LPTUSDT:0.24,ORDIUSDT:0.27,UMAUSDT:0.34,WAVESUSDT:0.39,TRBUSDT:1.25","TONUSDT:-0.35,1000BONKUSDT:-0.34,LUNAUSDT:-0.22,MOODENGUSDT:-0.18,FLMUSDT:-0.12",112.08840864440079,"{""2022"": 0.7558614272851008, ""2023"": 0.17105446339772312, ""2024"": 0.37709297575285716}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",1,mark_liq,OOS,-0.5755191739348184,-0.872748110604294,-0.203151202427446,-0.8381550646594713,1203,14,0.34746467165419787,-0.7600596330834022,0.688230968634674,-0.845519010746706,"AI16ZUSDT:0.10,LPTUSDT:0.11,MAGICUSDT:0.15,IPUSDT:0.16,SPKUSDT:0.17","JELLYJELLYUSDT:-0.46,NEIROETHUSDT:-0.15,RESOLVUSDT:-0.09,SOPHUSDT:-0.08,SWELLUSDT:-0.07",101.90108063175394,"{""2025"": -0.519692506647013, ""2026"": -0.5004442565707339}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",1,slip_x2,IS,0.3710506432491485,-0.47953119616103423,-0.13726721958275,1.0734707234724612,509,5,0.3713163064833006,1.5795026573450768,2.3866410178214505,-1.1508487093488202,"LPTUSDT:0.22,ORDIUSDT:0.25,UMAUSDT:0.32,WAVESUSDT:0.39,TRBUSDT:1.20","TONUSDT:-0.33,1000BONKUSDT:-0.32,LUNAUSDT:-0.22,MOODENGUSDT:-0.17,ANCUSDT:-0.12",112.08840864440079,"{""2022"": 0.7115214377406447, ""2023"": 0.1445259203214211, ""2024"": 0.3168248198701402}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",1,slip_x2,OOS,-0.6328306187563677,-0.897145477371321,-0.20307953120440936,-1.0563706327077855,1186,14,0.3305227655986509,-0.8115592554077036,0.6519465668292235,-0.7911189558114277,"LPTUSDT:0.09,AI16ZUSDT:0.10,MAGICUSDT:0.14,SPKUSDT:0.16,IPUSDT:0.17","JELLYJELLYUSDT:-0.41,NEIROETHUSDT:-0.15,RESOLVUSDT:-0.08,SWELLUSDT:-0.08,SOPHUSDT:-0.08",102.61382799325463,"{""2025"": -0.5925114748388569, ""2026"": -0.5375557029053091}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",3,base,IS,-0.09647729697046314,-0.8627722766125924,-0.4216159822409674,0.3351024386819861,527,37,0.3567362428842505,-0.26261127275832274,3.3960547696931043,-1.5534100182635397,"ORBSUSDT:0.26,ORDIUSDT:0.37,LPTUSDT:0.38,UMAUSDT:0.51,TRBUSDT:1.87","BIGTIMEUSDT:-0.40,LUNAUSDT:-0.34,1000BONKUSDT:-0.30,1000SATSUSDT:-0.26,FLMUSDT:-0.25",98.04743833017078,"{""2022"": 0.09371750640448084, ""2023"": -0.08764490312754392, ""2024"": -0.26102894470992544}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",3,base,OOS,-0.8591814185593072,-0.9930686833057197,-0.3801014724057262,-0.083860438816531,961,58,0.3392299687825182,-0.9618163516944697,3.445080741587639,-2.9492736255661436,"TURBOUSDT:0.52,FLMUSDT:0.53,WCTUSDT:0.59,SPKUSDT:0.74,MAGICUSDT:1.06","JELLYJELLYUSDT:-1.05,NEIROETHUSDT:-0.80,SIGNUSDT:-0.41,SWELLUSDT:-0.36,ICXUSDT:-0.33",73.88553590010406,"{""2025"": -0.844417907473441, ""2026"": -0.7545755576014409}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",3,funding_x0.8,IS,-0.24647248457842408,-0.8736536183560022,-0.42371491282845597,0.1376454509109258,526,38,0.3517110266159696,-0.5724758703896784,2.240734511690021,-1.2215287387027636,"SOLUSDT:0.21,ORDIUSDT:0.25,LPTUSDT:0.25,UMAUSDT:0.30,TRBUSDT:1.24","LUNAUSDT:-0.34,BIGTIMEUSDT:-0.26,ANCUSDT:-0.23,FLMUSDT:-0.20,1000BONKUSDT:-0.19",98.18441064638783,"{""2022"": -0.044074115833280136, ""2023"": -0.31332956857279304, ""2024"": -0.34868952444333345}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",3,funding_x0.8,OOS,-0.915491265249355,-0.9962789253498446,-0.38569461481513734,-0.3283563107137608,945,60,0.3322751322751323,-0.9836889220012788,2.4287986153296557,-2.0723666042059774,"TURBOUSDT:0.38,SPKUSDT:0.41,WCTUSDT:0.43,IPUSDT:0.52,MAGICUSDT:0.69","JELLYJELLYUSDT:-0.63,NEIROETHUSDT:-0.56,SWELLUSDT:-0.30,SIGNUSDT:-0.30,ICXUSDT:-0.28",73.29629629629629,"{""2025"": -0.9183547052095126, ""2026"": -0.8002202326468645}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",3,mark_liq,IS,-0.004913146254080014,-0.8547187092351254,-0.4216159822409674,0.4457702446471856,527,36,0.3586337760910816,-0.014680436186970791,3.5796285571916675,-1.4634744845003156,"ORDIUSDT:0.37,LPTUSDT:0.38,BIGTIMEUSDT:0.40,UMAUSDT:0.55,TRBUSDT:1.87","LUNAUSDT:-0.34,1000BONKUSDT:-0.30,AEVOUSDT:-0.29,GOATUSDT:-0.28,1000SATSUSDT:-0.26",99.93168880455408,"{""2022"": 0.09371750640448084, ""2023"": -0.08764490312754392, ""2024"": -0.012566084929816368}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",3,mark_liq,OOS,-0.8761066687932604,-0.9948524495235386,-0.3798767541617287,-0.1711340971657813,919,61,0.3416757344940152,-0.9691509720598902,2.5859023934720446,-2.09726336109789,"TURBOUSDT:0.41,AUCTIONUSDT:0.42,SPKUSDT:0.47,IPUSDT:0.59,MAGICUSDT:0.69","JELLYJELLYUSDT:-0.71,NEIROETHUSDT:-0.57,SWELLUSDT:-0.30,SIGNUSDT:-0.27,AGLDUSDT:-0.25",77.91621327529924,"{""2025"": -0.8998397376456775, ""2026"": -0.6920033233241647}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",3,slip_x2,IS,-0.1685342863975522,-0.8747300513655174,-0.4233968155354878,0.2434591646920576,526,37,0.34980988593155893,-0.425469046949013,2.9836870481642084,-1.4035180791261381,"SOLUSDT:0.24,ORDIUSDT:0.33,LPTUSDT:0.33,UMAUSDT:0.43,TRBUSDT:1.66","BIGTIMEUSDT:-0.35,LUNAUSDT:-0.34,1000BONKUSDT:-0.26,FLMUSDT:-0.23,ANCUSDT:-0.23",98.21863117870723,"{""2022"": 0.019382044668110554, ""2023"": -0.1460032481320599, ""2024"": -0.3400360201316821}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",3,slip_x2,OOS,-0.8948768308637992,-0.9952426550931845,-0.38109977008378826,-0.23205213446605225,957,59,0.32497387669801464,-0.9765366059413882,2.9201958962265215,-2.488247106754882,"TURBOUSDT:0.46,SPKUSDT:0.52,WCTUSDT:0.52,IPUSDT:0.52,MAGICUSDT:0.90","JELLYJELLYUSDT:-0.81,NEIROETHUSDT:-0.67,SIGNUSDT:-0.37,SWELLUSDT:-0.36,AGLDUSDT:-0.28",72.78265412748172,"{""2025"": -0.8962635343935571, ""2026"": -0.7738172982716829}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",5,base,IS,-0.5544435941818169,-0.9736892134052051,-0.578872757507779,0.09218493718926486,549,99,0.3424408014571949,-0.9117436087524193,1.2991503528156734,-0.9795655731093807,"ORDIUSDT:0.10,LPTUSDT:0.13,RENUSDT:0.14,ZILUSDT:0.24,TRBUSDT:0.69","LUNAUSDT:-0.35,ANCUSDT:-0.20,APEUSDT:-0.20,WAVESUSDT:-0.12,AXSUSDT:-0.11",82.41165755919855,"{""2022"": -0.6423956274262903, ""2023"": -0.4655949193105503, ""2024"": -0.5381799684970316}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",5,base,OOS,-1.0,-1.0,-1.0,-0.7263263335881854,765,90,0.3411764705882353,-0.9999999999999991,3.9392322184178137,-2.392289590519406,"FLMUSDT:0.54,AUCTIONUSDT:0.71,ZETAUSDT:0.76,MAGICUSDT:0.92,IPUSDT:1.00","MOVEUSDT:-0.61,MEWUSDT:-0.52,SONICUSDT:-0.49,SWELLUSDT:-0.41,SIGNUSDT:-0.36",50.928104575163395,"{""2025"": -1.0, ""2026"": 0.0}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",5,funding_x0.8,IS,-0.666896515395752,-0.9886128132645863,-0.5801311121061594,-0.11170657419572717,550,102,0.3327272727272727,-0.9631506759797372,0.9049185676255456,-0.9818944539575073,"BANDUSDT:0.06,LPTUSDT:0.08,RENUSDT:0.12,ZILUSDT:0.24,TRBUSDT:0.41","LUNAUSDT:-0.35,APEUSDT:-0.21,ANCUSDT:-0.20,WAVESUSDT:-0.12,AXSUSDT:-0.11",82.04545454545455,"{""2022"": -0.692808570403346, ""2023"": -0.6348118634098119, ""2024"": -0.6715239045745824}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",5,funding_x0.8,OOS,-1.0,-1.0,-1.0,-0.9683052132485865,766,93,0.33159268929503916,-1.0,2.993417375424323,-1.9471937483921993,"FLMUSDT:0.37,MAGICUSDT:0.54,AUCTIONUSDT:0.57,ZETAUSDT:0.61,IPUSDT:0.90","MOVEUSDT:-0.50,MEWUSDT:-0.41,SONICUSDT:-0.40,SWELLUSDT:-0.33,UMAUSDT:-0.30",50.56919060052219,"{""2025"": -1.0, ""2026"": 0.0}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",5,mark_liq,IS,-0.43362601547817203,-0.9584331186995343,-0.5452513473631024,0.24589520600069376,548,91,0.3448905109489051,-0.8186015966026581,2.632624759431595,-1.192311605124441,"ZILUSDT:0.24,ORDIUSDT:0.25,LPTUSDT:0.30,RENUSDT:0.30,TRBUSDT:1.54","LUNAUSDT:-0.32,BIGTIMEUSDT:-0.24,ONTUSDT:-0.22,FLMUSDT:-0.21,ANCUSDT:-0.20",83.99087591240875,"{""2022"": -0.22369473658251837, ""2023"": -0.4047597378929395, ""2024"": -0.6074376631443801}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",5,mark_liq,OOS,-1.0,-1.0,-1.0,-0.7085899851428721,766,89,0.34073107049608353,-1.0000000000000004,3.943263954029488,-2.3939393036067544,"FLMUSDT:0.54,AUCTIONUSDT:0.71,ZETAUSDT:0.76,MAGICUSDT:0.92,IPUSDT:1.00","MOVEUSDT:-0.61,MEWUSDT:-0.52,SONICUSDT:-0.49,SWELLUSDT:-0.41,SIGNUSDT:-0.36",50.89295039164491,"{""2025"": -1.0, ""2026"": 0.0}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",5,slip_x2,IS,-0.650623055325434,-0.9871374286956471,-0.5815628399406447,-0.056677688748738096,551,102,0.33212341197822143,-0.9574762575560931,0.9247684662378552,-0.9720355644887375,"BANDUSDT:0.07,LPTUSDT:0.08,RENUSDT:0.10,ZILUSDT:0.24,TRBUSDT:0.44","LUNAUSDT:-0.35,APEUSDT:-0.21,ANCUSDT:-0.20,WAVESUSDT:-0.11,AXSUSDT:-0.11",82.06352087114338,"{""2022"": -0.7365575804269641, ""2023"": -0.5342605018389721, ""2024"": -0.653420634974254}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""okx""]",5,slip_x2,OOS,-1.0,-1.0,-1.0,-0.9083709037804156,760,92,0.32105263157894737,-1.0000000000000004,3.4991003006169827,-2.190418665077569,"FLMUSDT:0.44,AUCTIONUSDT:0.67,ZETAUSDT:0.68,MAGICUSDT:0.77,IPUSDT:0.94","MOVEUSDT:-0.54,MEWUSDT:-0.47,SONICUSDT:-0.45,SWELLUSDT:-0.40,UMAUSDT:-0.33",50.92631578947368,"{""2025"": -1.0, ""2026"": 0.0}"
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",1,base,IS,1.0088693076965822,-0.34771165224098854,-0.1985053167542985,1.652171312590243,752,3,0.4295212765957447,7.122412753466715,5.342520630256515,-2.4204858156288935,"UMAUSDT:0.70,CKBUSDT:0.74,XVGUSDT:0.83,RAREUSDT:0.96,TRBUSDT:2.10","WIFUSDT:-1.11,LOOMUSDT:-0.36,TUSDT:-0.34,DIAUSDT:-0.33,ARKUSDT:-0.28",107.6688829787234,"{""2022"": 1.6565826187970467, ""2023"": 0.6977723488961476, ""2024"": 0.8008696216254116}"
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",1,base,OOS,0.27570786555999605,-0.6144008591194371,-0.3363041422115951,0.7090994917487156,1144,10,0.3977272727272727,0.5002218239940189,2.7004464432218973,-1.8018597271969106,"DAMUSDT:0.29,TAIKOUSDT:0.29,MUSDT:0.56,FUNUSDT:0.57,RAVEUSDT:0.99","GUAUSDT:-0.52,BROCCOLIF3BUSDT:-0.39,AIOTUSDT:-0.32,BULLAUSDT:-0.29,ARIAUSDT:-0.29",122.00262237762237,"{""2025"": 1.495811100415831, ""2026"": -0.3989040982532448}"
"[4.0, 0.0, 10, ""none"", ""both"", ""all""]",1,funding_x0.8,IS,0.7478809748412423,-0.3584374461793114,-0.19980095958833555,1.3721017424222013,752,3,0.4175531914893617,4.348105695654931,3.6819180061197985,-1.8449235171633958,"UMAUSDT:0.47,CKBUSDT:0.51,XVGUSDT:0.54,RAREUSDT:0.64,TRBUSDT:1.52","WIFUSDT:-0.82,LOOMUSDT:-0.30,TUSDT:-0.26,DIAUSDT:-0.23,ARKUSDT:-0.23",107.66489361702128,"{""2022"": 1.432131056805995, ""2023"": 0.39565921630287115, ""2024"": 0.5755551893611921}"
