book,listing,book_intraday,L,sharpe,cagr,y2025,y2026,dd_daily,dd_intrabar,worst_intraday_loss,listing_liq,half_kelly_oos
as_is,as_is_1.40,close,1.0,2.256986655108558,0.30103313491949013,0.470099391257943,0.05445857998047554,0.07563407613433581,0.07746632270475584,-0.05029243831019359,False,9.41861489730043
as_is,as_is_1.40,close,2.0,2.2519197039805223,0.6663173503228645,1.1172956031027543,0.10563602236803327,0.1469110605355345,0.15294854471340968,-0.09993422579697564,False,9.396926788056208
as_is,as_is_1.40,close,2.5,2.2496253559810433,0.8750246534443871,1.5220242024862962,0.12982990537997607,0.18096950872550366,0.18990023262826305,-0.12451521799368581,False,9.385583895389946
as_is,as_is_1.40,close,3.0,2.247486843104437,1.1020016215142254,1.9894688218671854,0.1530100004289301,0.2140029217582029,0.22630339126839183,-0.14893841464319812,False,9.373873844909498
as_is,as_is_1.40,close,3.5,2.2455016264389065,1.3477871460253201,2.5265110615889883,0.1751161168790325,0.24603228961841328,0.2621425538077441,-0.1732053930889652,False,9.36176536641595
as_is,as_is_1.40,close,4.0,2.2436672328586695,1.612793011043662,3.1402832696710847,0.19609048628705006,0.27707839442840576,0.2974032245188176,-0.19731770968632523,False,9.349222452563913
as_is,as_is_1.40,close,5.0,2.2411646606394315,2.2021832987770793,4.629678682703671,0.23442614331294176,0.33630288853715584,0.3655479998536192,-0.24508447989740245,False,9.327439401587572
as_is,as_is_1.40,close,6.0,2.2402958122662553,2.87201897128088,6.522689500676381,0.26761020922826995,0.39183840805633796,0.42993232647466495,-0.29225076940776484,False,9.310657343501983
as_is,as_is_1.40,stress,1.0,2.256986655108558,0.30103313491949013,0.470099391257943,0.05445857998047554,0.07563407613433581,0.08171452709332538,-0.0587411697379685,False,9.41861489730043
as_is,as_is_1.40,stress,2.0,2.2519197039805223,0.6663173503228645,1.1172956031027543,0.10563602236803327,0.1469110605355345,0.1609789785069886,-0.11683168865252547,False,9.396926788056208
as_is,as_is_1.40,stress,2.5,2.2496253559810433,0.8750246534443871,1.5220242024862962,0.12982990537997607,0.18096950872550366,0.19965176208569335,-0.14563704656312315,False,9.385583895389946
as_is,as_is_1.40,stress,3.0,2.247486843104437,1.1020016215142254,1.9894688218671854,0.1530100004289301,0.2140029217582029,0.2376653972618612,-0.17428460892652287,False,9.373873844909498
as_is,as_is_1.40,stress,3.5,2.2455016264389065,1.3477871460253201,2.5265110615889883,0.1751161168790325,0.24603228961841328,0.27500658206931805,-0.20277595308617735,False,9.36176536641595
