when,a,b,beta
2025-10-10 21:00:00,LTCUSDT,BCHUSDT,0.5992
2025-10-10 21:00:00,DOGEUSDT,1000SHIBUSDT,1.1450
2025-10-10 21:00:00,BNBUSDT,ETHUSDT,0.4848
2024-08-05 01:00:00,ETHUSDT,BTCUSDT,1.0108
2022-12-29 22:00:00,SOLUSDT,ETHUSDT,1.1378
