method,hedge,Wf,K,Wz,zin,zout,zstop,exec,liq,margin,lev,period,cagr,final,sharpe,worst_day,maxdd_intrabar,trades,liqs,stops,timeouts,forced,fees,funding,exposure,avg_gross_lev,legged,maker_miss,wbars,fbbars,nan_flag,per_year
coint,lvl,60,3,336,2.5,0.5,101.5,taker,h1,cross,15,OOS,-1.0,0.0,-4.5914270497399885,-1.0,1.0,6,1,0,0,0,0.06060784188866448,-0.11609020195672527,0.014391447368421052,0.2488352044042626,0,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,101.5,taker,h1,cross,20,OOS,-1.0,0.0,-2.3217040484325673,-1.0,1.0,6,1,0,0,0,0.08628386530819585,-0.12717450828796198,0.01343201754385965,0.2691086308272035,0,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,101.5,maker,h1,cross,1,OOS,0.014150501365115309,1.0236657014058528,0.19078204531190884,-0.07454623371650848,0.4747638380970426,151,0,0,6,15,0.05258732846285702,-0.021388347238344235,0.7513706140350878,0.7282998222015706,17,0,0,0,0,"{""2025"": 0.08, ""2026"": -0.0522}"
coint,lvl,60,3,336,2.5,0.5,101.5,maker,h1,cross,3,OOS,-0.24123989806590063,0.631568317659727,0.15187399666951001,-0.22363870114952522,0.9277381396748271,151,0,0,6,15,0.16603976750215985,-0.05456702489524632,0.7513706140350878,2.299763939588095,17,0,0,0,0,"{""2025"": -0.1682, ""2026"": -0.2408}"
coint,lvl,60,3,336,2.5,0.5,101.5,maker,h1,cross,5,OOS,-1.0,0.0,0.8548508690670246,-1.0,1.0,35,1,0,0,4,0.11985874108351066,-0.09339489055914274,0.1298656798245614,0.6196788279997555,5,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,101.5,maker,h1,cross,10,OOS,-1.0,0.0,0.36109074535146907,-1.0,1.0,11,1,0,0,1,0.04740159910970545,-0.20070695793098076,0.03755482456140351,0.39461626517495524,3,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,101.5,maker,h1,cross,15,OOS,-1.0,0.0,-4.5533563827911,-1.0,1.0,6,1,0,0,0,0.02762743792893609,-0.1137247815266862,0.014391447368421052,0.24976493813101083,2,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,101.5,maker,h1,cross,20,OOS,-1.0,0.0,-2.267013055406332,-1.0,1.0,6,1,0,0,0,0.03896298592234749,-0.13589082456787166,0.013500548245614035,0.2776067391896154,2,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,4.0,taker,h1,cross,1,IS,0.19141206349613515,1.69136773315341,0.9660340506803736,-0.06479533565995299,0.22601756821307506,222,0,62,2,7,0.18190517235619919,-0.0201640553319894,0.4316453771289538,0.36637504903483975,0,0,0,0,0,"{""2022"": -0.0247, ""2023"": 0.1587, ""2024"": 0.4966}"
coint,lvl,60,3,336,2.5,0.5,4.0,taker,h1,cross,3,IS,0.5522231828123461,3.741047283387319,1.0228623224939621,-0.19102236414518814,0.5670359024332958,222,0,62,2,7,0.8016056634316094,-0.08993794695612149,0.4316453771289538,1.107861627798872,0,0,0,0,0,"{""2022"": -0.1275, ""2023"": 0.4453, ""2024"": 1.9666}"
coint,lvl,60,3,336,2.5,0.5,4.0,taker,h1,cross,5,IS,0.8027450906499853,5.861086651194693,1.0906127557505054,-0.31291996816878964,0.9080066547690541,222,0,62,2,7,1.766171847300977,-0.19847844132326165,0.4316453771289538,1.868053406677834,0,0,0,0,0,"{""2022"": -0.2817, ""2023"": 0.6292, ""2024"": 4.0087}"
coint,lvl,60,3,336,2.5,0.5,4.0,taker,h1,cross,10,IS,-1.0,0.0,0.6072666100945857,-1.0,1.0,123,1,36,2,1,0.7630879435451339,0.014902348456047418,0.22650547445255476,2.0222073143116672,0,0,0,0,0,"{""2022"": -0.7026, ""2023"": -1.0, ""2024"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,4.0,taker,h1,cross,15,IS,-1.0,0.0,-0.46001282109343117,-1.0,1.0,13,1,1,0,0,0.12691227439172034,0.10540875355012971,0.02075729927007299,0.24345054707185834,0,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,4.0,taker,h1,cross,20,IS,-1.0,0.0,-0.26870255803230214,-1.0,1.0,8,1,1,0,0,0.0965767505600615,0.053689595012568925,0.009770377128953772,0.12584169393541744,0,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,4.0,maker,h1,cross,1,IS,0.2856285160690166,2.125304568978716,1.3374799212097372,-0.06202000919238582,0.2122581781490298,222,0,62,2,7,0.10417767171614062,-0.023579933110274173,0.4316453771289538,0.36596411135386847,14,0,0,0,0,"{""2022"": 0.0502, ""2023"": 0.2446, ""2024"": 0.626}"
coint,lvl,60,3,336,2.5,0.5,4.0,maker,h1,cross,3,IS,0.9439128956275042,7.348995660907864,1.3854082220419892,-0.1828193778764211,0.5581844927609356,222,0,62,2,7,0.6338272955869664,-0.14747178148278461,0.4316453771289538,1.10416186297667,14,0,0,0,0,"{""2022"": 0.0867, ""2023"": 0.7867, ""2024"": 2.7851}"
coint,lvl,60,3,336,2.5,0.5,4.0,maker,h1,cross,5,IS,1.6129605867459986,17.851885342879037,1.4418326393991667,-0.29952909641941006,0.893390998461211,222,0,62,2,7,2.032580467437401,-0.4660704163270206,0.4316453771289538,1.8574489102360199,14,0,0,0,0,"{""2022"": 0.0329, ""2023"": 1.313, ""2024"": 6.4725}"
coint,lvl,60,3,336,2.5,0.5,4.0,maker,h1,cross,10,IS,-1.0,0.0,0.9378202723603023,-1.0,1.0,123,1,36,2,1,0.7454793560794849,0.0035368213416073924,0.22650547445255476,1.997565978129139,9,0,0,0,0,"{""2022"": -0.3852, ""2023"": -1.0, ""2024"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,4.0,maker,h1,cross,15,IS,-1.0,0.0,-0.08986804557044908,-1.0,1.0,13,1,1,0,0,0.0615631820061081,0.1138695204802461,0.02075729927007299,0.23786449370412802,1,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,4.0,maker,h1,cross,20,IS,-1.0,0.0,0.18665082667911084,-1.0,1.0,8,1,1,0,0,0.045754658279595475,0.05876008396819375,0.009770377128953772,0.1235818970620448,0,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,4.0,taker,h1,cross,1,OOS,-0.0762787457055879,0.8762721025763565,-0.33553286658881976,-0.055253503744495,0.3991582010085213,128,0,32,2,5,0.08605249933559954,-0.006230788893352968,0.5172012061403509,0.4090076801099625,0,0,0,0,0,"{""2025"": -0.0966, ""2026"": -0.0301}"
coint,lvl,60,3,336,2.5,0.5,4.0,taker,h1,cross,3,OOS,-0.33518816101484705,0.506829606420824,-0.39817066450743815,-0.18081590418753257,0.8347389877740474,128,0,32,2,5,0.2556105396221398,-0.012946471627801126,0.5172012061403509,1.2550232786733535,0,0,0,0,0,"{""2025"": -0.4251, ""2026"": -0.1184}"
coint,lvl,60,3,336,2.5,0.5,4.0,taker,h1,cross,5,OOS,-0.7069080794503753,0.12964850876795875,-0.5163030503394997,-0.433878832128331,0.9815583040975001,128,0,32,2,5,0.4324060889065285,-0.008468520182293975,0.5172012061403509,2.1745477176332026,0,0,0,0,0,"{""2025"": -0.8302, ""2026"": -0.2366}"
coint,lvl,60,3,336,2.5,0.5,4.0,taker,h1,cross,10,OOS,-1.0,0.0,1.2896932888671042,-1.0,1.0,46,1,6,0,3,1.1398391858307448,0.08088509637501358,0.18818530701754385,1.6951499672536683,0,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,4.0,taker,h1,cross,15,OOS,-1.0,0.0,-2.8760309114391482,-1.0,1.0,9,1,3,0,0,0.09615878437510945,-0.039833986791208614,0.023574561403508772,0.2991793854334436,0,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,4.0,taker,h1,cross,20,OOS,-1.0,0.0,-2.4789063427895712,-1.0,1.0,9,1,3,0,0,0.13284631512407893,-0.05487856696463641,0.023574561403508772,0.41461157993341646,0,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,4.0,maker,h1,cross,1,OOS,-0.018943021160998885,0.9686661140741581,-0.00873246588977308,-0.05513684672562402,0.38980714397359284,128,0,32,2,5,0.04617038379366751,-0.006528377552650505,0.5172012061403509,0.4086175393738037,16,0,0,0,0,"{""2025"": -0.0388, ""2026"": 0.0078}"
coint,lvl,60,3,336,2.5,0.5,4.0,maker,h1,cross,3,OOS,-0.2036737485355944,0.6844706333355186,-0.08574794532150473,-0.17956835447101105,0.8254230482265525,128,0,32,2,5,0.14486277975238263,-0.014721746030567617,0.5172012061403509,1.2516415550599327,16,0,0,0,0,"{""2025"": -0.3076, ""2026"": -0.0115}"
coint,lvl,60,3,336,2.5,0.5,4.0,maker,h1,cross,5,OOS,-0.6008072745034612,0.21683195777362912,-0.23480886005354187,-0.4308134632147633,0.9789803231081634,128,0,32,2,5,0.24707023132810177,-0.010167432177763088,0.5172012061403509,2.1639491440941465,16,0,0,0,0,"{""2025"": -0.7653, ""2026"": -0.0761}"
coint,lvl,60,3,336,2.5,0.5,4.0,maker,h1,cross,10,OOS,-1.0,0.0,1.5207975020488431,-1.0,1.0,46,1,6,0,3,0.651652699983782,0.10259934746250911,0.18818530701754385,1.6857355989369045,8,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,4.0,maker,h1,cross,15,OOS,-1.0,0.0,-2.817069313565014,-1.0,1.0,9,1,3,0,0,0.053561238718100646,-0.03865053499619918,0.023574561403508772,0.3002817969946306,3,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,lvl,60,3,336,2.5,0.5,4.0,maker,h1,cross,20,OOS,-1.0,0.0,-2.395823925871678,-1.0,1.0,9,1,3,0,0,0.07386434571618719,-0.05278906499579877,0.023574561403508772,0.415940337725551,3,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,ret,60,10,72,3.0,0.5,4.5,taker,h1,cross,1,IS,-0.010507210231216035,0.9688014093879944,-0.0771228741932597,-0.033539303134393905,0.2615611318060511,651,0,61,29,15,0.11816487014703954,-0.004533427332203761,0.49813716545012166,0.14388247325996628,0,0,0,0,0,"{""2022"": -0.0602, ""2023"": -0.1022, ""2024"": 0.1481}"
coint,ret,60,10,72,3.0,0.5,4.5,taker,h1,cross,3,IS,-0.05128860597591878,0.8538600581691743,-0.0654076911057416,-0.10339222624057653,0.6144645802379374,651,0,61,29,15,0.28738765474032085,-0.012442545743357748,0.49813716545012166,0.4337610660346156,0,0,0,0,0,"{""2022"": -0.1863, ""2023"": -0.2974, ""2024"": 0.4936}"
coint,ret,60,10,72,3.0,0.5,4.5,taker,h1,cross,5,IS,-0.11736197997323694,0.6875602852063456,-0.0527214252364827,-0.18578114617029318,0.8120406268975917,651,0,61,29,15,0.38255738197182637,-0.018948337526316104,0.49813716545012166,0.7269425748887904,0,0,0,0,0,"{""2022"": -0.3143, ""2023"": -0.4748, ""2024"": 0.9092}"
coint,ret,60,10,72,3.0,0.5,4.5,taker,h1,cross,10,IS,-0.37678490852197455,0.2419765729972057,-0.017886606899263524,-0.46175976760119075,0.980401646571422,651,0,61,29,15,0.4325620631351354,-0.02772860134005926,0.49813716545012166,1.4821612297526527,0,0,0,0,0,"{""2022"": -0.604, ""2023"": -0.8129, ""2024"": 2.2669}"
coint,ret,60,10,72,3.0,0.5,4.5,taker,h1,cross,15,IS,-1.0,0.0,-0.7352180684031518,-1.0,1.0,91,1,10,6,0,0.16732486151185622,0.006236899959499254,0.06508515815085159,0.29272899553472687,0,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
coint,ret,60,10,72,3.0,0.5,4.5,taker,h1,cross,20,IS,-1.0,0.0,-7.740480474745114,-1.0,1.0,18,1,1,2,0,0.043481960484427054,0.014594422877307176,0.013876216545012166,0.1135091566434779,0,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
