when,pair,beta,bn_min_long,okx_min_long,bn_min_short,okx_min_short,n_bn,n_okx,lmax_bn,lmax_okx
2025-10-10 21:00:00,LTCUSDT/BCHUSDT,0.599,-0.5047756742028862,-0.5054392576505424,-0.013430829225395494,-0.015531997377227897,60,60,1.549702279217044,1.5477117840836834
2025-10-10 21:00:00,DOGEUSDT/1000SHIBUSDT,1.145,-0.2399490920475693,-0.24768211975017912,-0.11819776031642021,-0.07468646520828237,60,60,4.149512574468606,4.028969212764288
2025-10-10 21:00:00,BNBUSDT/ETHUSDT,0.485,-0.23689795149908288,-0.24018488620150913,-0.0058598901073257815,-0.005648940307028293,60,60,3.016910570087604,2.977144247844428
2024-08-05 01:00:00,ETHUSDT/BTCUSDT,1.011,-0.1346067110727597,-0.15207996879892138,-0.01097425212945764,-0.011475355198024145,60,60,6.998697037318562,6.23973766722075
2022-12-29 22:00:00,SOLUSDT/ETHUSDT,1.138,-0.0025507275653906198,-0.0036065766719953775,-0.29391308575802566,-0.30266508634910466,60,60,3.521525981848057,3.4228328679192392
