when,pair,beta,bn_min_long,okx_min_long,bn_min_short,okx_min_short,n_bn,n_okx,lmax_bn,lmax_okx
2025-04-25 15:00:00,DOTUSDT/NEIROUSDT,0.388,-0.00624554684391189,-0.006524324452798169,-0.01218801996827411,-0.012104897745525917,60,60,22.648951919596122,22.710547411323756
2025-04-25 15:00:00,TRUMPUSDT/AAVEUSDT,1.216,-0.005422522775294888,-0.006865764762124301,-0.06508263470502836,-0.06563622773905498,60,60,12.542334172089856,12.464238059661486
2025-04-25 15:00:00,SUIUSDT/DOGEUSDT,0.872,-0.004662296941219054,-0.0053702367219597685,-0.015059015443359303,-0.015405735203804595,60,60,26.961242586908362,26.694612529788813
2025-02-03 01:00:00,DOTUSDT/1000SHIBUSDT,1.089,-0.0595865429430322,-0.06853582295080429,-0.03999590252687854,-0.04643125944081661,60,60,13.442724745245732,12.054526296925857
2025-02-03 01:00:00,BNBUSDT/ETHUSDT,0.292,-0.09529850136657414,-0.10670918502090027,-0.004605273099605785,-0.0051221003282016925,60,60,6.23394576416157,5.615513176602584
2025-01-17 05:00:00,BNBUSDT/TRXUSDT,0.319,-0.0006866463783917055,-0.0008239308368024082,-0.0036944525315267492,-0.0036101338016160897,60,60,51.0171036096073,51.35201795656622
2025-01-17 05:00:00,LINKUSDT/ONDOUSDT,0.821,-0.00154192646315793,-0.001738926390889801,-0.020437473705867706,-0.02036949328004584,60,60,25.252684965200817,25.300380415677754
2025-01-16 13:00:00,BNBUSDT/TRXUSDT,0.319,-0.006794505134679266,-0.007006358405198993,-0.0021676659755261846,-0.002434329193914413,60,60,41.14997442405696,40.61317984738213
2025-01-16 13:00:00,LINKUSDT/ONDOUSDT,0.821,-0.004595910772736825,-0.0053444107721856236,-0.027855059090698138,-0.028052470367701778,60,60,20.94446516726947,20.849797530252115
2025-07-14 10:00:00,SUIUSDT/TRUMPUSDT,0.837,-0.002368569445056136,-0.0022332372200413765,-0.014073040821149352,-0.014475993036525461,60,60,27.534549468029038,27.205992670778333
2025-04-25 07:00:00,DOTUSDT/NEIROUSDT,0.388,-0.007772290163105298,-0.00796412872529559,-0.0063347479765635374,-0.006917223625474972,60,60,26.461559459062673,26.26944576541265
2025-04-25 07:00:00,TRUMPUSDT/AAVEUSDT,1.216,-0.0034282944711403495,-0.003186333541273393,-0.05061757336705419,-0.05147455698083589,60,60,14.997712155773886,14.825759386087633
2025-03-04 17:00:00,SUIUSDT/1000PEPEUSDT,0.561,-0.009007674454544416,-0.00943485108993241,-0.016575662507983042,-0.01638103965531251,60,60,25.17236667429125,25.33139743228168
2025-03-04 17:00:00,ADAUSDT/DOGEUSDT,0.809,-0.0125402239736972,-0.013626403252834766,-0.06662032035790097,-0.06694768708610285,60,60,10.562757688118475,10.522520388444072
2025-02-03 02:00:00,SUIUSDT/XLMUSDT,0.564,-0.0950132295581021,-0.09733206117060451,-0.02885462777686653,-0.03541374053556442,60,60,7.017724915863528,6.874672039754811
