sym,other,lag,year,cc,n
ETHUSDT,spot,2,2022,-0.025050718678523442,82584
ETHUSDT,spot,2,2023,0.007605515486048262,62675
ETHUSDT,spot,2,2024,0.012605833629790746,54904
ETHUSDT,spot,2,2025,-0.01490932499831771,67969
ETHUSDT,spot,2,2026,-0.033249869398224025,42739
SOLUSDT,bin,-2,2022,-0.019546354215541833,91858
SOLUSDT,bin,-2,2023,-0.013751270327014231,78391
SOLUSDT,bin,-2,2024,-0.015344680197077356,41990
SOLUSDT,bin,-2,2025,0.026791198301250662,60346
SOLUSDT,bin,-2,2026,-0.056795467345767174,36611
SOLUSDT,bin,-1,2022,-0.0006391678079516269,92107
SOLUSDT,bin,-1,2023,-0.006917423532668199,78642
SOLUSDT,bin,-1,2024,-0.04875731595683886,42134
SOLUSDT,bin,-1,2025,0.037789886130616124,60549
SOLUSDT,bin,-1,2026,-0.012385591362311743,36736
SOLUSDT,bin,0,2022,0.9653427440681425,92356
SOLUSDT,bin,0,2023,0.9897754246924894,78893
SOLUSDT,bin,0,2024,0.9922729746063328,42278
SOLUSDT,bin,0,2025,0.9754492574234293,60752
SOLUSDT,bin,0,2026,0.9957138892545373,36861
SOLUSDT,bin,1,2022,-0.0057406318184424696,92108
SOLUSDT,bin,1,2023,-0.01708754849247174,78643
SOLUSDT,bin,1,2024,-0.04354850972965606,42133
SOLUSDT,bin,1,2025,-0.0061206085537371556,60549
SOLUSDT,bin,1,2026,-0.014087248137223883,36736
SOLUSDT,bin,2,2022,-0.02580419253008696,91860
SOLUSDT,bin,2,2023,-0.009219255293542656,78393
SOLUSDT,bin,2,2024,-0.03196866907471358,41988
SOLUSDT,bin,2,2025,0.022573119250894714,60346
SOLUSDT,bin,2,2026,-0.05612687149294129,36611
SOLUSDT,spot,-2,2022,-0.023191619072780372,92743
SOLUSDT,spot,-2,2023,-0.014191590326738595,78391
SOLUSDT,spot,-2,2024,-0.022965596272521732,41990
SOLUSDT,spot,-2,2025,0.025071964427754743,60346
SOLUSDT,spot,-2,2026,-0.05907183073568806,36611
SOLUSDT,spot,-1,2022,-0.012596851109284981,92995
SOLUSDT,spot,-1,2023,-0.010201193930720467,78642
SOLUSDT,spot,-1,2024,-0.03955422611889753,42134
SOLUSDT,spot,-1,2025,0.020733803413344597,60549
SOLUSDT,spot,-1,2026,-0.012308815797084616,36736
SOLUSDT,spot,0,2022,0.9298182468684327,93247
SOLUSDT,spot,0,2023,0.9821649159731378,78893
SOLUSDT,spot,0,2024,0.9968849459300483,42278
SOLUSDT,spot,0,2025,0.9921016422962742,60752
SOLUSDT,spot,0,2026,0.9948790913824601,36861
SOLUSDT,spot,1,2022,-0.008718113789181857,92995
SOLUSDT,spot,1,2023,0.0010114248957470995,78643
SOLUSDT,spot,1,2024,-0.03482986588070415,42133
SOLUSDT,spot,1,2025,0.03111277788184891,60549
SOLUSDT,spot,1,2026,-0.0034914783430438404,36736
SOLUSDT,spot,2,2022,-0.017153803124613738,92743
SOLUSDT,spot,2,2023,-0.007264546892789556,78393
SOLUSDT,spot,2,2024,-0.02225237425033201,41988
SOLUSDT,spot,2,2025,0.022717824842373762,60346
SOLUSDT,spot,2,2026,-0.05715091666908255,36611
DOGEUSDT,bin,-2,2022,-0.01933471433567717,101941
DOGEUSDT,bin,-2,2023,-0.014308691656632322,77958
DOGEUSDT,bin,-2,2024,-0.012801667506065682,61460
DOGEUSDT,bin,-2,2025,0.07917651749459949,66967
DOGEUSDT,bin,-2,2026,-0.03596247634238956,43465
DOGEUSDT,bin,-1,2022,0.020298536647131667,102258
DOGEUSDT,bin,-1,2023,0.03993359006637733,78221
DOGEUSDT,bin,-1,2024,-0.021370688604263176,61659
DOGEUSDT,bin,-1,2025,0.11960287924241159,67194
DOGEUSDT,bin,-1,2026,-0.07441714067334831,43611
DOGEUSDT,bin,0,2022,0.9906348659712114,102575
DOGEUSDT,bin,0,2023,0.9874488087342906,78484
DOGEUSDT,bin,0,2024,0.9915667218081657,61858
DOGEUSDT,bin,0,2025,0.9670743771773591,67421
DOGEUSDT,bin,0,2026,0.9954814443368825,43757
DOGEUSDT,bin,1,2022,0.02281886140300128,102258
DOGEUSDT,bin,1,2023,0.034344994362963815,78222
DOGEUSDT,bin,1,2024,-0.013012306305696929,61658
DOGEUSDT,bin,1,2025,0.07847853494712374,67194
DOGEUSDT,bin,1,2026,-0.08268340336655772,43611
DOGEUSDT,bin,2,2022,-0.019514603955044032,101941
DOGEUSDT,bin,2,2023,-0.009165348148870265,77960
DOGEUSDT,bin,2,2024,-0.017654828262349865,61458
DOGEUSDT,bin,2,2025,0.14790218460246835,66967
DOGEUSDT,bin,2,2026,-0.032388839929088795,43465
DOGEUSDT,spot,-2,2022,-0.01926646043538054,101910
DOGEUSDT,spot,-2,2023,-0.011307563088953778,77958
DOGEUSDT,spot,-2,2024,-0.016338245477125334,61460
DOGEUSDT,spot,-2,2025,0.1223886059361058,66967
DOGEUSDT,spot,-2,2026,-0.03547713464089045,43465
DOGEUSDT,spot,-1,2022,0.0179367843514298,102227
DOGEUSDT,spot,-1,2023,0.036497145748264154,78221
DOGEUSDT,spot,-1,2024,-0.020898962329284686,61659
DOGEUSDT,spot,-1,2025,0.13066922061635539,67194
DOGEUSDT,spot,-1,2026,-0.08137536018883847,43611
DOGEUSDT,spot,0,2022,0.9900847000960655,102544
DOGEUSDT,spot,0,2023,0.9859877234502473,78484
DOGEUSDT,spot,0,2024,0.9947977090037131,61858
DOGEUSDT,spot,0,2025,0.9883668163668803,67421
DOGEUSDT,spot,0,2026,0.9941818230012246,43757
DOGEUSDT,spot,1,2022,0.02795310876918715,102227
DOGEUSDT,spot,1,2023,0.05188148851105582,78222
DOGEUSDT,spot,1,2024,-0.009736271494374182,61658
DOGEUSDT,spot,1,2025,0.1367135173847149,67194
DOGEUSDT,spot,1,2026,-0.07440083878735088,43611
DOGEUSDT,spot,2,2022,-0.019127980068062236,101910
DOGEUSDT,spot,2,2023,-0.005039942529351282,77960
DOGEUSDT,spot,2,2024,-0.017249974624741427,61458
DOGEUSDT,spot,2,2025,0.11303158607778847,66967
DOGEUSDT,spot,2,2026,-0.03473808167105892,43465
XRPUSDT,bin,-2,2022,-0.050119234625746654,79174
XRPUSDT,bin,-2,2023,-0.01495649979082205,75182
XRPUSDT,bin,-2,2024,-0.03211467496516765,59783
XRPUSDT,bin,-2,2025,0.026868320387615323,55369
XRPUSDT,bin,-2,2026,-0.03301484113677533,28327
XRPUSDT,bin,-1,2022,0.011168126861527232,79434
XRPUSDT,bin,-1,2023,0.03377900555464459,75434
XRPUSDT,bin,-1,2024,0.011208003503397228,59983
XRPUSDT,bin,-1,2025,0.13314319886565773,55559
XRPUSDT,bin,-1,2026,-0.006294952462342802,28422
XRPUSDT,bin,0,2022,0.9847828850625326,79694
XRPUSDT,bin,0,2023,0.9877324071672181,75686
XRPUSDT,bin,0,2024,0.9936537156628623,60183
XRPUSDT,bin,0,2025,0.9632389339063733,55749
XRPUSDT,bin,0,2026,0.989926861753335,28517
XRPUSDT,bin,1,2022,0.0092746534444915,79434
XRPUSDT,bin,1,2023,0.021680334765199653,75435
XRPUSDT,bin,1,2024,0.009457579399185212,59982
XRPUSDT,bin,1,2025,0.08893594500110488,55559
XRPUSDT,bin,1,2026,-0.010994378337607438,28422
XRPUSDT,bin,2,2022,-0.05070789966440247,79174
XRPUSDT,bin,2,2023,-0.021439916117333552,75184
XRPUSDT,bin,2,2024,-0.031975531348341954,59781
XRPUSDT,bin,2,2025,-0.04154356591133399,55369
XRPUSDT,bin,2,2026,-0.030898892364637037,28327
XRPUSDT,spot,-2,2022,-0.05137127198945446,80574
XRPUSDT,spot,-2,2023,-0.019792479644922055,75182
XRPUSDT,spot,-2,2024,-0.035877270361432095,59783
XRPUSDT,spot,-2,2025,-0.009705601645860394,55369
XRPUSDT,spot,-2,2026,-0.032356325172884025,28327
XRPUSDT,spot,-1,2022,0.01033441626430452,80839
XRPUSDT,spot,-1,2023,0.03600053298513151,75434
XRPUSDT,spot,-1,2024,0.010845321150928162,59983
XRPUSDT,spot,-1,2025,0.14772063015184905,55559
XRPUSDT,spot,-1,2026,-0.004963949011699195,28422
XRPUSDT,spot,0,2022,0.9864837943773799,81104
XRPUSDT,spot,0,2023,0.9888378817769944,75686
XRPUSDT,spot,0,2024,0.9937139437542742,60183
XRPUSDT,spot,0,2025,0.9717622750739976,55749
XRPUSDT,spot,0,2026,0.987697083146156,28517
XRPUSDT,spot,1,2022,0.017682561787843623,80839
XRPUSDT,spot,1,2023,0.041656850754610675,75435
XRPUSDT,spot,1,2024,0.020726345547746418,59982
XRPUSDT,spot,1,2025,0.20056048804048876,55559
XRPUSDT,spot,1,2026,0.0022535817813191974,28422
XRPUSDT,spot,2,2022,-0.05022080054092467,80574
XRPUSDT,spot,2,2023,-0.016476270189712563,75184
XRPUSDT,spot,2,2024,-0.035175005928931705,59781
XRPUSDT,spot,2,2025,0.032047925241400106,55369
XRPUSDT,spot,2,2026,-0.033086256384634555,28327
LINKUSDT,bin,-2,2022,-0.018469050154466832,68340
LINKUSDT,bin,-2,2023,-0.01747246169579444,62351
LINKUSDT,bin,-2,2024,-0.02979393562627385,48046
LINKUSDT,bin,-2,2025,0.0778216815696012,56420
LINKUSDT,bin,-2,2026,-0.05392060668381588,39776
LINKUSDT,bin,-1,2022,0.0016334928148116477,68565
LINKUSDT,bin,-1,2023,0.04305116742470506,62568
LINKUSDT,bin,-1,2024,0.002844070320237959,48208
LINKUSDT,bin,-1,2025,0.23910901620437183,56610
LINKUSDT,bin,-1,2026,-0.023373989501635786,39913
LINKUSDT,bin,0,2022,0.9849319768264388,68790
LINKUSDT,bin,0,2023,0.9866809019952394,62785
LINKUSDT,bin,0,2024,0.9932822131115485,48370
LINKUSDT,bin,0,2025,0.9900130220165557,56800
LINKUSDT,bin,0,2026,0.9932275711449136,40050
LINKUSDT,bin,1,2022,-0.004828156033236967,68565
LINKUSDT,bin,1,2023,0.03533890401778824,62569
LINKUSDT,bin,1,2024,0.0039462229803594855,48207
LINKUSDT,bin,1,2025,0.19095905975485664,56610
LINKUSDT,bin,1,2026,-0.03659799172391353,39913
LINKUSDT,bin,2,2022,-0.019353913920985368,68340
LINKUSDT,bin,2,2023,-0.0210232947456216,62353
LINKUSDT,bin,2,2024,-0.026981379725448104,48044
LINKUSDT,bin,2,2025,0.07010410101395369,56420
LINKUSDT,bin,2,2026,-0.05150010209189502,39776
LINKUSDT,spot,-2,2022,-0.021006994093542494,68340
LINKUSDT,spot,-2,2023,-0.0178348751624454,62351
LINKUSDT,spot,-2,2024,-0.03013176333348346,48046
LINKUSDT,spot,-2,2025,0.0759795988647498,56420
LINKUSDT,spot,-2,2026,-0.051773679738637224,39776
LINKUSDT,spot,-1,2022,-0.0011582102768249991,68565
LINKUSDT,spot,-1,2023,0.03827629198052118,62568
LINKUSDT,spot,-1,2024,0.005367422096462908,48208
LINKUSDT,spot,-1,2025,0.2215691769732157,56610
LINKUSDT,spot,-1,2026,-0.02824804145480068,39913
LINKUSDT,spot,0,2022,0.9804674103926978,68790
LINKUSDT,spot,0,2023,0.9662531039546597,62785
LINKUSDT,spot,0,2024,0.9752181498923815,48370
LINKUSDT,spot,0,2025,0.9866765920159886,56800
LINKUSDT,spot,0,2026,0.9846839134724682,40050
LINKUSDT,spot,1,2022,0.011628356094327531,68565
LINKUSDT,spot,1,2023,0.07066147768428879,62569
LINKUSDT,spot,1,2024,0.025365037948137718,48207
LINKUSDT,spot,1,2025,0.23236882277157903,56610
LINKUSDT,spot,1,2026,-0.011372993235400622,39913
LINKUSDT,spot,2,2022,-0.02120524758314079,68340
