sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net,src
METISUSDT,148,1,20048,117.65,0.173544583055509,1.7350813869306734,20144,0.23901402464938382,end,0.18090647258453402,binance
AEVOUSDT,149,0,20029,2.994,0.14419637171717542,1.7386806876087042,20173,0.25751503006012033,end,0.12462928810953358,binance
AEVOUSDT,149,1,20077,2.74,0.17661786267619312,1.7658077292503112,20173,0.1886861313868614,end,0.1213640957386709,binance
ETHFIUSDT,152,0,20151,3.0394,0.11063626239949476,1.8355710843572564,20295,-0.42936105810357317,end,-0.32292455010009147,binance
ETHFIUSDT,152,1,20199,3.8206,0.12925754984877383,1.8222326415477705,20295,-0.13709888499188616,end,-0.1003727351553239,binance
ZK-USDT-SWAP,765,0,20170,2.939,0.09250200093478603,1.8333437042507417,20314,-0.06362708404219108,end,0.0685668739534227,okx
ZK-USDT-SWAP,765,1,20218,2.776,0.1485979002065792,1.8117140644869938,20314,-0.12608069164265134,end,-0.037202300398423684,okx
VENOM-USDT-SWAP,766,0,20312,0.6014,0.05402156231416931,1.7887881814862305,20456,0.1267708679747258,end,0.1274418847568476,okx
VENOM-USDT-SWAP,766,1,20360,0.66154,0.08650522767354749,1.7855256256269498,20456,0.20615533452247792,end,0.20041437418538594,okx
ZEUS-USDT-SWAP,767,0,20576,0.685,0.16432550685956587,1.8328186482758173,20620,-0.5,stop,-0.5178752078348005,okx
WUSDT,154,0,20535,1.1616,0.1332126968200728,1.814868288146431,20679,0.306043388429752,end,0.3250059424231446,binance
WUSDT,154,1,20583,1.0366,0.16749222183545256,1.8352459242196977,20679,0.22236156666023532,end,0.23464636285115284,binance
ZEUS-USDT-SWAP,767,1,20624,1.0221,0.15872257714300822,1.7682048541632085,20720,0.3470306232266902,end,0.3505349171889037,okx
TNSRUSDT,155,0,20657,1.775,0.10612393990702047,1.80541963080922,20801,0.5002816901408451,end,0.4364727943363264,binance
TNSRUSDT,155,1,20705,1.41,0.18067892451009362,1.8830198390255517,20801,0.37092198581560276,end,0.2855530041168823,binance
BLOCK-USDT-SWAP,768,0,20724,0.22642,0.0979120935816301,1.8991017729086914,20868,0.16858051408886143,end,0.026752611973589132,okx
BLOCK-USDT-SWAP,768,1,20772,0.17658,0.12846630537749593,2.00380149237577,20868,-0.06608902480462131,end,-0.1243137004275038,okx
FOXY-USDT-SWAP,769,0,20744,0.0188791,0.08482873111787878,1.9517569743708323,20888,0.2873865809281162,end,0.24155605591383253,okx
FOXY-USDT-SWAP,769,1,20792,0.0152563,0.10833037866903576,1.96372058949436,20888,0.11816757667324318,end,0.08816446496496677,okx
MEW-USDT-SWAP,770,0,20816,0.004989,0.08141336660265623,2.0130821324236354,20960,-0.10523150932050496,end,-0.0753216685128596,okx
MEW-USDT-SWAP,770,1,20864,0.004616,0.11684928366384298,2.0125154189403585,20960,-0.19454072790294608,end,-0.12341642850292622,okx
PRCL-USDT-SWAP,771,0,20845,0.493,0.10922096067782368,2.0110543675307313,20989,-0.17849898580121693,end,-0.12799181952630884,okx
PRCL-USDT-SWAP,771,1,20893,0.467,0.14397825841087902,1.9741005762702153,20989,-0.24411134903640241,end,-0.21960423975379564,okx
MERL-USDT-SWAP,772,0,20914,1.0655,0.15830703553577863,1.9929858290027178,21058,0.2833411543876114,end,0.274987195425447,okx
MERL-USDT-SWAP,772,1,20962,1.0534,0.1786850312712213,1.849213798636985,21058,0.27510917030567683,end,0.25074776626907735,okx
MSN-USDT-SWAP,773,0,21150,2.89,0.09865456530963593,2.0048659495145604,21294,0.48027681660899657,end,0.4947893362659449,okx
MSN-USDT-SWAP,773,1,21198,1.91,0.1273766097347368,2.02902107440318,21294,0.21361256544502616,end,0.33131954138092534,okx
ZERO-USDT-SWAP,774,0,21320,0.0007194,0.06270644166571135,2.0959570273833448,21464,0.3098415346121769,end,0.26832586771288003,okx
