sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net,src
RSS3-USDT-SWAP,729,0,2071,0.31018,0.08208856969177218,0.9998276140036473,2215,0.07331227029466769,end,0.19712365953005015,okx
UMEE-USDT-SWAP,728,0,2071,0.10574,0.09998276140036473,0.9996176502047065,2215,-0.07159069415547559,end,0.0513387753573509,okx
RSS3-USDT-SWAP,729,1,2119,0.33214,0.09756897062421602,0.9928793121340681,2215,0.13458180285421817,end,0.25512126892883585,okx
UMEE-USDT-SWAP,728,1,2119,0.10779,0.09928793121340682,0.99267080747852,2215,-0.051210687447815095,end,0.0676897588412279,okx
DOME-USDT-SWAP,730,0,2358,0.047214,0.10529272875037818,1.052706172773406,2502,0.1591265302664464,end,0.08863202680314707,okx
DOME-USDT-SWAP,730,1,2406,0.0466,0.10472127602748549,1.0469928455951971,2502,0.14804721030042922,end,0.1432181264759107,okx
APEUSDT,10,0,2583,13.9594,0.04096974821271332,1.0771715439441372,2727,0.03939281057925137,end,0.10400322157820516,binance
APEUSDT,10,1,2631,11.029,0.06035252577718849,1.0861191658966376,2727,-0.2158400580288331,end,-0.16358843268058557,binance
NYM-USDT-SWAP,732,0,3415,1.5853,0.10716455911165497,1.0714205455424153,3559,0.2827225130890052,end,0.2580335862076988,okx
NYM-USDT-SWAP,732,1,3463,1.3949,0.1081963661703528,1.0817364493345702,3559,0.18481611585059865,end,0.18053451506485496,okx
FITFI-USDT-SWAP,733,0,3895,0.0929,0.02797077062792106,1.1187720864985238,3902,-0.5,stop,-0.42087585002913785,okx
FITFI-USDT-SWAP,733,1,3943,0.268,0.02767646508132115,1.1070004826761752,4039,0.11791044776119408,end,0.1212073563365064,okx
OPUSDT,17,0,4406,1.3326,0.05325132012513377,1.1103013666458326,4550,0.24118265045775167,end,0.2651279920510542,binance
OPUSDT,17,1,4454,1.3556,0.07085644092068907,1.1086094043402055,4550,0.2540572440247859,end,0.29010795683950213,binance
SWEAT-USDT-SWAP,735,0,6942,0.0530427,0.06212922351729031,1.1449571559319713,7086,0.18782414922317303,end,0.10430726346864068,okx
SWEAT-USDT-SWAP,735,1,6990,0.0624099,0.06954345299621575,1.1434784645162708,7086,0.3097248994149966,end,0.2276521197550293,okx
ETHW-USDT-SWAP,736,0,6966,10.43,0.046108202742164296,1.1385717224553038,7110,0.39031639501438153,end,0.34767340805853447,okx
ETHW-USDT-SWAP,736,1,7014,4.713,0.051373624553194976,1.1754466880601762,7110,-0.3492467642690431,end,-0.31245502692862986,okx
APTUSDT,26,0,7754,7.0915,0.08451199596603425,1.1672010446296577,7898,-0.23223577522385952,end,-0.20991559633414952,binance
APTUSDT,26,1,7802,7.5079,0.11621596242656859,1.1619155707445903,7898,-0.16389403162002703,end,-0.1393797338675349,binance
CORE-USDT-SWAP,741,0,10453,4.77229,0.060775782645955435,1.1333123547328554,10597,0.35255401494879823,end,0.3555944704765444,okx
CORE-USDT-SWAP,741,1,10501,2.94319,0.05991000695536906,1.1539899560186224,10597,-0.04981329781631483,end,-0.0035047641108724176,okx
BLUR-USDT-SWAP,742,0,10610,1.0887,0.07001881940301923,1.1546945061611928,10754,0.07733994672545241,end,0.06626846394438834,okx
BLUR-USDT-SWAP,742,1,10658,1.0253,0.07712355874591884,1.158978885452893,10754,0.020286745342826595,end,0.00422604507110031,okx
GFT-USDT-SWAP,744,0,10806,0.0791,0.11598075129262805,1.159563953348566,10950,0.12262958280657399,end,0.10611071763528479,okx
GFT-USDT-SWAP,744,1,10854,0.0823,0.11517498784283312,1.1515080109538611,10950,0.1567436208991494,end,0.16881619180102095,okx
ARBUSDT,52,0,11487,1.3731,0.08564753589293884,1.1913778566908029,11631,0.016240623406889476,end,0.028501744285517005,binance
ARBUSDT,52,1,11535,1.3052,0.11950490387074231,1.1947980784092944,11631,-0.03493717437940558,end,-0.015842015525273367,binance
PEPE-USDT-SWAP,746,0,12459,1.0911e-06,0.05696206753837714,1.2222056827735035,12466,-0.5,stop,-0.5130109953669411,okx
BLURUSDT,59,0,12348,0.7066,0.1192105622140418,1.1918552799597686,12492,0.18624398528163044,end,0.17800620569559017,binance
BLURUSDT,59,1,12396,0.6764,0.11937492269447676,1.1934985396071092,12492,0.1499112950916618,end,0.1689675431872341,binance
AIDOGE-USDT-SWAP,747,0,12459,5.54e-10,0.07267286889784313,1.222325303115334,12495,-0.5,stop,-0.4929747411902846,okx
AIDOGE-USDT-SWAP,747,1,12507,6.47e-10,0.057258612088037654,1.1683280306169557,12603,0.41112828438949,end,0.34670053050582855,okx
PEPE-USDT-SWAP,746,1,12507,3.0063e-06,0.03646324913406815,1.1682514577937742,12603,0.31676812028074375,end,0.25755812681679296,okx
SUIUSDT,62,1,12520,1.3352,0.11653670393112112,1.165122312232956,12616,0.09668963451168366,end,0.07496079836129155,binance
1000PEPEUSDT,63,0,12520,0.0029357999999999997,0.03966187576587112,1.1653670393112112,12664,0.5987465086177532,end,0.5150801695790149,binance
1000PEPEUSDT,63,1,12568,0.0021206000000000003,0.060048579578068695,1.2295472110627261,12664,0.4444968405168349,end,0.38559641214562024,binance
1000FLOKIUSDT,64,0,12544,0.04037,0.11889699873304567,1.1887203036331173,12688,0.11072578647510534,end,0.03314018568307508,binance
1000FLOKIUSDT,64,1,12592,0.034230000000000003,0.12432119713720288,1.2429508968580407,12688,-0.04878761320479108,end,-0.07347541347511344,binance
CETUS-USDT-SWAP,748,0,12635,0.12177,0.07817374731657253,1.2327130863892688,12779,0.3180586351318059,end,0.2850489446476243,okx
CETUS-USDT-SWAP,748,1,12683,0.11751,0.09063469291258937,1.2433789142264287,12779,0.29333673729895327,end,0.2806612935098787,okx
ORDI-USDT-SWAP,749,0,12897,9.745,0.08682956720141972,1.292354887416169,13041,0.13966136480246272,end,0.1526296539475854,okx
ORDI-USDT-SWAP,749,1,12945,8.449,0.12327255819067436,1.3035935232291191,13041,0.007693218132323265,end,0.021260222697286946,okx
WLDUSDT,73,0,14436,2.1345,0.09367561817238611,1.3082140795430972,14580,-0.08175216678379016,end,-0.07966744699032965,binance
WLDUSDT,73,1,14484,2.2426,0.11682866286440252,1.3042074431812403,14580,-0.02960849014536704,end,-0.037855840924540994,binance
WSM-USDT-SWAP,750,0,16203,0.04893,0.1296525253719401,1.29625298341612,16347,0.3041079092581239,end,0.27054082491901377,okx
WSM-USDT-SWAP,750,1,16251,0.03815,0.13254630830521932,1.3251847358047522,16347,0.10747051114023609,end,0.06926010312482694,okx
BIGTIMEUSDT,90,0,16358,0.2366,0.04329027906286288,1.3406908162823596,16502,0.3762045646661032,end,0.43499643502364044,binance
BIGTIMEUSDT,90,1,16406,0.24504,0.06010585612015247,1.338985857318461,16502,0.39769017303297427,end,0.45559615545018334,binance
ORBSUSDT,92,0,16470,0.05527,0.05847042007822678,1.3792555701359397,16614,0.18364392979916766,end,0.31250089118550306,binance
ORBSUSDT,92,1,16518,0.04222,0.06760105969411315,1.3993990731259054,16614,-0.06868782567503562,end,0.07285034536512111,binance
BSVUSDT,95,0,16548,55.43,0.13965928215598988,1.3962995370673712,16692,0.17246978170665705,end,0.31379449403132753,binance
BSVUSDT,95,1,16596,52.05,0.14052343403018344,1.404939241090371,16692,0.11873198847262245,end,0.22812410685889342,binance
TIAUSDT,101,0,16818,2.582,0.12653261320944145,1.4858090370025574,16962,0.11812548412083645,end,0.13290614014413824,binance
TIAUSDT,101,1,16866,2.365,0.14964843299569652,1.4961700682476742,16962,0.037209302325581395,end,0.05209800624630554,binance
ORDIUSDT,107,0,16980,12.834,0.07104817230394958,1.55477882097247,17007,-0.4999999999999998,stop,-0.45190359931827473,binance
MEMEUSDT,104,0,16884,0.024909,0.08496247623320233,1.49216189404136,17028,0.1846320607009514,end,0.2565009572283569,binance
MEMEUSDT,104,1,16932,0.020466,0.13031865859356048,1.5259212285844745,17028,0.007622398123717344,end,0.060102455450241135,binance
ORDIUSDT,107,1,17028,19.929,0.08020588368036867,1.5080381724211709,17124,-0.017361633799990006,end,-0.037629395624927044,binance
PYTH-USDT-SWAP,753,0,17294,0.3232,0.08126660846494035,1.5050178459706678,17340,-0.5,stop,-0.4938710762661018,okx
PYTH-USDT-SWAP,753,1,17342,0.4931,0.09356596155652369,1.4648567899420997,17438,0.19630906509835733,end,0.19092984964506132,okx
PYTHUSDT,115,0,17342,0.4931,0.12204269455354053,1.4646005002835372,17486,0.16446968160616504,end,0.19212746522926125,binance
PYTHUSDT,115,1,17390,0.4784,0.14513830061699443,1.474395089665768,17486,0.1387959866220736,end,0.1495038681780304,binance
ETHWUSDT,120,0,17484,2.848,0.15250930425233417,1.5247727729844118,17628,-0.02176966292134841,end,0.07649035296028894,binance
ETHWUSDT,120,1,17532,2.68,0.15390070189485924,1.5386838274746133,17628,-0.08582089552238803,end,-0.0032304280876272527,binance
ACEUSDT,125,0,17962,13.5133,0.08382405189140434,1.539056599203505,18106,0.026803223490931116,end,0.038028407368556144,binance
ACEUSDT,125,1,18010,17.0974,0.10554824657744666,1.5183708970198937,18106,0.23081287213260504,end,0.21966617420391857,binance
DMAIL-USDT-SWAP,759,0,18994,0.6287,0.08112337045711487,1.565435345346727,19138,0.2791474471130906,end,0.2842108612852429,okx
DMAIL-USDT-SWAP,759,1,19042,0.5287,0.11280743735067889,1.5710741944391935,19138,0.1428031019481747,end,0.13986782093373848,okx
JUPUSDT,135,0,19026,0.5873,0.12720534879814294,1.58204013335934,19170,0.026902775412906532,end,0.041267044794469854,binance
JUPUSDT,135,1,19074,0.5782,0.15936471854596107,1.5933125195506643,19170,0.011587685921826463,end,0.016036051562189967,binance
ZETAUSDT,136,0,19064,1.4283,0.1241610288382972,1.5808718118999638,19208,0.14695792200518099,end,0.21694175534848043,binance
ZETAUSDT,136,1,19112,1.479,0.16023284490255615,1.6019919600512662,19208,0.17620013522650446,end,0.24602562996947935,binance
STRKUSDT,141,0,19505,1.9075,0.1118726517287004,1.678367113113145,19649,-0.002149410222804793,end,0.11523104544095882,binance
STRKUSDT,141,1,19553,1.9316,0.15566235954268154,1.6763949394896371,19649,0.010354110581901055,end,0.1305970951936935,binance
GPT-USDT-SWAP,761,0,19692,0.49367,0.05856563108470382,1.7116993124587183,19722,-0.5,stop,-0.5082034500713418,okx
GPT-USDT-SWAP,761,1,19740,0.70738,0.0739652419324526,1.681903717503086,19836,0.15171477847832848,end,0.2517583339555939,okx
TONUSDT,145,0,19740,2.6735,0.1681903717503086,1.6815505177224104,19884,-0.027604264073312068,end,0.07048881530443787,binance
TONUSDT,145,1,19788,2.7235,0.1700126006855813,1.6997689803943734,19884,-0.008738755278134835,end,0.027683638046787827,binance
METISUSDT,148,0,20000,133.7,0.17172425179417458,1.716881897012978,20144,0.33036649214659675,end,0.21784586012462626,binance
METISUSDT,148,1,20048,117.65,0.1722332099991509,1.721970410250511,20144,0.23901402464938382,end,0.18090647258453432,binance
