sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net,src
UXLINKUSDT,191,1,24543,0.6517,0.14563833353185915,1.956454783085288,24639,0.17369955500997392,end,0.21950147419628166,binance
CATIUSDT,197,0,24611,0.9286,0.13083795575142876,1.9714611372911737,24755,0.27406849020030144,end,0.3139072670640633,binance
CATIUSDT,197,1,24659,0.7617,0.20134140145425766,2.0129911975995225,24755,0.11500590783773135,end,0.14316322215312752,binance
HMSTRUSDT,200,0,24756,0.006789,0.12190122293051198,2.0583681288304834,24900,0.3065252614523494,end,0.23333320743134475,binance
HMSTRUSDT,200,1,24804,0.006069,0.20164638346100455,2.0714842325800076,24900,0.22425440764541105,end,0.14634228571906563,binance
EIGENUSDT,203,0,24870,4.049,0.15941494171682935,2.121020607889024,25014,0.16176833786120037,end,0.1762234781726466,binance
EIGENUSDT,203,1,24918,3.415,0.191768490119599,2.1401733261980875,25014,0.006149341142020481,end,0.024608965197526703,binance
MOODENG-USDT-SWAP,781,0,24919,0.17441,0.08692977432984395,2.1298371007598256,25063,0.22578980563041107,end,0.23954923520201818,okx
MOODENG-USDT-SWAP,781,1,24967,0.13733,0.07650469406700904,2.194637838616315,25063,0.016747979319886364,end,0.01222326856352749,okx
PUFFER-USDT-SWAP,782,0,25188,0.5358,0.027139351192222484,2.171091102740295,25332,0.34901082493467717,end,0.3545291956113276,okx
PUFFER-USDT-SWAP,782,1,25236,0.3767,0.03740517117435575,2.179128295100777,25332,0.07406424210246876,end,0.07076510418140833,okx
1000CATUSDT,205,0,25356,0.03671,0.17643822774404488,2.183046248282204,25500,0.05938436393353319,end,0.08060840809267646,binance
1000CATUSDT,205,1,25404,0.04208,0.1818455899805141,2.186864559926129,25500,0.17942015209125484,end,0.1994866298639239,binance
SCRUSDT,206,0,25378,1.029,0.21639119264907802,2.163457504986217,25522,0.2497570456754129,end,0.32414231417939393,binance
SCRUSDT,206,1,25426,0.87,0.21869588338045332,2.186499572449434,25522,0.11264367816091947,end,0.1641420417152598,binance
GOATUSDT,207,0,25429,0.6756,0.1364057946320183,2.213898627849831,25573,0.21018354055654231,end,0.2789117383175967,binance
GOATUSDT,207,1,25477,0.6798,0.132949417849546,2.298520163461812,25573,0.21506325389820535,end,0.2891272618170914,binance
X-USDT-SWAP,783,0,25449,6.29e-05,0.10917902431003812,2.1951981778224257,25593,0.30063593004769473,end,0.33456475139945746,okx
X-USDT-SWAP,783,1,25497,5.84e-05,0.11723395455022581,2.3444328996999606,25593,0.2467465753424658,end,0.26066779996743283,okx
MOODENGUSDT,208,0,25450,0.23679,0.07918487590935039,2.197810451901149,25594,0.14599434097723718,end,0.18322172380907434,binance
MOODENGUSDT,208,1,25498,0.22649,0.12357491500972302,2.3494014989573175,25594,0.10715704887633004,end,0.12098394267423354,binance
GRASS-USDT-SWAP,784,0,25526,1.0454,0.053883958806889475,2.4159730529970136,25605,-0.5,stop,-0.5560401832038682,okx
GRASS-USDT-SWAP,784,1,25574,0.9865,0.07427559906999472,2.490890853747248,25605,-0.5895590471363408,stop,-0.631315060100514,okx
CETUSUSDT,214,0,25742,0.37632,0.13897325255920706,2.4358388919226166,25886,0.00916772959183676,end,0.20508287795551275,binance
CETUSUSDT,214,1,25790,0.37451,0.1726877651202449,2.4393525061225834,25886,0.004379055298924017,end,0.17327650650136328,binance
GRASSUSDT,217,0,25791,2.8271,0.22578433716409912,2.450012612178681,25935,0.06458915496445128,end,0.24741438722988715,binance
GRASSUSDT,217,1,25839,3.1112,0.1964010536090913,2.4498587029265404,25935,0.15000642838776046,end,0.23749907818256344,binance
