sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net
WSM-USDT-SWAP,23,1,16251,0.03815,0.12380150881133786,1.237755104944875,16347,0.10747051114023609,end,0.06926010312482696
DMAIL-USDT-SWAP,32,0,18994,0.6287,0.0648903287798646,1.2521868072144535,19138,0.2791474471130906,end,0.2842108612852428
DMAIL-USDT-SWAP,32,1,19042,0.5287,0.09067341515078342,1.2628126833714508,19138,0.1428031019481747,end,0.13986782093373867
GPT-USDT-SWAP,34,0,19692,0.49367,0.043909894487523624,1.283355695351834,19722,-0.5,stop,-0.5082034500713419
GPT-USDT-SWAP,34,1,19740,0.70738,0.05545583491281482,1.2610162890061123,19836,0.15171477847832848,end,0.2517583339555938
ZK-USDT-SWAP,38,0,20170,2.939,0.06432851074156976,1.2749591249926395,20314,-0.06362708404219108,end,0.06856687395342273
ZK-USDT-SWAP,38,1,20218,2.776,0.10506103653947943,1.2809101424956035,20314,-0.12608069164265134,end,-0.037202300398423746
VENOM-USDT-SWAP,39,0,20312,0.6014,0.03847773232325826,1.2740933412838762,20456,0.1267708679747258,end,0.12744188475684745
VENOM-USDT-SWAP,39,1,20360,0.66154,0.06161378435775623,1.271749625095405,20456,0.20615533452247792,end,0.20041437418538594
ZEUS-USDT-SWAP,40,0,20576,0.685,0.11589143756240568,1.2926050982541348,20620,-0.5,stop,-0.5178752078348003
ZEUS-USDT-SWAP,40,1,20624,1.0221,0.11064400152947093,1.2325988155559005,20720,0.3470306232266902,end,0.35053491718890356
BLOCK-USDT-SWAP,41,0,20724,0.22642,0.06555366522538394,1.27147809117572,20868,0.16858051408886143,end,0.026752611973589236
BLOCK-USDT-SWAP,41,1,20772,0.17658,0.08299857480850655,1.2946014721731165,20868,-0.06608902480462131,end,-0.12431370042750377
FOXY-USDT-SWAP,42,0,20744,0.0188791,0.055300698231841396,1.272369892125202,20888,0.2873865809281162,end,0.24155605591383256
FOXY-USDT-SWAP,42,1,20792,0.0152563,0.07036141472167987,1.2754516368584219,20888,0.11816757667324318,end,0.08816446496496654
MEW-USDT-SWAP,43,0,20816,0.004989,0.052670268954467726,1.3023608010177399,20960,-0.10523150932050496,end,-0.07532166851285978
MEW-USDT-SWAP,43,1,20864,0.004616,0.07558533622355847,1.3018193165250231,20960,-0.19454072790294608,end,-0.12341642850292624
PRCL-USDT-SWAP,44,0,20845,0.493,0.07066487174071326,1.3011321092876516,20989,-0.17849898580121693,end,-0.12799181952630875
PRCL-USDT-SWAP,44,1,20893,0.467,0.093131130875128,1.2769304279582483,20989,-0.24411134903640241,end,-0.21960423975379526
MERL-USDT-SWAP,45,0,20914,1.0655,0.10239966449806959,1.2891472545650788,21058,0.2833411543876114,end,0.27498719542544725
MERL-USDT-SWAP,45,1,20962,1.0534,0.1155801497415607,1.1961405285605833,21058,0.27510917030567683,end,0.25074776626907735
MSN-USDT-SWAP,46,0,21150,2.89,0.06381369838738067,1.2968270713869903,21294,0.48027681660899657,end,0.49478933626594546
MSN-USDT-SWAP,46,1,21198,1.91,0.0823922595949613,1.3124515673169443,21294,0.21361256544502616,end,0.3313195413809256
ZERO-USDT-SWAP,47,0,21320,0.0007194,0.040561021609516315,1.3557484051403321,21464,0.3098415346121769,end,0.26832586771288
ZERO-USDT-SWAP,47,1,21368,0.0005329,0.06095367800462853,1.364501711131624,21464,0.06830549821730159,end,0.06230256327105254
ZENT-USDT-SWAP,48,0,21392,0.03338,0.1371770041813521,1.3714819701047403,21536,-0.19203115638106638,end,-0.14713716567126522
ZENT-USDT-SWAP,48,1,21440,0.03296,0.13520830964766953,1.351799159026435,21536,-0.20722087378640763,end,-0.12075689635285294
ULTI-USDT-SWAP,49,0,22087,0.06465,0.05989850829146633,1.3338777666927892,22231,0.31879350348027835,end,0.28519144129726104
ULTI-USDT-SWAP,49,1,22135,0.05326,0.09000490216857956,1.3444555222127996,22231,0.17311303041682313,end,0.13642398005704892
ATH-USDT-SWAP,50,0,22227,0.06909,0.06430321619186308,1.363866419050637,22371,0.01592126212187006,end,-0.03166124056694023
ATH-USDT-SWAP,50,1,22275,0.06339,0.08686101091923436,1.3667448358780216,22371,-0.07256665089130765,end,-0.09635014278972977
UXLINK-USDT-SWAP,51,0,23073,0.2572,0.0476137413697152,1.3528599431909998,23217,0.37363919129082424,end,0.3514810706683288
UXLINK-USDT-SWAP,51,1,23121,0.2074,0.08051577810305091,1.3632335601730818,23217,0.2232401157184185,end,0.1724683513369121
MAX-USDT-SWAP,52,0,23528,0.33905,0.054961483434390425,1.3834662652338605,23672,0.13119008995723347,end,0.15908920199940305
MAX-USDT-SWAP,52,1,23576,0.33923,0.0797762302966196,1.3867567210448803,23672,0.13165109217934734,end,0.09797749082347564
CAT-USDT-SWAP,53,0,24274,2.674e-05,0.10164382784896683,1.3999282857226902,24418,-0.21619296933433052,end,-0.16975865923759315
CAT-USDT-SWAP,53,1,24322,2.8174e-05,0.12131029955999624,1.3937884564040843,24418,-0.15429119045928874,end,-0.10441584608936187
MOODENG-USDT-SWAP,54,0,24919,0.17441,0.11184208926324106,1.3699852318703933,25063,0.22578980563041107,end,0.23954923520201818
MOODENG-USDT-SWAP,54,1,24967,0.13733,0.09733032592688921,1.3959220519242455,25063,0.016747979319886364,end,0.012223268563527614
PUFFER-USDT-SWAP,55,0,25188,0.5358,0.03495503704793573,1.3981280763396287,25332,0.34901082493467717,end,0.35452919561132795
PUFFER-USDT-SWAP,55,1,25236,0.3767,0.04835540440607186,1.4084794735009105,25332,0.07406424210246876,end,0.07076510418140824
X-USDT-SWAP,56,0,25449,6.29e-05,0.14063856242550027,1.4137205973340379,25593,0.30063593004769473,end,0.3345647513994578
X-USDT-SWAP,56,1,25497,5.84e-05,0.14267975981274078,1.426497970631801,25593,0.2467465753424658,end,0.26066779996743283
GRASS-USDT-SWAP,57,0,25526,1.0454,0.06537947910111772,1.4656278521823616,25605,-0.5,stop,-0.556040183203868
GRASS-USDT-SWAP,57,1,25574,0.9865,0.08832861326822933,1.4809921446698087,25605,-0.5895590471363408,stop,-0.6313150601005141
OL-USDT-SWAP,59,0,26121,0.092099,0.1070792964291983,1.4445712735285494,26187,-0.5,stop,-0.5380271982817845
OL-USDT-SWAP,59,1,26169,0.096883,0.11034259264082039,1.4437333435021984,26187,-0.4259312779331772,stop,-0.4671290530955074
DOG-USDT-SWAP,58,0,26046,0.00809,0.14061438617492777,1.4058485715383102,26190,0.15896168108776265,end,0.20496961689186183
DOG-USDT-SWAP,58,1,26094,0.007958,0.14193486166172342,1.4190505534077447,26190,0.14501130937421458,end,0.1148279273729208
MORPHO-USDT-SWAP,61,0,26194,0.9866,0.06032832706776163,1.2663366739891915,26198,0.04267180214879385,end,0.024143918275024007
MEMEFI-USDT-SWAP,60,0,26127,0.006585,0.0607227067690587,1.437482631517017,26201,-0.5,stop,-0.5448683310576271
MEMEFI-USDT-SWAP,60,1,26175,0.005292,0.09680879428218554,1.46836604812717,26201,-0.8664965986394557,stop,-0.8856811414388922
MAJOR-USDT-SWAP,62,0,26269,1.2333,0.06463604459783007,1.2246010431204297,26413,0.06689369982972515,end,0.13385879658684965
MAJOR-USDT-SWAP,62,1,26317,1.211,0.08410278582192689,1.2257369868427792,26413,0.04971098265895957,end,0.11463364133125774
SUNDOG-USDT-SWAP,64,0,26578,0.1528,0.1243029890544954,1.2427688542679396,26722,0.1688481675392669,end,0.20088439995064336
SUNDOG-USDT-SWAP,64,1,26626,0.1437,0.12513490938346666,1.2510863105249614,26722,0.116214335421016,end,0.13795587695335906
AI16Z-USDT-SWAP,65,0,26793,0.8122,0.05808119814210115,1.2851415475586148,26937,-0.08138389559221859,end,-0.09591161040818934
AI16Z-USDT-SWAP,65,1,26841,0.5972,0.08196227668247862,1.2991670542001148,26937,-0.4706965840589419,end,-0.4627102242499958
ZEREBRO-USDT-SWAP,67,0,26959,0.3135,0.12213534324913747,1.2412512024361615,27012,-0.5,stop,-0.4973019146542779
ZEREBRO-USDT-SWAP,67,1,27007,0.4043,0.07881343478657916,1.2045161751414686,27012,-0.1631214444719269,stop,-0.16798221632634805
GRIFFAIN-USDT-SWAP,66,0,26959,0.2295,0.12399368842466885,1.2415076866569847,27038,-0.5,stop,-0.48379159605602806
GRIFFAIN-USDT-SWAP,66,1,27007,0.2329,0.11330685046804252,1.2046816833545204,27038,-0.47810218978102204,stop,-0.4617885750604416
ALCH-USDT-SWAP,68,0,27127,0.1701,0.10056726280415176,1.0552685732082225,27179,0.0817166372721928,end,0.10320550787237807
ALCH-USDT-SWAP,68,1,27175,0.1635,0.08812876775098741,1.062027625803412,27179,0.04464831804281344,end,0.035437395536524696
DUCK-USDT-SWAP,69,0,27443,0.009927,0.05402635181471234,1.0688684585552752,27587,0.4256069305933313,end,0.4237199963693511
DUCK-USDT-SWAP,69,1,27491,0.006657,0.07917939024478303,1.10484635922214,27587,0.14345801412047476,end,0.113389324491455
NC-USDT-SWAP,70,0,27467,0.20843,0.056635229411728015,1.0791224131857469,27611,0.4416830590605959,end,0.46251394807488466
NC-USDT-SWAP,70,1,27515,0.12632,0.06917076011158127,1.1364922660646195,27611,0.07876820772640902,end,0.05076225927090067
J-USDT-SWAP,71,0,27587,0.4686,0.11023564449056042,1.1021249500521741,27731,0.33909517712334625,end,0.3423243851490704
J-USDT-SWAP,71,1,27635,0.2964,0.10292318577386043,1.1737546652121509,27731,-0.04487179487179471,end,-0.07066067377922519
BUZZ-USDT-SWAP,72,0,27707,0.08023,0.05890239297566589,1.1196640919967153,27851,0.4763804063317961,end,0.3977859811630306
BUZZ-USDT-SWAP,72,1,27755,0.06956,0.08057330137130828,1.1693018919261176,27851,0.39606095457159285,end,0.3074943634280202
PI-USDT-SWAP,73,0,28281,0.6784,0.030230700361026586,1.2091645299703053,28308,-0.5,stop,-0.5454518206478539
PI-USDT-SWAP,73,1,28329,1.6034,0.03906432792837219,1.194928908092825,28407,-0.5,stop,-0.5973073114551247
HYPE-USDT-SWAP,74,0,28303,24.76,0.12038471355206097,1.2035943276221504,28447,0.2320274636510501,end,0.058068225178358086
HYPE-USDT-SWAP,74,1,28351,21.913,0.12051431867392814,1.2048901066700661,28447,0.13225026240131432,end,-0.04005840639120583
LAUNCHCOIN-USDT-SWAP,75,0,30754,0.118,0.11715681303021581,1.1713221009947947,30819,-0.5,stop,-0.5111990934953509
LAUNCHCOIN-USDT-SWAP,75,1,30802,0.1489,0.07464514944899765,1.1383620513455004,30819,-0.188717259905977,stop,-0.1811428813143409
USELESS-USDT-SWAP,76,0,32002,0.4034,0.10981562362369764,1.0979256234273667,32146,0.4003470500743679,end,0.3771529741231973
USELESS-USDT-SWAP,76,1,32050,0.3926,0.11022301103540862,1.1019986420309118,32146,0.38385124808965865,end,0.3481788614376087
PIGGY-USDT-SWAP,80,0,34304,1.9906,0.039820706246183786,1.1778672242952655,34448,0.20948457751431726,end,0.006332894409073098
PIGGY-USDT-SWAP,80,1,34352,1.6867,0.056186407160577226,1.179578998010906,34448,0.0670540107903006,end,-0.033700741833140195
UP-USDT-SWAP,82,0,38171,0.224,0.11763095045040843,1.1760624795081385,38315,0.22499999999999998,end,0.2604994050111487
UP-USDT-SWAP,82,1,38219,0.2268,0.1063543036399871,1.1750591741668603,38315,0.23456790123456783,end,0.24771860622463593
OFC-USDT-SWAP,83,0,38195,0.04589,0.06240783193896264,1.178280252314923,38339,-0.0655916321638701,end,-0.04793161863549014
OFC-USDT-SWAP,83,1,38243,0.05227,0.06760815668874269,1.1941972157837903,38339,0.06447292902238377,end,0.08951932088343911
BLEND-USDT-SWAP,85,0,38674,0.1444,0.0894619495056018,1.2361712947496286,38818,0.16689750692520777,end,0.24065309011234132
BLEND-USDT-SWAP,85,1,38722,0.1161,0.11545950050634819,1.2560078544248239,38818,-0.036175710594315236,end,0.007635634657284602
O-USDT-SWAP,88,0,39856,0.6702,0.06987112797139201,1.2584772053934163,39971,0.13727245598328852,end,0.14723306421016735
O-USDT-SWAP,88,1,39904,0.7567,0.058769060347156565,1.252874559225472,39971,0.23589269195189633,end,0.20543370169441819
GRAM-USDT-SWAP,86,0,39850,1.66,0.1258770066003167,1.2585057242893063,39994,0.0475903614457831,end,0.02174497904619919
GRAM-USDT-SWAP,86,1,39898,1.601,0.12454170465297551,1.245155508949984,39994,0.012492192379762623,end,-0.00668298083920434
NES-USDT-SWAP,89,0,40021,0.2467,0.048954069217151404,1.2829326313861216,40165,0.2655046615322254,end,0.21337298588659626
NES-USDT-SWAP,89,1,40069,0.1755,0.06982553047356405,1.2960497189669489,40165,-0.032478632478632585,end,-0.06761414884477726
AEON-USDT-SWAP,91,0,40811,0.10028,0.06390503535614225,1.2886255164667886,40955,0.31292381332269636,end,0.2842620029524088
AEON-USDT-SWAP,91,1,40859,0.09694,0.07870295619952902,1.2914167250043032,40955,0.2892510831442129,end,0.24820469013528457
