i,sym,base,t0,spot_first
528,AZTECUSDT,AZTEC,1770782400000,
527,ESPUSDT,ESP,1770710400000,2026-02-12
529,OPNUSDT,OPN,1771686000000,2026-03-05
530,ROBOUSDT,ROBO,1772179200000,2026-03-04
531,KATUSDT,KAT,1772427600000,2026-03-18
545,BASEDUSDT,BASED,1774864800000,
561,OPGUSDT,OPG,1776870000000,2026-05-22
566,BILLUSDT,BILL,1778140800000,
595,SLXUSDT,SLX,1780297200000,
639,REUSDT,RE,1781791200000,2026-06-18
647,ARXUSDT,ARX,1782187200000,
648,OUSDT,O,1782298800000,
649,CAPUSDT,CAP,1782558000000,
653,GRAMUSDT,GRAM,1782979200000,2026-07-02
694,GRVTUSDT,GRVT,1785499200000,
702,DOSUSDT,DOS,1786460400000,
