i,sym,t0,gate_name,g_bn_spot,g_okx_spot,g_bybit_10th,g_gate_start,g_okx_preMktSw,gap_h,premarket,tge,tge_h
259,GRIFFAINUSDT,2025-01-02 13:00:00,GRIFFAIN,,,,-335.0,,-335.0,False,,
261,ZEREBROUSDT,2025-01-02 14:00:00,zerebro,,,-534.0,-791.0,,-791.0,False,,
262,BIOUSDT,2025-01-03 12:00:00,Bio Protocol,-12.0,-1.7,,-2.0,,-12.0,False,,
263,ALCHUSDT,2025-01-07 11:00:00,Alchemist AI,,,-289.0,-100.0,,-289.0,False,,
266,SONICUSDT,2025-01-08 07:00:00,Sonic SVM,,-19.0,-19.0,-19.0,,-19.0,False,,
270,SOLVUSDT,2025-01-17 12:00:00,Solv Protocol,-12.0,,-2.0,-2.0,,-12.0,False,,
273,TRUMPUSDT,2025-01-18 13:00:00,OFFICIAL TRUMP,11.0,16.0,-3.0,0.0,,-3.0,False,,
276,ANIMEUSDT,2025-01-23 17:00:00,Animecoin,-17.0,-3.0,-3.0,-3.0,,-17.0,False,,
278,VINEUSDT,2025-01-24 10:00:00,Vine,,48.0,,-24.0,,-24.0,False,,
280,BERAUSDT,2025-02-06 15:00:00,Berachain,-15.0,-2.0,-2.0,-2.0,,-15.0,False,,
282,LAYERUSDT,2025-02-11 15:00:00,Solayer,-15.0,1747.0,-1.0,-1.0,,-15.0,False,,
285,IPUSDT,2025-02-13 17:00:00,,,-8.0,-8.0,,,-8.0,False,,
288,KAITOUSDT,2025-02-20 13:00:00,Kaito,-13.0,0.0,,0.0,,-13.0,False,,
299,BRUSDT,2025-03-21 12:00:00,Bedrock,,,-23.0,-23.0,,-23.0,False,,
304,PARTIUSDT,2025-03-25 13:00:00,Particle Network,-13.0,0.0,0.0,0.0,,-13.0,False,,
305,JELLYJELLYUSDT,2025-03-26 16:00:00,jelly-my-jelly,,,,-1330.0,,-1330.0,False,,
310,GUNUSDT,2025-03-31 13:00:00,GUNZ,-13.0,,,0.0,,-13.0,False,,
311,ATHUSDT,2025-04-02 15:00:00,Aethir,,-95.0,-7061.0,-7061.0,,-7061.0,False,,
314,PROMPTUSDT,2025-04-11 06:00:00,Wayfinder,,-17.0,,-17.0,,-17.0,False,,
320,WCTUSDT,2025-04-15 11:00:00,WalletConnect,-11.0,0.0,0.0,0.0,,-11.0,False,,
327,MEMEFIUSDT,2025-04-25 07:00:00,,,-87.0,-3690.0,,,-3690.0,False,,
329,SIGNUSDT,2025-04-28 11:00:00,Sign,-11.0,,0.0,0.0,,-11.0,False,,
349,SOONUSDT,2025-05-23 08:00:00,Soon,,,,1.0,,1.0,False,,
350,HUMAUSDT,2025-05-26 13:00:00,Huma Finance,-13.0,0.0,0.0,0.0,,-13.0,False,,
351,AUSDT,2025-05-28 08:00:00,Vaulta,-8.0,26.0,0.0,0.0,,-8.0,False,,
352,SOPHUSDT,2025-05-28 13:00:00,Sophon,-13.0,0.0,,0.0,,-13.0,False,,
353,MERLUSDT,2025-05-29 08:00:00,Merlin Chain,,-88.0,-9718.0,-9718.0,,-9718.0,False,,
354,HYPEUSDT,2025-05-30 10:00:00,Hyperliquid,,3796.0,1007.0,-3796.0,,-3796.0,False,,
357,PUFFERUSDT,2025-06-04 08:00:00,Puffer,,,-5588.0,-5588.0,,-5588.0,False,,
362,RESOLVUSDT,2025-06-10 13:00:00,Resolv,11.0,1.0,0.0,0.0,,0.0,False,,
366,SPKUSDT,2025-06-17 09:00:00,Spark,-9.0,1.0,0.0,0.0,,-9.0,False,,
372,OLUSDT,2025-06-25 11:00:00,Open Loot,,-91.0,-5230.0,-5230.0,,-5230.0,False,,
373,SAHARAUSDT,2025-06-26 12:00:00,Sahara AI,-12.0,0.0,0.0,0.0,,-12.0,False,,
390,TREEUSDT,2025-07-29 14:00:00,Treehouse,-14.0,,0.0,0.0,,-14.0,False,,
402,USELESSUSDT,2025-08-15 12:00:00,Useless Coin,,,,-842.0,,-842.0,False,,
407,WLFIUSDT,2025-08-23 08:00:00,World Liberty Financial,208.0,221.0,221.0,220.0,221.5,208.0,True,2025-09-01 12:00:00,220.0
413,LINEAUSDT,2025-09-01 08:00:00,Linea,208.0,223.3,223.0,223.0,223.6,208.0,True,2025-09-10 15:00:00,223.0
430,BARDUSDT,2025-09-18 11:00:00,Lombard,-11.0,0.5,0.0,0.0,,-11.0,False,,
441,XANUSDT,2025-09-29 10:00:00,Anoma,,,0.0,0.0,,0.0,False,,
443,EDENUSDT,2025-09-30 11:00:00,OpenEden,-11.0,,,0.0,,-11.0,False,,
447,2ZUSDT,2025-10-02 12:00:00,DoubleZero,-12.0,1029.0,1.0,1.0,,-12.0,False,,
453,MONUSDT,2025-10-10 07:00:00,Monad,,3940.0,-12021.0,1088.0,1089.1,-12021.0,True,2025-11-24 15:00:00,1088.0
454,YBUSDT,2025-10-10 14:00:00,Yieldbasis,106.0,117.0,117.0,117.0,117.5,106.0,True,2025-10-15 11:00:00,117.0
455,METUSDT,2025-10-11 12:00:00,Meteora,780.0,290.0,290.0,290.0,290.5,290.0,True,2025-10-23 14:00:00,290.0
460,ZBTUSDT,2025-10-17 11:00:00,ZEROBASE,-11.0,,2.0,2.0,2.5,-11.0,False,,
465,BLUAIUSDT,2025-10-21 11:00:00,Bluwhale AI,,,,1.0,,1.0,False,,
