i,sym,base,t0,bn_spot,okx_preMktSw,bybit_first,bybit_10th,bybit_file,gate_start,gate_name,gate_status,okx_spot_day,okx_spot_off,okx_spot_first
498,BREVUSDT,BREV,2025-12-30 10:00:00,2026-01-06,2026-01-06 14:20:00,2026-01-06 14:00:00.537,2026-01-06 14:00:00.597,BREVUSDT-2026-01.csv.gz,2026-01-06 14:00:00,Brevis,tradable,2026-01-06,7.0,2026-01-06 14:00:00.222
502,ZAMAUSDT,ZAMA,2026-01-09 09:00:00,2026-02-02,2026-02-02 13:35:00,2026-02-02 13:00:01.954,2026-02-02 13:00:07.684,ZAMAUSDT-2026-02.csv.gz,2026-02-02 13:00:00,Zama,tradable,2026-02-02,24.0,2026-02-02 13:00:00.431
503,FOGOUSDT,FOGO,2026-01-10 14:00:00,2026-01-15,2026-01-15 14:30:00,2026-01-15 14:00:00.580,2026-01-15 14:00:05.564,FOGOUSDT-2026-01.csv.gz,2026-01-15 14:00:00,Fogo,tradable,2026-01-15,5.0,2026-01-15 14:00:00.163
506,ACUUSDT,ACU,2026-01-21 12:00:00,,,,,,2026-01-20 12:00:00,Acurast,tradable,,,
510,SPACEUSDT,SPACE,2026-01-23 11:00:00,,,,,,,,,2026-01-23,0.0,2026-01-23 12:00:00.800
521,TRIAUSDT,TRIA,2026-02-06 12:00:00,,,2026-02-03 10:00:00.458,2026-02-03 10:00:00.460,TRIAUSDT-2026-02.csv.gz,,,,,,
528,AZTECUSDT,AZTEC,2026-02-11 04:00:00,,2026-02-12 08:40:00,2026-02-12 07:00:00.583,2026-02-12 07:00:11.422,AZTECUSDT-2026-02.csv.gz,2026-02-12 07:00:00,Aztec,tradable,,,
527,ESPUSDT,ESP,2026-02-10 08:00:00,2026-02-12,2026-02-12 13:35:00,,,,2026-02-12 13:00:00,Espresso,tradable,,,
529,OPNUSDT,OPN,2026-02-21 15:00:00,2026-03-05,2026-03-06 07:30:00,2026-03-05 13:00:01.861,2026-03-05 13:00:05.367,OPNUSDT-2026-03.csv.gz,2026-03-05 13:00:00,Opinion,tradable,,,
530,ROBOUSDT,ROBO,2026-02-27 08:00:00,2026-03-04,,2026-02-27 10:00:00.829,2026-02-27 10:00:00.868,ROBOUSDT-2026-02.csv.gz,2026-02-27 10:00:00,Fabric Protocol,tradable,2026-03-05,6.0,2026-03-05 10:00:02.930
531,KATUSDT,KAT,2026-03-02 05:00:00,2026-03-18,2026-03-18 13:30:00,,,,2026-03-18 13:00:00,Katana,tradable,2026-03-18,16.0,2026-03-18 13:00:00.111
545,BASEDUSDT,BASED,2026-03-30 10:00:00,,,2026-03-30 10:00:00.788,2026-03-30 10:00:08.270,BASEDUSDT-2026-03.csv.gz,,,,2026-03-30,0.0,2026-03-30 10:00:01.327
561,OPGUSDT,OPG,2026-04-22 15:00:00,2026-05-22,,2026-04-21 12:00:00.879,2026-04-21 12:00:03.453,OPGUSDT-2026-04.csv.gz,2026-04-21 12:00:00,OpenGradient,tradable,,,
566,BILLUSDT,BILL,2026-05-07 08:00:00,,,2026-05-04 08:00:00.727,2026-05-04 08:00:05.234,BILLUSDT-2026-05.csv.gz,,,,,,
595,SLXUSDT,SLX,2026-06-01 07:00:00,,,2026-06-22 10:00:09.787,2026-06-22 10:01:03.257,SLXUSDT-2026-06.csv.gz,2026-05-25 14:00:00,Solstice,tradable,2026-07-10,39.0,2026-07-10 12:00:01.855
639,REUSDT,RE,2026-06-18 14:00:00,2026-06-18,2026-06-18 14:20:00,,,,2026-06-18 14:00:00,Re,tradable,2026-06-18,0.0,2026-06-18 14:00:01.883
647,ARXUSDT,ARX,2026-06-23 04:00:00,,,2026-06-22 12:00:00.576,2026-06-22 12:00:00.576,ARXUSDT-2026-06.csv.gz,,,,,,
648,OUSDT,O,2026-06-24 11:00:00,,,,,,2026-06-17 16:00:00,o1.exchange,tradable,,,
649,CAPUSDT,CAP,2026-06-27 11:00:00,,,2026-06-26 12:00:00.617,2026-06-26 12:00:00.617,CAPUSDT-2026-06.csv.gz,,,,,,
653,GRAMUSDT,GRAM,2026-07-02 08:00:00,2026-07-02,,2026-06-22 08:01:03.167,2026-06-22 08:01:58.222,GRAMUSDT-2026-06.csv.gz,2026-06-16 14:00:00,GRAM (prev. Toncoin),tradable,2026-06-29,-3.0,
694,GRVTUSDT,GRVT,2026-07-31 12:00:00,,,2026-07-30 14:00:00.705,2026-07-30 14:00:00.705,GRVTUSDT-2026-07.csv.gz,,,,2026-07-30,-1.0,2026-07-30 14:00:12.113
702,DOSUSDT,DOS,2026-08-11 15:00:00,,,,,,2026-08-10 11:00:00,DAPPOS,tradable,2026-08-13,2.0,2026-08-13 10:00:06.278
